Event Title,Date,Location,URL,Date_of_check
2023 ABL Invitational Tournament,02 Jan - 08 Jan,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/2023-abl-invitational-tournament-02/01/2023,08/05/2024 14:33:47
Singapore Sail Grand Prix,14 Jan - 15 Jan,"Parkland Green, East Coast Park",https://www.activesgcircle.gov.sg/things-to-do/events/singapore-sail-grand-prix-14/01/2023,08/05/2024 14:33:47
Ice Magic - City Ski Championship 2023,21 Jan - 21 Jan,Bayfront Event Space,https://www.activesgcircle.gov.sg/things-to-do/events/ice-magic---city-ski-championship-2023-21/01/2023,08/05/2024 14:33:47
National Open Championships 2023,04 Feb - 10 Feb,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/national-open-championships-2023-04/02/2023,08/05/2024 14:33:47
TTX Festival 2023,18 FEB - 18 FEB,OCBC Hall 1 @ 5 Stadium Drive OCBC Arena S397631,https://www.activesgcircle.gov.sg/things-to-do/events/ttx-festival-2023-18/02/2023,08/05/2024 14:33:47
Toa Payoh Integrated Development (TPID) Public Roadshow,25 Feb - 26 Feb,HDB Hub Atrium,https://www.activesgcircle.gov.sg/things-to-do/events/toa-payoh-integrated-development-(tpid)-public-roadshow-25/02/2023,08/05/2024 14:33:47
37th ASEAN Senior Amateur Golf Championship 2023,27 Feb - 01 Mar,Singapore Island Country Club,https://www.activesgcircle.gov.sg/things-to-do/events/37th-asean-senior-amateur-golf-championship-2023-27/02/2023,08/05/2024 14:33:47
MetaSprint Series Triathlon,05 MAR - 05 MAR,East Coast Park,https://www.activesgcircle.gov.sg/things-to-do/events/metasprint-series-triathlon-05/03/2023,08/05/2024 14:33:47
Singapore Smash 2023,07 Mar - 19 Mar,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/singapore-smash-2023-07/03/2023,08/05/2024 14:33:47
7th ASEAN Inline Freestyle Championship,11 Mar - 13 Mar,DMarquee Exhibition Hall Downtown East,https://www.activesgcircle.gov.sg/things-to-do/events/7th-asean-inline-freestyle-championship-11/03/2023,08/05/2024 14:33:47
PIF Aramco Team Series Presented by Public Investment Fund - Singapore,16 Mar - 18 Mar,Laguna National Golf Resort Club,https://www.activesgcircle.gov.sg/things-to-do/events/pif-aramco-team-series-presented-by-public-investment-fund---singapore--16/03/2023,08/05/2024 14:33:47
Asian Water Polo Championships 2023,22 Mar - 27 Mar,OCBC Aquatic Centre,https://www.activesgcircle.gov.sg/things-to-do/events/asian-water-polo-championships-2023-22/03/2023,08/05/2024 14:33:47
Merlion Cup 2023,24 Mar - 26 Mar,"Jalan Besar Stadium, 100 Tyrwhitt Rd, Singapore 207542",https://www.activesgcircle.gov.sg/things-to-do/events/merlion-cup-2023-24/03/2023,08/05/2024 14:33:47
Active Health Webinar - Moving More at the Workplace,25 MAR - 25 MAR,,https://www.activesgcircle.gov.sg/things-to-do/events/active-health-webinar---moving-more-at-the-workplace-25/03/2023,08/05/2024 14:33:47
GEN Z ALPHA Series,26 MAR - 26 MAR,SINGAPORE SPORTS HUB (ARENA PARK),https://www.activesgcircle.gov.sg/things-to-do/events/gen-z-alpha-series-26/03/2023,08/05/2024 14:33:47
FIBA 3x3 Asia Cup 2023,29 Mar - 02 Apr,"Singapore Sports Hub, OCBC Square",https://www.activesgcircle.gov.sg/things-to-do/events/fiba-3x3-asia-cup-2023--29/03/2023,08/05/2024 14:33:47
HSBC Singapore Rugby Sevens 2023,08 Apr - 09 Apr,National Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/hsbc-singapore-rugby-sevens-2023-08/04/2023,08/05/2024 14:33:47
Singapore Jump Fest 2023,08 Apr - 09 Apr,"HomeTeamNS Khatib, 2 Yishun Walk, Level 2 Ballroom, Singapore 767944",https://www.activesgcircle.gov.sg/things-to-do/events/singapore-jump-fest-2023-08/04/2023,08/05/2024 14:33:47
Singapore International Triathlon 2023,16 APR - 16 APR,Angsana Green at East Coast Parkway,https://www.activesgcircle.gov.sg/things-to-do/events/singapore-international-triathlon-2023-16/04/2023,08/05/2024 14:33:47
2XU Compression Run,16 APR - 16 APR,F1 Pit Building,https://www.activesgcircle.gov.sg/things-to-do/events/2xu-compression-run--16/04/2023,08/05/2024 14:33:47
Bounce On Recovery - Stick Yoga,16 APR - 16 APR,OCBC Square (Stadium Walk),https://www.activesgcircle.gov.sg/things-to-do/events/bounce-on-recovery---stick-yoga-16/04/2023,08/05/2024 14:33:47
83rd Singapore Open Track & Field Championships 2023,26 Apr - 28 Apr,Home of Athletics & National Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/83rd-singapore-open-track-&-field-championships-2023-26/04/2023,08/05/2024 14:33:47
Celebrate Hari Raya at Stadium Roar,29 Apr - 01 May,"Singapore Sports Hub, Stadium Roar",https://www.activesgcircle.gov.sg/things-to-do/events/celebrate-hari-raya-at-stadium-roar-29/04/2023,08/05/2024 14:33:47
Citi Para Swimming World Series Singapore 2023,29 Apr - 01 May,OCBC Aquatic Centre,https://www.activesgcircle.gov.sg/things-to-do/events/citi-para-swimming-world-series-singapore-2023-29/04/2023,08/05/2024 14:33:47
ActivChallenge Season 1 - 7 Day Personalised Home Fitness Challenge,01 May - 07 May,,https://www.activesgcircle.gov.sg/things-to-do/events/activchallenge-season-1---7-day-personalised-home-fitness-challenge-01/05/2023,08/05/2024 14:33:47
The Urgent Run 2023,07 MAY - 07 MAY,Event Square @ Marina Bay,https://www.activesgcircle.gov.sg/things-to-do/events/the-urgent-run-2023-07/05/2023,08/05/2024 14:33:47
Fort Canning Run 2023,07 MAY - 07 MAY,"Fort Canning Park, Singapore",https://www.activesgcircle.gov.sg/things-to-do/events/fort-canning-run-2023-07/05/2023,08/05/2024 14:33:47
2XU Challenge,14 MAY - 14 MAY,Marina Barrage,https://www.activesgcircle.gov.sg/things-to-do/events/2xu-challenge-14/05/2023,08/05/2024 14:33:47
National School Games 2023 - A Division Volleyball,16 MAY - 16 MAY,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/national-school-games-2023---a-division-volleyball--16/05/2023,08/05/2024 14:33:47
National School Games 2023 - A Division Badminton,17 MAY - 17 MAY,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/national-school-games-2023---a-division-badminton-17/05/2023,08/05/2024 14:33:47
National School Games 2023 - A & B Division Swimming,19 MAY - 19 MAY,OCBC Aquatic Centre,https://www.activesgcircle.gov.sg/things-to-do/events/national-school-games-2023---a-&-b-division-swimming-19/05/2023,08/05/2024 14:33:47
OSIM Sundown Marathon Singapore 2023,20 May - 21 May,F1 Pit Building,https://www.activesgcircle.gov.sg/things-to-do/events/osim-sundown-marathon-singapore-2023-20/05/2023,08/05/2024 14:33:47
Femmes First 2023 - Celebrate WoW,20 MAY - 20 MAY,"Stadium Riverside Walk, Singapore Sports Hub, Singapore 271003",https://www.activesgcircle.gov.sg/things-to-do/events/femmes-first-2023---celebrate-wow-20/05/2023,08/05/2024 14:33:47
Batam Triathlon,20 May - 21 May,"Nongsa Resorts, Batam Indonesia",https://www.activesgcircle.gov.sg/things-to-do/events/batam-triathlon-20/05/2023,08/05/2024 14:33:47
National School Games 2023 - A Division Basketball Finals,22 MAY - 22 MAY,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/national-school-games-2023---a-division-basketball-finals-22/05/2023,08/05/2024 14:33:47
National School Games 2023 - A Division Table Tennis Finals,22 MAY - 22 MAY,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/national-school-games-2023---table-tennis-a-division-finals-22/05/2023,08/05/2024 14:33:47
National School Games 2023 - A Division Football,26 MAY - 26 MAY,National Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/national-school-games-2023---a-division-football-26/05/2023,08/05/2024 14:33:47
TriFactor Bike & CycleRun Singapore,28 MAY - 28 MAY,"Nicoll Highway, Republic Avenue",https://www.activesgcircle.gov.sg/things-to-do/events/-trifactor-bike-&-cyclerun-singapore-28/05/2023,08/05/2024 14:33:47
Family Fun Day,28 MAY - 28 MAY,United World College - 1207 Dover Road,https://www.activesgcircle.gov.sg/things-to-do/events/family-fun-day--28/05/2023,08/05/2024 14:33:47
Olympic Esports Week Singapore 2023 Community Activation,05 May - 25 Jun,,https://www.activesgcircle.gov.sg/things-to-do/events/olympic-esports-week-singapore-2023-community-activation-05/05/2023,08/05/2024 14:33:47
OCBC Cycle 2023,06 May - 05 Jun,Singapore Sports Hub,https://www.activesgcircle.gov.sg/things-to-do/events/ocbc-cycle-2023-06/05/2023,08/05/2024 14:33:47
LES MILLS LIVE Singapore,03 Jun - 04 Jun,OCBC Arena,https://www.activesgcircle.gov.sg/things-to-do/events/les-mills-live-singapore-03/06/2023,08/05/2024 14:33:47
Community Group Fitness Classes by Les Mills Asia Pacific x Sport Singapore,03 JUN - 03 JUN,"Atrium of Kallang Wave Mall, 1 Stadium Pl, Singapore 397628",https://www.activesgcircle.gov.sg/things-to-do/events/community-group-fitness-classes-by-les-mills-asia-pacific-x-sport-singapore-03/06/2023,08/05/2024 14:33:47
Singapore Badminton Open 2023,06 Jun - 11 Jun,Singapore Indoor Stadium,https://www.activesgcircle.gov.sg/things-to-do/events/singapore-badminton-open-2023-06/06/2023,08/05/2024 14:33:47
Support and follow Navy Medical Officer Dr Chua Jia Long's Fund Raising effort for St Luke's Hospital!,09 Jun - 16 Jun,,https://www.activesgcircle.gov.sg/things-to-do/events/fund-raising-for-st-luke-hospital-09/06/2023,08/05/2024 14:33:47
Asian Artistic Gymnastics Championships 2023,10 Jun - 18 Jun,"OCBC Arena Hall 1, 1 Stadium Drive Singapore, 397629",https://www.activesgcircle.gov.sg/things-to-do/events/asian-artistic-gymnastics-championships-2023-10/06/2023,08/05/2024 14:33:47
Income Eco Run 2023,11 JUN - 11 JUN,"Marina Barrage: 8 Marina Gardens Dr, Singapore 018951",https://www.activesgcircle.gov.sg/things-to-do/events/income-eco-run-2023-11/06/2023,08/05/2024 14:33:47
Men's 'A' International Friendlies (16-18 June),16 Jun - 18 Jun,"National Stadium, Singapore Sports Hub",https://www.activesgcircle.gov.sg/things-to-do/events/mens-a-international-friendlies-(16-18-june)-16/06/2023,08/05/2024 14:33:47
"Discover the Future of Esports, Uncovered",20 Jun - 21 Jun,"Asian Civilisations Museum, 1 Empress Place SG 179555","https://www.activesgcircle.gov.sg/things-to-do/events/discover-the-future-of-esports,-uncovered-21/03/2023",08/05/2024 14:33:47
Olympic Esports Week Singapore 2023,23 Jun - 25 Jun,Suntec Singapore Convention & Exhibition Centre Hall 401-406,https://www.activesgcircle.gov.sg/things-to-do/events/olympic-esports-week-singapore-2023-23/06/2023,08/05/2024 14:33:47
Run As One Singapore 2023,02 JUL - 02 JUL,Singapore Sports Hub,https://www.activesgcircle.gov.sg/things-to-do/events/run-as-one-singapore-2023-02/07/2023,08/05/2024 14:33:47
Active Health Webinar - Rest & Recovery for Better Performance,12 JUL - 12 JUL,,https://www.activesgcircle.gov.sg/things-to-do/events/active-health-webinar---rest-&-recovery-for-better-performance-12/07/2023,08/05/2024 14:33:47
World Youth Tchoukball Championships 2023,14 Jul - 16 Jul,,https://www.activesgcircle.gov.sg/things-to-do/events/world-youth-tchoukball-championships-2023-14/07/2023,08/05/2024 14:33:47
MWS Empowerun 2023,21 Jul - 30 Jul,,https://www.activesgcircle.gov.sg/things-to-do/events/mws-empowerun-2023-21/07/2023,08/05/2024 14:33:47
Harmony Sports Fiesta 2023,22 Jul - 23 Jul,OCBC Square,https://www.activesgcircle.gov.sg/things-to-do/events/harmony-sports-fiesta-2023-22/07/2023,08/05/2024 14:33:47
GetActive! Singapore Sport Festivals 2023 - Woodlands,29 Jul - 30 Jul,Woodlands Sport Centre (Swimming Pool),https://www.activesgcircle.gov.sg/things-to-do/events/getactive-singapore-sports-festival-2023-woodlands,08/05/2024 14:33:47
