Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Singapore's Balance Of Payments, (BPM6 Format)",Economy & Prices,Balance of Payments (BOP),Singapore's Balance of Payments (BOP),https://tablebuilder.singstat.gov.sg/table/TS/M060171,31/03/2024 12:08:59
"Singapore's Balance Of Payments, Additional Details Of The Current Account",Economy & Prices,Balance of Payments (BOP),Singapore's Balance of Payments (BOP),https://tablebuilder.singstat.gov.sg/table/TS/M060301,31/03/2024 12:08:59
"Singapore's Balance Of Payments, Additional Details Of The Financial Account",Economy & Prices,Balance of Payments (BOP),Singapore's Balance of Payments (BOP),https://tablebuilder.singstat.gov.sg/table/TS/M060191,31/03/2024 12:08:59
Singapore's Inward Direct Investment Flows By Broad Industry,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085771,31/03/2024 12:08:59
Singapore's Inward Direct Investment Flows By Component,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085801,31/03/2024 12:08:59
Singapore's Inward Direct Investment Flows By Source Economy,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085761,31/03/2024 12:08:59
Singapore's Inward Direct Investment Flows By Source Economy And Broad Industry,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085811,31/03/2024 12:08:59
Singapore's Inward Direct Investment Flows By Source Economy And Component,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085821,31/03/2024 12:08:59
"Singapore External Debt Statistics, (End Of Period)",Economy & Prices,External Debt,Singapore's External Debt,https://tablebuilder.singstat.gov.sg/table/TS/M060221,31/03/2024 12:08:59
Household Sector Balance Sheet (End Of Period),Economy & Prices,Household Sector Balance Sheet,"Household Net Worth, Assets and Liabilities",https://tablebuilder.singstat.gov.sg/table/TS/M700981,31/03/2024 12:08:59
"Singapore International Investment Position, (End Of Period)",Economy & Prices,International Investment Position (IIP),Singapore's International Investment Position (IIP),https://tablebuilder.singstat.gov.sg/table/TS/M060241,31/03/2024 12:08:59
"Singapore's Portfolio Investment Assets By Destination Economy And Instrument, (End Of Period)",Economy & Prices,International Investment Position (IIP),Singapore's Portfolio Investment Assets,https://tablebuilder.singstat.gov.sg/table/TS/M060281,31/03/2024 12:08:59
"Singapore's Portfolio Investment Liabilities By Source Economy And Instrument, (End Of Period)",Economy & Prices,International Investment Position (IIP),Singapore’s Portfolio Investment Liabilities,https://tablebuilder.singstat.gov.sg/table/TS/M060321,31/03/2024 12:08:59
Active Central Provident Fund Members By Age Group (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M180221,31/03/2024 12:08:59
Active Central Provident Fund Members By Industry (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M183381,31/03/2024 12:08:59
Central Provident Fund Members By Age Group (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M180241,31/03/2024 12:08:59
Number Of Active Employers,Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M183621,31/03/2024 12:08:59
"Changes In Employment By Sector, (Compared To The Previous Period)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M183891,31/03/2024 12:08:59
"Employed Female Residents Aged 15 Years And Over By Industry And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182151,31/03/2024 12:08:59
"Employed Female Residents Aged 15 Years And Over By Occupation And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182191,31/03/2024 12:08:59
"Employed Male Residents Aged 15 Years And Over By Industry And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182141,31/03/2024 12:08:59
"Employed Male Residents Aged 15 Years And Over By Occupation And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182181,31/03/2024 12:08:59
"Employed Residents Aged 15 Years And Over By Industry And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182131,31/03/2024 12:08:59
"Employed Residents Aged 15 Years And Over By Industry And Occupation, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182081,31/03/2024 12:08:59
