Datasets,Data period,Last updated,Datatype,Source,Dataset url,Date_of_check
Government Gazettes (Current Notices),No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_80e193bd9517638c4a60a9317c49c3b8/view,17/03/2024 20:23:04
Government Gazette Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_07bae9a30cd02f43f1475b134188060b/view,17/03/2024 20:23:04
Revocation 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_75b4ab74fb58ac99daf2ab01d218c142/view,17/03/2024 20:23:04
Statutes 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e477350cc4eedf507d9b435e0b89e7ae/view,17/03/2024 20:23:04
Leave 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_830ca47f48adfac75b79dc7d0efd8744/view,17/03/2024 20:23:04
Bankruptcy Act Notices 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_4dc111478d0294c30e9cd071105a48cf/view,17/03/2024 20:23:04
Vacation of Service 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_359c51c213daec19bb5f7eaa4208466b/view,17/03/2024 20:23:04
Legislation Gazettes (Current Notices),No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_3bc5e9401a77986ab974a95b197ff4bc/view,17/03/2024 20:23:04
Trade Marks Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_95daf2b05bda238dee921352130de047/view,17/03/2024 20:23:04
Subsidiary Legislation Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_54f824a6d704ca16747406549f7b85e4/view,17/03/2024 20:23:04
Others 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_5791c6e4cbb2487b877322b410e39d09/view,17/03/2024 20:23:04
Cessation of Service 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e845c87f3dfe3979022ba7ac5b3a9b10/view,17/03/2024 20:23:04
Death 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_edb599302d97748dc95ef4fe16fcecd5/view,17/03/2024 20:23:04
Termination of Service 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_75a8ec0018721707ac67c8df6b570cb4/view,17/03/2024 20:23:04
Revised Subsidiary Legislation 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_7e3623bb66b9ef7116e9ec4567bc309d/view,17/03/2024 20:23:04
Tenders 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e2de193f0888e615ec7b6b12f099db16/view,17/03/2024 20:23:04
Tenders 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_6f49bdf5154df5772291cd3e02eec5da/view,17/03/2024 20:23:04
Industrial Relations Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_fec59dbfd4f1f6020212394aa45fb861/view,17/03/2024 20:23:04
Others 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_1a520c1ec747499dc1418b03f6e68b49/view,17/03/2024 20:23:04
Corrigendum 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_82ec4cf03da7592a89479daaf9b4dc1b/view,17/03/2024 20:23:04
Companies Act Notices 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_a9e75af8a5c5166f253894f9d2ae1fa0/view,17/03/2024 20:23:04
Companies Act Notices 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_6d140ae3bf111d222c1e5a835db3a69b/view,17/03/2024 20:23:04
Termination of Service 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_60877dfe2dc76b197660c16c7d43cffa/view,17/03/2024 20:23:04
Audited Reports 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_bb491a649a3745659802bee63da1a658/view,17/03/2024 20:23:04
Treaties Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_5fe7d3d7d513150e0db49e7d8cf4410e/view,17/03/2024 20:23:04
Notices under other Acts 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_c31c965da0c7c4bdc897eebb6747486a/view,17/03/2024 20:23:04
Advertisements 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_474aecabe7646d6a26432cf2e7b3e68e/view,17/03/2024 20:23:04
Notices under the Constitution 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_2c7c87c899bf1264f34eba18890518e5/view,17/03/2024 20:23:04
Bills Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_335892afe91b3875281b2f20b95a8d51/view,17/03/2024 20:23:04
Bankruptcy Act Notices 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_68ec1ad5ce7a99da51edf182fe0e12cf/view,17/03/2024 20:23:04
Supplements (Current Notices),No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8f848100c27d6d4c534769130dbba7ff/view,17/03/2024 20:23:04
Acts Supplement 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_7de78ed5dcffc31092945d41a898c16a/view,17/03/2024 20:23:04
Appointments 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_03f6016f32c83fecdf724ea536d8ecb7/view,17/03/2024 20:23:04
Treaties Supplement 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_9f4db5fa5416ecdca2557170f3ab5f53/view,17/03/2024 20:23:04
Appointments 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_d49abc655fbbe92f89bc00f4498c9123/view,17/03/2024 20:23:04
Dismissals 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8c7861d7a398f8a623d564bfbc79d56f/view,17/03/2024 20:23:04
Cessation of Service 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_199409ce3729f893cd4ca5186f8d3e62/view,17/03/2024 20:23:04
Dismissals 2024,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_f56855c1736a13ef1b2a262e25e277e1/view,17/03/2024 20:23:04
Leave 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8baea0c703f1918607ab1ea31989f4f2/view,17/03/2024 20:23:04
Audited Reports 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_acdac3f791d2eee1e8cd533843eec9b7/view,17/03/2024 20:23:04
Vacation of Service 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_66ce50ab169cf6e5db6c53561dbacb0f/view,17/03/2024 20:23:04
Subsidiary Legislation Supplement 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_212501e1ebebcc3d69f81875b90775ca/view,17/03/2024 20:23:04
Advertisements 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_c78740f1761cb3cc9952fa73a8c87f5a/view,17/03/2024 20:23:04
Government Gazette Supplement 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_20a3ac83c89cd1e26ff3ba0b892a152a/view,17/03/2024 20:23:04
Notices under the Constitution 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_6c4962191579570a3cf54916559aba8f/view,17/03/2024 20:23:04
Statutes 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_d42e07edc3ed498db9f7701737594cb3/view,17/03/2024 20:23:04
Corrigendum 2023,No Date info,Updated 20 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_ca749dc6f7e54f6da111ea472fa4bb59/view,17/03/2024 20:23:04
Revocation 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_f1d530a536bc6985fea6a7ecacd8706b/view,17/03/2024 20:23:04
Death 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_ba477613fce8881922d0e484ee071ce7/view,17/03/2024 20:23:04
Notices under other Acts 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_ee93625bbc9dee11eafa92aaa8c671aa/view,17/03/2024 20:23:04
Trade Marks Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_0ce1cfdc8904d692bcaaaa9d55439ff2/view,17/03/2024 20:23:04
Bills Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_4a61275b92165a1f1303ba706c93656c/view,17/03/2024 20:23:04
Industrial Relations Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_8b7a2451d909b031f3cbd91ce226bce2/view,17/03/2024 20:23:04
Revised Subsidiary Legislation 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_dba59293f2bbbdb270eae7152969f4da/view,17/03/2024 20:23:04
Acts Supplement 2023,No Date info,Updated 21 minutes ago,CSV,Ministry of Communications and Information (MCI),https://beta.data.gov.sg/datasets/d_e9a6deefeaba9cec98b9dc3184926455/view,17/03/2024 20:23:04
CEA Salesperson Information,Jan 2011 - Sep 2023,Updated 3 hours ago,CSV,Council For Estate Agencies (CEA),https://beta.data.gov.sg/datasets/d_07c63be0f37e6e59c07a4ddc2fd87fcb/view,17/03/2024 20:23:04
Listing of Centre Services,Nov 2018 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_44cfe12f2858ae503a093dfc075a28be/view,17/03/2024 20:23:04
Listing of Centres,Nov 2018 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_696c994c50745b079b3684f0e90ffc53/view,17/03/2024 20:23:04
Listing of Centres Incidental Charge,Mar 2019 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_253a7e348279bf0a87666a71f7ea2e67/view,17/03/2024 20:23:04
Listing of Centres Licence History,Mar 2020 - Sep 2023,Updated 11 hours ago,CSV,Early Childhood Development Agency (ECDA),https://beta.data.gov.sg/datasets/d_aea5df8dc9e1850857afd0e5e8e25795/view,17/03/2024 20:23:04
"Resident Households by Household Size, Ethnic Group and Sex of Head of Household",No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_8f32e92dd341adc0b1ad329f1e58b070/view,17/03/2024 20:23:04
Resident Households by Household Size and Highest Qualification Attained of Head of Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_26d42db7a24feb45ce265de63a72f792/view,17/03/2024 20:23:04
Resident Households by Household Size and Age Group of Head of Household,No Date info,Updated 23 hours ago,CSV,Singapore Department of Statistics (SINGSTAT),https://beta.data.gov.sg/datasets/d_cd3445f7b5578f3bf3fe966bfaf41c47/view,17/03/2024 20:23:04
