Dataset,Theme,Categories,SubCategories,URL,Date_of_check
"Singapore's Balance Of Payments, (BPM6 Format)",Economy & Prices,Balance of Payments (BOP),Singapore's Balance of Payments (BOP),https://tablebuilder.singstat.gov.sg/table/TS/M060171,17/03/2024 20:28:35
"Singapore's Balance Of Payments, Additional Details Of The Current Account",Economy & Prices,Balance of Payments (BOP),Singapore's Balance of Payments (BOP),https://tablebuilder.singstat.gov.sg/table/TS/M060301,17/03/2024 20:28:35
"Singapore's Balance Of Payments, Additional Details Of The Financial Account",Economy & Prices,Balance of Payments (BOP),Singapore's Balance of Payments (BOP),https://tablebuilder.singstat.gov.sg/table/TS/M060191,17/03/2024 20:28:35
Singapore's Inward Direct Investment Flows By Broad Industry,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085771,17/03/2024 20:28:35
Singapore's Inward Direct Investment Flows By Component,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085801,17/03/2024 20:28:35
Singapore's Inward Direct Investment Flows By Source Economy,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085761,17/03/2024 20:28:35
Singapore's Inward Direct Investment Flows By Source Economy And Broad Industry,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085811,17/03/2024 20:28:35
Singapore's Inward Direct Investment Flows By Source Economy And Component,Economy & Prices,Balance of Payments (BOP),Singapore's Inward Direct Investment Flows,https://tablebuilder.singstat.gov.sg/table/TS/M085821,17/03/2024 20:28:35
"Singapore External Debt Statistics, (End Of Period)",Economy & Prices,External Debt,Singapore's External Debt,https://tablebuilder.singstat.gov.sg/table/TS/M060221,17/03/2024 20:28:35
Household Sector Balance Sheet (End Of Period),Economy & Prices,Household Sector Balance Sheet,"Household Net Worth, Assets and Liabilities",https://tablebuilder.singstat.gov.sg/table/TS/M700981,17/03/2024 20:28:35
"Singapore International Investment Position, (End Of Period)",Economy & Prices,International Investment Position (IIP),Singapore's International Investment Position (IIP),https://tablebuilder.singstat.gov.sg/table/TS/M060241,17/03/2024 20:28:35
"Singapore's Portfolio Investment Assets By Destination Economy And Instrument, (End Of Period)",Economy & Prices,International Investment Position (IIP),Singapore's Portfolio Investment Assets,https://tablebuilder.singstat.gov.sg/table/TS/M060281,17/03/2024 20:28:35
"Singapore's Portfolio Investment Liabilities By Source Economy And Instrument, (End Of Period)",Economy & Prices,International Investment Position (IIP),Singapore’s Portfolio Investment Liabilities,https://tablebuilder.singstat.gov.sg/table/TS/M060321,17/03/2024 20:28:35
Active Central Provident Fund Members By Age Group (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M180221,17/03/2024 20:28:35
Active Central Provident Fund Members By Industry (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M183381,17/03/2024 20:28:35
Central Provident Fund Members By Age Group (End Of Period),Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M180241,17/03/2024 20:28:35
Number Of Active Employers,Economy & Prices,"Labour, Employment, Wages and Productivity",CPF Members and Employers,https://tablebuilder.singstat.gov.sg/table/TS/M183621,17/03/2024 20:28:35
"Changes In Employment By Sector, (Compared To The Previous Period)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M183891,17/03/2024 20:28:35
"Employed Female Residents Aged 15 Years And Over By Industry And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182151,17/03/2024 20:28:35
"Employed Female Residents Aged 15 Years And Over By Occupation And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182191,17/03/2024 20:28:35
"Employed Male Residents Aged 15 Years And Over By Industry And Age Group, (June)",Economy & Prices,"Labour, Employment, Wages and Productivity",Employment,https://tablebuilder.singstat.gov.sg/table/TS/M182141,17/03/2024 20:28:35
