Date,Location
2024-01-26,East
2024-01-27,East
2024-01-28,East
2024-01-29,East
2024-01-30,East
2024-01-31,East
2024-02-01,East
2024-02-02,East
2024-02-03,East
2024-02-04,East
2024-03-08,East
2024-03-09,East
2024-03-10,East
2024-03-11,East
2024-03-12,East
2024-03-13,East
2024-03-14,East
2024-03-15,East
2024-03-16,East
2024-03-17,East
2024-03-18,East
2024-03-19,East
2024-03-20,East
2024-03-21,East
2024-03-22,East
2024-03-23,East
2024-03-24,East
2024-03-25,East
2024-03-26,East
2024-03-27,East
2024-03-28,East
2024-03-29,East
2024-03-30,East
2024-03-31,East
2024-04-01,East
2024-04-02,East
2024-04-03,East
2024-04-04,East
2024-04-05,East
2024-04-06,East
2024-04-07,East
2024-04-08,East
2024-04-09,East
2024-04-10,East
2023-01-06,East
2023-01-07,East
2023-01-08,East
2023-01-13,East
2023-01-14,East
2023-01-15,East
2023-01-16,East
2023-01-17,East
2023-01-18,East
2023-01-19,East
2023-01-20,East
2023-01-21,East
2023-01-22,East
2023-01-23,East
2023-01-24,East
2023-01-25,East
2023-01-26,East
2023-01-27,East
2023-01-28,East
2023-01-29,East
2023-01-30,East
2023-01-31,East
2023-02-01,East
2023-02-02,East
2023-02-03,East
2023-02-04,East
2023-02-05,East
2023-02-06,East
2023-02-07,East
2023-02-08,East
2023-02-09,East
2023-02-10,East
2023-02-11,East
2023-02-12,East
2023-02-13,East
2023-02-14,East
2023-02-15,East
2023-02-16,East
2023-02-17,East
2023-02-18,East
2023-02-19,East
2023-02-20,East
2023-02-21,East
2023-02-22,East
2023-02-23,East
2023-02-24,East
2023-02-25,East
2023-02-26,East
2023-02-27,East
2023-02-28,East
2023-03-01,East
2023-03-02,East
2023-03-03,East
2023-03-04,East
2023-03-05,East
2023-03-06,East
2023-03-07,East
2023-03-08,East
2023-03-09,East
2023-03-10,East
2023-03-11,East
2023-03-12,East
2023-03-13,East
2023-03-14,East
2023-03-15,East
2023-03-16,East
2023-03-17,East
2023-03-18,East
2023-03-19,East
2023-03-20,East
2023-03-21,East
2023-03-22,East
2023-03-23,East
2023-03-24,East
2023-03-25,East
2023-03-26,East
2023-03-27,East
2023-03-28,East
2023-03-29,East
2023-03-30,East
2023-03-31,East
2023-04-01,East
2023-04-02,East
2023-04-03,East
2023-04-04,East
2023-04-05,East
2023-04-06,East
2023-04-07,East
2023-04-08,East
2023-04-09,East
2023-02-24,East
2023-02-25,East
2023-02-26,East
2023-02-27,East
2023-02-28,East
2023-03-01,East
2023-03-02,East
2023-03-03,East
2023-03-04,East
2023-03-05,East
2023-03-23,East
2023-03-24,East
2023-03-25,East
2023-03-26,East
2023-03-27,East
2023-03-28,East
2023-03-29,East
2023-03-30,East
2023-03-31,East
2023-04-01,East
2023-04-02,East
2023-04-03,East
2023-04-04,East
2023-04-05,East
2023-04-06,East
2023-04-07,East
2023-04-08,East
2023-04-09,East
2023-04-10,East
2023-04-11,East
2023-04-12,East
2023-04-13,East
2023-04-14,East
2023-04-15,East
2023-04-16,East
2023-04-17,East
2023-04-18,East
2023-04-19,East
2023-04-20,East
2023-04-21,East
2023-04-22,East
2023-04-22,East
2023-04-23,East
2023-04-24,East
2023-04-25,East
2023-04-26,East
2023-04-27,East
2023-04-28,East
2023-04-29,East
2023-04-30,East
2023-05-27,East
2023-05-28,East
2023-05-29,East
2023-05-30,East
2023-05-31,East
2023-06-01,East
2023-06-02,East
2023-06-03,East
2023-06-04,East
2023-06-05,East
2023-06-06,East
2023-06-07,East
2023-09-01,East
2023-09-02,East
2023-09-03,East
2023-09-04,East
2023-09-05,East
2023-09-06,East
2023-09-07,East
2023-09-08,East
2023-09-09,East
2023-09-10,East
2023-09-11,East
2023-09-12,East
2023-09-13,East
2023-09-14,East
2023-09-15,East
2023-09-16,East
2023-09-17,East
2023-09-18,East
2023-09-19,East
2023-09-20,East
2023-09-21,East
2023-09-22,East
2023-09-23,East
2023-09-24,East
2023-09-25,East
2023-09-26,East
2023-09-27,East
2023-09-28,East
2023-09-29,East
2023-09-30,East
2023-10-01,East
2023-10-19,East
2023-10-20,East
2023-10-21,East
2023-10-22,East
2023-10-23,East
2023-10-24,East
2023-11-05,East
2023-11-17,East
2023-11-18,East
2023-11-19,East
2023-11-20,East
2023-11-21,East
2023-11-22,East
2023-11-23,East
2023-11-24,East
2023-11-25,East
2023-11-26,East
2023-11-27,East
2023-11-28,East
2023-11-29,East
2023-11-30,East
2023-12-01,East
2023-12-02,East
2023-12-03,East
2023-12-04,East
2023-12-05,East
2023-12-06,East
2023-12-07,East
2023-12-08,East
2023-12-09,East
2023-12-10,East
2023-12-11,East
2023-12-12,East
2023-12-13,East
2023-12-14,East
2023-12-15,East
2023-12-16,East
2023-12-17,East
2023-12-18,East
2023-12-19,East
2023-12-20,East
2023-12-21,East
2023-12-22,East
2023-12-23,East
2023-12-24,East
2023-12-25,East
2023-12-26,East
2023-12-27,East
2023-12-28,East
2023-12-29,East
2023-12-30,East
2023-12-31,East
2024-01-01,East
2023-11-17,East
2023-11-18,East
2023-11-19,East
2023-11-20,East
2023-11-21,East
2023-11-22,East
2023-11-23,East
2023-11-24,East
2023-11-25,East
2023-11-26,East
2023-11-27,East
2023-11-28,East
2023-11-29,East
2023-11-30,East
2023-12-01,East
2023-12-02,East
2023-12-03,East
2023-12-04,East
2023-12-05,East
2023-12-06,East
2023-12-07,East
2023-12-08,East
2023-12-09,East
2023-12-10,East
2023-12-11,East
2023-12-12,East
2023-12-13,East
2023-12-14,East
2023-12-15,East
2023-12-16,East
2023-12-17,East
2023-12-18,East
2023-12-19,East
2023-12-20,East
2023-12-21,East
2023-12-22,East
2023-12-23,East
2023-12-24,East
2023-12-25,East
2023-12-26,East
2023-12-27,East
2023-12-28,East
2023-12-29,East
2023-12-30,East
2023-12-31,East
2024-01-01,East
2023-11-24,East
2023-11-25,East
2023-11-26,East
2023-12-22,East
2023-12-23,East
2023-12-24,East
2023-12-25,East
2023-12-26,East
2023-12-27,East
2023-12-28,East
2023-12-29,East
2023-12-30,East
2023-12-31,East
2024-01-01,East
2024-01-02,East
2022-01-14,East
2022-01-15,East
2022-03-11,East
