Date,Location
2023-06-10,North
2020-03-21,North
2020-03-22,North
2020-03-29,North
2019-06-14,North
2019-06-15,North
2019-06-16,North
2019-06-17,North
2019-06-18,North
2019-06-19,North
2019-06-20,North
2019-06-21,North
2019-06-22,North
2019-06-23,North
2019-06-24,North
2019-06-25,North
2019-06-26,North
2019-06-27,North
2019-06-28,North
2019-06-29,North
2019-06-30,North
2019-07-01,North
2019-07-02,North
2019-07-03,North
2019-07-04,North
2019-07-05,North
2019-07-06,North
2019-07-07,North
2019-07-08,North
2019-07-09,North
2019-07-10,North
2019-07-11,North
2019-07-12,North
2019-07-13,North
2019-07-14,North
2019-07-15,North
2019-07-16,North
2019-07-17,North
2019-07-18,North
2019-07-19,North
2019-07-20,North
2019-07-21,North
2019-07-22,North
2019-07-23,North
2019-07-24,North
2019-07-25,North
2019-07-26,North
2019-07-27,North
2019-07-28,North
2019-07-29,North
2019-07-30,North
2019-07-31,North
2019-08-01,North
2019-08-02,North
2019-08-03,North
2019-08-04,North
2019-08-05,North
2019-08-06,North
2019-08-07,North
2019-08-08,North
2019-08-09,North
2019-08-10,North
2019-08-11,North
2019-08-12,North
2019-08-13,North
2019-08-14,North
2019-08-15,North
2019-08-16,North
2019-08-17,North
2019-08-18,North
2019-08-19,North
2019-08-20,North
2019-08-21,North
2019-08-22,North
2019-08-23,North
2019-08-24,North
2019-08-25,North
2019-08-26,North
2019-08-27,North
2019-08-28,North
2019-08-29,North
2019-08-30,North
2019-08-31,North
2019-09-01,North
2019-09-02,North
2019-09-03,North
2019-09-04,North
2019-09-05,North
2019-09-06,North
2019-09-07,North
2019-09-08,North
2019-09-09,North
2019-09-10,North
2019-09-11,North
2019-09-12,North
2019-09-13,North
2019-09-14,North
2019-09-15,North
2019-09-16,North
2019-09-17,North
2019-09-18,North
2019-09-19,North
2019-09-20,North
2019-09-21,North
2019-09-22,North
2019-09-23,North
2019-09-24,North
2019-09-25,North
2019-09-26,North
2019-09-27,North
2019-09-28,North
2019-09-29,North
2019-09-30,North
2019-10-01,North
2019-10-02,North
2019-10-03,North
2019-10-04,North
2019-10-05,North
2019-10-06,North
2019-10-07,North
2019-10-08,North
2019-10-09,North
2019-10-10,North
2019-10-11,North
2019-10-12,North
2019-10-13,North
2019-10-14,North
2019-10-15,North
2019-10-16,North
2019-10-17,North
2019-10-18,North
2019-10-19,North
2019-10-20,North
2019-10-21,North
2019-10-22,North
2019-10-23,North
2019-10-24,North
2019-10-25,North
2019-10-26,North
2019-10-27,North
2019-10-28,North
2019-10-29,North
2019-10-30,North
2019-10-31,North
2019-11-01,North
2019-11-02,North
2019-11-03,North
2019-11-04,North
2019-11-05,North
2019-11-06,North
2019-11-07,North
2019-11-08,North
2019-11-09,North
2019-11-10,North
2019-11-11,North
2019-11-12,North
2019-11-13,North
2019-11-14,North
2019-11-15,North
2019-11-16,North
2019-11-17,North
2019-11-18,North
2019-11-19,North
2019-11-20,North
2019-11-21,North
2019-11-22,North
2019-11-23,North
2019-11-24,North
2019-11-25,North
2019-11-26,North
2019-11-27,North
2019-11-28,North
2019-11-29,North
2019-11-30,North
2019-12-01,North
2019-12-02,North
2019-12-03,North
2019-12-04,North
2019-12-05,North
2019-12-06,North
2019-12-07,North
2019-12-08,North
2019-12-09,North
2019-12-10,North
2019-12-11,North
2019-12-12,North
2019-12-13,North
2019-12-14,North
2019-12-15,North
2019-12-16,North
2019-12-17,North
2019-12-18,North
2019-12-19,North
2019-12-20,North
2019-12-21,North
2019-12-22,North
2019-12-23,North
2019-12-24,North
2019-12-25,North
2019-12-26,North
2019-12-27,North
2019-12-28,North
2019-12-29,North
2019-12-30,North
2019-12-31,North
2020-01-01,North
2020-01-02,North
2020-01-03,North
2020-01-04,North
2020-01-05,North
2020-01-06,North
2020-01-07,North
2020-01-08,North
2020-01-09,North
2020-01-10,North
2020-01-11,North
2020-01-12,North
2020-01-13,North
2020-01-14,North
2020-01-15,North
2020-01-16,North
2020-01-17,North
2020-01-18,North
2020-01-19,North
2020-01-20,North
2020-01-21,North
2020-01-22,North
2020-01-23,North
2020-01-24,North
2020-01-25,North
2020-01-26,North
2020-01-27,North
2020-01-28,North
2020-01-29,North
2020-01-30,North
2020-01-31,North
2020-02-01,North
2020-02-02,North
2020-02-03,North
2020-02-04,North
2020-02-05,North
2020-02-06,North
2020-02-07,North
2020-02-08,North
2020-02-09,North
2019-07-13,North
2019-07-13,North
2019-07-14,North
2019-11-15,North
2019-11-16,North
2019-11-17,North
2019-11-22,North
2019-11-23,North
2019-11-24,North
2019-11-16,North
2019-11-17,North
2019-11-18,North
2019-11-19,North
2019-11-20,North
2019-11-21,North
2019-11-22,North
2019-11-23,North
2019-11-24,North
2019-11-25,North
2019-11-26,North
2019-11-27,North
2019-11-28,North
2019-11-29,North
2019-11-30,North
2019-12-01,North
2019-12-02,North
2019-12-03,North
2019-12-04,North
2019-12-05,North
2019-12-06,North
2019-12-07,North
2019-12-08,North
2019-12-09,North
2019-12-10,North
2019-12-11,North
2019-12-12,North
2019-12-13,North
2019-12-14,North
2019-12-15,North
2019-12-16,North
2019-12-17,North
2019-12-18,North
2019-12-19,North
2019-12-20,North
2019-12-21,North
2019-12-22,North
2019-12-23,North
2019-12-24,North
2019-12-25,North
2019-12-26,North
2019-12-27,North
2019-12-28,North
2019-12-29,North
