Event Title,Date,Location,Status,URL,Date_of_check
West Mall BT21-Themed CNY Activities & Promos,05 Jan - 24 Feb 2024,"1 Bukit Batok Central, Singapore 658713",ENDED,https://thesmartlocal.com/read/west-mall-bt21-cny-2024/,08/04/2024 23:10:32
Comma Creative Arts Festival 2024,12 - 28 Jan 2024,"2 Orchard Link, Singapore 237978",ENDED,https://thesmartlocal.com/read/comma-creative-arts-festival-2024/,08/04/2024 23:10:32
Light To Night 2024,19 Jan - 08 Feb 2024,Civic District,ENDED,https://thesmartlocal.com/read/light-to-night-2024/,08/04/2024 23:10:32
Creative Intersections: Traces Of Dragons,19 Jan - 25 Feb 2024,Funan,ENDED,https://thesmartlocal.com/read/singapore-art-week-2024-funan/,08/04/2024 23:10:32
Artbox Avenue 2024,26 Jan - 04 Feb 2024,"Singapore Expo Hall 2, 1 Expo Drive, Singapore 486150",ENDED,https://thesmartlocal.com/read/artbox-avenue-2024/,08/04/2024 23:10:32
Pinkfong & Baby Shark Playhouse,26 Jan - 31 Mar 2024,"6 Raffles Boulevard, #03-208/209 Marina Square, Singapore 039594",ENDED,https://thesmartlocal.com/read/pinkfong-baby-shark-playhouse/,08/04/2024 23:10:32
Istana Open House 2024,12 Feb 2024,"Orchard Road, Singapore 238823",ENDED,https://thesmartlocal.com/read/istana-open-house-2024/,08/04/2024 23:10:32
Sky Lantern Festival,21 Feb 2024,"Palawan Green, Siloso Beach Walk, Sentosa, Singapore 098236",ENDED,https://thesmartlocal.com/read/sky-lantern-festival-sentosa/,08/04/2024 23:10:32
Kampong Gelam Ramadan Bazaar 2024,02 Mar - 05 Apr 2024,Kampong Gelam,ENDED,https://thesmartlocal.com/read/kampong-gelam-ramadan-bazaar-2024/,08/04/2024 23:10:32
Geylang Serai Ramadan Bazaar 2024,08 Mar - 10 Apr 2024,"1 Geylang Serai, Singapore 402001",,https://thesmartlocal.com/read/geylang-serai-bazaar-2024/,08/04/2024 23:10:32
GoGreen Market By REFASH,18 - 31 Mar 2024,Chinatown Point,ENDED,https://thesmartlocal.com/read/refash-chinatown-point-pop-up/,08/04/2024 23:10:32
Gardens By The Bay Sakura Festival 2024,22 Mar - 21 Apr 2024,"18 Marina Gardens Drive, Gardens by the Bay, Singapore 018953",,https://thesmartlocal.com/read/gardens-by-the-bay-sakura-2024/,08/04/2024 23:10:32
Naruto: The Gallery,28 Mar - 30 Jun 2024,"8 Sentosa Gateway, Singapore 098269",,https://thesmartlocal.com/read/naruto-the-gallery-singapore/,08/04/2024 23:10:32
Night At Orchard:1,"29th-31st March 2024, and on the last weekend of every month","Orchard Road, Singapore",ENDED,https://thesmartlocal.com/read/night-at-orchard-2024/,08/04/2024 23:10:32
SHEIN Spring-Summer Pop-Up,01 - 07 Apr 2024,Plaza Singapura,ENDED,https://thesmartlocal.com/read/shein-pop-up-plaza-singapura/,08/04/2024 23:10:32
Rasa Gombak Day Out,05 - 07 Apr 2024,Bukit Gombak Neighbourhood Centre,ENDED,https://thesmartlocal.com/read/rasa-gombak-day-out-2024/,08/04/2024 23:10:32
Vintage Flea Market By The Retro Factory,06 - 08 Jan 2023,"Katong Square, 88 East Coast Road, Singapore 423371",ENDED,https://thesmartlocal.com/read/the-retro-factory-flea-market/,08/04/2024 23:10:32
Light To Night 2023: Here And Now,06 - 26 Jan 2023,"1 St Andrew's Rd, #01-01, Singapore 178957",ENDED,https://thesmartlocal.com/read/light-to-night-2023/,08/04/2024 23:10:32
S.E.A. Focus 2023,06 - 15 Jan 2023,"39 Keppel Road, Tanjong Pagar Distripark, Singapore 089065",ENDED,https://thesmartlocal.com/read/sea-focus-2023/,08/04/2024 23:10:32
Disney100 At Jewel Changi,13 Jan - 09 Apr 2023,"Jewel Changi Airport, 78 Airport Boulevard., Singapore 819666",ENDED,https://thesmartlocal.com/read/disney100-jewel-changi-airport/,08/04/2024 23:10:32
Bay Spring Carnival 2023,13 - 29 Jan 2023,"Bayfront Event Space, 12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/bay-spring-carnival-2023/,08/04/2024 23:10:32
Tiger Brokers What Would Tiger Do 2023,14 - 15 Jan 2023,"10 Penang Road, Visual Arts Centre, Singapore 238469",ENDED,https://thesmartlocal.com/read/tiger-brokers-wwtd-2023/,08/04/2024 23:10:32
Istana Open House,23 Jan 2023,"Orchard Road, Singapore 238823",ENDED,https://thesmartlocal.com/read/istana-open-house-2023/,08/04/2024 23:10:32
Disney'S Frozen The Hit Broadway Musical,05 Feb - 19 Mar 2023,"Sands Theatre, 4 Bayfront Avenue, B1, Singapore 018973",ENDED,https://thesmartlocal.com/read/frozen-musical-singapore/,08/04/2024 23:10:32
Chatuchak Night Market Singapore 2023,07 Feb - 02 Apr 2023,"200 Turf Club Road, The Grandstand South Carpark, Singapore 287994",ENDED,https://thesmartlocal.com/read/chatuchak-night-market-singapore-2023/,08/04/2024 23:10:32
29Rooms Singapore,10 Feb - 16 Apr 2023,"Gardens by the Bay, 18 Marina Gardens Drive, Singapore 018953",ENDED,https://thesmartlocal.com/read/29rooms-singapore/,08/04/2024 23:10:32
NUS Master Of Science (Audiology) Open Day 2022,11 Feb 2023,"14 Medical Drive, National University of Singapore, Block MD6, Level 2 (Audiology SMART Classroom), Singapore 117599",ENDED,https://thesmartlocal.com/read/sinus-infection-hearing-loss/,08/04/2024 23:10:32
Harry Potter And The Order Of The Phoenix In Concert,17 - 18 Feb 2023,"Esplanade Theatre, 1 Esplanade Drive, Singapore 038981",ENDED,https://thesmartlocal.com/read/harry-potter-concert-singapore/,08/04/2024 23:10:32
The Klook Express At Japan Travel Fair 2023,24 - 26 Feb 2023,"Suntec City West, Level 1 #327-328 (outside Uniqlo)",ENDED,https://thesmartlocal.com/read/japan-travel-fair-2023-promos/,08/04/2024 23:10:32
Artbox 2023,24 Feb - 05 Mar 2023,"Singapore Expo Hall 6, 1 Expo Drive, Singapore 486041",ENDED,https://thesmartlocal.com/read/artbox-2023/,08/04/2024 23:10:32
The Centrepoint Bootcamp Challenge & Sports Marathon,10 - 25 Mar 2023,"176 Orchard Road, Singapore 238843",ENDED,https://thesmartlocal.com/read/the-centrepoint-fitness-classes/,08/04/2024 23:10:32
Gardens By The Bay Sakura,11 Mar - 09 Apr 2023,"18 Marina Gardens Drive, Gardens by the Bay, Singapore 018953",ENDED,https://thesmartlocal.com/read/gardens-by-the-bay-sakura/,08/04/2024 23:10:32
Geylang Serai Bazaar,23 Mar - 22 Apr 2023,"1 Geylang Serai, Singapore 402001",ENDED,https://thesmartlocal.com/read/geylang-serai-bazaar-2023/,08/04/2024 23:10:32
Trash To Treasures Miniature Exhibition,14 - 23 Apr 2023,"302 Tiong Bahru Road, Tiong Bahru Plaza (BreadTalk entrance), Singapore 168732",ENDED,https://thesmartlocal.com/read/trash-to-treasures-miniature-exhibition/,08/04/2024 23:10:32
Tulipmania: Origins Of The Tulip,21 Apr - 21 May 2023,"Flower Dome, Gardens by the Bay, 18 Marina Gardens Drive, Singapore 018953",ENDED,https://thesmartlocal.com/read/gardens-by-the-bay-tulipmania/,08/04/2024 23:10:32
Changi Village Outdoor Murder Mystery RPG,22 - 30 Apr 2023,"Lorong Bekukong, Changi Point Waterfront Park",ENDED,https://thesmartlocal.com/read/changi-village-murder-mystery-rpg/,08/04/2024 23:10:32
Walk Beyond With Johnnie Walker,26 - 30 Apr 2023,"250 Orchard Road, Design Orchard, Singapore 238905",ENDED,https://thesmartlocal.com/read/johnnie-walker-walk-beyond/,08/04/2024 23:10:32
AECC Study Abroad Education Fair 2023,07 May 2023,"Marina Bay Sands Convention Centre, Level 3, Cassia Jr",ENDED,https://thesmartlocal.com/read/aecc-study-abroad-education-fair-2023/,08/04/2024 23:10:32
New Exhibitions At SAM @ Tanjong Pagar Distripark,18 May - 24 Sep 2023,"39 Keppel Rd, Tanjong Pagar Distripark, Singapore 089065",ENDED,https://thesmartlocal.com/read/sam-tanjong-pagar-distripark-exhibitions/,08/04/2024 23:10:32
Dear Tampines By Our Tampines Hub,27 May - 07 Jun 2023,"1 Tampines Walk, Singapore 528523",ENDED,https://thesmartlocal.com/read/our-tampines-hub-carnivals/,08/04/2024 23:10:32
Naruto 20th Anniversary Exhibition,29 May - 02 Jul 2023,"6 Raffles Boulevard, #03-208/209 Marina Square, Singapore 039594",ENDED,https://thesmartlocal.com/read/naruto-20th-anniversary-exhibition-singapore/,08/04/2024 23:10:32
I Light Singapore 2023,01 - 25 Jun 2023,"Marina Bay, South Beach & Millenia Walk",ENDED,https://thesmartlocal.com/read/i-light-singapore-2023/,08/04/2024 23:10:32
Carnival By The Straits 2023,10 Jun 2023,"43 Admiralty Road West, SAF Yacht Club, Singapore 759962",ENDED,https://thesmartlocal.com/read/carnival-by-the-straits/,08/04/2024 23:10:32
L’Occitane Hotel Pop-Up,28 Jun - 09 Jul 2023,"252 North Bridge Road, #01-01 Raffles City, Singapore 179103",ENDED,https://thesmartlocal.com/read/loccitane-pop-up-2023/,08/04/2024 23:10:32
Stranger Things - The Encounter,30 Jun - 01 Oct 2023,"201 Victoria Street, Level 2 Bugis+, Sinagpore 188067",ENDED,https://thesmartlocal.com/read/stranger-things-the-encounter/,08/04/2024 23:10:32
LEGO BTS Dynamite Experience,07 - 16 Jul 2023,"Along 391A Orchard Road, Ngee Ann City, Singapore 238873",ENDED,https://thesmartlocal.com/read/lego-bts-dynamite-experience/,08/04/2024 23:10:32
Youth Corps Community Fair,16 Jul 2023,"113 Somerset Road, The Red Box, Singapore 238165",ENDED,https://thesmartlocal.com/read/do-good-fest-2023/,08/04/2024 23:10:32
Singapore Food Festival 2023,19 - 30 Jul 2023,"12A Bayfront Ave, Singapore 018970",ENDED,https://thesmartlocal.com/read/singapore-food-festival-2023/,08/04/2024 23:10:32
“Itsy Bitsy Teenie Weenie Super Mini Thingy Exhibition,21 Jul - 06 Aug 2023,"409 Race Course Road, #03-01A, Singapore 218657",ENDED,https://thesmartlocal.com/read/miniature-exhibition-farrer-park/,08/04/2024 23:10:32
Majulah Fiesta 2023,03 - 09 Aug 2023,"1 Stadium Drive, Kallang, Singapore 271003",ENDED,https://thesmartlocal.com/read/majulah-fiesta-2023/,08/04/2024 23:10:32
Films At The Fort 2023,03 - 20 Aug 2023,"Fort Canning Green, River Valley Road, Singapore 179037",ENDED,https://thesmartlocal.com/read/films-at-the-fort-2023/,08/04/2024 23:10:32
The Centrepoint’S Artsy National Day Event Has SG-Themed Tokidoki & Miniature Models Of Local Sights ,04 Aug - 03 Sep 2023,"176 Orchard Road, The Centrepoint, Level 1 Atrium, Singapore 238843",ENDED,https://thesmartlocal.com/read/the-centrepoint-national-day-2023/,08/04/2024 23:10:32
Singapore Night Festival 2023,18 - 26 Aug 2023,"93 Stamford Road, Singapore 178897",ENDED,https://thesmartlocal.com/read/singapore-night-festival-2023/,08/04/2024 23:10:32
Wan Qing Mid-Autumn Festival 2023,29 Aug - 01 Oct 2023,"12 Tai Gin Road, Singapore 327874",ENDED,https://thesmartlocal.com/read/wan-qing-mid-autumn-festival-2023/,08/04/2024 23:10:32
