Geo,Event Year,Date,Day,Name,Type
afghanistan,2014,14 Jan,Tuesday,The Prophet's Birthday,Public Holiday
afghanistan,2014,15 Feb,Saturday,Liberation Day,Public Holiday
afghanistan,2014,20 Mar,Thursday,March Equinox,Season
afghanistan,2014,28 Apr,Monday,Afghan Victory Day,Public Holiday
afghanistan,2014,1 May,Thursday,Labor Day,Public Holiday
afghanistan,2014,21 Jun,Saturday,June Solstice,Season
afghanistan,2014,29 Jun,Sunday,First Day of Ramadan,Public Holiday
afghanistan,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
afghanistan,2014,30 Jul,Wednesday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2014,31 Jul,Thursday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2014,19 Aug,Tuesday,Independence Day (National Day),Public Holiday
afghanistan,2014,9 Sep,Tuesday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2014,23 Sep,Tuesday,September Equinox,Season
afghanistan,2014,4 Oct,Saturday,Day of Arafat,Public Holiday
afghanistan,2014,5 Oct,Sunday,Eid al-Qurban,Public Holiday
afghanistan,2014,6 Oct,Monday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2014,7 Oct,Tuesday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2014,3 Nov,Monday,Ashura,Public Holiday
afghanistan,2014,13 Dec,Saturday,Arba'een,Observance
afghanistan,2014,22 Dec,Monday,December Solstice,Season
afghanistan,2015,3 Jan,Saturday,The Prophet's Birthday,Public Holiday
afghanistan,2015,15 Feb,Sunday,Liberation Day,Public Holiday
afghanistan,2015,21 Mar,Saturday,Nauruz,Public Holiday
afghanistan,2015,21 Mar,Saturday,March Equinox,Season
afghanistan,2015,28 Apr,Tuesday,Afghan Victory Day,Public Holiday
afghanistan,2015,1 May,Friday,Labor Day,Public Holiday
afghanistan,2015,18 Jun,Thursday,First Day of Ramadan,Public Holiday
afghanistan,2015,21 Jun,Sunday,June Solstice,Season
afghanistan,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
afghanistan,2015,19 Jul,Sunday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2015,20 Jul,Monday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2015,19 Aug,Wednesday,Independence Day (National Day),Public Holiday
afghanistan,2015,9 Sep,Wednesday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2015,20 Sep,Sunday,Commemoration of the assassination of Burhanuddin Rabbani,Public Holiday
afghanistan,2015,23 Sep,Wednesday,Eid al-Qurban,Public Holiday
afghanistan,2015,23 Sep,Wednesday,Day of Arafat,Public Holiday
afghanistan,2015,23 Sep,Wednesday,September Equinox,Season
afghanistan,2015,24 Sep,Thursday,Eid al-Qurban,Public Holiday
afghanistan,2015,25 Sep,Friday,Eid al-Qurban,Public Holiday
afghanistan,2015,25 Sep,Friday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2015,26 Sep,Saturday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2015,24 Oct,Saturday,Ashura,Public Holiday
afghanistan,2015,2 Dec,Wednesday,Arba'een,Observance
afghanistan,2015,22 Dec,Tuesday,December Solstice,Season
afghanistan,2015,24 Dec,Thursday,The Prophet's Birthday,Public Holiday
afghanistan,2016,15 Feb,Monday,Liberation Day,Public Holiday
afghanistan,2016,20 Mar,Sunday,March Equinox,Season
afghanistan,2016,21 Mar,Monday,Nauruz,Public Holiday
afghanistan,2016,28 Apr,Thursday,Afghan Victory Day,Public Holiday
afghanistan,2016,1 May,Sunday,Labor Day,Public Holiday
afghanistan,2016,7 Jun,Tuesday,First Day of Ramadan,Public Holiday
afghanistan,2016,21 Jun,Tuesday,June Solstice,Season
afghanistan,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
afghanistan,2016,8 Jul,Friday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2016,9 Jul,Saturday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2016,19 Aug,Friday,Independence Day (National Day),Public Holiday
afghanistan,2016,9 Sep,Friday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2016,12 Sep,Monday,Day of Arafat,Public Holiday
afghanistan,2016,13 Sep,Tuesday,Eid al-Qurban,Public Holiday
afghanistan,2016,14 Sep,Wednesday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2016,15 Sep,Thursday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2016,22 Sep,Thursday,September Equinox,Season
afghanistan,2016,12 Oct,Wednesday,Ashura,Public Holiday
afghanistan,2016,20 Nov,Sunday,Arba'een,Observance
afghanistan,2016,12 Dec,Monday,The Prophet's Birthday,Public Holiday
afghanistan,2016,21 Dec,Wednesday,December Solstice,Season
afghanistan,2017,5 Feb,Sunday,Non-working Day,Observance
afghanistan,2017,14 Feb,Tuesday,Liberation Day,Public Holiday
afghanistan,2017,20 Mar,Monday,March Equinox,Season
afghanistan,2017,21 Mar,Tuesday,Nauruz,Public Holiday
afghanistan,2017,28 Apr,Friday,Afghan Victory Day,Public Holiday
afghanistan,2017,29 Apr,Saturday,Afghan Victory Day observed,Public Holiday
afghanistan,2017,1 May,Monday,Labor Day,Public Holiday
afghanistan,2017,27 May,Saturday,First Day of Ramadan,Public Holiday
afghanistan,2017,21 Jun,Wednesday,June Solstice,Season
afghanistan,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
afghanistan,2017,27 Jun,Tuesday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2017,28 Jun,Wednesday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2017,19 Aug,Saturday,Independence Day (National Day),Public Holiday
afghanistan,2017,1 Sep,Friday,Day of Arafat,Public Holiday
afghanistan,2017,2 Sep,Saturday,Eid al-Qurban,Public Holiday
afghanistan,2017,3 Sep,Sunday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2017,4 Sep,Monday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2017,9 Sep,Saturday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2017,23 Sep,Saturday,September Equinox,Season
afghanistan,2017,1 Oct,Sunday,Ashura,Public Holiday
afghanistan,2017,9 Nov,Thursday,Arba'een,Observance
afghanistan,2017,1 Dec,Friday,The Prophet's Birthday,Public Holiday
afghanistan,2017,21 Dec,Thursday,December Solstice,Season
afghanistan,2018,15 Feb,Thursday,Liberation Day,Public Holiday
afghanistan,2018,20 Mar,Tuesday,March Equinox,Season
afghanistan,2018,21 Mar,Wednesday,Nauruz,Public Holiday
afghanistan,2018,28 Apr,Saturday,Afghan Victory Day,Public Holiday
afghanistan,2018,1 May,Tuesday,Labor Day,Public Holiday
afghanistan,2018,16 May,Wednesday,First Day of Ramadan,Public Holiday
afghanistan,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
afghanistan,2018,16 Jun,Saturday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2018,17 Jun,Sunday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2018,21 Jun,Thursday,June Solstice,Season
afghanistan,2018,19 Aug,Sunday,Independence Day (National Day),Public Holiday
afghanistan,2018,21 Aug,Tuesday,Day of Arafat,Public Holiday
afghanistan,2018,22 Aug,Wednesday,Eid al-Qurban,Public Holiday
afghanistan,2018,23 Aug,Thursday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2018,24 Aug,Friday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2018,9 Sep,Sunday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2018,21 Sep,Friday,Ashura,Public Holiday
afghanistan,2018,23 Sep,Sunday,September Equinox,Season
afghanistan,2018,30 Oct,Tuesday,Arba'een,Observance
afghanistan,2018,21 Nov,Wednesday,The Prophet's Birthday,Public Holiday
afghanistan,2018,22 Dec,Saturday,December Solstice,Season
afghanistan,2019,15 Feb,Friday,Liberation Day,Public Holiday
afghanistan,2019,21 Mar,Thursday,Nauruz,Public Holiday
afghanistan,2019,21 Mar,Thursday,March Equinox,Season
afghanistan,2019,28 Apr,Sunday,Afghan Victory Day,Public Holiday
afghanistan,2019,29 Apr,Monday,Loya Jirga Gathering Holiday (Kabul Only),Public Holiday
afghanistan,2019,30 Apr,Tuesday,Loya Jirga Gathering Holiday (Kabul Only),Public Holiday
afghanistan,2019,1 May,Wednesday,Loya Jirga Gathering Holiday (Kabul Only),Public Holiday
afghanistan,2019,1 May,Wednesday,Labor Day,Public Holiday
afghanistan,2019,2 May,Thursday,Loya Jirga Gathering Holiday (Kabul Only),Public Holiday
afghanistan,2019,3 May,Friday,Loya Jirga Gathering Holiday (Kabul Only),Public Holiday
afghanistan,2019,6 May,Monday,First Day of Ramadan,Public Holiday
afghanistan,2019,4 Jun,Tuesday,Eid al-Fitr,Public Holiday
afghanistan,2019,5 Jun,Wednesday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2019,6 Jun,Thursday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2019,21 Jun,Friday,June Solstice,Season
afghanistan,2019,10 Aug,Saturday,Day of Arafat,Public Holiday
afghanistan,2019,11 Aug,Sunday,Eid al-Qurban,Public Holiday
afghanistan,2019,12 Aug,Monday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2019,13 Aug,Tuesday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2019,19 Aug,Monday,Independence Day (National Day),Public Holiday
afghanistan,2019,9 Sep,Monday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2019,10 Sep,Tuesday,Ashura,Public Holiday
afghanistan,2019,23 Sep,Monday,September Equinox,Season
afghanistan,2019,28 Sep,Saturday,Presidential Elections,Public Holiday
afghanistan,2019,10 Nov,Sunday,The Prophet's Birthday,Public Holiday
afghanistan,2019,22 Dec,Sunday,December Solstice,Season
afghanistan,2020,15 Feb,Saturday,Liberation Day,Public Holiday
afghanistan,2020,20 Mar,Friday,March Equinox,Season
afghanistan,2020,21 Mar,Saturday,Nauruz,Public Holiday
afghanistan,2020,24 Apr,Friday,First Day of Ramadan,Public Holiday
afghanistan,2020,28 Apr,Tuesday,Afghan Victory Day,Public Holiday
afghanistan,2020,1 May,Friday,Labor Day,Public Holiday
afghanistan,2020,24 May,Sunday,Eid al-Fitr,Public Holiday
afghanistan,2020,25 May,Monday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2020,26 May,Tuesday,Eid al-Fitr Holiday,Public Holiday
afghanistan,2020,21 Jun,Sunday,June Solstice,Season
afghanistan,2020,30 Jul,Thursday,Day of Arafat,Public Holiday
afghanistan,2020,31 Jul,Friday,Eid al-Qurban,Public Holiday
afghanistan,2020,1 Aug,Saturday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2020,2 Aug,Sunday,Eid al-Qurban Holiday,Public Holiday
afghanistan,2020,19 Aug,Wednesday,Independence Day (National Day),Public Holiday
afghanistan,2020,30 Aug,Sunday,Ashura,Public Holiday
afghanistan,2020,9 Sep,Wednesday,Martyrs and Ahmad Shah Masoud Day,Public Holiday
afghanistan,2020,22 Sep,Tuesday,September Equinox,Season
afghanistan,2020,29 Oct,Thursday,The Prophet's Birthday,Public Holiday
