Geo,Event Year,Date,Day,Name,Type
american-samoa,2000,1 Jan,Saturday,New Year's Day,Public Holiday
american-samoa,2000,17 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2000,21 Feb,Monday,President's Day,Public Holiday
american-samoa,2000,19 Mar,Sunday,March Equinox,Season
american-samoa,2000,17 Apr,Monday,Flag Day,Public Holiday
american-samoa,2000,21 Apr,Friday,Good Friday,Public Holiday
american-samoa,2000,29 May,Monday,Memorial Day,Public Holiday
american-samoa,2000,20 Jun,Tuesday,June Solstice,Season
american-samoa,2000,4 Jul,Tuesday,Independence Day,Public Holiday
american-samoa,2000,4 Sep,Monday,Labor Day,Public Holiday
american-samoa,2000,22 Sep,Friday,September Equinox,Season
american-samoa,2000,9 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2000,11 Nov,Saturday,Veterans' Day,Public Holiday
american-samoa,2000,23 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2000,21 Dec,Thursday,December Solstice,Season
american-samoa,2000,25 Dec,Monday,Christmas Day,Public Holiday
american-samoa,2001,1 Jan,Monday,New Year's Day,Public Holiday
american-samoa,2001,15 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2001,19 Feb,Monday,President's Day,Public Holiday
american-samoa,2001,20 Mar,Tuesday,March Equinox,Season
american-samoa,2001,13 Apr,Friday,Good Friday,Public Holiday
american-samoa,2001,17 Apr,Tuesday,Flag Day,Public Holiday
american-samoa,2001,28 May,Monday,Memorial Day,Public Holiday
american-samoa,2001,20 Jun,Wednesday,June Solstice,Season
american-samoa,2001,4 Jul,Wednesday,Independence Day,Public Holiday
american-samoa,2001,3 Sep,Monday,Labor Day,Public Holiday
american-samoa,2001,22 Sep,Saturday,September Equinox,Season
american-samoa,2001,8 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2001,11 Nov,Sunday,Veterans' Day,Public Holiday
american-samoa,2001,22 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2001,21 Dec,Friday,December Solstice,Season
american-samoa,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
american-samoa,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
american-samoa,2002,21 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2002,18 Feb,Monday,President's Day,Public Holiday
american-samoa,2002,20 Mar,Wednesday,March Equinox,Season
american-samoa,2002,29 Mar,Friday,Good Friday,Public Holiday
american-samoa,2002,17 Apr,Wednesday,Flag Day,Public Holiday
american-samoa,2002,27 May,Monday,Memorial Day,Public Holiday
american-samoa,2002,21 Jun,Friday,June Solstice,Season
american-samoa,2002,4 Jul,Thursday,Independence Day,Public Holiday
american-samoa,2002,2 Sep,Monday,Labor Day,Public Holiday
american-samoa,2002,22 Sep,Sunday,September Equinox,Season
american-samoa,2002,14 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2002,11 Nov,Monday,Veterans' Day,Public Holiday
american-samoa,2002,28 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2002,21 Dec,Saturday,December Solstice,Season
american-samoa,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
american-samoa,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
american-samoa,2003,20 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2003,17 Feb,Monday,President's Day,Public Holiday
american-samoa,2003,20 Mar,Thursday,March Equinox,Season
american-samoa,2003,17 Apr,Thursday,Flag Day,Public Holiday
american-samoa,2003,18 Apr,Friday,Good Friday,Public Holiday
american-samoa,2003,26 May,Monday,Memorial Day,Public Holiday
american-samoa,2003,21 Jun,Saturday,June Solstice,Season
american-samoa,2003,4 Jul,Friday,Independence Day,Public Holiday
american-samoa,2003,1 Sep,Monday,Labor Day,Public Holiday
american-samoa,2003,22 Sep,Monday,September Equinox,Season
american-samoa,2003,13 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2003,11 Nov,Tuesday,Veterans' Day,Public Holiday
american-samoa,2003,27 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2003,21 Dec,Sunday,December Solstice,Season
american-samoa,2003,25 Dec,Thursday,Christmas Day,Public Holiday
american-samoa,2004,1 Jan,Thursday,New Year's Day,Public Holiday
american-samoa,2004,19 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2004,16 Feb,Monday,President's Day,Public Holiday
american-samoa,2004,19 Mar,Friday,March Equinox,Season
american-samoa,2004,9 Apr,Friday,Good Friday,Public Holiday
american-samoa,2004,17 Apr,Saturday,Flag Day,Public Holiday
american-samoa,2004,31 May,Monday,Memorial Day,Public Holiday
american-samoa,2004,20 Jun,Sunday,June Solstice,Season
american-samoa,2004,4 Jul,Sunday,Independence Day,Public Holiday
american-samoa,2004,6 Sep,Monday,Labor Day,Public Holiday
american-samoa,2004,22 Sep,Wednesday,September Equinox,Season
american-samoa,2004,11 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2004,11 Nov,Thursday,Veterans' Day,Public Holiday
american-samoa,2004,25 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2004,21 Dec,Tuesday,December Solstice,Season
american-samoa,2004,25 Dec,Saturday,Christmas Day,Public Holiday
american-samoa,2005,1 Jan,Saturday,New Year's Day,Public Holiday
american-samoa,2005,17 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2005,21 Feb,Monday,President's Day,Public Holiday
american-samoa,2005,20 Mar,Sunday,March Equinox,Season
american-samoa,2005,25 Mar,Friday,Good Friday,Public Holiday
american-samoa,2005,18 Apr,Monday,Flag Day,Public Holiday
american-samoa,2005,30 May,Monday,Memorial Day,Public Holiday
american-samoa,2005,20 Jun,Monday,June Solstice,Season
american-samoa,2005,4 Jul,Monday,Independence Day,Public Holiday
american-samoa,2005,5 Sep,Monday,Labor Day,Public Holiday
american-samoa,2005,22 Sep,Thursday,September Equinox,Season
american-samoa,2005,10 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2005,11 Nov,Friday,Veterans' Day,Public Holiday
american-samoa,2005,24 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2005,21 Dec,Wednesday,December Solstice,Season
american-samoa,2005,25 Dec,Sunday,Christmas Day,Public Holiday
american-samoa,2006,1 Jan,Sunday,New Year's Day,Public Holiday
american-samoa,2006,16 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2006,20 Feb,Monday,President's Day,Public Holiday
american-samoa,2006,20 Mar,Monday,March Equinox,Season
american-samoa,2006,14 Apr,Friday,Good Friday,Public Holiday
american-samoa,2006,17 Apr,Monday,Flag Day,Public Holiday
american-samoa,2006,29 May,Monday,Memorial Day,Public Holiday
american-samoa,2006,21 Jun,Wednesday,June Solstice,Season
american-samoa,2006,4 Jul,Tuesday,Independence Day,Public Holiday
american-samoa,2006,4 Sep,Monday,Labor Day,Public Holiday
american-samoa,2006,22 Sep,Friday,September Equinox,Season
american-samoa,2006,9 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2006,11 Nov,Saturday,Veterans' Day,Public Holiday
american-samoa,2006,23 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2006,21 Dec,Thursday,December Solstice,Season
american-samoa,2006,25 Dec,Monday,Christmas Day,Public Holiday
american-samoa,2007,1 Jan,Monday,New Year's Day,Public Holiday
american-samoa,2007,15 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2007,19 Feb,Monday,President's Day,Public Holiday
american-samoa,2007,20 Mar,Tuesday,March Equinox,Season
american-samoa,2007,6 Apr,Friday,Good Friday,Public Holiday
american-samoa,2007,17 Apr,Tuesday,Flag Day,Public Holiday
american-samoa,2007,28 May,Monday,Memorial Day,Public Holiday
american-samoa,2007,21 Jun,Thursday,June Solstice,Season
american-samoa,2007,4 Jul,Wednesday,Independence Day,Public Holiday
american-samoa,2007,3 Sep,Monday,Labor Day,Public Holiday
american-samoa,2007,22 Sep,Saturday,September Equinox,Season
american-samoa,2007,8 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2007,11 Nov,Sunday,Veterans' Day,Public Holiday
american-samoa,2007,22 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2007,21 Dec,Friday,December Solstice,Season
american-samoa,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
american-samoa,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
american-samoa,2008,21 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2008,18 Feb,Monday,President's Day,Public Holiday
american-samoa,2008,19 Mar,Wednesday,March Equinox,Season
american-samoa,2008,21 Mar,Friday,Good Friday,Public Holiday
american-samoa,2008,17 Apr,Thursday,Flag Day,Public Holiday
american-samoa,2008,26 May,Monday,Memorial Day,Public Holiday
american-samoa,2008,20 Jun,Friday,June Solstice,Season
american-samoa,2008,4 Jul,Friday,Independence Day,Public Holiday
american-samoa,2008,1 Sep,Monday,Labor Day,Public Holiday
american-samoa,2008,22 Sep,Monday,September Equinox,Season
american-samoa,2008,13 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2008,11 Nov,Tuesday,Veterans' Day,Public Holiday
american-samoa,2008,27 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2008,21 Dec,Sunday,December Solstice,Season
american-samoa,2008,25 Dec,Thursday,Christmas Day,Public Holiday
american-samoa,2009,1 Jan,Thursday,New Year's Day,Public Holiday
american-samoa,2009,19 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2009,16 Feb,Monday,President's Day,Public Holiday
american-samoa,2009,20 Mar,Friday,March Equinox,Season
american-samoa,2009,10 Apr,Friday,Good Friday,Public Holiday
american-samoa,2009,17 Apr,Friday,Flag Day,Public Holiday
american-samoa,2009,25 May,Monday,Memorial Day,Public Holiday
american-samoa,2009,20 Jun,Saturday,June Solstice,Season
american-samoa,2009,4 Jul,Saturday,Independence Day,Public Holiday
american-samoa,2009,7 Sep,Monday,Labor Day,Public Holiday
american-samoa,2009,22 Sep,Tuesday,September Equinox,Season
american-samoa,2009,12 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2009,11 Nov,Wednesday,Veterans' Day,Public Holiday
american-samoa,2009,26 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2009,21 Dec,Monday,December Solstice,Season
american-samoa,2009,25 Dec,Friday,Christmas Day,Public Holiday
american-samoa,2010,1 Jan,Friday,New Year's Day,Public Holiday
american-samoa,2010,18 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2010,15 Feb,Monday,President's Day,Public Holiday
american-samoa,2010,20 Mar,Saturday,March Equinox,Season
american-samoa,2010,2 Apr,Friday,Good Friday,Public Holiday
american-samoa,2010,17 Apr,Saturday,Flag Day,Public Holiday
american-samoa,2010,31 May,Monday,Memorial Day,Public Holiday
american-samoa,2010,21 Jun,Monday,June Solstice,Season
american-samoa,2010,4 Jul,Sunday,Independence Day,Public Holiday
american-samoa,2010,6 Sep,Monday,Labor Day,Public Holiday
american-samoa,2010,22 Sep,Wednesday,September Equinox,Season
american-samoa,2010,11 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2010,11 Nov,Thursday,Veterans' Day,Public Holiday
american-samoa,2010,25 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2010,21 Dec,Tuesday,December Solstice,Season
american-samoa,2010,25 Dec,Saturday,Christmas Day,Public Holiday
american-samoa,2011,1 Jan,Saturday,New Year's Day,Public Holiday
american-samoa,2011,17 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2011,21 Feb,Monday,President's Day,Public Holiday
american-samoa,2011,20 Mar,Sunday,March Equinox,Season
american-samoa,2011,18 Apr,Monday,Flag Day,Public Holiday
american-samoa,2011,22 Apr,Friday,Good Friday,Public Holiday
american-samoa,2011,30 May,Monday,Memorial Day,Public Holiday
american-samoa,2011,21 Jun,Tuesday,June Solstice,Season
american-samoa,2011,4 Jul,Monday,Independence Day,Public Holiday
american-samoa,2011,5 Sep,Monday,Labor Day,Public Holiday
american-samoa,2011,22 Sep,Thursday,September Equinox,Season
american-samoa,2011,10 Oct,Monday,Columbus Day,Public Holiday
american-samoa,2011,11 Nov,Friday,Veterans' Day,Public Holiday
american-samoa,2011,24 Nov,Thursday,Thanksgiving,Public Holiday
american-samoa,2011,21 Dec,Wednesday,December Solstice,Season
american-samoa,2011,25 Dec,Sunday,Christmas Day,Public Holiday
american-samoa,2012,1 Jan,Sunday,New Year's Day,Public Holiday
american-samoa,2012,16 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
american-samoa,2012,20 Feb,Monday,President's Day,Public Holiday
american-samoa,2012,19 Mar,Monday,March Equinox,Season
american-samoa,2012,6 Apr,Friday,Good Friday,Public Holiday
american-samoa,2012,17 Apr,Tuesday,Flag Day,Public Holiday
american-samoa,2012,28 May,Monday,Memorial Day,Public Holiday
american-samoa,2012,20 Jun,Wednesday,June Solstice,Season
american-samoa,2012,4 Jul,Wednesday,Independence Day,Public Holiday
american-samoa,2012,3 Sep,Monday,Labor Day,Public Holiday
american-samoa,2012,22 Sep,Saturday,September Equinox,Season
american-samoa,2012,8 Oct,Monday,Columbus Day,Public Holiday
