Geo,Event Year,Date,Day,Name,Type
andorra,2000,1 Jan,Saturday,New Year's Day,National holiday
andorra,2000,6 Jan,Thursday,Epiphany,National holiday
andorra,2000,6 Mar,Monday,Carnival,National holiday
andorra,2000,14 Mar,Tuesday,Constitution Day,National holiday
andorra,2000,19 Mar,Sunday,Fathers' Day,Observance
andorra,2000,20 Mar,Monday,March Equinox,Season
andorra,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2000,20 Apr,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2000,21 Apr,Friday,Good Friday,National holiday
andorra,2000,22 Apr,Saturday,Holy Saturday,Bank holiday
andorra,2000,23 Apr,Sunday,Easter Sunday,Bank holiday
andorra,2000,24 Apr,Monday,Easter Monday,National holiday
andorra,2000,1 May,Monday,May Day,National holiday
andorra,2000,7 May,Sunday,Mothers' Day,Observance
andorra,2000,1 Jun,Thursday,Ascension Day,Bank holiday
andorra,2000,11 Jun,Sunday,Whit Sunday,Observance
andorra,2000,12 Jun,Monday,Whit Monday,National holiday
andorra,2000,21 Jun,Wednesday,June Solstice,Season
andorra,2000,24 Jun,Saturday,Midsummer Day,Bank holiday
andorra,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
andorra,2000,8 Sep,Friday,National Day,National holiday
andorra,2000,22 Sep,Friday,September Equinox,Season
andorra,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
andorra,2000,1 Nov,Wednesday,All Saints' Day,National holiday
andorra,2000,4 Nov,Saturday,Day of St Charles Borromeu,Bank holiday
andorra,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
andorra,2000,21 Dec,Thursday,December Solstice,Season
andorra,2000,24 Dec,Sunday,Christmas Eve,Bank holiday
andorra,2000,25 Dec,Monday,Christmas Day,National holiday
andorra,2000,26 Dec,Tuesday,Boxing Day,National holiday
andorra,2000,31 Dec,Sunday,New Year's Eve (Bank holiday),Bank holiday
andorra,2001,1 Jan,Monday,New Year's Day,National holiday
andorra,2001,6 Jan,Saturday,Epiphany,National holiday
andorra,2001,26 Feb,Monday,Carnival,National holiday
andorra,2001,14 Mar,Wednesday,Constitution Day,National holiday
andorra,2001,19 Mar,Monday,Fathers' Day,Observance
andorra,2001,20 Mar,Tuesday,March Equinox,Season
andorra,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2001,12 Apr,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2001,13 Apr,Friday,Good Friday,National holiday
andorra,2001,14 Apr,Saturday,Holy Saturday,Bank holiday
andorra,2001,15 Apr,Sunday,Easter Sunday,Bank holiday
andorra,2001,16 Apr,Monday,Easter Monday,National holiday
andorra,2001,1 May,Tuesday,May Day,National holiday
andorra,2001,6 May,Sunday,Mothers' Day,Observance
andorra,2001,24 May,Thursday,Ascension Day,Bank holiday
andorra,2001,3 Jun,Sunday,Whit Sunday,Observance
andorra,2001,4 Jun,Monday,Whit Monday,National holiday
andorra,2001,21 Jun,Thursday,June Solstice,Season
andorra,2001,24 Jun,Sunday,Midsummer Day,Bank holiday
andorra,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
andorra,2001,8 Sep,Saturday,National Day,National holiday
andorra,2001,23 Sep,Sunday,September Equinox,Season
andorra,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
andorra,2001,1 Nov,Thursday,All Saints' Day,National holiday
andorra,2001,4 Nov,Sunday,Day of St Charles Borromeu,Bank holiday
andorra,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
andorra,2001,21 Dec,Friday,December Solstice,Season
andorra,2001,24 Dec,Monday,Christmas Eve,Bank holiday
andorra,2001,25 Dec,Tuesday,Christmas Day,National holiday
andorra,2001,26 Dec,Wednesday,Boxing Day,National holiday
andorra,2001,31 Dec,Monday,New Year's Eve (Bank holiday),Bank holiday
andorra,2002,1 Jan,Tuesday,New Year's Day,National holiday
andorra,2002,6 Jan,Sunday,Epiphany,National holiday
andorra,2002,11 Feb,Monday,Carnival,National holiday
andorra,2002,14 Mar,Thursday,Constitution Day,National holiday
andorra,2002,19 Mar,Tuesday,Fathers' Day,Observance
andorra,2002,20 Mar,Wednesday,March Equinox,Season
andorra,2002,28 Mar,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2002,29 Mar,Friday,Good Friday,National holiday
andorra,2002,30 Mar,Saturday,Holy Saturday,Bank holiday
andorra,2002,31 Mar,Sunday,Easter Sunday,Bank holiday
andorra,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2002,1 Apr,Monday,Easter Monday,National holiday
andorra,2002,1 May,Wednesday,May Day,National holiday
andorra,2002,5 May,Sunday,Mothers' Day,Observance
andorra,2002,9 May,Thursday,Ascension Day,Bank holiday
andorra,2002,19 May,Sunday,Whit Sunday,Observance
andorra,2002,20 May,Monday,Whit Monday,National holiday
andorra,2002,21 Jun,Friday,June Solstice,Season
andorra,2002,24 Jun,Monday,Midsummer Day,Bank holiday
andorra,2002,15 Aug,Thursday,Assumption of Mary,National holiday
andorra,2002,8 Sep,Sunday,National Day,National holiday
andorra,2002,23 Sep,Monday,September Equinox,Season
andorra,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
andorra,2002,1 Nov,Friday,All Saints' Day,National holiday
andorra,2002,4 Nov,Monday,Day of St Charles Borromeu,Bank holiday
andorra,2002,8 Dec,Sunday,Feast of the Immaculate Conception,National holiday
andorra,2002,22 Dec,Sunday,December Solstice,Season
andorra,2002,24 Dec,Tuesday,Christmas Eve,Bank holiday
andorra,2002,25 Dec,Wednesday,Christmas Day,National holiday
andorra,2002,26 Dec,Thursday,Boxing Day,National holiday
andorra,2002,31 Dec,Tuesday,New Year's Eve (Bank holiday),Bank holiday
andorra,2003,1 Jan,Wednesday,New Year's Day,National holiday
andorra,2003,6 Jan,Monday,Epiphany,National holiday
andorra,2003,3 Mar,Monday,Carnival,National holiday
andorra,2003,14 Mar,Friday,Constitution Day,National holiday
andorra,2003,19 Mar,Wednesday,Fathers' Day,Observance
andorra,2003,21 Mar,Friday,March Equinox,Season
andorra,2003,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2003,17 Apr,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2003,18 Apr,Friday,Good Friday,National holiday
andorra,2003,19 Apr,Saturday,Holy Saturday,Bank holiday
andorra,2003,20 Apr,Sunday,Easter Sunday,Bank holiday
andorra,2003,21 Apr,Monday,Easter Monday,National holiday
andorra,2003,1 May,Thursday,May Day,National holiday
andorra,2003,4 May,Sunday,Mothers' Day,Observance
andorra,2003,29 May,Thursday,Ascension Day,Bank holiday
andorra,2003,8 Jun,Sunday,Whit Sunday,Observance
andorra,2003,9 Jun,Monday,Whit Monday,National holiday
andorra,2003,21 Jun,Saturday,June Solstice,Season
andorra,2003,24 Jun,Tuesday,Midsummer Day,Bank holiday
andorra,2003,15 Aug,Friday,Assumption of Mary,National holiday
andorra,2003,8 Sep,Monday,National Day,National holiday
andorra,2003,23 Sep,Tuesday,September Equinox,Season
andorra,2003,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
andorra,2003,1 Nov,Saturday,All Saints' Day,National holiday
andorra,2003,4 Nov,Tuesday,Day of St Charles Borromeu,Bank holiday
andorra,2003,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
andorra,2003,22 Dec,Monday,December Solstice,Season
andorra,2003,24 Dec,Wednesday,Christmas Eve,Bank holiday
andorra,2003,25 Dec,Thursday,Christmas Day,National holiday
andorra,2003,26 Dec,Friday,Boxing Day,National holiday
andorra,2003,31 Dec,Wednesday,New Year's Eve (Bank holiday),Bank holiday
andorra,2004,1 Jan,Thursday,New Year's Day,National holiday
andorra,2004,6 Jan,Tuesday,Epiphany,National holiday
andorra,2004,23 Feb,Monday,Carnival,National holiday
andorra,2004,14 Mar,Sunday,Constitution Day,National holiday
andorra,2004,19 Mar,Friday,Fathers' Day,Observance
andorra,2004,20 Mar,Saturday,March Equinox,Season
andorra,2004,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2004,8 Apr,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2004,9 Apr,Friday,Good Friday,National holiday
andorra,2004,10 Apr,Saturday,Holy Saturday,Bank holiday
andorra,2004,11 Apr,Sunday,Easter Sunday,Bank holiday
andorra,2004,12 Apr,Monday,Easter Monday,National holiday
andorra,2004,1 May,Saturday,May Day,National holiday
andorra,2004,2 May,Sunday,Mothers' Day,Observance
andorra,2004,20 May,Thursday,Ascension Day,Bank holiday
andorra,2004,30 May,Sunday,Whit Sunday,Observance
andorra,2004,31 May,Monday,Whit Monday,National holiday
andorra,2004,21 Jun,Monday,June Solstice,Season
andorra,2004,24 Jun,Thursday,Midsummer Day,Bank holiday
andorra,2004,15 Aug,Sunday,Assumption of Mary,National holiday
andorra,2004,8 Sep,Wednesday,National Day,National holiday
andorra,2004,22 Sep,Wednesday,September Equinox,Season
andorra,2004,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
andorra,2004,1 Nov,Monday,All Saints' Day,National holiday
andorra,2004,4 Nov,Thursday,Day of St Charles Borromeu,Bank holiday
andorra,2004,8 Dec,Wednesday,Feast of the Immaculate Conception,National holiday
andorra,2004,21 Dec,Tuesday,December Solstice,Season
andorra,2004,24 Dec,Friday,Christmas Eve,Bank holiday
andorra,2004,25 Dec,Saturday,Christmas Day,National holiday
andorra,2004,26 Dec,Sunday,Boxing Day,National holiday
andorra,2004,31 Dec,Friday,New Year's Eve (Bank holiday),Bank holiday
andorra,2005,1 Jan,Saturday,New Year's Day,National holiday
andorra,2005,6 Jan,Thursday,Epiphany,National holiday
andorra,2005,7 Feb,Monday,Carnival,National holiday
andorra,2005,14 Mar,Monday,Constitution Day,National holiday
andorra,2005,19 Mar,Saturday,Fathers' Day,Observance
andorra,2005,20 Mar,Sunday,March Equinox,Season
andorra,2005,24 Mar,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2005,25 Mar,Friday,Good Friday,National holiday
andorra,2005,26 Mar,Saturday,Holy Saturday,Bank holiday
andorra,2005,27 Mar,Sunday,Easter Sunday,Bank holiday
andorra,2005,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2005,28 Mar,Monday,Easter Monday,National holiday
andorra,2005,1 May,Sunday,Mothers' Day,Observance
andorra,2005,1 May,Sunday,May Day,National holiday
andorra,2005,5 May,Thursday,Ascension Day,Bank holiday
andorra,2005,15 May,Sunday,Whit Sunday,Observance
andorra,2005,16 May,Monday,Whit Monday,National holiday
andorra,2005,21 Jun,Tuesday,June Solstice,Season
andorra,2005,24 Jun,Friday,Midsummer Day,Bank holiday
andorra,2005,15 Aug,Monday,Assumption of Mary,National holiday
andorra,2005,8 Sep,Thursday,National Day,National holiday
andorra,2005,23 Sep,Friday,September Equinox,Season
andorra,2005,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
andorra,2005,1 Nov,Tuesday,All Saints' Day,National holiday
andorra,2005,4 Nov,Friday,Day of St Charles Borromeu,Bank holiday
andorra,2005,8 Dec,Thursday,Feast of the Immaculate Conception,National holiday
andorra,2005,21 Dec,Wednesday,December Solstice,Season
andorra,2005,24 Dec,Saturday,Christmas Eve,Bank holiday
andorra,2005,25 Dec,Sunday,Christmas Day,National holiday
andorra,2005,26 Dec,Monday,Boxing Day,National holiday
andorra,2005,31 Dec,Saturday,New Year's Eve (Bank holiday),Bank holiday
andorra,2006,1 Jan,Sunday,New Year's Day,National holiday
andorra,2006,6 Jan,Friday,Epiphany,National holiday
andorra,2006,27 Feb,Monday,Carnival,National holiday
andorra,2006,14 Mar,Tuesday,Constitution Day,National holiday
andorra,2006,19 Mar,Sunday,Fathers' Day,Observance
andorra,2006,20 Mar,Monday,March Equinox,Season
andorra,2006,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
andorra,2006,13 Apr,Thursday,Maundy Thursday (Starting Noon),Bank holiday
andorra,2006,14 Apr,Friday,Good Friday,National holiday
andorra,2006,15 Apr,Saturday,Holy Saturday,Bank holiday
andorra,2006,16 Apr,Sunday,Easter Sunday,Bank holiday
