Geo,Event Year,Date,Day,Name,Type
angola,2000,1 Jan,Saturday,New Year,Public Holiday
angola,2000,4 Feb,Friday,Liberation Movement Day,Public Holiday
angola,2000,7 Mar,Tuesday,Carnival,Public Holiday
angola,2000,8 Mar,Wednesday,International Woman's Day,Public Holiday
angola,2000,20 Mar,Monday,March Equinox,Season
angola,2000,23 Mar,Thursday,Southern Africa Liberation Day,Public Holiday
angola,2000,4 Apr,Tuesday,Peace Day,Public Holiday
angola,2000,21 Apr,Friday,Good Friday,Public Holiday
angola,2000,1 May,Monday,May Day,Public Holiday
angola,2000,21 Jun,Wednesday,June Solstice,Season
angola,2000,17 Sep,Sunday,National Hero Day,Public Holiday
angola,2000,18 Sep,Monday,Day off for National Hero Day,Public Holiday
angola,2000,22 Sep,Friday,September Equinox,Season
angola,2000,2 Nov,Thursday,All Souls' Day,Public Holiday
angola,2000,11 Nov,Saturday,Independence Day,Public Holiday
angola,2000,21 Dec,Thursday,December Solstice,Season
angola,2000,25 Dec,Monday,Christmas Day,Public Holiday
angola,2001,1 Jan,Monday,New Year,Public Holiday
angola,2001,4 Feb,Sunday,Liberation Movement Day,Public Holiday
angola,2001,5 Feb,Monday,Day off for Liberation Movement Day,Public Holiday
angola,2001,27 Feb,Tuesday,Carnival,Public Holiday
angola,2001,8 Mar,Thursday,International Woman's Day,Public Holiday
angola,2001,20 Mar,Tuesday,March Equinox,Season
angola,2001,23 Mar,Friday,Southern Africa Liberation Day,Public Holiday
angola,2001,4 Apr,Wednesday,Peace Day,Public Holiday
angola,2001,13 Apr,Friday,Good Friday,Public Holiday
angola,2001,1 May,Tuesday,May Day,Public Holiday
angola,2001,21 Jun,Thursday,June Solstice,Season
angola,2001,17 Sep,Monday,National Hero Day,Public Holiday
angola,2001,23 Sep,Sunday,September Equinox,Season
angola,2001,2 Nov,Friday,All Souls' Day,Public Holiday
angola,2001,11 Nov,Sunday,Independence Day,Public Holiday
angola,2001,12 Nov,Monday,Day off for Independence Day,Public Holiday
angola,2001,21 Dec,Friday,December Solstice,Season
angola,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
angola,2002,1 Jan,Tuesday,New Year,Public Holiday
angola,2002,4 Feb,Monday,Liberation Movement Day,Public Holiday
angola,2002,12 Feb,Tuesday,Carnival,Public Holiday
angola,2002,8 Mar,Friday,International Woman's Day,Public Holiday
