Geo,Event Year,Date,Day,Name,Type
anguilla,2000,1 Jan,Saturday,New Year's Day,Public Holiday
anguilla,2000,3 Jan,Monday,Day off for New Year's Day,Public Holiday
anguilla,2000,2 Mar,Thursday,James Ronald Webster Day,Public Holiday
anguilla,2000,20 Mar,Monday,March Equinox,Season
anguilla,2000,21 Apr,Friday,Good Friday,Public Holiday
anguilla,2000,24 Apr,Monday,Easter Monday,Public Holiday
anguilla,2000,1 May,Monday,Labor Day / May Day,Public Holiday
anguilla,2000,30 May,Tuesday,Anguilla Day,Public Holiday
anguilla,2000,12 Jun,Monday,Whit Monday,Public Holiday
anguilla,2000,12 Jun,Monday,Sovereign's Birthday,Public Holiday
anguilla,2000,20 Jun,Tuesday,June Solstice,Season
anguilla,2000,7 Aug,Monday,August Monday,Public Holiday
anguilla,2000,10 Aug,Thursday,August Thursday,Public Holiday
anguilla,2000,11 Aug,Friday,Constitution Day,Public Holiday
anguilla,2000,22 Sep,Friday,September Equinox,Season
anguilla,2000,19 Dec,Tuesday,Separation Day,Public Holiday
anguilla,2000,21 Dec,Thursday,December Solstice,Season
anguilla,2000,25 Dec,Monday,Christmas Day,Public Holiday
anguilla,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
anguilla,2001,1 Jan,Monday,New Year's Day,Public Holiday
anguilla,2001,2 Mar,Friday,James Ronald Webster Day,Public Holiday
anguilla,2001,20 Mar,Tuesday,March Equinox,Season
anguilla,2001,13 Apr,Friday,Good Friday,Public Holiday
anguilla,2001,16 Apr,Monday,Easter Monday,Public Holiday
anguilla,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
anguilla,2001,30 May,Wednesday,Anguilla Day,Public Holiday
anguilla,2001,4 Jun,Monday,Whit Monday,Public Holiday
anguilla,2001,11 Jun,Monday,Sovereign's Birthday,Public Holiday
anguilla,2001,21 Jun,Thursday,June Solstice,Season
anguilla,2001,6 Aug,Monday,August Monday,Public Holiday
anguilla,2001,9 Aug,Thursday,August Thursday,Public Holiday
anguilla,2001,10 Aug,Friday,Constitution Day,Public Holiday
anguilla,2001,22 Sep,Saturday,September Equinox,Season
anguilla,2001,19 Dec,Wednesday,Separation Day,Public Holiday
anguilla,2001,21 Dec,Friday,December Solstice,Season
anguilla,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
anguilla,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
anguilla,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
anguilla,2002,2 Mar,Saturday,James Ronald Webster Day,Public Holiday
anguilla,2002,4 Mar,Monday,Day off for James Ronald Webster Day,Public Holiday
anguilla,2002,20 Mar,Wednesday,March Equinox,Season
anguilla,2002,29 Mar,Friday,Good Friday,Public Holiday
anguilla,2002,1 Apr,Monday,Easter Monday,Public Holiday
anguilla,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
anguilla,2002,20 May,Monday,Whit Monday,Public Holiday
anguilla,2002,30 May,Thursday,Anguilla Day,Public Holiday
anguilla,2002,10 Jun,Monday,Sovereign's Birthday,Public Holiday
anguilla,2002,21 Jun,Friday,June Solstice,Season
anguilla,2002,5 Aug,Monday,August Monday,Public Holiday
anguilla,2002,8 Aug,Thursday,August Thursday,Public Holiday
anguilla,2002,9 Aug,Friday,Constitution Day,Public Holiday
anguilla,2002,23 Sep,Monday,September Equinox,Season
anguilla,2002,19 Dec,Thursday,Separation Day,Public Holiday
anguilla,2002,21 Dec,Saturday,December Solstice,Season
anguilla,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
anguilla,2002,26 Dec,Thursday,Boxing Day,Public Holiday
