Geo,Event Year,Date,Day,Name,Type
argentina,2000,1 Jan,Saturday,New Year's Day,National holiday
argentina,2000,8 Jan,Saturday,End of Ramadan,Optional Holiday
argentina,2000,16 Mar,Thursday,Eid al-Adha,Optional Holiday
argentina,2000,20 Mar,Monday,March Equinox,Season
argentina,2000,2 Apr,Sunday,Day of the Veterans,National holiday
argentina,2000,6 Apr,Thursday,Muharram/New Year,Optional Holiday
argentina,2000,19 Apr,Wednesday,Passover Eve,Observance
argentina,2000,20 Apr,Thursday,Maundy Thursday,Optional Holiday
argentina,2000,20 Apr,Thursday,First day of Passover,Optional Holiday
argentina,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
argentina,2000,21 Apr,Friday,Second Day of Passover,Optional Holiday
argentina,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
argentina,2000,25 Apr,Tuesday,Sixth Day of Passover,Observance
argentina,2000,26 Apr,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
argentina,2000,27 Apr,Thursday,Last day of Passover,"Observance, Hebrew"
argentina,2000,1 May,Monday,Labor Day / May Day,National holiday
argentina,2000,25 May,Thursday,National Day/May 1810 Revolution,National holiday
argentina,2000,19 Jun,Monday,Flag Day,National holiday
argentina,2000,20 Jun,Tuesday,June Solstice,Season
argentina,2000,9 Jul,Sunday,Independence day,National holiday
argentina,2000,21 Aug,Monday,San Martín Day,National holiday
argentina,2000,22 Sep,Friday,September Equinox,Season
argentina,2000,29 Sep,Friday,Rosh Hashana Eve,Optional Holiday
argentina,2000,30 Sep,Saturday,Rosh Hashana,"Observance, Hebrew"
argentina,2000,1 Oct,Sunday,Second day of Rosh Hashana,"Observance, Hebrew"
argentina,2000,8 Oct,Sunday,Yom Kippur Eve,Optional Holiday
argentina,2000,9 Oct,Monday,Yom Kippur,"Observance, Hebrew"
argentina,2000,15 Oct,Sunday,Mothers' Day,Observance
argentina,2000,16 Oct,Monday,Columbus Day,National holiday
argentina,2000,8 Dec,Friday,Immaculate Conception,National holiday
argentina,2000,21 Dec,Thursday,December Solstice,Season
argentina,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
argentina,2000,28 Dec,Thursday,End of Ramadan,Optional Holiday
argentina,2000,31 Dec,Sunday,New Year's Eve,Observance
argentina,2001,1 Jan,Monday,New Year's Day,National holiday
argentina,2001,6 Mar,Tuesday,Eid al-Adha,Optional Holiday
argentina,2001,20 Mar,Tuesday,March Equinox,Season
argentina,2001,26 Mar,Monday,Muharram/New Year,Optional Holiday
argentina,2001,2 Apr,Monday,Day of the Veterans,National holiday
argentina,2001,7 Apr,Saturday,Passover Eve,Observance
argentina,2001,8 Apr,Sunday,First day of Passover,Optional Holiday
argentina,2001,9 Apr,Monday,Second Day of Passover,Optional Holiday
argentina,2001,12 Apr,Thursday,Maundy Thursday,Optional Holiday
argentina,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
argentina,2001,13 Apr,Friday,Sixth Day of Passover,Observance
argentina,2001,14 Apr,Saturday,Seventh Day of Passover,"Observance, Hebrew"
argentina,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
argentina,2001,15 Apr,Sunday,Last day of Passover,"Observance, Hebrew"
argentina,2001,1 May,Tuesday,Labor Day / May Day,National holiday
argentina,2001,25 May,Friday,National Day/May 1810 Revolution,National holiday
argentina,2001,18 Jun,Monday,Flag Day,National holiday
argentina,2001,21 Jun,Thursday,June Solstice,Season
argentina,2001,9 Jul,Monday,Independence day,National holiday
argentina,2001,20 Aug,Monday,San Martín Day,National holiday
argentina,2001,17 Sep,Monday,Rosh Hashana Eve,Optional Holiday
argentina,2001,18 Sep,Tuesday,Rosh Hashana,"Observance, Hebrew"
argentina,2001,19 Sep,Wednesday,Second day of Rosh Hashana,"Observance, Hebrew"
argentina,2001,22 Sep,Saturday,September Equinox,Season
argentina,2001,26 Sep,Wednesday,Yom Kippur Eve,Optional Holiday
argentina,2001,27 Sep,Thursday,Yom Kippur,"Observance, Hebrew"
argentina,2001,15 Oct,Monday,Columbus Day,National holiday
argentina,2001,21 Oct,Sunday,Mothers' Day,Observance
argentina,2001,8 Dec,Saturday,Immaculate Conception,National holiday
argentina,2001,17 Dec,Monday,End of Ramadan,Optional Holiday
argentina,2001,21 Dec,Friday,December Solstice,Season
argentina,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
argentina,2001,31 Dec,Monday,New Year's Eve,Observance
argentina,2002,1 Jan,Tuesday,New Year's Day,National holiday
argentina,2002,23 Feb,Saturday,Eid al-Adha,Optional Holiday
argentina,2002,15 Mar,Friday,Muharram/New Year,Optional Holiday
argentina,2002,20 Mar,Wednesday,March Equinox,Season
argentina,2002,27 Mar,Wednesday,Passover Eve,Observance
argentina,2002,28 Mar,Thursday,Maundy Thursday,Optional Holiday
argentina,2002,28 Mar,Thursday,First day of Passover,Optional Holiday
argentina,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
argentina,2002,29 Mar,Friday,Second Day of Passover,Optional Holiday
argentina,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
argentina,2002,1 Apr,Monday,Day of the Veterans,National holiday
argentina,2002,2 Apr,Tuesday,Sixth Day of Passover,Observance
argentina,2002,3 Apr,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
argentina,2002,4 Apr,Thursday,Last day of Passover,"Observance, Hebrew"
argentina,2002,1 May,Wednesday,Labor Day / May Day,National holiday
argentina,2002,25 May,Saturday,National Day/May 1810 Revolution,National holiday
argentina,2002,17 Jun,Monday,Flag Day,National holiday
argentina,2002,21 Jun,Friday,June Solstice,Season
argentina,2002,9 Jul,Tuesday,Independence day,National holiday
argentina,2002,19 Aug,Monday,San Martín Day,National holiday
