Geo,Event Year,Date,Day,Name,Type
austria,2000,1 Jan,Saturday,New Year's Day,National holiday
austria,2000,6 Jan,Thursday,Epiphany,National holiday
austria,2000,19 Mar,Sunday,Saint Joseph's Day,State holiday
austria,2000,20 Mar,Monday,March Equinox,Season
austria,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
austria,2000,16 Apr,Sunday,Palm Sunday,Observance
austria,2000,21 Apr,Friday,Good Friday,Observance
austria,2000,23 Apr,Sunday,Easter Sunday,Observance
austria,2000,24 Apr,Monday,Easter Monday,National holiday
austria,2000,1 May,Monday,Labor Day / May Day,National holiday
austria,2000,4 May,Thursday,Saint Florian's Day,State holiday
austria,2000,14 May,Sunday,Mothers' Day,Observance
austria,2000,1 Jun,Thursday,Ascension Day,National holiday
austria,2000,11 Jun,Sunday,Fathers' Day,Observance
austria,2000,11 Jun,Sunday,Whit Sunday,Observance
austria,2000,12 Jun,Monday,Whit Monday,National holiday
austria,2000,21 Jun,Wednesday,June Solstice,Season
austria,2000,22 Jun,Thursday,Corpus Christi,National holiday
austria,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
austria,2000,22 Sep,Friday,September Equinox,Season
austria,2000,24 Sep,Sunday,European Heritage Days,Observance
austria,2000,24 Sep,Sunday,Saint Rupert's Day,State holiday
austria,2000,9 Oct,Monday,Yom Kippur,Optional Holiday
austria,2000,10 Oct,Tuesday,Plebiscite Day,State holiday
austria,2000,26 Oct,Thursday,National Day,National holiday
austria,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
austria,2000,31 Oct,Tuesday,Reformation Day,Observance
austria,2000,1 Nov,Wednesday,All Saints' Day,National holiday
austria,2000,2 Nov,Thursday,All Souls' Day,Observance
austria,2000,11 Nov,Saturday,Saint Martin's Day,State holiday
austria,2000,15 Nov,Wednesday,Saint Leopold's Day,State holiday
austria,2000,3 Dec,Sunday,First Advent Sunday,Observance
austria,2000,8 Dec,Friday,Immaculate Conception,National holiday
austria,2000,21 Dec,Thursday,December Solstice,Season
austria,2000,24 Dec,Sunday,Christmas Eve,Half-day holiday
austria,2000,25 Dec,Monday,Christmas Day,National holiday
austria,2000,26 Dec,Tuesday,St. Stephen's Day,National holiday
austria,2000,31 Dec,Sunday,New Year's Eve,Observance
austria,2001,1 Jan,Monday,New Year's Day,National holiday
austria,2001,6 Jan,Saturday,Epiphany,National holiday
austria,2001,19 Mar,Monday,Saint Joseph's Day,State holiday
austria,2001,20 Mar,Tuesday,March Equinox,Season
austria,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
austria,2001,8 Apr,Sunday,Palm Sunday,Observance
austria,2001,13 Apr,Friday,Good Friday,Observance
austria,2001,15 Apr,Sunday,Easter Sunday,Observance
austria,2001,16 Apr,Monday,Easter Monday,National holiday
