Geo,Event Year,Date,Day,Name,Type
azerbaijan,2006,1 Jan,Sunday,New Year's Day,Public holiday
azerbaijan,2006,3 Jan,Tuesday,Day off for New Year's Day,Public holiday
azerbaijan,2006,3 Jan,Tuesday,New Year's Holiday,Public holiday
azerbaijan,2006,10 Jan,Tuesday,Feast of the Sacrifice,Public holiday
azerbaijan,2006,20 Jan,Friday,Martyrs’ Day,Public holiday
azerbaijan,2006,8 Mar,Wednesday,Women's Day,Public holiday
azerbaijan,2006,20 Mar,Monday,Nowruz,Public holiday
azerbaijan,2006,20 Mar,Monday,March Equinox,Season
azerbaijan,2006,21 Mar,Tuesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2006,22 Mar,Wednesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2006,23 Mar,Thursday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2006,24 Mar,Friday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2006,9 May,Tuesday,Victory Day over Fascism,Public holiday
azerbaijan,2006,28 May,Sunday,Republic Day,Public holiday
azerbaijan,2006,29 May,Monday,Day off for Republic Day,Public holiday
azerbaijan,2006,15 Jun,Thursday,Day of National Salvation of the Azerbaijani People,Public holiday
azerbaijan,2006,21 Jun,Wednesday,June Solstice,Season
azerbaijan,2006,26 Jun,Monday,Azerbaijan Armed Forces Day,Public holiday
azerbaijan,2006,23 Sep,Saturday,September Equinox,Season
azerbaijan,2006,18 Oct,Wednesday,National Independence Day,Observance
azerbaijan,2006,24 Oct,Tuesday,Ramadan holiday,Public holiday
azerbaijan,2006,25 Oct,Wednesday,Ramadan holiday,Public holiday
azerbaijan,2006,9 Nov,Thursday,State Flag Day of Azerbaijan,Public holiday
azerbaijan,2006,12 Nov,Sunday,Constitution Day,Observance
azerbaijan,2006,17 Nov,Friday,National Revival Day,Observance
azerbaijan,2006,22 Dec,Friday,December Solstice,Season
azerbaijan,2006,31 Dec,Sunday,World Azerbaijanis Solidarity Day,Public holiday
azerbaijan,2006,31 Dec,Sunday,Feast of the Sacrifice,Public holiday
azerbaijan,2006,31 Dec,Sunday,New Year's Eve,Observance
azerbaijan,2007,1 Jan,Monday,New Year's Day,Public holiday
azerbaijan,2007,2 Jan,Tuesday,New Year's Holiday,Public holiday
azerbaijan,2007,20 Jan,Saturday,Martyrs’ Day,Public holiday
azerbaijan,2007,22 Jan,Monday,Day off for Martyrs’ Day,Public holiday
azerbaijan,2007,8 Mar,Thursday,Women's Day,Public holiday
azerbaijan,2007,20 Mar,Tuesday,Nowruz,Public holiday
azerbaijan,2007,21 Mar,Wednesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2007,21 Mar,Wednesday,March Equinox,Season
azerbaijan,2007,22 Mar,Thursday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2007,23 Mar,Friday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2007,24 Mar,Saturday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2007,25 Mar,Sunday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2007,9 May,Wednesday,Victory Day over Fascism,Public holiday
azerbaijan,2007,28 May,Monday,Republic Day,Public holiday
azerbaijan,2007,15 Jun,Friday,Day of National Salvation of the Azerbaijani People,Public holiday
azerbaijan,2007,21 Jun,Thursday,June Solstice,Season
azerbaijan,2007,26 Jun,Tuesday,Azerbaijan Armed Forces Day,Public holiday
azerbaijan,2007,23 Sep,Sunday,September Equinox,Season
azerbaijan,2007,13 Oct,Saturday,Ramadan holiday,Public holiday
azerbaijan,2007,14 Oct,Sunday,Ramadan holiday,Public holiday
azerbaijan,2007,15 Oct,Monday,Ramadan holiday,Public holiday
azerbaijan,2007,18 Oct,Thursday,National Independence Day,Observance
azerbaijan,2007,9 Nov,Friday,State Flag Day of Azerbaijan,Public holiday
azerbaijan,2007,12 Nov,Monday,Constitution Day,Observance
azerbaijan,2007,17 Nov,Saturday,National Revival Day,Observance
azerbaijan,2007,20 Dec,Thursday,Feast of the Sacrifice,Public holiday
azerbaijan,2007,21 Dec,Friday,Feast of the Sacrifice Holiday,Public holiday
azerbaijan,2007,22 Dec,Saturday,December Solstice,Season
azerbaijan,2007,31 Dec,Monday,World Azerbaijanis Solidarity Day,Public holiday
azerbaijan,2007,31 Dec,Monday,New Year's Eve,Observance
azerbaijan,2008,1 Jan,Tuesday,New Year's Day,Public holiday
azerbaijan,2008,2 Jan,Wednesday,New Year's Holiday,Public holiday
azerbaijan,2008,20 Jan,Sunday,Martyrs’ Day,Public holiday
azerbaijan,2008,21 Jan,Monday,Day off for Martyrs’ Day,Public holiday
azerbaijan,2008,8 Mar,Saturday,Women's Day,Public holiday
azerbaijan,2008,10 Mar,Monday,Women's Day observed,Public holiday
azerbaijan,2008,20 Mar,Thursday,Nowruz,Public holiday
azerbaijan,2008,20 Mar,Thursday,March Equinox,Season
azerbaijan,2008,21 Mar,Friday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2008,22 Mar,Saturday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2008,23 Mar,Sunday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2008,24 Mar,Monday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2008,25 Mar,Tuesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2008,26 Mar,Wednesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2008,9 May,Friday,Victory Day over Fascism,Public holiday
azerbaijan,2008,28 May,Wednesday,Republic Day,Public holiday
azerbaijan,2008,15 Jun,Sunday,Day of National Salvation of the Azerbaijani People,Public holiday
azerbaijan,2008,16 Jun,Monday,Day off for Day of National Salvation of the Azerbaijani People,Public holiday
azerbaijan,2008,21 Jun,Saturday,June Solstice,Season
azerbaijan,2008,26 Jun,Thursday,Azerbaijan Armed Forces Day,Public holiday
azerbaijan,2008,22 Sep,Monday,September Equinox,Season
azerbaijan,2008,2 Oct,Thursday,Ramadan holiday,Public holiday
azerbaijan,2008,3 Oct,Friday,Ramadan holiday,Public holiday
azerbaijan,2008,18 Oct,Saturday,National Independence Day,Observance
azerbaijan,2008,9 Nov,Sunday,State Flag Day of Azerbaijan,Public holiday
azerbaijan,2008,10 Nov,Monday,Day off for State Flag Day of Azerbaijan,Public holiday
azerbaijan,2008,12 Nov,Wednesday,Constitution Day,Observance
azerbaijan,2008,17 Nov,Monday,National Revival Day,Observance
azerbaijan,2008,9 Dec,Tuesday,Feast of the Sacrifice,Public holiday
azerbaijan,2008,10 Dec,Wednesday,Feast of the Sacrifice Holiday,Public holiday
azerbaijan,2008,21 Dec,Sunday,December Solstice,Season
azerbaijan,2008,31 Dec,Wednesday,World Azerbaijanis Solidarity Day,Public holiday
azerbaijan,2008,31 Dec,Wednesday,New Year's Eve,Observance
azerbaijan,2009,1 Jan,Thursday,New Year's Day,Public holiday
azerbaijan,2009,2 Jan,Friday,New Year's Holiday,Public holiday
azerbaijan,2009,20 Jan,Tuesday,Martyrs’ Day,Public holiday
azerbaijan,2009,8 Mar,Sunday,Women's Day,Public holiday
azerbaijan,2009,9 Mar,Monday,Women's Day observed,Public holiday
azerbaijan,2009,20 Mar,Friday,Nowruz,Public holiday
azerbaijan,2009,20 Mar,Friday,March Equinox,Season
azerbaijan,2009,21 Mar,Saturday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2009,22 Mar,Sunday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2009,23 Mar,Monday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2009,24 Mar,Tuesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2009,25 Mar,Wednesday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2009,26 Mar,Thursday,Nowruz/Spring Holiday,Public holiday
azerbaijan,2009,9 May,Saturday,Victory Day over Fascism,Public holiday
azerbaijan,2009,11 May,Monday,Day off for Victory Day over Fascism,Public holiday
azerbaijan,2009,28 May,Thursday,Republic Day,Public holiday
azerbaijan,2009,15 Jun,Monday,Day of National Salvation of the Azerbaijani People,Public holiday
azerbaijan,2009,21 Jun,Sunday,June Solstice,Season
azerbaijan,2009,26 Jun,Friday,Azerbaijan Armed Forces Day,Public holiday
azerbaijan,2009,21 Sep,Monday,Ramadan holiday,Public holiday
azerbaijan,2009,22 Sep,Tuesday,Ramadan holiday,Public holiday
azerbaijan,2009,23 Sep,Wednesday,September Equinox,Season
azerbaijan,2009,18 Oct,Sunday,National Independence Day,Observance
azerbaijan,2009,9 Nov,Monday,State Flag Day of Azerbaijan,Public holiday
azerbaijan,2009,12 Nov,Thursday,Constitution Day,Observance
azerbaijan,2009,17 Nov,Tuesday,National Revival Day,Observance
azerbaijan,2009,27 Nov,Friday,Feast of the Sacrifice,Public holiday
