Geo,Event Year,Date,Day,Name,Type
belarus,2000,1 Jan,Saturday,New Year's Day,National Holiday
belarus,2000,7 Jan,Friday,Orthodox Christmas Day,National Holiday
belarus,2000,14 Feb,Monday,Valentine's Day,Observance
belarus,2000,23 Feb,Wednesday,Defender of the Fatherland Day,Observance
belarus,2000,8 Mar,Wednesday,Women's Day,National Holiday
belarus,2000,15 Mar,Wednesday,Constitution Day,Observance
belarus,2000,20 Mar,Monday,March Equinox,Season
belarus,2000,2 Apr,Sunday,Union Day of Belarus and Russia,Observance
belarus,2000,23 Apr,Sunday,Catholic Easter Sunday,Observance
belarus,2000,26 Apr,Wednesday,Day of Remembrance of the Chernobyl Tragedy,Observance
belarus,2000,30 Apr,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
belarus,2000,1 May,Monday,Labour Day,National Holiday
belarus,2000,9 May,Tuesday,Radonitsa,National Holiday
belarus,2000,9 May,Tuesday,Victory Day,National Holiday
belarus,2000,14 May,Sunday,Day of the National Emblem and Flag of Belarus,Observance
belarus,2000,21 Jun,Wednesday,June Solstice,Season
belarus,2000,22 Jun,Thursday,Remembrance Day of Victims of the Great Patriotic War,Observance
belarus,2000,3 Jul,Monday,Independence Day of the Republic of Belarus,National Holiday
belarus,2000,6 Jul,Thursday,Kupalle (Day 1),Observance
belarus,2000,7 Jul,Friday,Kupalle (Day 2),Observance
belarus,2000,22 Sep,Friday,September Equinox,Season
belarus,2000,14 Oct,Saturday,Mothers' Day,Observance
belarus,2000,2 Nov,Thursday,Remembrance Day,Observance
belarus,2000,7 Nov,Tuesday,October Revolution Day,National Holiday
belarus,2000,21 Dec,Thursday,December Solstice,Season
belarus,2000,25 Dec,Monday,Catholic Christmas Day,National Holiday
belarus,2000,31 Dec,Sunday,New Year's Eve,Observance
belarus,2001,1 Jan,Monday,New Year's Day,National Holiday
belarus,2001,7 Jan,Sunday,Orthodox Christmas Day,National Holiday
belarus,2001,14 Feb,Wednesday,Valentine's Day,Observance
belarus,2001,23 Feb,Friday,Defender of the Fatherland Day,Observance
belarus,2001,8 Mar,Thursday,Women's Day,National Holiday
belarus,2001,15 Mar,Thursday,Constitution Day,Observance
belarus,2001,20 Mar,Tuesday,March Equinox,Season
belarus,2001,2 Apr,Monday,Union Day of Belarus and Russia,Observance
belarus,2001,15 Apr,Sunday,Catholic Easter Sunday,Observance
belarus,2001,15 Apr,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
belarus,2001,24 Apr,Tuesday,Radonitsa,National Holiday
belarus,2001,26 Apr,Thursday,Day of Remembrance of the Chernobyl Tragedy,Observance
belarus,2001,1 May,Tuesday,Labour Day,National Holiday
belarus,2001,9 May,Wednesday,Victory Day,National Holiday
belarus,2001,13 May,Sunday,Day of the National Emblem and Flag of Belarus,Observance
belarus,2001,21 Jun,Thursday,June Solstice,Season
belarus,2001,22 Jun,Friday,Remembrance Day of Victims of the Great Patriotic War,Observance
belarus,2001,3 Jul,Tuesday,Independence Day of the Republic of Belarus,National Holiday
belarus,2001,6 Jul,Friday,Kupalle (Day 1),Observance
belarus,2001,7 Jul,Saturday,Kupalle (Day 2),Observance
belarus,2001,23 Sep,Sunday,September Equinox,Season
belarus,2001,14 Oct,Sunday,Mothers' Day,Observance
belarus,2001,2 Nov,Friday,Remembrance Day,Observance
belarus,2001,7 Nov,Wednesday,October Revolution Day,National Holiday
belarus,2001,21 Dec,Friday,December Solstice,Season
belarus,2001,25 Dec,Tuesday,Catholic Christmas Day,National Holiday
belarus,2001,31 Dec,Monday,New Year's Eve,Observance
belarus,2002,1 Jan,Tuesday,New Year's Day,National Holiday
belarus,2002,7 Jan,Monday,Orthodox Christmas Day,National Holiday
belarus,2002,14 Feb,Thursday,Valentine's Day,Observance
belarus,2002,23 Feb,Saturday,Defender of the Fatherland Day,Observance
belarus,2002,8 Mar,Friday,Women's Day,National Holiday
belarus,2002,15 Mar,Friday,Constitution Day,Observance
belarus,2002,20 Mar,Wednesday,March Equinox,Season
belarus,2002,31 Mar,Sunday,Catholic Easter Sunday,Observance
belarus,2002,2 Apr,Tuesday,Union Day of Belarus and Russia,Observance
belarus,2002,26 Apr,Friday,Day of Remembrance of the Chernobyl Tragedy,Observance
belarus,2002,1 May,Wednesday,Labour Day,National Holiday
belarus,2002,5 May,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
belarus,2002,9 May,Thursday,Victory Day,National Holiday
belarus,2002,12 May,Sunday,Day of the National Emblem and Flag of Belarus,Observance
belarus,2002,14 May,Tuesday,Radonitsa,National Holiday
belarus,2002,21 Jun,Friday,June Solstice,Season
belarus,2002,22 Jun,Saturday,Remembrance Day of Victims of the Great Patriotic War,Observance
belarus,2002,3 Jul,Wednesday,Independence Day of the Republic of Belarus,National Holiday
belarus,2002,6 Jul,Saturday,Kupalle (Day 1),Observance
belarus,2002,7 Jul,Sunday,Kupalle (Day 2),Observance
belarus,2002,23 Sep,Monday,September Equinox,Season
belarus,2002,14 Oct,Monday,Mothers' Day,Observance
belarus,2002,2 Nov,Saturday,Remembrance Day,Observance
belarus,2002,7 Nov,Thursday,October Revolution Day,National Holiday
belarus,2002,22 Dec,Sunday,December Solstice,Season
belarus,2002,25 Dec,Wednesday,Catholic Christmas Day,National Holiday
belarus,2002,31 Dec,Tuesday,New Year's Eve,Observance
belarus,2003,1 Jan,Wednesday,New Year's Day,National Holiday
belarus,2003,7 Jan,Tuesday,Orthodox Christmas Day,National Holiday
belarus,2003,14 Feb,Friday,Valentine's Day,Observance
belarus,2003,23 Feb,Sunday,Defender of the Fatherland Day,Observance
belarus,2003,8 Mar,Saturday,Women's Day,National Holiday
belarus,2003,15 Mar,Saturday,Constitution Day,Observance
belarus,2003,21 Mar,Friday,March Equinox,Season
belarus,2003,2 Apr,Wednesday,Union Day of Belarus and Russia,Observance
belarus,2003,20 Apr,Sunday,Catholic Easter Sunday,Observance
belarus,2003,26 Apr,Saturday,Day of Remembrance of the Chernobyl Tragedy,Observance
belarus,2003,27 Apr,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
belarus,2003,1 May,Thursday,Labour Day,National Holiday
belarus,2003,6 May,Tuesday,Radonitsa,National Holiday
belarus,2003,9 May,Friday,Victory Day,National Holiday
belarus,2003,11 May,Sunday,Day of the National Emblem and Flag of Belarus,Observance
belarus,2003,21 Jun,Saturday,June Solstice,Season
belarus,2003,22 Jun,Sunday,Remembrance Day of Victims of the Great Patriotic War,Observance
belarus,2003,3 Jul,Thursday,Independence Day of the Republic of Belarus,National Holiday
belarus,2003,6 Jul,Sunday,Kupalle (Day 1),Observance
belarus,2003,7 Jul,Monday,Kupalle (Day 2),Observance
belarus,2003,23 Sep,Tuesday,September Equinox,Season
belarus,2003,14 Oct,Tuesday,Mothers' Day,Observance
belarus,2003,2 Nov,Sunday,Remembrance Day,Observance
belarus,2003,7 Nov,Friday,October Revolution Day,National Holiday
belarus,2003,22 Dec,Monday,December Solstice,Season
belarus,2003,25 Dec,Thursday,Catholic Christmas Day,National Holiday
belarus,2003,31 Dec,Wednesday,New Year's Eve,Observance
belarus,2004,1 Jan,Thursday,New Year's Day,National Holiday
belarus,2004,7 Jan,Wednesday,Orthodox Christmas Day,National Holiday
