Geo,Event Year,Date,Day,Name,Type
bermuda,2010,1 Jan,Friday,New Year's Day,Public Holiday
bermuda,2010,14 Feb,Sunday,Valentine's Day,Observance
bermuda,2010,14 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bermuda,2010,20 Mar,Saturday,March Equinox,Season
bermuda,2010,2 Apr,Friday,Good Friday,Public Holiday
bermuda,2010,4 Apr,Sunday,Easter Sunday,Observance
bermuda,2010,9 May,Sunday,Mothers' Day,Observance
bermuda,2010,24 May,Monday,Bermuda Day,Public Holiday
bermuda,2010,20 Jun,Sunday,Fathers' Day,Observance
bermuda,2010,21 Jun,Monday,National Heroes Day,Public Holiday
bermuda,2010,21 Jun,Monday,June Solstice,Season
bermuda,2010,29 Jul,Thursday,Emancipation Day,Public Holiday
bermuda,2010,30 Jul,Friday,Somers' Day,Public Holiday
bermuda,2010,6 Sep,Monday,Labour Day,Public Holiday
bermuda,2010,23 Sep,Thursday,September Equinox,Season
bermuda,2010,31 Oct,Sunday,Halloween,Observance
bermuda,2010,7 Nov,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bermuda,2010,11 Nov,Thursday,Remembrance Day,Public Holiday
bermuda,2010,21 Dec,Tuesday,December Solstice,Season
bermuda,2010,24 Dec,Friday,Christmas Eve,Observance
bermuda,2010,25 Dec,Saturday,Christmas Day,Public Holiday
bermuda,2010,26 Dec,Sunday,Boxing Day,Public Holiday
bermuda,2010,27 Dec,Monday,Christmas/Boxing Day Holiday,Public Holiday
bermuda,2010,28 Dec,Tuesday,Christmas/Boxing Day Holiday,Public Holiday
bermuda,2010,31 Dec,Friday,New Year's Eve,Observance
bermuda,2011,1 Jan,Saturday,New Year's Day,Public Holiday
bermuda,2011,3 Jan,Monday,Day off for New Year's Day,Public Holiday
bermuda,2011,14 Feb,Monday,Valentine's Day,Observance
bermuda,2011,13 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bermuda,2011,20 Mar,Sunday,March Equinox,Season
bermuda,2011,22 Apr,Friday,Good Friday,Public Holiday
bermuda,2011,24 Apr,Sunday,Easter Sunday,Observance
bermuda,2011,8 May,Sunday,Mothers' Day,Observance
bermuda,2011,24 May,Tuesday,Bermuda Day,Public Holiday
bermuda,2011,19 Jun,Sunday,Fathers' Day,Observance
bermuda,2011,20 Jun,Monday,National Heroes Day,Public Holiday
bermuda,2011,21 Jun,Tuesday,June Solstice,Season
bermuda,2011,28 Jul,Thursday,Emancipation Day,Public Holiday
bermuda,2011,29 Jul,Friday,Somers' Day,Public Holiday
bermuda,2011,5 Sep,Monday,Labour Day,Public Holiday
bermuda,2011,23 Sep,Friday,September Equinox,Season
bermuda,2011,31 Oct,Monday,Halloween,Observance
bermuda,2011,6 Nov,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bermuda,2011,11 Nov,Friday,Remembrance Day,Public Holiday
bermuda,2011,22 Dec,Thursday,December Solstice,Season
