Geo,Event Year,Date,Day,Name,Type
bolivia,2000,1 Jan,Saturday,New Year's Day,National holiday
bolivia,2000,6 Jan,Thursday,Epiphany,Observance
bolivia,2000,2 Feb,Wednesday,Feast of Candelaria,Observance
bolivia,2000,6 Mar,Monday,Carnival / Shrove Monday,National holiday
bolivia,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
bolivia,2000,19 Mar,Sunday,Father Day,Observance
bolivia,2000,20 Mar,Monday,March Equinox,Season
bolivia,2000,23 Mar,Thursday,Day of the Sea,Observance
bolivia,2000,12 Apr,Wednesday,Children's Day,Observance
bolivia,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
bolivia,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
bolivia,2000,1 May,Monday,Labor Day / May Day,National holiday
bolivia,2000,27 May,Saturday,Mother's Day,Observance
bolivia,2000,20 Jun,Tuesday,June Solstice,Season
bolivia,2000,22 Jun,Thursday,Corpus Christi,National holiday
bolivia,2000,6 Aug,Sunday,Independence Day,National holiday
bolivia,2000,17 Aug,Thursday,Flag Day,Observance
bolivia,2000,22 Sep,Friday,September Equinox,Season
bolivia,2000,11 Oct,Wednesday,Bolivian Women's Day,Observance
bolivia,2000,12 Oct,Thursday,Day of Decolonization,Observance
bolivia,2000,2 Nov,Thursday,All Saints Day,National holiday
bolivia,2000,21 Dec,Thursday,December Solstice,Season
bolivia,2001,1 Jan,Monday,New Year's Day,National holiday
bolivia,2001,6 Jan,Saturday,Epiphany,Observance
bolivia,2001,2 Feb,Friday,Feast of Candelaria,Observance
bolivia,2001,26 Feb,Monday,Carnival / Shrove Monday,National holiday
bolivia,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
bolivia,2001,19 Mar,Monday,Father Day,Observance
bolivia,2001,20 Mar,Tuesday,March Equinox,Season
bolivia,2001,23 Mar,Friday,Day of the Sea,Observance
bolivia,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
bolivia,2001,12 Apr,Thursday,Children's Day,Observance
bolivia,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
bolivia,2001,1 May,Tuesday,Labor Day / May Day,National holiday
bolivia,2001,27 May,Sunday,Mother's Day,Observance
bolivia,2001,14 Jun,Thursday,Corpus Christi,National holiday
bolivia,2001,21 Jun,Thursday,June Solstice,Season
bolivia,2001,6 Aug,Monday,Independence Day,National holiday
bolivia,2001,17 Aug,Friday,Flag Day,Observance
bolivia,2001,22 Sep,Saturday,September Equinox,Season
bolivia,2001,11 Oct,Thursday,Bolivian Women's Day,Observance
bolivia,2001,12 Oct,Friday,Day of Decolonization,Observance
bolivia,2001,2 Nov,Friday,All Saints Day,National holiday
bolivia,2001,21 Dec,Friday,December Solstice,Season
bolivia,2002,1 Jan,Tuesday,New Year's Day,National holiday
bolivia,2002,6 Jan,Sunday,Epiphany,Observance
bolivia,2002,2 Feb,Saturday,Feast of Candelaria,Observance
