Geo,Event Year,Date,Day,Name,Type
botswana,2000,1 Jan,Saturday,New Year's Day,Public Holiday
botswana,2000,20 Mar,Monday,March Equinox,Season
botswana,2000,21 Apr,Friday,Good Friday,Public Holiday
botswana,2000,22 Apr,Saturday,Holy Saturday,Public Holiday
botswana,2000,24 Apr,Monday,Easter Monday,Public Holiday
botswana,2000,1 May,Monday,Labour Day,Public Holiday
botswana,2000,14 May,Sunday,Mother's Day,Observance
botswana,2000,1 Jun,Thursday,Ascension Day,Public Holiday
botswana,2000,18 Jun,Sunday,Father's Day,Observance
botswana,2000,21 Jun,Wednesday,June Solstice,Season
botswana,2000,1 Jul,Saturday,Sir Seretse Khama Day,Public Holiday
botswana,2000,17 Jul,Monday,President's Day,Public Holiday
botswana,2000,18 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2000,22 Sep,Friday,September Equinox,Season
botswana,2000,30 Sep,Saturday,Botswana Day,Public Holiday
botswana,2000,2 Oct,Monday,Day off for Botswana Day,Public Holiday
botswana,2000,21 Dec,Thursday,December Solstice,Season
botswana,2000,25 Dec,Monday,Christmas Day,Public Holiday
botswana,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
botswana,2001,1 Jan,Monday,New Year's Day,Public Holiday
botswana,2001,20 Mar,Tuesday,March Equinox,Season
botswana,2001,13 Apr,Friday,Good Friday,Public Holiday
botswana,2001,14 Apr,Saturday,Holy Saturday,Public Holiday
botswana,2001,16 Apr,Monday,Easter Monday,Public Holiday
botswana,2001,1 May,Tuesday,Labour Day,Public Holiday
botswana,2001,13 May,Sunday,Mother's Day,Observance
botswana,2001,24 May,Thursday,Ascension Day,Public Holiday
botswana,2001,17 Jun,Sunday,Father's Day,Observance
botswana,2001,21 Jun,Thursday,June Solstice,Season
botswana,2001,1 Jul,Sunday,Sir Seretse Khama Day,Public Holiday
botswana,2001,2 Jul,Monday,Day off for Sir Seretse Khama Day,Public Holiday
botswana,2001,16 Jul,Monday,President's Day,Public Holiday
botswana,2001,17 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2001,23 Sep,Sunday,September Equinox,Season
botswana,2001,30 Sep,Sunday,Botswana Day,Public Holiday
botswana,2001,1 Oct,Monday,Day off for Botswana Day,Public Holiday
botswana,2001,21 Dec,Friday,December Solstice,Season
botswana,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
botswana,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
botswana,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
botswana,2002,20 Mar,Wednesday,March Equinox,Season
botswana,2002,29 Mar,Friday,Good Friday,Public Holiday
botswana,2002,30 Mar,Saturday,Holy Saturday,Public Holiday
botswana,2002,1 Apr,Monday,Easter Monday,Public Holiday
botswana,2002,1 May,Wednesday,Labour Day,Public Holiday
botswana,2002,9 May,Thursday,Ascension Day,Public Holiday
botswana,2002,12 May,Sunday,Mother's Day,Observance
botswana,2002,16 Jun,Sunday,Father's Day,Observance
botswana,2002,21 Jun,Friday,June Solstice,Season
botswana,2002,1 Jul,Monday,Sir Seretse Khama Day,Public Holiday
botswana,2002,15 Jul,Monday,President's Day,Public Holiday
botswana,2002,16 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2002,23 Sep,Monday,September Equinox,Season
botswana,2002,30 Sep,Monday,Botswana Day,Public Holiday
botswana,2002,22 Dec,Sunday,December Solstice,Season
botswana,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
botswana,2002,26 Dec,Thursday,Boxing Day,Public Holiday
botswana,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
botswana,2003,21 Mar,Friday,March Equinox,Season
botswana,2003,18 Apr,Friday,Good Friday,Public Holiday
botswana,2003,19 Apr,Saturday,Holy Saturday,Public Holiday
botswana,2003,21 Apr,Monday,Easter Monday,Public Holiday
botswana,2003,1 May,Thursday,Labour Day,Public Holiday
botswana,2003,11 May,Sunday,Mother's Day,Observance
botswana,2003,29 May,Thursday,Ascension Day,Public Holiday
botswana,2003,15 Jun,Sunday,Father's Day,Observance
botswana,2003,21 Jun,Saturday,June Solstice,Season
botswana,2003,1 Jul,Tuesday,Sir Seretse Khama Day,Public Holiday
botswana,2003,21 Jul,Monday,President's Day,Public Holiday
botswana,2003,22 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2003,23 Sep,Tuesday,September Equinox,Season
botswana,2003,30 Sep,Tuesday,Botswana Day,Public Holiday
botswana,2003,22 Dec,Monday,December Solstice,Season
botswana,2003,25 Dec,Thursday,Christmas Day,Public Holiday
botswana,2003,26 Dec,Friday,Boxing Day,Public Holiday
botswana,2004,1 Jan,Thursday,New Year's Day,Public Holiday
botswana,2004,20 Mar,Saturday,March Equinox,Season
botswana,2004,9 Apr,Friday,Good Friday,Public Holiday
botswana,2004,10 Apr,Saturday,Holy Saturday,Public Holiday
botswana,2004,12 Apr,Monday,Easter Monday,Public Holiday
botswana,2004,1 May,Saturday,Labour Day,Public Holiday
botswana,2004,9 May,Sunday,Mother's Day,Observance
botswana,2004,20 May,Thursday,Ascension Day,Public Holiday
botswana,2004,20 Jun,Sunday,Father's Day,Observance
botswana,2004,21 Jun,Monday,June Solstice,Season
botswana,2004,1 Jul,Thursday,Sir Seretse Khama Day,Public Holiday
botswana,2004,19 Jul,Monday,President's Day,Public Holiday
botswana,2004,20 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2004,22 Sep,Wednesday,September Equinox,Season
botswana,2004,30 Sep,Thursday,Botswana Day,Public Holiday
botswana,2004,21 Dec,Tuesday,December Solstice,Season
botswana,2004,25 Dec,Saturday,Christmas Day,Public Holiday
botswana,2004,26 Dec,Sunday,Boxing Day,Public Holiday
botswana,2004,27 Dec,Monday,Day off for Boxing Day,Public Holiday
botswana,2005,1 Jan,Saturday,New Year's Day,Public Holiday
botswana,2005,20 Mar,Sunday,March Equinox,Season
botswana,2005,25 Mar,Friday,Good Friday,Public Holiday
botswana,2005,26 Mar,Saturday,Holy Saturday,Public Holiday
botswana,2005,28 Mar,Monday,Easter Monday,Public Holiday
botswana,2005,1 May,Sunday,Labour Day,Public Holiday
botswana,2005,2 May,Monday,Day off for Labour Day,Public Holiday
botswana,2005,5 May,Thursday,Ascension Day,Public Holiday
botswana,2005,8 May,Sunday,Mother's Day,Observance
botswana,2005,19 Jun,Sunday,Father's Day,Observance
botswana,2005,21 Jun,Tuesday,June Solstice,Season
botswana,2005,1 Jul,Friday,Sir Seretse Khama Day,Public Holiday
botswana,2005,18 Jul,Monday,President's Day,Public Holiday
botswana,2005,19 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2005,23 Sep,Friday,September Equinox,Season
botswana,2005,30 Sep,Friday,Botswana Day,Public Holiday
botswana,2005,21 Dec,Wednesday,December Solstice,Season
botswana,2005,25 Dec,Sunday,Christmas Day,Public Holiday
botswana,2005,26 Dec,Monday,Day off for Christmas Day,Public Holiday
botswana,2005,26 Dec,Monday,Boxing Day,Public Holiday
botswana,2005,27 Dec,Tuesday,Day off for Boxing Day,Public Holiday
botswana,2006,1 Jan,Sunday,New Year's Day,Public Holiday
botswana,2006,2 Jan,Monday,Day off for New Year's Day,Public Holiday
botswana,2006,2 Jan,Monday,New Year Holiday,Public Holiday
botswana,2006,3 Jan,Tuesday,Day off for New Year Holiday,Public Holiday
botswana,2006,20 Mar,Monday,March Equinox,Season
botswana,2006,14 Apr,Friday,Good Friday,Public Holiday
botswana,2006,15 Apr,Saturday,Holy Saturday,Public Holiday
botswana,2006,17 Apr,Monday,Easter Monday,Public Holiday
botswana,2006,1 May,Monday,Labour Day,Public Holiday
botswana,2006,14 May,Sunday,Mother's Day,Observance
botswana,2006,25 May,Thursday,Ascension Day,Public Holiday
botswana,2006,18 Jun,Sunday,Father's Day,Observance
botswana,2006,21 Jun,Wednesday,June Solstice,Season
botswana,2006,1 Jul,Saturday,Sir Seretse Khama Day,Public Holiday
botswana,2006,17 Jul,Monday,President's Day,Public Holiday
botswana,2006,18 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2006,23 Sep,Saturday,September Equinox,Season
botswana,2006,30 Sep,Saturday,Botswana Day,Public Holiday
botswana,2006,1 Oct,Sunday,Botswana Day Holiday,Public Holiday
botswana,2006,2 Oct,Monday,Day off for Botswana Day,Public Holiday
botswana,2006,22 Dec,Friday,December Solstice,Season
botswana,2006,25 Dec,Monday,Christmas Day,Public Holiday
botswana,2006,26 Dec,Tuesday,Boxing Day,Public Holiday
botswana,2007,1 Jan,Monday,New Year's Day,Public Holiday
botswana,2007,2 Jan,Tuesday,New Year Holiday,Public Holiday
botswana,2007,21 Mar,Wednesday,March Equinox,Season
botswana,2007,6 Apr,Friday,Good Friday,Public Holiday
botswana,2007,7 Apr,Saturday,Holy Saturday,Public Holiday
botswana,2007,9 Apr,Monday,Easter Monday,Public Holiday
botswana,2007,1 May,Tuesday,Labour Day,Public Holiday
botswana,2007,13 May,Sunday,Mother's Day,Observance
botswana,2007,17 May,Thursday,Ascension Day,Public Holiday
botswana,2007,17 Jun,Sunday,Father's Day,Observance
botswana,2007,21 Jun,Thursday,June Solstice,Season
botswana,2007,1 Jul,Sunday,Sir Seretse Khama Day,Public Holiday
botswana,2007,2 Jul,Monday,Day off for Sir Seretse Khama Day,Public Holiday
botswana,2007,16 Jul,Monday,President's Day,Public Holiday
botswana,2007,17 Jul,Tuesday,President's Day Holiday,Public Holiday
botswana,2007,23 Sep,Sunday,September Equinox,Season
