Geo,Event Year,Date,Day,Name,Type
brazil,2000,1 Jan,Saturday,New Year's Day,National Holiday
brazil,2000,3 Mar,Friday,Carnival Friday,Observance
brazil,2000,4 Mar,Saturday,Carnival Saturday,Observance
brazil,2000,5 Mar,Sunday,Carnival Sunday,Observance
brazil,2000,6 Mar,Monday,Carnival Monday,Observance
brazil,2000,7 Mar,Tuesday,Carnival Tuesday,National Holiday
brazil,2000,8 Mar,Wednesday,Carnival end (until 2pm),National Holiday
brazil,2000,20 Mar,Monday,March Equinox,Season
brazil,2000,21 Apr,Friday,Tiradentes Day,National Holiday
brazil,2000,21 Apr,Friday,Good Friday,National Holiday
brazil,2000,23 Apr,Sunday,Easter Sunday,National Holiday
brazil,2000,1 May,Monday,Labor Day / May Day,National Holiday
brazil,2000,14 May,Sunday,Mother's Day,Observance
brazil,2000,12 Jun,Monday,Brazilian Valentine's Day,Observance
brazil,2000,20 Jun,Tuesday,June Solstice,Season
brazil,2000,22 Jun,Thursday,Corpus Christi,National Holiday
brazil,2000,13 Aug,Sunday,Father's Day,Observance
brazil,2000,7 Sep,Thursday,Independence Day,National Holiday
brazil,2000,22 Sep,Friday,September Equinox,Season
brazil,2000,12 Oct,Thursday,Our Lady of Aparecida / Children's Day,National Holiday
brazil,2000,15 Oct,Sunday,Teacher's Day,Observance
brazil,2000,28 Oct,Saturday,Public Service Holiday,Government Holiday
brazil,2000,2 Nov,Thursday,All Souls' Day,National Holiday
brazil,2000,15 Nov,Wednesday,Republic Proclamation Day,National Holiday
brazil,2000,21 Dec,Thursday,December Solstice,Season
brazil,2000,24 Dec,Sunday,Christmas Eve (from 2pm),Government Holiday
brazil,2000,25 Dec,Monday,Christmas Day,National Holiday
brazil,2000,31 Dec,Sunday,New Year's Eve (from 2pm),Government Holiday
brazil,2001,1 Jan,Monday,New Year's Day,National Holiday
brazil,2001,23 Feb,Friday,Carnival Friday,Observance
brazil,2001,24 Feb,Saturday,Carnival Saturday,Observance
brazil,2001,25 Feb,Sunday,Carnival Sunday,Observance
brazil,2001,26 Feb,Monday,Carnival Monday,Observance
brazil,2001,27 Feb,Tuesday,Carnival Tuesday,National Holiday
brazil,2001,28 Feb,Wednesday,Carnival end (until 2pm),National Holiday
brazil,2001,20 Mar,Tuesday,March Equinox,Season
brazil,2001,13 Apr,Friday,Good Friday,National Holiday
brazil,2001,15 Apr,Sunday,Easter Sunday,National Holiday
brazil,2001,21 Apr,Saturday,Tiradentes Day,National Holiday
brazil,2001,1 May,Tuesday,Labor Day / May Day,National Holiday
brazil,2001,13 May,Sunday,Mother's Day,Observance
brazil,2001,12 Jun,Tuesday,Brazilian Valentine's Day,Observance
brazil,2001,14 Jun,Thursday,Corpus Christi,National Holiday
brazil,2001,21 Jun,Thursday,June Solstice,Season
brazil,2001,12 Aug,Sunday,Father's Day,Observance
brazil,2001,7 Sep,Friday,Independence Day,National Holiday
brazil,2001,22 Sep,Saturday,September Equinox,Season
brazil,2001,12 Oct,Friday,Our Lady of Aparecida / Children's Day,National Holiday
brazil,2001,15 Oct,Monday,Teacher's Day,Observance
brazil,2001,28 Oct,Sunday,Public Service Holiday,Government Holiday
brazil,2001,2 Nov,Friday,All Souls' Day,National Holiday
brazil,2001,15 Nov,Thursday,Republic Proclamation Day,National Holiday
brazil,2001,21 Dec,Friday,December Solstice,Season
brazil,2001,24 Dec,Monday,Christmas Eve (from 2pm),Government Holiday
brazil,2001,25 Dec,Tuesday,Christmas Day,National Holiday
brazil,2001,31 Dec,Monday,New Year's Eve (from 2pm),Government Holiday
brazil,2002,1 Jan,Tuesday,New Year's Day,National Holiday
brazil,2002,8 Feb,Friday,Carnival Friday,Observance
brazil,2002,9 Feb,Saturday,Carnival Saturday,Observance
brazil,2002,10 Feb,Sunday,Carnival Sunday,Observance
brazil,2002,11 Feb,Monday,Carnival Monday,Observance
brazil,2002,12 Feb,Tuesday,Carnival Tuesday,National Holiday
brazil,2002,13 Feb,Wednesday,Carnival end (until 2pm),National Holiday
brazil,2002,20 Mar,Wednesday,March Equinox,Season
brazil,2002,29 Mar,Friday,Good Friday,National Holiday
brazil,2002,31 Mar,Sunday,Easter Sunday,National Holiday
brazil,2002,21 Apr,Sunday,Tiradentes Day,National Holiday
