Geo,Event Year,Date,Day,Name,Type
brunei,2000,1 Jan,Saturday,New Year's Day,Public Holiday
brunei,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
brunei,2000,9 Jan,Sunday,Eid al-Fitr Holiday,Public Holiday
brunei,2000,10 Jan,Monday,Day off for Eid al-Fitr Holiday,Public Holiday
brunei,2000,10 Jan,Monday,Eid al-Fitr Holiday,Public Holiday
brunei,2000,5 Feb,Saturday,Lunar New Year,Public Holiday
brunei,2000,23 Feb,Wednesday,National Day,Public Holiday
brunei,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
brunei,2000,20 Mar,Monday,March Equinox,Season
brunei,2000,6 Apr,Thursday,Muharram (Muslim New Year),Public Holiday
brunei,2000,31 May,Wednesday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2000,15 Jun,Thursday,Milad un Nabi (Mawlid),Public Holiday
brunei,2000,21 Jun,Wednesday,June Solstice,Season
brunei,2000,15 Jul,Saturday,Sultan's Birthday,Public Holiday
brunei,2000,23 Sep,Saturday,September Equinox,Season
brunei,2000,26 Oct,Thursday,Isra and Mi'raj,Public Holiday
brunei,2000,28 Nov,Tuesday,Ramadan begins,Public Holiday
brunei,2000,14 Dec,Thursday,Nuzul Al-Qur'an,Public Holiday
brunei,2000,21 Dec,Thursday,December Solstice,Season
brunei,2000,25 Dec,Monday,Christmas Day,Public Holiday
brunei,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
brunei,2000,29 Dec,Friday,Eid al-Fitr Holiday,Public Holiday
brunei,2000,30 Dec,Saturday,Day off for Eid al-Fitr Holiday,Public Holiday
brunei,2000,30 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
brunei,2001,1 Jan,Monday,New Year's Day,Public Holiday
brunei,2001,24 Jan,Wednesday,Lunar New Year,Public Holiday
brunei,2001,23 Feb,Friday,National Day,Public Holiday
brunei,2001,24 Feb,Saturday,Day off for National Day,Public Holiday
brunei,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
brunei,2001,20 Mar,Tuesday,March Equinox,Season
brunei,2001,26 Mar,Monday,Muharram (Muslim New Year),Public Holiday
brunei,2001,31 May,Thursday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2001,4 Jun,Monday,Milad un Nabi (Mawlid),Public Holiday
brunei,2001,21 Jun,Thursday,June Solstice,Season
brunei,2001,15 Jul,Sunday,Sultan's Birthday,Public Holiday
brunei,2001,16 Jul,Monday,Sultan's Birthday observed,Public Holiday
brunei,2001,23 Sep,Sunday,September Equinox,Season
brunei,2001,15 Oct,Monday,Isra and Mi'raj,Public Holiday
brunei,2001,17 Nov,Saturday,Ramadan begins,Public Holiday
brunei,2001,3 Dec,Monday,Nuzul Al-Qur'an,Public Holiday
brunei,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
brunei,2001,18 Dec,Tuesday,Eid al-Fitr Holiday,Public Holiday
brunei,2001,19 Dec,Wednesday,Eid al-Fitr Holiday,Public Holiday
brunei,2001,22 Dec,Saturday,December Solstice,Season
brunei,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
brunei,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
brunei,2002,12 Feb,Tuesday,Lunar New Year,Public Holiday
brunei,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
brunei,2002,23 Feb,Saturday,National Day,Public Holiday
brunei,2002,15 Mar,Friday,Muharram (Muslim New Year),Public Holiday
brunei,2002,16 Mar,Saturday,Muharram (Muslim New Year) observed,Public Holiday
brunei,2002,21 Mar,Thursday,March Equinox,Season
brunei,2002,24 May,Friday,Milad un Nabi (Mawlid),Public Holiday
brunei,2002,25 May,Saturday,Milad un Nabi (Mawlid) observed,Public Holiday
brunei,2002,31 May,Friday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2002,1 Jun,Saturday,Day off for Royal Brunei Armed Forces Day,Public Holiday
brunei,2002,21 Jun,Friday,June Solstice,Season
brunei,2002,15 Jul,Monday,Sultan's Birthday,Public Holiday
brunei,2002,23 Sep,Monday,September Equinox,Season
brunei,2002,4 Oct,Friday,Isra and Mi'raj,Public Holiday
brunei,2002,5 Oct,Saturday,Isra and Mi'raj observed,Public Holiday
brunei,2002,6 Nov,Wednesday,Ramadan begins,Public Holiday
brunei,2002,22 Nov,Friday,Nuzul Al-Qur'an,Public Holiday
brunei,2002,23 Nov,Saturday,Nuzul Al-Qur'an observed,Public Holiday
brunei,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
brunei,2002,7 Dec,Saturday,Eid al-Fitr observed,Public Holiday
brunei,2002,7 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
brunei,2002,8 Dec,Sunday,Eid al-Fitr Holiday,Public Holiday
brunei,2002,9 Dec,Monday,Eid al-Fitr Holiday observed,Public Holiday
brunei,2002,22 Dec,Sunday,December Solstice,Season
brunei,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
brunei,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
brunei,2003,1 Feb,Saturday,Lunar New Year,Public Holiday
brunei,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
brunei,2003,23 Feb,Sunday,National Day,Public Holiday
brunei,2003,24 Feb,Monday,Day off for National Day,Public Holiday
brunei,2003,5 Mar,Wednesday,Muharram (Muslim New Year),Public Holiday
brunei,2003,21 Mar,Friday,March Equinox,Season
brunei,2003,14 May,Wednesday,Milad un Nabi (Mawlid),Public Holiday
brunei,2003,31 May,Saturday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2003,22 Jun,Sunday,June Solstice,Season
brunei,2003,15 Jul,Tuesday,Sultan's Birthday,Public Holiday
brunei,2003,23 Sep,Tuesday,September Equinox,Season
brunei,2003,24 Sep,Wednesday,Isra and Mi'raj,Public Holiday
brunei,2003,27 Oct,Monday,Ramadan begins,Public Holiday
brunei,2003,12 Nov,Wednesday,Nuzul Al-Qur'an,Public Holiday
brunei,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
brunei,2003,27 Nov,Thursday,Eid al-Fitr Holiday,Public Holiday
brunei,2003,28 Nov,Friday,Eid al-Fitr Holiday,Public Holiday
brunei,2003,29 Nov,Saturday,Eid al-Fitr Holiday observed,Public Holiday
brunei,2003,22 Dec,Monday,December Solstice,Season
brunei,2003,25 Dec,Thursday,Christmas Day,Public Holiday
brunei,2004,1 Jan,Thursday,New Year's Day,Public Holiday
brunei,2004,22 Jan,Thursday,Lunar New Year,Public Holiday
brunei,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
brunei,2004,22 Feb,Sunday,Muharram (Muslim New Year),Public Holiday
brunei,2004,23 Feb,Monday,Muharram (Muslim New Year) observed,Public Holiday
brunei,2004,23 Feb,Monday,National Day,Public Holiday
brunei,2004,20 Mar,Saturday,March Equinox,Season
brunei,2004,2 May,Sunday,Milad un Nabi (Mawlid),Public Holiday
brunei,2004,3 May,Monday,Milad un Nabi (Mawlid) observed,Public Holiday
brunei,2004,31 May,Monday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2004,21 Jun,Monday,June Solstice,Season
brunei,2004,15 Jul,Thursday,Sultan's Birthday,Public Holiday
brunei,2004,12 Sep,Sunday,Isra and Mi'raj,Public Holiday
brunei,2004,13 Sep,Monday,Isra and Mi'raj observed,Public Holiday
brunei,2004,23 Sep,Thursday,September Equinox,Season
brunei,2004,16 Oct,Saturday,Ramadan begins,Public Holiday
brunei,2004,1 Nov,Monday,Nuzul Al-Qur'an,Public Holiday
brunei,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
brunei,2004,15 Nov,Monday,Eid al-Fitr observed,Public Holiday
brunei,2004,15 Nov,Monday,Eid al-Fitr Holiday,Public Holiday
brunei,2004,16 Nov,Tuesday,Eid al-Fitr Holiday,Public Holiday
brunei,2004,21 Dec,Tuesday,December Solstice,Season
brunei,2004,25 Dec,Saturday,Christmas Day,Public Holiday
brunei,2005,1 Jan,Saturday,New Year's Day,Public Holiday
brunei,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
brunei,2005,22 Jan,Saturday,Eid al-Adha observed,Public Holiday
brunei,2005,9 Feb,Wednesday,Lunar New Year,Public Holiday
brunei,2005,10 Feb,Thursday,Muharram (Muslim New Year),Public Holiday
brunei,2005,23 Feb,Wednesday,National Day,Public Holiday
brunei,2005,20 Mar,Sunday,March Equinox,Season
brunei,2005,21 Apr,Thursday,Milad un Nabi (Mawlid),Public Holiday
brunei,2005,31 May,Tuesday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2005,21 Jun,Tuesday,June Solstice,Season
brunei,2005,15 Jul,Friday,Sultan's Birthday,Public Holiday
brunei,2005,16 Jul,Saturday,Sultan's Birthday observed,Public Holiday
brunei,2005,1 Sep,Thursday,Isra and Mi'raj,Public Holiday
brunei,2005,23 Sep,Friday,September Equinox,Season
brunei,2005,5 Oct,Wednesday,Ramadan begins,Public Holiday
brunei,2005,21 Oct,Friday,Nuzul Al-Qur'an,Public Holiday
brunei,2005,22 Oct,Saturday,Nuzul Al-Qur'an observed,Public Holiday
brunei,2005,4 Nov,Friday,Eid al-Fitr,Public Holiday
brunei,2005,5 Nov,Saturday,Eid al-Fitr observed,Public Holiday
brunei,2005,5 Nov,Saturday,Eid al-Fitr Holiday,Public Holiday
brunei,2005,6 Nov,Sunday,Eid al-Fitr Holiday,Public Holiday
brunei,2005,7 Nov,Monday,Eid al-Fitr Holiday observed,Public Holiday
brunei,2005,22 Dec,Thursday,December Solstice,Season
brunei,2005,25 Dec,Sunday,Christmas Day,Public Holiday
brunei,2005,26 Dec,Monday,Christmas Day observed,Public Holiday
brunei,2006,1 Jan,Sunday,New Year's Day,Public Holiday
brunei,2006,10 Jan,Tuesday,Eid al-Adha,Public Holiday
brunei,2006,29 Jan,Sunday,Lunar New Year,Public Holiday
brunei,2006,30 Jan,Monday,Day off for Lunar New Year,Public Holiday
brunei,2006,31 Jan,Tuesday,Muharram (Muslim New Year),Public Holiday
brunei,2006,23 Feb,Thursday,National Day,Public Holiday
brunei,2006,21 Mar,Tuesday,March Equinox,Season
brunei,2006,11 Apr,Tuesday,Milad un Nabi (Mawlid),Public Holiday
brunei,2006,31 May,Wednesday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2006,21 Jun,Wednesday,June Solstice,Season
brunei,2006,15 Jul,Saturday,Sultan's Birthday,Public Holiday
brunei,2006,22 Aug,Tuesday,Isra and Mi'raj,Public Holiday
brunei,2006,23 Sep,Saturday,September Equinox,Season
brunei,2006,24 Sep,Sunday,Ramadan begins,Public Holiday
brunei,2006,25 Sep,Monday,Ramadan begins observed,Public Holiday
brunei,2006,10 Oct,Tuesday,Nuzul Al-Qur'an,Public Holiday
brunei,2006,24 Oct,Tuesday,Eid al-Fitr,Public Holiday
brunei,2006,25 Oct,Wednesday,Eid al-Fitr Holiday,Public Holiday
brunei,2006,26 Oct,Thursday,Eid al-Fitr Holiday,Public Holiday
brunei,2006,22 Dec,Friday,December Solstice,Season
brunei,2006,25 Dec,Monday,Christmas Day,Public Holiday
brunei,2006,31 Dec,Sunday,Eid al-Adha,Public Holiday
brunei,2007,1 Jan,Monday,New Year's Day,Public Holiday
brunei,2007,20 Jan,Saturday,Muharram (Muslim New Year),Public Holiday
brunei,2007,18 Feb,Sunday,Lunar New Year,Public Holiday
brunei,2007,19 Feb,Monday,Day off for Lunar New Year,Public Holiday
brunei,2007,23 Feb,Friday,National Day,Public Holiday
brunei,2007,24 Feb,Saturday,Day off for National Day,Public Holiday
brunei,2007,21 Mar,Wednesday,March Equinox,Season
brunei,2007,31 Mar,Saturday,Milad un Nabi (Mawlid),Public Holiday
brunei,2007,31 May,Thursday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2007,22 Jun,Friday,June Solstice,Season
brunei,2007,15 Jul,Sunday,Sultan's Birthday,Public Holiday
brunei,2007,16 Jul,Monday,Sultan's Birthday observed,Public Holiday
brunei,2007,11 Aug,Saturday,Isra and Mi'raj,Public Holiday
brunei,2007,13 Sep,Thursday,Ramadan begins,Public Holiday
brunei,2007,23 Sep,Sunday,September Equinox,Season
brunei,2007,29 Sep,Saturday,Nuzul Al-Qur'an,Public Holiday
brunei,2007,13 Oct,Saturday,Eid al-Fitr,Public Holiday
brunei,2007,14 Oct,Sunday,Eid al-Fitr Holiday,Public Holiday
brunei,2007,15 Oct,Monday,Day off for Eid al-Fitr Holiday,Public Holiday
brunei,2007,15 Oct,Monday,Eid al-Fitr Holiday,Public Holiday
brunei,2007,20 Dec,Thursday,Eid al-Adha,Public Holiday
brunei,2007,22 Dec,Saturday,December Solstice,Season
brunei,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
brunei,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
brunei,2008,10 Jan,Thursday,Muharram (Muslim New Year),Public Holiday
brunei,2008,7 Feb,Thursday,Lunar New Year,Public Holiday
brunei,2008,23 Feb,Saturday,National Day,Public Holiday
brunei,2008,20 Mar,Thursday,Milad un Nabi (Mawlid),Public Holiday
brunei,2008,20 Mar,Thursday,March Equinox,Season
brunei,2008,31 May,Saturday,Royal Brunei Armed Forces Day,Public Holiday
brunei,2008,21 Jun,Saturday,June Solstice,Season
brunei,2008,15 Jul,Tuesday,Sultan's Birthday,Public Holiday
brunei,2008,31 Jul,Thursday,Isra and Mi'raj,Public Holiday
brunei,2008,2 Sep,Tuesday,Ramadan begins,Public Holiday
brunei,2008,18 Sep,Thursday,Nuzul Al-Qur'an,Public Holiday
brunei,2008,22 Sep,Monday,September Equinox,Season
brunei,2008,2 Oct,Thursday,Eid al-Fitr,Public Holiday
brunei,2008,3 Oct,Friday,Eid al-Fitr Holiday,Public Holiday
brunei,2008,4 Oct,Saturday,Day off for Eid al-Fitr Holiday,Public Holiday
brunei,2008,4 Oct,Saturday,Eid al-Fitr Holiday,Public Holiday
brunei,2008,9 Dec,Tuesday,Eid al-Adha,Public Holiday
brunei,2008,21 Dec,Sunday,December Solstice,Season
brunei,2008,25 Dec,Thursday,Christmas Day,Public Holiday
