Geo,Event Year,Date,Day,Name,Type
burundi,2014,1 Jan,Wednesday,New Year,Public Holiday
burundi,2014,5 Feb,Wednesday,Unity Day,Public Holiday
burundi,2014,20 Mar,Thursday,March Equinox,Season
burundi,2014,6 Apr,Sunday,President Ntaryamira Day,Public Holiday
burundi,2014,1 May,Thursday,Labour Day,Public Holiday
burundi,2014,29 May,Thursday,Ascension Day,Public Holiday
burundi,2014,21 Jun,Saturday,June Solstice,Season
burundi,2014,1 Jul,Tuesday,Independence Day,Public Holiday
burundi,2014,29 Jul,Tuesday,Eid ul Fitr,Public Holiday
burundi,2014,15 Aug,Friday,Assumption of Mary,Public Holiday
burundi,2014,23 Sep,Tuesday,September Equinox,Season
burundi,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
burundi,2014,13 Oct,Monday,Prince Louis Rwagasore Day,Public Holiday
burundi,2014,21 Oct,Tuesday,President Ndadaye's Day,Public Holiday
burundi,2014,1 Nov,Saturday,All Saints' Day,Public Holiday
burundi,2014,3 Nov,Monday,All Saints' Day observed,Public Holiday
burundi,2014,22 Dec,Monday,December Solstice,Season
burundi,2014,25 Dec,Thursday,Christmas Day,Public Holiday
burundi,2015,1 Jan,Thursday,New Year,Public Holiday
burundi,2015,5 Feb,Thursday,Unity Day,Public Holiday
burundi,2015,21 Mar,Saturday,March Equinox,Season
burundi,2015,6 Apr,Monday,President Ntaryamira Day,Public Holiday
burundi,2015,1 May,Friday,Labour Day,Public Holiday
burundi,2015,14 May,Thursday,Ascension Day,Public Holiday
burundi,2015,21 Jun,Sunday,June Solstice,Season
burundi,2015,1 Jul,Wednesday,Independence Day,Public Holiday
burundi,2015,18 Jul,Saturday,Eid ul Fitr,Public Holiday
burundi,2015,15 Aug,Saturday,Assumption of Mary,Public Holiday
burundi,2015,23 Sep,Wednesday,September Equinox,Season
burundi,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
burundi,2015,13 Oct,Tuesday,Prince Louis Rwagasore Day,Public Holiday
burundi,2015,21 Oct,Wednesday,President Ndadaye's Day,Public Holiday
burundi,2015,1 Nov,Sunday,All Saints' Day,Public Holiday
burundi,2015,2 Nov,Monday,All Saints' Day observed,Public Holiday
burundi,2015,22 Dec,Tuesday,December Solstice,Season
burundi,2015,25 Dec,Friday,Christmas Day,Public Holiday
burundi,2016,1 Jan,Friday,New Year,Public Holiday
burundi,2016,5 Feb,Friday,Unity Day,Public Holiday
burundi,2016,20 Mar,Sunday,March Equinox,Season
burundi,2016,6 Apr,Wednesday,President Ntaryamira Day,Public Holiday
burundi,2016,1 May,Sunday,Labour Day,Public Holiday
burundi,2016,5 May,Thursday,Ascension Day,Public Holiday
burundi,2016,21 Jun,Tuesday,June Solstice,Season
burundi,2016,1 Jul,Friday,Independence Day,Public Holiday
burundi,2016,7 Jul,Thursday,Eid ul Fitr,Public Holiday
burundi,2016,15 Aug,Monday,Assumption of Mary,Public Holiday
burundi,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
burundi,2016,22 Sep,Thursday,September Equinox,Season
burundi,2016,13 Oct,Thursday,Prince Louis Rwagasore Day,Public Holiday
burundi,2016,21 Oct,Friday,President Ndadaye's Day,Public Holiday
burundi,2016,1 Nov,Tuesday,All Saints' Day,Public Holiday
burundi,2016,21 Dec,Wednesday,December Solstice,Season
burundi,2016,25 Dec,Sunday,Christmas Day,Public Holiday
burundi,2017,1 Jan,Sunday,New Year,Public Holiday
burundi,2017,5 Feb,Sunday,Unity Day,Public Holiday
burundi,2017,20 Mar,Monday,March Equinox,Season
burundi,2017,6 Apr,Thursday,President Ntaryamira Day,Public Holiday
burundi,2017,1 May,Monday,Labour Day,Public Holiday
burundi,2017,25 May,Thursday,Ascension Day,Public Holiday
burundi,2017,21 Jun,Wednesday,June Solstice,Season
burundi,2017,26 Jun,Monday,Eid ul Fitr,Public Holiday
burundi,2017,1 Jul,Saturday,Independence Day,Public Holiday
burundi,2017,15 Aug,Tuesday,Assumption of Mary,Public Holiday
burundi,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
burundi,2017,22 Sep,Friday,September Equinox,Season
burundi,2017,13 Oct,Friday,Prince Louis Rwagasore Day,Public Holiday
burundi,2017,21 Oct,Saturday,President Ndadaye's Day,Public Holiday
burundi,2017,1 Nov,Wednesday,All Saints' Day,Public Holiday
burundi,2017,21 Dec,Thursday,December Solstice,Season
burundi,2017,25 Dec,Monday,Christmas Day,Public Holiday
