Geo,Event Year,Date,Day,Name,Type
cape-verde,2000,1 Jan,Saturday,New Year,Public Holiday
cape-verde,2000,13 Jan,Thursday,Freedom and Democracy Day,Public Holiday
cape-verde,2000,20 Jan,Thursday,National Heroes' Day,Public Holiday
cape-verde,2000,8 Mar,Wednesday,Ash Wednesday,Observance
cape-verde,2000,20 Mar,Monday,March Equinox,Season
cape-verde,2000,20 Apr,Thursday,Holy Thursday,Observance
cape-verde,2000,21 Apr,Friday,Good Friday,Public Holiday
cape-verde,2000,23 Apr,Sunday,Easter Sunday,Observance
cape-verde,2000,1 May,Monday,Labour Day,Public Holiday
cape-verde,2000,14 May,Sunday,Mother's Day,Observance
cape-verde,2000,1 Jun,Thursday,Children's Day,Public Holiday
cape-verde,2000,18 Jun,Sunday,Father's Day,Observance
cape-verde,2000,21 Jun,Wednesday,June Solstice,Season
cape-verde,2000,5 Jul,Wednesday,Independence Day,Public Holiday
cape-verde,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
cape-verde,2000,22 Sep,Friday,September Equinox,Season
cape-verde,2000,1 Nov,Wednesday,All Saints' Day,Public Holiday
cape-verde,2000,21 Dec,Thursday,December Solstice,Season
cape-verde,2000,25 Dec,Monday,Christmas Day,Public Holiday
cape-verde,2001,1 Jan,Monday,New Year,Public Holiday
cape-verde,2001,13 Jan,Saturday,Freedom and Democracy Day,Public Holiday
cape-verde,2001,20 Jan,Saturday,National Heroes' Day,Public Holiday
cape-verde,2001,28 Feb,Wednesday,Ash Wednesday,Observance
cape-verde,2001,20 Mar,Tuesday,March Equinox,Season
cape-verde,2001,12 Apr,Thursday,Holy Thursday,Observance
cape-verde,2001,13 Apr,Friday,Good Friday,Public Holiday
cape-verde,2001,15 Apr,Sunday,Easter Sunday,Observance
cape-verde,2001,1 May,Tuesday,Labour Day,Public Holiday
cape-verde,2001,13 May,Sunday,Mother's Day,Observance
cape-verde,2001,1 Jun,Friday,Children's Day,Public Holiday
cape-verde,2001,17 Jun,Sunday,Father's Day,Observance
cape-verde,2001,21 Jun,Thursday,June Solstice,Season
cape-verde,2001,5 Jul,Thursday,Independence Day,Public Holiday
cape-verde,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
cape-verde,2001,22 Sep,Saturday,September Equinox,Season
cape-verde,2001,1 Nov,Thursday,All Saints' Day,Public Holiday
cape-verde,2001,21 Dec,Friday,December Solstice,Season
cape-verde,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
cape-verde,2002,1 Jan,Tuesday,New Year,Public Holiday
cape-verde,2002,13 Jan,Sunday,Freedom and Democracy Day,Public Holiday
cape-verde,2002,20 Jan,Sunday,National Heroes' Day,Public Holiday
cape-verde,2002,13 Feb,Wednesday,Ash Wednesday,Observance
cape-verde,2002,20 Mar,Wednesday,March Equinox,Season
cape-verde,2002,28 Mar,Thursday,Holy Thursday,Observance
cape-verde,2002,29 Mar,Friday,Good Friday,Public Holiday
cape-verde,2002,31 Mar,Sunday,Easter Sunday,Observance
cape-verde,2002,1 May,Wednesday,Labour Day,Public Holiday
cape-verde,2002,12 May,Sunday,Mother's Day,Observance
cape-verde,2002,1 Jun,Saturday,Children's Day,Public Holiday
cape-verde,2002,16 Jun,Sunday,Father's Day,Observance
cape-verde,2002,21 Jun,Friday,June Solstice,Season
cape-verde,2002,5 Jul,Friday,Independence Day,Public Holiday
cape-verde,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
cape-verde,2002,23 Sep,Monday,September Equinox,Season
cape-verde,2002,1 Nov,Friday,All Saints' Day,Public Holiday
cape-verde,2002,22 Dec,Sunday,December Solstice,Season
cape-verde,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
cape-verde,2003,1 Jan,Wednesday,New Year,Public Holiday
cape-verde,2003,13 Jan,Monday,Freedom and Democracy Day,Public Holiday
cape-verde,2003,20 Jan,Monday,National Heroes' Day,Public Holiday
cape-verde,2003,5 Mar,Wednesday,Ash Wednesday,Observance
cape-verde,2003,20 Mar,Thursday,March Equinox,Season
cape-verde,2003,17 Apr,Thursday,Holy Thursday,Observance
cape-verde,2003,18 Apr,Friday,Good Friday,Public Holiday
cape-verde,2003,20 Apr,Sunday,Easter Sunday,Observance
cape-verde,2003,1 May,Thursday,Labour Day,Public Holiday
cape-verde,2003,11 May,Sunday,Mother's Day,Observance
cape-verde,2003,1 Jun,Sunday,Children's Day,Public Holiday
cape-verde,2003,15 Jun,Sunday,Father's Day,Observance
cape-verde,2003,21 Jun,Saturday,June Solstice,Season
cape-verde,2003,5 Jul,Saturday,Independence Day,Public Holiday
cape-verde,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
cape-verde,2003,23 Sep,Tuesday,September Equinox,Season
cape-verde,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
cape-verde,2003,22 Dec,Monday,December Solstice,Season
cape-verde,2003,25 Dec,Thursday,Christmas Day,Public Holiday
cape-verde,2004,1 Jan,Thursday,New Year,Public Holiday
cape-verde,2004,13 Jan,Tuesday,Freedom and Democracy Day,Public Holiday
cape-verde,2004,20 Jan,Tuesday,National Heroes' Day,Public Holiday
cape-verde,2004,25 Feb,Wednesday,Ash Wednesday,Observance
cape-verde,2004,20 Mar,Saturday,March Equinox,Season
cape-verde,2004,8 Apr,Thursday,Holy Thursday,Observance
cape-verde,2004,9 Apr,Friday,Good Friday,Public Holiday
cape-verde,2004,11 Apr,Sunday,Easter Sunday,Observance
cape-verde,2004,1 May,Saturday,Labour Day,Public Holiday
cape-verde,2004,9 May,Sunday,Mother's Day,Observance
