Geo,Event Year,Date,Day,Name,Type
chile,2000,1 Jan,Saturday,New Year's Day,National holiday
chile,2000,20 Mar,Monday,March Equinox,Season
chile,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
chile,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
chile,2000,22 Apr,Saturday,Holy Saturday,"National holiday, Christian"
chile,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
chile,2000,1 May,Monday,Labor Day / May Day,National holiday
chile,2000,21 May,Sunday,Navy Day,National holiday
chile,2000,19 Jun,Monday,Corpus Christi,National holiday
chile,2000,20 Jun,Tuesday,June Solstice,Season
chile,2000,20 Jun,Tuesday,National Day of Indigenous Peoples,National holiday
chile,2000,26 Jun,Monday,Saint Peter and Saint Paul,National holiday
chile,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
chile,2000,4 Sep,Monday,Day of National Unity,National holiday
chile,2000,18 Sep,Monday,National Day,National holiday
chile,2000,19 Sep,Tuesday,Army Day,National holiday
chile,2000,22 Sep,Friday,September Equinox,Season
chile,2000,9 Oct,Monday,Day of the Discovery of Two Worlds,National holiday
chile,2000,1 Nov,Wednesday,All Saints' Day,National holiday
chile,2000,8 Dec,Friday,Inmaculate Conception Day,National holiday
chile,2000,21 Dec,Thursday,December Solstice,Season
chile,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
chile,2000,31 Dec,Sunday,New Year's Eve,Bank holiday
chile,2001,1 Jan,Monday,New Year's Day,National holiday
chile,2001,20 Mar,Tuesday,March Equinox,Season
chile,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
chile,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
chile,2001,14 Apr,Saturday,Holy Saturday,"National holiday, Christian"
chile,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
chile,2001,1 May,Tuesday,Labor Day / May Day,National holiday
chile,2001,21 May,Monday,Navy Day,National holiday
chile,2001,11 Jun,Monday,Corpus Christi,National holiday
chile,2001,21 Jun,Thursday,June Solstice,Season
chile,2001,21 Jun,Thursday,National Day of Indigenous Peoples,National holiday
chile,2001,2 Jul,Monday,Saint Peter and Saint Paul,National holiday
chile,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
chile,2001,3 Sep,Monday,Day of National Unity,National holiday
chile,2001,18 Sep,Tuesday,National Day,National holiday
chile,2001,19 Sep,Wednesday,Army Day,National holiday
chile,2001,22 Sep,Saturday,September Equinox,Season
chile,2001,15 Oct,Monday,Day of the Discovery of Two Worlds,National holiday
chile,2001,1 Nov,Thursday,All Saints' Day,National holiday
chile,2001,8 Dec,Saturday,Inmaculate Conception Day,National holiday
chile,2001,21 Dec,Friday,December Solstice,Season
