Geo,Event Year,Date,Day,Name,Type
china,2000,1 Jan,Saturday,New Year's Day,National holiday
china,2000,2 Jan,Sunday,New Year's Holiday,Common local holiday
china,2000,3 Jan,Monday,New Year's Holiday,Common local holiday
china,2000,4 Jan,Tuesday,Special Working Day,Working day on weekend
china,2000,5 Jan,Wednesday,Special Working Day,Working day on weekend
china,2000,6 Jan,Thursday,Special Working Day,Working day on weekend
china,2000,7 Jan,Friday,Special Working Day,Working day on weekend
china,2000,5 Feb,Saturday,Chinese New Year,National holiday
china,2000,6 Feb,Sunday,Spring Festival Golden Week holiday,National holiday
china,2000,7 Feb,Monday,Spring Festival Golden Week holiday,National holiday
china,2000,8 Feb,Tuesday,Spring Festival Golden Week holiday,Common local holiday
china,2000,9 Feb,Wednesday,Spring Festival Golden Week holiday,Common local holiday
china,2000,10 Feb,Thursday,Spring Festival Golden Week holiday,Common local holiday
china,2000,11 Feb,Friday,Spring Festival Golden Week holiday,Common local holiday
china,2000,12 Feb,Saturday,Special Working Day,Working day on weekend
china,2000,19 Feb,Saturday,Lantern Festival,Observance
china,2000,7 Mar,Tuesday,Zhonghe Festival,Observance
china,2000,8 Mar,Wednesday,International Women's Day,Half day holiday
china,2000,12 Mar,Sunday,Arbor Day,Observance
china,2000,20 Mar,Monday,March Equinox,Season
china,2000,4 Apr,Tuesday,Qing Ming Jie,Observance
china,2000,4 Apr,Tuesday,Qing Ming Jie,National holiday
china,2000,29 Apr,Saturday,Special Working Day,Working day on weekend
china,2000,1 May,Monday,Labour Day,National holiday
china,2000,2 May,Tuesday,Labour Day Golden Week holiday,National holiday
china,2000,3 May,Wednesday,Labour Day Golden Week holiday,National holiday
china,2000,4 May,Thursday,Labour Day Golden Week holiday,Common local holiday
china,2000,4 May,Thursday,Youth Day,Half day holiday
china,2000,5 May,Friday,Labour Day Golden Week holiday,Common local holiday
china,2000,6 May,Saturday,Labour Day Golden Week holiday,Common local holiday
china,2000,7 May,Sunday,Labour Day Golden Week holiday,Common local holiday
china,2000,1 Jun,Thursday,Children's Day,Other Observance
china,2000,6 Jun,Tuesday,Dragon Boat Festival,Observance
china,2000,21 Jun,Wednesday,June Solstice,Season
china,2000,1 Jul,Saturday,CPC Founding Day,Other Observance
china,2000,11 Jul,Tuesday,Maritime Day,Other Observance
china,2000,1 Aug,Tuesday,Army Day,Other Observance
china,2000,6 Aug,Sunday,Chinese Valentine's Day,Observance
china,2000,14 Aug,Monday,Spirit Festival,Observance
china,2000,10 Sep,Sunday,Teachers' Day,Observance
china,2000,12 Sep,Tuesday,Mid-Autumn Festival,Observance
china,2000,23 Sep,Saturday,September Equinox,Season
china,2000,30 Sep,Saturday,Special Working Day,Working day on weekend
china,2000,30 Sep,Saturday,Special Working Day,Working day on weekend
china,2000,1 Oct,Sunday,National Day,National holiday
china,2000,2 Oct,Monday,National Day Golden Week Holiday,National holiday
china,2000,3 Oct,Tuesday,National Day Golden Week holiday,National holiday
china,2000,4 Oct,Wednesday,National Day Golden Week holiday,Common local holiday
china,2000,5 Oct,Thursday,National Day Golden Week holiday,Common local holiday
china,2000,6 Oct,Friday,National Day Golden Week holiday,Common local holiday
china,2000,6 Oct,Friday,Double Ninth Festival,Observance
china,2000,7 Oct,Saturday,National Day Golden Week holiday,Common local holiday
china,2000,8 Oct,Sunday,Special Working Day,Working day on weekend
china,2000,8 Nov,Wednesday,Journalists' Day,Other Observance
china,2000,21 Dec,Thursday,December Solstice,Season
china,2000,25 Dec,Monday,Christmas Day,Observance
china,2001,1 Jan,Monday,New Year's Day,National holiday
china,2001,2 Jan,Tuesday,New Year's Holiday,Common local holiday
china,2001,3 Jan,Wednesday,New Year's Holiday,Common local holiday
china,2001,4 Jan,Thursday,Special Working Day,Working day on weekend
china,2001,5 Jan,Friday,Special Working Day,Working day on weekend
china,2001,6 Jan,Saturday,Special Working Day,Working day on weekend
china,2001,7 Jan,Sunday,Special Working Day,Working day on weekend
china,2001,24 Jan,Wednesday,Chinese New Year,National holiday
china,2001,25 Jan,Thursday,Spring Festival Golden Week holiday,National holiday
china,2001,26 Jan,Friday,Spring Festival Golden Week holiday,National holiday
china,2001,27 Jan,Saturday,Spring Festival Golden Week holiday,Common local holiday
china,2001,28 Jan,Sunday,Spring Festival Golden Week holiday,Common local holiday
china,2001,29 Jan,Monday,Spring Festival Golden Week holiday,Common local holiday
china,2001,30 Jan,Tuesday,Spring Festival Golden Week holiday,Common local holiday
china,2001,31 Jan,Wednesday,Special Working Day,Working day on weekend
china,2001,7 Feb,Wednesday,Lantern Festival,Observance
