Geo,Event Year,Date,Day,Name,Type
colombia,2000,1 Jan,Saturday,New Year's Day,National holiday
colombia,2000,6 Jan,Thursday,Epiphany,Observance
colombia,2000,10 Jan,Monday,Epiphany,National holiday
colombia,2000,8 Mar,Wednesday,Women's Day,Observance
colombia,2000,19 Mar,Sunday,Saint Joseph's Day,Observance
colombia,2000,20 Mar,Monday,Saint Joseph's Day,National holiday
colombia,2000,20 Mar,Monday,March Equinox,Season
colombia,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
colombia,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
colombia,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
colombia,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
colombia,2000,23 Apr,Sunday,Language Day,Observance
colombia,2000,26 Apr,Wednesday,Secretaries' Day,Observance
colombia,2000,29 Apr,Saturday,Day of Trees,Observance
colombia,2000,29 Apr,Saturday,Children's Day,Observance
colombia,2000,1 May,Monday,Labor Day / May Day,National holiday
colombia,2000,14 May,Sunday,Mothers' Day,Observance
colombia,2000,15 May,Monday,Teacher's Day,Observance
colombia,2000,5 Jun,Monday,Ascension Day,National holiday
colombia,2000,18 Jun,Sunday,Fathers' Day,Observance
colombia,2000,20 Jun,Tuesday,June Solstice,Season
colombia,2000,22 Jun,Thursday,Corpus Christi,Observance
colombia,2000,26 Jun,Monday,Corpus Christi,National holiday
colombia,2000,29 Jun,Thursday,Feast of Saint Peter and Saint Paul,Observance
colombia,2000,3 Jul,Monday,Sacred Heart,National holiday
colombia,2000,3 Jul,Monday,Feast of Saint Peter and Saint Paul,National holiday
colombia,2000,20 Jul,Thursday,Independence Day,National holiday
colombia,2000,7 Aug,Monday,Battle of Boyacá Day,National holiday
colombia,2000,15 Aug,Tuesday,Assumption of Mary,Observance
colombia,2000,21 Aug,Monday,Assumption of Mary,National holiday
colombia,2000,16 Sep,Saturday,Valentine's Day,Observance
colombia,2000,22 Sep,Friday,September Equinox,Season
colombia,2000,12 Oct,Thursday,Columbus Day,Observance
colombia,2000,16 Oct,Monday,Columbus Day,National holiday
colombia,2000,31 Oct,Tuesday,Halloween,Observance
colombia,2000,1 Nov,Wednesday,All Saints' Day,Observance
