Geo,Event Year,Date,Day,Name,Type
costa-rica,2000,1 Jan,Saturday,New Year's Day,National holiday
costa-rica,2000,19 Mar,Sunday,Saint Joseph's Day,Observance
costa-rica,2000,20 Mar,Monday,March Equinox,Season
costa-rica,2000,11 Apr,Tuesday,Battle of Rivas,National holiday
costa-rica,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
costa-rica,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
costa-rica,2000,1 May,Monday,Labor Day / May Day,National holiday
costa-rica,2000,18 Jun,Sunday,Father's Day,Observance
costa-rica,2000,20 Jun,Tuesday,June Solstice,Season
costa-rica,2000,25 Jul,Tuesday,Annexation of Guanacaste,National holiday
costa-rica,2000,2 Aug,Wednesday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
costa-rica,2000,15 Aug,Tuesday,Mother's Day,National holiday
costa-rica,2000,24 Aug,Thursday,National Parks Day,Observance
costa-rica,2000,9 Sep,Saturday,Children's Day,Observance
costa-rica,2000,15 Sep,Friday,Independence Day,National holiday
costa-rica,2000,22 Sep,Friday,September Equinox,Season
costa-rica,2000,12 Oct,Thursday,Day of the Cultures,Non Compulsory Payment Holiday
costa-rica,2000,2 Nov,Thursday,All Souls' Day,National holiday
costa-rica,2000,22 Nov,Wednesday,Teacher's Day,Observance
costa-rica,2000,8 Dec,Friday,Feast of the Immaculate Conception,Observance
costa-rica,2000,21 Dec,Thursday,December Solstice,Season
costa-rica,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
costa-rica,2000,31 Dec,Sunday,New Year's Eve,Observance
costa-rica,2001,1 Jan,Monday,New Year's Day,National holiday
costa-rica,2001,19 Mar,Monday,Saint Joseph's Day,Observance
costa-rica,2001,20 Mar,Tuesday,March Equinox,Season
costa-rica,2001,11 Apr,Wednesday,Battle of Rivas,National holiday
costa-rica,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
costa-rica,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
costa-rica,2001,1 May,Tuesday,Labor Day / May Day,National holiday
costa-rica,2001,17 Jun,Sunday,Father's Day,Observance
costa-rica,2001,21 Jun,Thursday,June Solstice,Season
costa-rica,2001,25 Jul,Wednesday,Annexation of Guanacaste,National holiday
costa-rica,2001,2 Aug,Thursday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
costa-rica,2001,15 Aug,Wednesday,Mother's Day,National holiday
costa-rica,2001,24 Aug,Friday,National Parks Day,Observance
costa-rica,2001,9 Sep,Sunday,Children's Day,Observance
costa-rica,2001,15 Sep,Saturday,Independence Day,National holiday
costa-rica,2001,22 Sep,Saturday,September Equinox,Season
costa-rica,2001,12 Oct,Friday,Day of the Cultures,Non Compulsory Payment Holiday
costa-rica,2001,2 Nov,Friday,All Souls' Day,National holiday
costa-rica,2001,22 Nov,Thursday,Teacher's Day,Observance
costa-rica,2001,8 Dec,Saturday,Feast of the Immaculate Conception,Observance
costa-rica,2001,21 Dec,Friday,December Solstice,Season
costa-rica,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
costa-rica,2001,31 Dec,Monday,New Year's Eve,Observance
costa-rica,2002,1 Jan,Tuesday,New Year's Day,National holiday
costa-rica,2002,19 Mar,Tuesday,Saint Joseph's Day,Observance
costa-rica,2002,20 Mar,Wednesday,March Equinox,Season
costa-rica,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
costa-rica,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
costa-rica,2002,11 Apr,Thursday,Battle of Rivas,National holiday
costa-rica,2002,1 May,Wednesday,Labor Day / May Day,National holiday
costa-rica,2002,16 Jun,Sunday,Father's Day,Observance
costa-rica,2002,21 Jun,Friday,June Solstice,Season
costa-rica,2002,25 Jul,Thursday,Annexation of Guanacaste,National holiday
costa-rica,2002,2 Aug,Friday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
costa-rica,2002,15 Aug,Thursday,Mother's Day,National holiday
costa-rica,2002,24 Aug,Saturday,National Parks Day,Observance
costa-rica,2002,9 Sep,Monday,Children's Day,Observance
costa-rica,2002,15 Sep,Sunday,Independence Day,National holiday
costa-rica,2002,22 Sep,Sunday,September Equinox,Season
costa-rica,2002,12 Oct,Saturday,Day of the Cultures,Non Compulsory Payment Holiday
costa-rica,2002,2 Nov,Saturday,All Souls' Day,National holiday
costa-rica,2002,22 Nov,Friday,Teacher's Day,Observance
costa-rica,2002,8 Dec,Sunday,Feast of the Immaculate Conception,Observance
costa-rica,2002,21 Dec,Saturday,December Solstice,Season
costa-rica,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
costa-rica,2002,31 Dec,Tuesday,New Year's Eve,Observance
costa-rica,2003,1 Jan,Wednesday,New Year's Day,National holiday
costa-rica,2003,19 Mar,Wednesday,Saint Joseph's Day,Observance
costa-rica,2003,20 Mar,Thursday,March Equinox,Season
costa-rica,2003,11 Apr,Friday,Battle of Rivas,National holiday
costa-rica,2003,17 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
costa-rica,2003,18 Apr,Friday,Good Friday,"National holiday, Christian"
costa-rica,2003,1 May,Thursday,Labor Day / May Day,National holiday
costa-rica,2003,15 Jun,Sunday,Father's Day,Observance
costa-rica,2003,21 Jun,Saturday,June Solstice,Season
costa-rica,2003,25 Jul,Friday,Annexation of Guanacaste,National holiday
costa-rica,2003,2 Aug,Saturday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
costa-rica,2003,15 Aug,Friday,Mother's Day,National holiday
costa-rica,2003,24 Aug,Sunday,National Parks Day,Observance
costa-rica,2003,9 Sep,Tuesday,Children's Day,Observance
costa-rica,2003,15 Sep,Monday,Independence Day,National holiday
costa-rica,2003,23 Sep,Tuesday,September Equinox,Season
costa-rica,2003,12 Oct,Sunday,Day of the Cultures,Non Compulsory Payment Holiday
costa-rica,2003,2 Nov,Sunday,All Souls' Day,National holiday
costa-rica,2003,22 Nov,Saturday,Teacher's Day,Observance
costa-rica,2003,8 Dec,Monday,Feast of the Immaculate Conception,Observance
costa-rica,2003,22 Dec,Monday,December Solstice,Season
costa-rica,2003,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
costa-rica,2003,31 Dec,Wednesday,New Year's Eve,Observance
costa-rica,2004,1 Jan,Thursday,New Year's Day,National holiday
costa-rica,2004,19 Mar,Friday,Saint Joseph's Day,Observance
costa-rica,2004,20 Mar,Saturday,March Equinox,Season
costa-rica,2004,8 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
costa-rica,2004,9 Apr,Friday,Good Friday,"National holiday, Christian"
costa-rica,2004,11 Apr,Sunday,Battle of Rivas,National holiday
costa-rica,2004,1 May,Saturday,Labor Day / May Day,National holiday
costa-rica,2004,20 Jun,Sunday,Father's Day,Observance
costa-rica,2004,20 Jun,Sunday,June Solstice,Season
costa-rica,2004,25 Jul,Sunday,Annexation of Guanacaste,National holiday
costa-rica,2004,2 Aug,Monday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
costa-rica,2004,15 Aug,Sunday,Mother's Day,National holiday
costa-rica,2004,24 Aug,Tuesday,National Parks Day,Observance
costa-rica,2004,9 Sep,Thursday,Children's Day,Observance
costa-rica,2004,15 Sep,Wednesday,Independence Day,National holiday
costa-rica,2004,22 Sep,Wednesday,September Equinox,Season
costa-rica,2004,12 Oct,Tuesday,Day of the Cultures,Non Compulsory Payment Holiday
costa-rica,2004,2 Nov,Tuesday,All Souls' Day,National holiday
costa-rica,2004,22 Nov,Monday,Teacher's Day,Observance
costa-rica,2004,8 Dec,Wednesday,Feast of the Immaculate Conception,Observance
costa-rica,2004,21 Dec,Tuesday,December Solstice,Season
costa-rica,2004,25 Dec,Saturday,Christmas Day,"National holiday, Christian"
costa-rica,2004,31 Dec,Friday,New Year's Eve,Observance
costa-rica,2005,1 Jan,Saturday,New Year's Day,National holiday
costa-rica,2005,19 Mar,Saturday,Saint Joseph's Day,Observance
