Geo,Event Year,Date,Day,Name,Type
croatia,2000,1 Jan,Saturday,New Year's Day,National holiday
croatia,2000,6 Jan,Thursday,Epiphany,National holiday
croatia,2000,7 Jan,Friday,Orthodox Christmas Day,Optional holiday
croatia,2000,8 Jan,Saturday,Ramadan Bayram,Optional holiday
croatia,2000,16 Mar,Thursday,Kurban Bayram,Optional holiday
croatia,2000,19 Mar,Sunday,Father’s Day,Observance
croatia,2000,20 Mar,Monday,March Equinox,Season
croatia,2000,23 Apr,Sunday,Easter Sunday,Observance
croatia,2000,24 Apr,Monday,Easter Monday,National holiday
croatia,2000,30 Apr,Sunday,Orthodox Easter Day,Optional holiday
croatia,2000,1 May,Monday,Labor Day / May Day,National holiday
croatia,2000,1 May,Monday,Orthodox Easter Monday,Optional holiday
croatia,2000,14 May,Sunday,Mother’s Day,Observance
croatia,2000,21 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2000,21 Jun,Wednesday,June Solstice,Season
croatia,2000,22 Jun,Thursday,Corpus Christi,National holiday
croatia,2000,22 Jun,Thursday,Day of Antifascist Struggle,National holiday
croatia,2000,25 Jun,Sunday,Statehood Day,National holiday
croatia,2000,5 Aug,Saturday,Homeland Thanksgiving Day,National holiday
croatia,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
croatia,2000,22 Sep,Friday,September Equinox,Season
croatia,2000,30 Sep,Saturday,Rosh Hashana,Optional holiday
croatia,2000,8 Oct,Sunday,Independence Day,Observance
croatia,2000,9 Oct,Monday,Yom Kippur,Optional holiday
croatia,2000,1 Nov,Wednesday,All Saints' Day,National holiday
croatia,2000,21 Dec,Thursday,December Solstice,Season
croatia,2000,25 Dec,Monday,Christmas Day,National holiday
croatia,2000,26 Dec,Tuesday,St Stephen's Day,National holiday
croatia,2000,28 Dec,Thursday,Ramadan Bayram,Optional holiday
croatia,2001,1 Jan,Monday,New Year's Day,National holiday
croatia,2001,6 Jan,Saturday,Epiphany,National holiday
croatia,2001,7 Jan,Sunday,Orthodox Christmas Day,Optional holiday
croatia,2001,6 Mar,Tuesday,Kurban Bayram,Optional holiday
croatia,2001,19 Mar,Monday,Father’s Day,Observance
croatia,2001,20 Mar,Tuesday,March Equinox,Season
croatia,2001,15 Apr,Sunday,Easter Sunday,Observance
croatia,2001,15 Apr,Sunday,Orthodox Easter Day,Optional holiday
croatia,2001,16 Apr,Monday,Easter Monday,National holiday
croatia,2001,16 Apr,Monday,Orthodox Easter Monday,Optional holiday
croatia,2001,1 May,Tuesday,Labor Day / May Day,National holiday
croatia,2001,13 May,Sunday,Mother’s Day,Observance
croatia,2001,20 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2001,14 Jun,Thursday,Corpus Christi,National holiday
croatia,2001,21 Jun,Thursday,June Solstice,Season
croatia,2001,22 Jun,Friday,Day of Antifascist Struggle,National holiday
croatia,2001,25 Jun,Monday,Statehood Day,National holiday
croatia,2001,5 Aug,Sunday,Homeland Thanksgiving Day,National holiday
croatia,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
croatia,2001,18 Sep,Tuesday,Rosh Hashana,Optional holiday
croatia,2001,23 Sep,Sunday,September Equinox,Season
croatia,2001,27 Sep,Thursday,Yom Kippur,Optional holiday
croatia,2001,8 Oct,Monday,Independence Day,Observance
croatia,2001,1 Nov,Thursday,All Saints' Day,National holiday
croatia,2001,17 Dec,Monday,Ramadan Bayram,Optional holiday
croatia,2001,21 Dec,Friday,December Solstice,Season
croatia,2001,25 Dec,Tuesday,Christmas Day,National holiday
croatia,2001,26 Dec,Wednesday,St Stephen's Day,National holiday
croatia,2002,1 Jan,Tuesday,New Year's Day,National holiday
croatia,2002,6 Jan,Sunday,Epiphany,National holiday
croatia,2002,7 Jan,Monday,Orthodox Christmas Day,Optional holiday
croatia,2002,23 Feb,Saturday,Kurban Bayram,Optional holiday
croatia,2002,19 Mar,Tuesday,Father’s Day,Observance
croatia,2002,20 Mar,Wednesday,March Equinox,Season
croatia,2002,31 Mar,Sunday,Easter Sunday,Observance
croatia,2002,1 Apr,Monday,Easter Monday,National holiday
croatia,2002,1 May,Wednesday,Labor Day / May Day,National holiday
croatia,2002,5 May,Sunday,Orthodox Easter Day,Optional holiday
croatia,2002,6 May,Monday,Orthodox Easter Monday,Optional holiday
croatia,2002,12 May,Sunday,Mother’s Day,Observance
croatia,2002,19 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2002,30 May,Thursday,Corpus Christi,National holiday
croatia,2002,21 Jun,Friday,June Solstice,Season
croatia,2002,22 Jun,Saturday,Day of Antifascist Struggle,National holiday
croatia,2002,25 Jun,Tuesday,Statehood Day,National holiday
croatia,2002,5 Aug,Monday,Homeland Thanksgiving Day,National holiday
croatia,2002,15 Aug,Thursday,Assumption of Mary,National holiday
croatia,2002,7 Sep,Saturday,Rosh Hashana,Optional holiday
croatia,2002,16 Sep,Monday,Yom Kippur,Optional holiday
croatia,2002,23 Sep,Monday,September Equinox,Season
croatia,2002,8 Oct,Tuesday,Independence Day,Observance
croatia,2002,1 Nov,Friday,All Saints' Day,National holiday
croatia,2002,6 Dec,Friday,Ramadan Bayram,Optional holiday
croatia,2002,22 Dec,Sunday,December Solstice,Season
croatia,2002,25 Dec,Wednesday,Christmas Day,National holiday
croatia,2002,26 Dec,Thursday,St Stephen's Day,National holiday
croatia,2003,1 Jan,Wednesday,New Year's Day,National holiday
croatia,2003,6 Jan,Monday,Epiphany,National holiday
croatia,2003,7 Jan,Tuesday,Orthodox Christmas Day,Optional holiday
croatia,2003,12 Feb,Wednesday,Kurban Bayram,Optional holiday
croatia,2003,19 Mar,Wednesday,Father’s Day,Observance
croatia,2003,21 Mar,Friday,March Equinox,Season
croatia,2003,20 Apr,Sunday,Easter Sunday,Observance
croatia,2003,21 Apr,Monday,Easter Monday,National holiday
croatia,2003,27 Apr,Sunday,Orthodox Easter Day,Optional holiday
croatia,2003,28 Apr,Monday,Orthodox Easter Monday,Optional holiday
croatia,2003,1 May,Thursday,Labor Day / May Day,National holiday
croatia,2003,11 May,Sunday,Mother’s Day,Observance
croatia,2003,18 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2003,19 Jun,Thursday,Corpus Christi,National holiday
croatia,2003,21 Jun,Saturday,June Solstice,Season
croatia,2003,22 Jun,Sunday,Day of Antifascist Struggle,National holiday
croatia,2003,25 Jun,Wednesday,Statehood Day,National holiday
croatia,2003,5 Aug,Tuesday,Homeland Thanksgiving Day,National holiday
croatia,2003,15 Aug,Friday,Assumption of Mary,National holiday
croatia,2003,23 Sep,Tuesday,September Equinox,Season
croatia,2003,27 Sep,Saturday,Rosh Hashana,Optional holiday
croatia,2003,6 Oct,Monday,Yom Kippur,Optional holiday
croatia,2003,8 Oct,Wednesday,Independence Day,Observance
croatia,2003,1 Nov,Saturday,All Saints' Day,National holiday
croatia,2003,26 Nov,Wednesday,Ramadan Bayram,Optional holiday
croatia,2003,22 Dec,Monday,December Solstice,Season
croatia,2003,25 Dec,Thursday,Christmas Day,National holiday
croatia,2003,26 Dec,Friday,St Stephen's Day,National holiday
croatia,2004,1 Jan,Thursday,New Year's Day,National holiday
croatia,2004,6 Jan,Tuesday,Epiphany,National holiday
croatia,2004,7 Jan,Wednesday,Orthodox Christmas Day,Optional holiday
croatia,2004,2 Feb,Monday,Kurban Bayram,Optional holiday
croatia,2004,19 Mar,Friday,Father’s Day,Observance
croatia,2004,20 Mar,Saturday,March Equinox,Season
croatia,2004,11 Apr,Sunday,Easter Sunday,Observance
croatia,2004,11 Apr,Sunday,Orthodox Easter Day,Optional holiday
croatia,2004,12 Apr,Monday,Easter Monday,National holiday
croatia,2004,12 Apr,Monday,Orthodox Easter Monday,Optional holiday
croatia,2004,1 May,Saturday,Labor Day / May Day,National holiday
croatia,2004,9 May,Sunday,Mother’s Day,Observance
croatia,2004,16 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2004,10 Jun,Thursday,Corpus Christi,National holiday
croatia,2004,21 Jun,Monday,June Solstice,Season
croatia,2004,22 Jun,Tuesday,Day of Antifascist Struggle,National holiday
croatia,2004,25 Jun,Friday,Statehood Day,National holiday
croatia,2004,5 Aug,Thursday,Homeland Thanksgiving Day,National holiday
croatia,2004,15 Aug,Sunday,Assumption of Mary,National holiday
croatia,2004,16 Sep,Thursday,Rosh Hashana,Optional holiday
croatia,2004,22 Sep,Wednesday,September Equinox,Season
croatia,2004,25 Sep,Saturday,Yom Kippur,Optional holiday
croatia,2004,8 Oct,Friday,Independence Day,Observance
croatia,2004,1 Nov,Monday,All Saints' Day,National holiday
croatia,2004,14 Nov,Sunday,Ramadan Bayram,Optional holiday
croatia,2004,21 Dec,Tuesday,December Solstice,Season
croatia,2004,25 Dec,Saturday,Christmas Day,National holiday
croatia,2004,26 Dec,Sunday,St Stephen's Day,National holiday
croatia,2005,1 Jan,Saturday,New Year's Day,National holiday
croatia,2005,6 Jan,Thursday,Epiphany,National holiday
croatia,2005,7 Jan,Friday,Orthodox Christmas Day,Optional holiday
croatia,2005,21 Jan,Friday,Kurban Bayram,Optional holiday
croatia,2005,19 Mar,Saturday,Father’s Day,Observance
croatia,2005,20 Mar,Sunday,March Equinox,Season
croatia,2005,27 Mar,Sunday,Easter Sunday,Observance
croatia,2005,28 Mar,Monday,Easter Monday,National holiday
croatia,2005,1 May,Sunday,Orthodox Easter Day,Optional holiday
croatia,2005,1 May,Sunday,Labor Day / May Day,National holiday
croatia,2005,2 May,Monday,Orthodox Easter Monday,Optional holiday
croatia,2005,8 May,Sunday,Mother’s Day,Observance
croatia,2005,15 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2005,26 May,Thursday,Corpus Christi,National holiday
croatia,2005,21 Jun,Tuesday,June Solstice,Season
croatia,2005,22 Jun,Wednesday,Day of Antifascist Struggle,National holiday
croatia,2005,25 Jun,Saturday,Statehood Day,National holiday
croatia,2005,5 Aug,Friday,Homeland Thanksgiving Day,National holiday
croatia,2005,15 Aug,Monday,Assumption of Mary,National holiday
croatia,2005,23 Sep,Friday,September Equinox,Season
croatia,2005,4 Oct,Tuesday,Rosh Hashana,Optional holiday
croatia,2005,8 Oct,Saturday,Independence Day,Observance
croatia,2005,13 Oct,Thursday,Yom Kippur,Optional holiday
croatia,2005,1 Nov,Tuesday,All Saints' Day,National holiday
croatia,2005,4 Nov,Friday,Ramadan Bayram,Optional holiday
croatia,2005,21 Dec,Wednesday,December Solstice,Season
croatia,2005,25 Dec,Sunday,Christmas Day,National holiday
croatia,2005,26 Dec,Monday,St Stephen's Day,National holiday
croatia,2006,1 Jan,Sunday,New Year's Day,National holiday
croatia,2006,6 Jan,Friday,Epiphany,National holiday
croatia,2006,7 Jan,Saturday,Orthodox Christmas Day,Optional holiday
croatia,2006,10 Jan,Tuesday,Kurban Bayram,Optional holiday
croatia,2006,19 Mar,Sunday,Father’s Day,Observance
croatia,2006,20 Mar,Monday,March Equinox,Season
croatia,2006,16 Apr,Sunday,Easter Sunday,Observance
croatia,2006,17 Apr,Monday,Easter Monday,National holiday
croatia,2006,23 Apr,Sunday,Orthodox Easter Day,Optional holiday
croatia,2006,24 Apr,Monday,Orthodox Easter Monday,Optional holiday
croatia,2006,1 May,Monday,Labor Day / May Day,National holiday
croatia,2006,14 May,Sunday,Mother’s Day,Observance
croatia,2006,21 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2006,15 Jun,Thursday,Corpus Christi,National holiday
croatia,2006,21 Jun,Wednesday,June Solstice,Season
croatia,2006,22 Jun,Thursday,Day of Antifascist Struggle,National holiday
croatia,2006,25 Jun,Sunday,Statehood Day,National holiday
croatia,2006,5 Aug,Saturday,Homeland Thanksgiving Day,National holiday
croatia,2006,15 Aug,Tuesday,Assumption of Mary,National holiday
croatia,2006,23 Sep,Saturday,Rosh Hashana,Optional holiday
croatia,2006,23 Sep,Saturday,September Equinox,Season
croatia,2006,25 Sep,Monday,"Unification Day of Istria, Rijeka, Zadar, and the Islands",Observance
croatia,2006,2 Oct,Monday,Yom Kippur,Optional holiday
croatia,2006,8 Oct,Sunday,Independence Day,Observance
croatia,2006,24 Oct,Tuesday,Ramadan Bayram,Optional holiday
croatia,2006,1 Nov,Wednesday,All Saints' Day,National holiday
croatia,2006,22 Dec,Friday,December Solstice,Season
croatia,2006,25 Dec,Monday,Christmas Day,National holiday
croatia,2006,26 Dec,Tuesday,St Stephen's Day,National holiday
croatia,2006,31 Dec,Sunday,Kurban Bayram,Optional holiday
croatia,2007,1 Jan,Monday,New Year's Day,National holiday
croatia,2007,6 Jan,Saturday,Epiphany,National holiday
croatia,2007,7 Jan,Sunday,Orthodox Christmas Day,Optional holiday
croatia,2007,19 Mar,Monday,Father’s Day,Observance
croatia,2007,21 Mar,Wednesday,March Equinox,Season
croatia,2007,8 Apr,Sunday,Easter Sunday,Observance
croatia,2007,8 Apr,Sunday,Orthodox Easter Day,Optional holiday
croatia,2007,9 Apr,Monday,Easter Monday,National holiday
croatia,2007,9 Apr,Monday,Orthodox Easter Monday,Optional holiday
croatia,2007,1 May,Tuesday,Labor Day / May Day,National holiday
croatia,2007,13 May,Sunday,Mother’s Day,Observance
croatia,2007,20 May,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
croatia,2007,7 Jun,Thursday,Corpus Christi,National holiday
croatia,2007,21 Jun,Thursday,June Solstice,Season
croatia,2007,22 Jun,Friday,Day of Antifascist Struggle,National holiday
croatia,2007,25 Jun,Monday,Statehood Day,National holiday
croatia,2007,5 Aug,Sunday,Homeland Thanksgiving Day,National holiday
croatia,2007,15 Aug,Wednesday,Assumption of Mary,National holiday
croatia,2007,13 Sep,Thursday,Rosh Hashana,Optional holiday
croatia,2007,22 Sep,Saturday,Yom Kippur,Optional holiday
