Geo,Event Year,Date,Day,Name,Type
curacao,2010,1 Jan,Friday,New Year's Day,Public Holiday
curacao,2010,15 Feb,Monday,Carnival Monday,Public Holiday
curacao,2010,20 Mar,Saturday,March Equinox,Season
curacao,2010,2 Apr,Friday,Good Friday,Public Holiday
curacao,2010,4 Apr,Sunday,Easter Sunday,Public Holiday
curacao,2010,5 Apr,Monday,Easter Monday,Public Holiday
curacao,2010,1 May,Saturday,Labor Day / May Day,Public Holiday
curacao,2010,13 May,Thursday,Ascension Day,Public Holiday
curacao,2010,21 Jun,Monday,June Solstice,Season
curacao,2010,2 Jul,Friday,Flag Day,Public Holiday
curacao,2010,22 Sep,Wednesday,September Equinox,Season
curacao,2010,10 Oct,Sunday,Curaçao Day,Public Holiday
curacao,2010,21 Dec,Tuesday,December Solstice,Season
curacao,2010,25 Dec,Saturday,Christmas Day,Public Holiday
curacao,2010,26 Dec,Sunday,Boxing Day,Public Holiday
curacao,2010,31 Dec,Friday,New Year's Eve,Half Day Holiday
curacao,2011,1 Jan,Saturday,New Year's Day,Public Holiday
curacao,2011,7 Mar,Monday,Carnival Monday,Public Holiday
curacao,2011,20 Mar,Sunday,March Equinox,Season
curacao,2011,22 Apr,Friday,Good Friday,Public Holiday
curacao,2011,24 Apr,Sunday,Easter Sunday,Public Holiday
curacao,2011,25 Apr,Monday,Easter Monday,Public Holiday
curacao,2011,1 May,Sunday,Labor Day / May Day,Public Holiday
curacao,2011,2 May,Monday,Day off for Labor Day / May Day,Public Holiday
curacao,2011,2 Jun,Thursday,Ascension Day,Public Holiday
curacao,2011,21 Jun,Tuesday,June Solstice,Season
curacao,2011,2 Jul,Saturday,Flag Day,Public Holiday
curacao,2011,23 Sep,Friday,September Equinox,Season
curacao,2011,10 Oct,Monday,Curaçao Day,Public Holiday
curacao,2011,22 Dec,Thursday,December Solstice,Season
curacao,2011,25 Dec,Sunday,Christmas Day,Public Holiday
curacao,2011,26 Dec,Monday,Boxing Day,Public Holiday
curacao,2011,31 Dec,Saturday,New Year's Eve,Half Day Holiday
curacao,2012,1 Jan,Sunday,New Year's Day,Public Holiday
curacao,2012,20 Feb,Monday,Carnival Monday,Public Holiday
curacao,2012,20 Mar,Tuesday,March Equinox,Season
curacao,2012,6 Apr,Friday,Good Friday,Public Holiday
curacao,2012,8 Apr,Sunday,Easter Sunday,Public Holiday
curacao,2012,9 Apr,Monday,Easter Monday,Public Holiday
curacao,2012,1 May,Tuesday,Labor Day / May Day,Public Holiday
curacao,2012,17 May,Thursday,Ascension Day,Public Holiday
curacao,2012,20 Jun,Wednesday,June Solstice,Season
curacao,2012,2 Jul,Monday,Flag Day,Public Holiday
curacao,2012,22 Sep,Saturday,September Equinox,Season
curacao,2012,10 Oct,Wednesday,Curaçao Day,Public Holiday
curacao,2012,21 Dec,Friday,December Solstice,Season
curacao,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
curacao,2012,26 Dec,Wednesday,Boxing Day,Public Holiday
curacao,2012,31 Dec,Monday,New Year's Eve,Half Day Holiday
curacao,2013,1 Jan,Tuesday,New Year's Day,Public Holiday
curacao,2013,11 Feb,Monday,Carnival Monday,Public Holiday
curacao,2013,20 Mar,Wednesday,March Equinox,Season
curacao,2013,29 Mar,Friday,Good Friday,Public Holiday
curacao,2013,31 Mar,Sunday,Easter Sunday,Public Holiday
curacao,2013,1 Apr,Monday,Easter Monday,Public Holiday
curacao,2013,1 May,Wednesday,Labor Day / May Day,Public Holiday
curacao,2013,9 May,Thursday,Ascension Day,Public Holiday
curacao,2013,21 Jun,Friday,June Solstice,Season
curacao,2013,2 Jul,Tuesday,Flag Day,Public Holiday
curacao,2013,22 Sep,Sunday,September Equinox,Season
curacao,2013,10 Oct,Thursday,Curaçao Day,Public Holiday
curacao,2013,21 Dec,Saturday,December Solstice,Season
curacao,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
curacao,2013,26 Dec,Thursday,Boxing Day,Public Holiday
curacao,2013,31 Dec,Tuesday,New Year's Eve,Half Day Holiday
curacao,2014,1 Jan,Wednesday,New Year's Day,Public Holiday
curacao,2014,3 Mar,Monday,Carnival Monday,Public Holiday
curacao,2014,20 Mar,Thursday,March Equinox,Season
curacao,2014,18 Apr,Friday,Good Friday,Public Holiday
curacao,2014,20 Apr,Sunday,Easter Sunday,Public Holiday
curacao,2014,21 Apr,Monday,Easter Monday,Public Holiday
curacao,2014,1 May,Thursday,Labor Day / May Day,Public Holiday
curacao,2014,29 May,Thursday,Ascension Day,Public Holiday
curacao,2014,21 Jun,Saturday,June Solstice,Season
curacao,2014,2 Jul,Wednesday,Flag Day,Public Holiday
curacao,2014,22 Sep,Monday,September Equinox,Season
curacao,2014,10 Oct,Friday,Curaçao Day,Public Holiday
curacao,2014,21 Dec,Sunday,December Solstice,Season
curacao,2014,25 Dec,Thursday,Christmas Day,Public Holiday
curacao,2014,26 Dec,Friday,Boxing Day,Public Holiday
curacao,2014,31 Dec,Wednesday,New Year's Eve,Half Day Holiday
curacao,2015,1 Jan,Thursday,New Year's Day,Public Holiday
curacao,2015,16 Feb,Monday,Carnival Monday,Public Holiday
curacao,2015,20 Mar,Friday,March Equinox,Season
curacao,2015,3 Apr,Friday,Good Friday,Public Holiday
curacao,2015,5 Apr,Sunday,Easter Sunday,Public Holiday
curacao,2015,6 Apr,Monday,Easter Monday,Public Holiday
curacao,2015,27 Apr,Monday,King's Birthday,Public Holiday
curacao,2015,1 May,Friday,Labor Day / May Day,Public Holiday
curacao,2015,14 May,Thursday,Ascension Day,Public Holiday
curacao,2015,21 Jun,Sunday,June Solstice,Season
curacao,2015,2 Jul,Thursday,Flag Day,Public Holiday
curacao,2015,23 Sep,Wednesday,September Equinox,Season
curacao,2015,10 Oct,Saturday,Curaçao Day,Public Holiday
curacao,2015,22 Dec,Tuesday,December Solstice,Season
curacao,2015,25 Dec,Friday,Christmas Day,Public Holiday
curacao,2015,26 Dec,Saturday,Boxing Day,Public Holiday
curacao,2015,31 Dec,Thursday,New Year's Eve,Half Day Holiday
curacao,2016,1 Jan,Friday,New Year's Day,Public Holiday
curacao,2016,8 Feb,Monday,Carnival Monday,Public Holiday
curacao,2016,20 Mar,Sunday,March Equinox,Season
curacao,2016,25 Mar,Friday,Good Friday,Public Holiday
curacao,2016,27 Mar,Sunday,Easter Sunday,Public Holiday
curacao,2016,28 Mar,Monday,Easter Monday,Public Holiday
curacao,2016,27 Apr,Wednesday,King's Birthday,Public Holiday
curacao,2016,1 May,Sunday,Labor Day / May Day,Public Holiday
curacao,2016,2 May,Monday,Day off for Labor Day / May Day,Public Holiday
curacao,2016,5 May,Thursday,Ascension Day,Public Holiday
curacao,2016,20 Jun,Monday,June Solstice,Season
curacao,2016,2 Jul,Saturday,Flag Day,Public Holiday
curacao,2016,22 Sep,Thursday,September Equinox,Season
curacao,2016,10 Oct,Monday,Curaçao Day,Public Holiday
curacao,2016,21 Dec,Wednesday,December Solstice,Season
curacao,2016,25 Dec,Sunday,Christmas Day,Public Holiday
curacao,2016,26 Dec,Monday,Boxing Day,Public Holiday
curacao,2016,31 Dec,Saturday,New Year's Eve,Half Day Holiday
curacao,2017,1 Jan,Sunday,New Year's Day,Public Holiday
curacao,2017,27 Feb,Monday,Carnival Monday,Public Holiday
curacao,2017,20 Mar,Monday,March Equinox,Season
curacao,2017,14 Apr,Friday,Good Friday,Public Holiday
curacao,2017,16 Apr,Sunday,Easter Sunday,Public Holiday
curacao,2017,17 Apr,Monday,Easter Monday,Public Holiday
