Geo,Event Year,Date,Day,Name,Type
djibouti,2015,1 Jan,Thursday,New Year,Public Holiday
djibouti,2015,3 Jan,Saturday,Milad un Nabi (Mawlid),Public Holiday
djibouti,2015,21 Mar,Saturday,March Equinox,Season
djibouti,2015,1 May,Friday,Labor Day / May Day,Public Holiday
djibouti,2015,16 May,Saturday,Isra and Miraj,Public Holiday
djibouti,2015,21 Jun,Sunday,June Solstice,Season
djibouti,2015,27 Jun,Saturday,Independence Day,Public Holiday
djibouti,2015,28 Jun,Sunday,Independence Day Holiday,Public Holiday
djibouti,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
djibouti,2015,19 Jul,Sunday,Eid al-Fitr Holiday,Public Holiday
djibouti,2015,23 Sep,Wednesday,Arafat Day,Public Holiday
djibouti,2015,23 Sep,Wednesday,September Equinox,Season
djibouti,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
djibouti,2015,25 Sep,Friday,Eid al-Adha Holiday,Public Holiday
djibouti,2015,15 Oct,Thursday,Muharram,Public Holiday
djibouti,2015,22 Dec,Tuesday,December Solstice,Season
djibouti,2015,24 Dec,Thursday,Milad un Nabi (Mawlid),Public Holiday
djibouti,2016,1 Jan,Friday,New Year,Public Holiday
djibouti,2016,20 Mar,Sunday,March Equinox,Season
djibouti,2016,1 May,Sunday,Labor Day / May Day,Public Holiday
djibouti,2016,5 May,Thursday,Isra and Miraj,Public Holiday
djibouti,2016,21 Jun,Tuesday,June Solstice,Season
djibouti,2016,27 Jun,Monday,Independence Day,Public Holiday
djibouti,2016,28 Jun,Tuesday,Independence Day Holiday,Public Holiday
djibouti,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
djibouti,2016,8 Jul,Friday,Eid al-Fitr Holiday,Public Holiday
djibouti,2016,12 Sep,Monday,Arafat Day,Public Holiday
djibouti,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
djibouti,2016,14 Sep,Wednesday,Eid al-Adha Holiday,Public Holiday
djibouti,2016,22 Sep,Thursday,September Equinox,Season
djibouti,2016,3 Oct,Monday,Muharram,Public Holiday
djibouti,2016,12 Dec,Monday,Milad un Nabi (Mawlid),Public Holiday
djibouti,2016,21 Dec,Wednesday,December Solstice,Season
djibouti,2017,1 Jan,Sunday,New Year,Public Holiday
djibouti,2017,20 Mar,Monday,March Equinox,Season
djibouti,2017,24 Apr,Monday,Isra and Miraj,Public Holiday
djibouti,2017,1 May,Monday,Labor Day / May Day,Public Holiday
djibouti,2017,21 Jun,Wednesday,June Solstice,Season
djibouti,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
djibouti,2017,27 Jun,Tuesday,Eid al-Fitr Holiday,Public Holiday
djibouti,2017,27 Jun,Tuesday,Independence Day,Public Holiday
djibouti,2017,28 Jun,Wednesday,Independence Day Holiday,Public Holiday
djibouti,2017,1 Sep,Friday,Arafat Day,Public Holiday
djibouti,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
djibouti,2017,3 Sep,Sunday,Eid al-Adha Holiday,Public Holiday
djibouti,2017,22 Sep,Friday,Muharram,Public Holiday
djibouti,2017,22 Sep,Friday,September Equinox,Season
djibouti,2017,1 Dec,Friday,Milad un Nabi (Mawlid),Public Holiday
djibouti,2017,21 Dec,Thursday,December Solstice,Season
djibouti,2018,1 Jan,Monday,New Year,Public Holiday
djibouti,2018,20 Mar,Tuesday,March Equinox,Season
djibouti,2018,13 Apr,Friday,Isra and Miraj,Public Holiday
