Geo,Event Year,Date,Day,Name,Type
dr-congo,2000,1 Jan,Saturday,New Year's Day,Public holiday
dr-congo,2000,4 Jan,Tuesday,Martyrs of Independence Day,Public holiday
dr-congo,2000,17 Jan,Monday,Anniversary of Prime Minister Patrice Emery Lumumba’s Assassination,Public holiday
dr-congo,2000,14 Feb,Monday,Valentine's Day,Observance
dr-congo,2000,8 Mar,Wednesday,International Women's Day,Observance
dr-congo,2000,20 Mar,Monday,International Francophonie Day,Observance
dr-congo,2000,20 Mar,Monday,March Equinox,Season
dr-congo,2000,29 Apr,Saturday,Education Day observed,Public holiday
dr-congo,2000,30 Apr,Sunday,Education Day,Public holiday
dr-congo,2000,1 May,Monday,May Day,Public holiday
dr-congo,2000,17 May,Wednesday,Liberation Day,Public holiday
dr-congo,2000,21 Jun,Wednesday,Music Festival,Observance
dr-congo,2000,21 Jun,Wednesday,June Solstice,Season
dr-congo,2000,30 Jun,Friday,Independence Day,Public holiday
dr-congo,2000,1 Aug,Tuesday,Parents' Day,Public holiday
dr-congo,2000,22 Sep,Friday,September Equinox,Season
dr-congo,2000,27 Sep,Wednesday,World Tourism Day,Observance
dr-congo,2000,21 Dec,Thursday,December Solstice,Season
dr-congo,2000,24 Dec,Sunday,Christmas Eve,Observance
dr-congo,2000,25 Dec,Monday,Christmas Day,Public holiday
dr-congo,2000,31 Dec,Sunday,New Year's Eve,Observance
dr-congo,2001,1 Jan,Monday,New Year's Day,Public holiday
dr-congo,2001,4 Jan,Thursday,Martyrs of Independence Day,Public holiday
dr-congo,2001,17 Jan,Wednesday,Anniversary of Prime Minister Patrice Emery Lumumba’s Assassination,Public holiday
dr-congo,2001,14 Feb,Wednesday,Valentine's Day,Observance
dr-congo,2001,8 Mar,Thursday,International Women's Day,Observance
dr-congo,2001,20 Mar,Tuesday,International Francophonie Day,Observance
dr-congo,2001,20 Mar,Tuesday,March Equinox,Season
dr-congo,2001,30 Apr,Monday,Education Day,Public holiday
dr-congo,2001,1 May,Tuesday,May Day,Public holiday
dr-congo,2001,17 May,Thursday,Liberation Day,Public holiday
dr-congo,2001,21 Jun,Thursday,Music Festival,Observance
dr-congo,2001,21 Jun,Thursday,June Solstice,Season
dr-congo,2001,30 Jun,Saturday,Independence Day,Public holiday
dr-congo,2001,1 Aug,Wednesday,Parents' Day,Public holiday
dr-congo,2001,23 Sep,Sunday,September Equinox,Season
dr-congo,2001,27 Sep,Thursday,World Tourism Day,Observance
dr-congo,2001,21 Dec,Friday,December Solstice,Season
dr-congo,2001,24 Dec,Monday,Christmas Eve,Observance
dr-congo,2001,25 Dec,Tuesday,Christmas Day,Public holiday
dr-congo,2001,31 Dec,Monday,New Year's Eve,Observance
dr-congo,2002,1 Jan,Tuesday,New Year's Day,Public holiday
dr-congo,2002,4 Jan,Friday,Martyrs of Independence Day,Public holiday
dr-congo,2002,16 Jan,Wednesday,Anniversary of President Laurent Kabila’s Assassination,Public holiday
dr-congo,2002,17 Jan,Thursday,Anniversary of Prime Minister Patrice Emery Lumumba’s Assassination,Public holiday
dr-congo,2002,14 Feb,Thursday,Valentine's Day,Observance
dr-congo,2002,8 Mar,Friday,International Women's Day,Observance
dr-congo,2002,20 Mar,Wednesday,International Francophonie Day,Observance
dr-congo,2002,20 Mar,Wednesday,March Equinox,Season
dr-congo,2002,30 Apr,Tuesday,Education Day,Public holiday
dr-congo,2002,1 May,Wednesday,May Day,Public holiday
dr-congo,2002,17 May,Friday,Liberation Day,Public holiday
dr-congo,2002,21 Jun,Friday,Music Festival,Observance
dr-congo,2002,21 Jun,Friday,June Solstice,Season
dr-congo,2002,29 Jun,Saturday,Independence Day observed,Public holiday
dr-congo,2002,30 Jun,Sunday,Independence Day,Public holiday
dr-congo,2002,1 Aug,Thursday,Parents' Day,Public holiday
dr-congo,2002,23 Sep,Monday,September Equinox,Season
dr-congo,2002,27 Sep,Friday,World Tourism Day,Observance
dr-congo,2002,22 Dec,Sunday,December Solstice,Season
dr-congo,2002,24 Dec,Tuesday,Christmas Eve,Observance
dr-congo,2002,25 Dec,Wednesday,Christmas Day,Public holiday
dr-congo,2002,31 Dec,Tuesday,New Year's Eve,Observance
dr-congo,2003,1 Jan,Wednesday,New Year's Day,Public holiday
dr-congo,2003,4 Jan,Saturday,Martyrs of Independence Day,Public holiday
dr-congo,2003,16 Jan,Thursday,Anniversary of President Laurent Kabila’s Assassination,Public holiday
dr-congo,2003,17 Jan,Friday,Anniversary of Prime Minister Patrice Emery Lumumba’s Assassination,Public holiday
dr-congo,2003,14 Feb,Friday,Valentine's Day,Observance
dr-congo,2003,8 Mar,Saturday,International Women's Day,Observance
dr-congo,2003,20 Mar,Thursday,International Francophonie Day,Observance
dr-congo,2003,21 Mar,Friday,March Equinox,Season
dr-congo,2003,30 Apr,Wednesday,Education Day,Public holiday
dr-congo,2003,1 May,Thursday,May Day,Public holiday
dr-congo,2003,17 May,Saturday,Liberation Day,Public holiday
dr-congo,2003,21 Jun,Saturday,Music Festival,Observance
dr-congo,2003,21 Jun,Saturday,June Solstice,Season
dr-congo,2003,30 Jun,Monday,Independence Day,Public holiday
dr-congo,2003,1 Aug,Friday,Parents' Day,Public holiday
dr-congo,2003,23 Sep,Tuesday,September Equinox,Season
dr-congo,2003,27 Sep,Saturday,World Tourism Day,Observance
dr-congo,2003,22 Dec,Monday,December Solstice,Season
dr-congo,2003,24 Dec,Wednesday,Christmas Eve,Observance
dr-congo,2003,25 Dec,Thursday,Christmas Day,Public holiday
dr-congo,2003,31 Dec,Wednesday,New Year's Eve,Observance
dr-congo,2004,1 Jan,Thursday,New Year's Day,Public holiday
dr-congo,2004,3 Jan,Saturday,Martyrs of Independence Day observed,Public holiday
dr-congo,2004,4 Jan,Sunday,Martyrs of Independence Day,Public holiday
dr-congo,2004,16 Jan,Friday,Anniversary of President Laurent Kabila’s Assassination,Public holiday
dr-congo,2004,17 Jan,Saturday,Anniversary of Prime Minister Patrice Emery Lumumba’s Assassination,Public holiday
dr-congo,2004,14 Feb,Saturday,Valentine's Day,Observance
dr-congo,2004,8 Mar,Monday,International Women's Day,Observance
dr-congo,2004,20 Mar,Saturday,International Francophonie Day,Observance
dr-congo,2004,20 Mar,Saturday,March Equinox,Season
dr-congo,2004,30 Apr,Friday,Education Day,Public holiday
dr-congo,2004,1 May,Saturday,May Day,Public holiday
dr-congo,2004,17 May,Monday,Liberation Day,Public holiday
dr-congo,2004,21 Jun,Monday,Music Festival,Observance
dr-congo,2004,21 Jun,Monday,June Solstice,Season
dr-congo,2004,30 Jun,Wednesday,Independence Day,Public holiday
dr-congo,2004,31 Jul,Saturday,Parents' Day observed,Public holiday
dr-congo,2004,1 Aug,Sunday,Parents' Day,Public holiday
dr-congo,2004,22 Sep,Wednesday,September Equinox,Season
