Geo,Event Year,Date,Day,Name,Type
el-salvador,2000,1 Jan,Saturday,New Year's Day,National holiday
el-salvador,2000,16 Jan,Sunday,Signing of the Peace Accords,Observance
el-salvador,2000,8 Mar,Wednesday,Women's Day,Observance
el-salvador,2000,20 Mar,Monday,March Equinox,Season
el-salvador,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
el-salvador,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
el-salvador,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
el-salvador,2000,22 Apr,Saturday,Holy Saturday,"National holiday, Christian"
el-salvador,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
el-salvador,2000,1 May,Monday,Labor Day / May Day,National holiday
el-salvador,2000,3 May,Wednesday,Cross Day,Observance
el-salvador,2000,7 May,Sunday,Soldiers' Day,Observance
el-salvador,2000,10 May,Wednesday,Mothers' Day,National holiday
el-salvador,2000,17 Jun,Saturday,Fathers' Day,Observance
el-salvador,2000,20 Jun,Tuesday,June Solstice,Season
el-salvador,2000,22 Jun,Thursday,Teachers' Day,Optional holiday
el-salvador,2000,3 Aug,Thursday,San Salvador Day 1 (S. Salvador only),Local holiday
el-salvador,2000,5 Aug,Saturday,San Salvador Day 2 (S. Salvador only),Local holiday
el-salvador,2000,6 Aug,Sunday,Celebrations of San Salvador,National holiday
el-salvador,2000,15 Sep,Friday,Independence Day,National holiday
el-salvador,2000,22 Sep,Friday,September Equinox,Season
el-salvador,2000,1 Oct,Sunday,Children's Day,Observance
el-salvador,2000,12 Oct,Thursday,Columbus Day,Observance
el-salvador,2000,2 Nov,Thursday,All Saints Day,National holiday
el-salvador,2000,21 Dec,Thursday,December Solstice,Season
el-salvador,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
el-salvador,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
el-salvador,2000,31 Dec,Sunday,New Year's Eve,Observance
el-salvador,2001,1 Jan,Monday,New Year's Day,National holiday
el-salvador,2001,16 Jan,Tuesday,Signing of the Peace Accords,Observance
el-salvador,2001,8 Mar,Thursday,Women's Day,Observance
el-salvador,2001,20 Mar,Tuesday,March Equinox,Season
el-salvador,2001,8 Apr,Sunday,Palm Sunday,"Observance, Christian"
el-salvador,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
el-salvador,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
el-salvador,2001,14 Apr,Saturday,Holy Saturday,"National holiday, Christian"
el-salvador,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
el-salvador,2001,1 May,Tuesday,Labor Day / May Day,National holiday
el-salvador,2001,3 May,Thursday,Cross Day,Observance
el-salvador,2001,7 May,Monday,Soldiers' Day,Observance
el-salvador,2001,10 May,Thursday,Mothers' Day,National holiday
el-salvador,2001,17 Jun,Sunday,Fathers' Day,Observance
el-salvador,2001,21 Jun,Thursday,June Solstice,Season
el-salvador,2001,22 Jun,Friday,Teachers' Day,Optional holiday
el-salvador,2001,3 Aug,Friday,San Salvador Day 1 (S. Salvador only),Local holiday
el-salvador,2001,5 Aug,Sunday,San Salvador Day 2 (S. Salvador only),Local holiday
el-salvador,2001,6 Aug,Monday,Celebrations of San Salvador,National holiday
el-salvador,2001,15 Sep,Saturday,Independence Day,National holiday
el-salvador,2001,22 Sep,Saturday,September Equinox,Season
el-salvador,2001,1 Oct,Monday,Children's Day,Observance
el-salvador,2001,12 Oct,Friday,Columbus Day,Observance
el-salvador,2001,2 Nov,Friday,All Saints Day,National holiday
el-salvador,2001,21 Dec,Friday,December Solstice,Season
el-salvador,2001,24 Dec,Monday,Christmas Eve,"Observance, Christian"
el-salvador,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
el-salvador,2001,31 Dec,Monday,New Year's Eve,Observance
el-salvador,2002,1 Jan,Tuesday,New Year's Day,National holiday
el-salvador,2002,16 Jan,Wednesday,Signing of the Peace Accords,Observance
el-salvador,2002,8 Mar,Friday,Women's Day,Observance
el-salvador,2002,20 Mar,Wednesday,March Equinox,Season
el-salvador,2002,24 Mar,Sunday,Palm Sunday,"Observance, Christian"
el-salvador,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
el-salvador,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
el-salvador,2002,30 Mar,Saturday,Holy Saturday,"National holiday, Christian"
el-salvador,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
el-salvador,2002,1 May,Wednesday,Labor Day / May Day,National holiday
el-salvador,2002,3 May,Friday,Cross Day,Observance
el-salvador,2002,7 May,Tuesday,Soldiers' Day,Observance
el-salvador,2002,10 May,Friday,Mothers' Day,National holiday
el-salvador,2002,17 Jun,Monday,Fathers' Day,Observance
el-salvador,2002,21 Jun,Friday,June Solstice,Season
el-salvador,2002,22 Jun,Saturday,Teachers' Day,Optional holiday
el-salvador,2002,3 Aug,Saturday,San Salvador Day 1 (S. Salvador only),Local holiday
el-salvador,2002,5 Aug,Monday,San Salvador Day 2 (S. Salvador only),Local holiday
el-salvador,2002,6 Aug,Tuesday,Celebrations of San Salvador,National holiday
el-salvador,2002,15 Sep,Sunday,Independence Day,National holiday
el-salvador,2002,22 Sep,Sunday,September Equinox,Season
el-salvador,2002,1 Oct,Tuesday,Children's Day,Observance
el-salvador,2002,12 Oct,Saturday,Columbus Day,Observance
el-salvador,2002,2 Nov,Saturday,All Saints Day,National holiday
el-salvador,2002,21 Dec,Saturday,December Solstice,Season
