Geo,Event Year,Date,Day,Name,Type
ethiopia,2003,7 Jan,Tuesday,Ethiopian Christmas Day,Public Holiday
ethiopia,2003,19 Jan,Sunday,Epiphany / Timkat,Public Holiday
ethiopia,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
ethiopia,2003,2 Mar,Sunday,Adwa Victory Day,Public Holiday
ethiopia,2003,21 Mar,Friday,March Equinox,Season
ethiopia,2003,25 Apr,Friday,Ethiopian Good Friday,Public Holiday
ethiopia,2003,27 Apr,Sunday,Fasika,Public Holiday
ethiopia,2003,1 May,Thursday,International Labor Day,Public Holiday
ethiopia,2003,5 May,Monday,Patriots' Day,Public Holiday
ethiopia,2003,14 May,Wednesday,The Prophet's Birthday,Public Holiday
ethiopia,2003,28 May,Wednesday,Derg Downfall Day,Public Holiday
ethiopia,2003,21 Jun,Saturday,June Solstice,Season
ethiopia,2003,12 Sep,Friday,Ethiopian New Year,Public Holiday
ethiopia,2003,23 Sep,Tuesday,September Equinox,Season
ethiopia,2003,28 Sep,Sunday,Meskel,Public Holiday
ethiopia,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
ethiopia,2003,22 Dec,Monday,December Solstice,Season
ethiopia,2004,7 Jan,Wednesday,Ethiopian Christmas Day,Public Holiday
ethiopia,2004,20 Jan,Tuesday,Epiphany / Timkat,Public Holiday
ethiopia,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
ethiopia,2004,2 Mar,Tuesday,Adwa Victory Day,Public Holiday
ethiopia,2004,20 Mar,Saturday,March Equinox,Season
ethiopia,2004,9 Apr,Friday,Ethiopian Good Friday,Public Holiday
ethiopia,2004,11 Apr,Sunday,Fasika,Public Holiday
ethiopia,2004,1 May,Saturday,International Labor Day,Public Holiday
ethiopia,2004,2 May,Sunday,The Prophet's Birthday,Public Holiday
ethiopia,2004,5 May,Wednesday,Patriots' Day,Public Holiday
ethiopia,2004,28 May,Friday,Derg Downfall Day,Public Holiday
ethiopia,2004,21 Jun,Monday,June Solstice,Season
ethiopia,2004,11 Sep,Saturday,Ethiopian New Year,Public Holiday
ethiopia,2004,22 Sep,Wednesday,September Equinox,Season
ethiopia,2004,27 Sep,Monday,Meskel,Public Holiday
ethiopia,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
ethiopia,2004,21 Dec,Tuesday,December Solstice,Season
ethiopia,2005,7 Jan,Friday,Ethiopian Christmas Day,Public Holiday
