Geo,Event Year,Date,Day,Name,Type
falkland-islands,2009,1 Jan,Thursday,New Year's Day,Public Holiday
falkland-islands,2009,10 Jan,Saturday,Margaret Thatcher Day,Observance
falkland-islands,2009,20 Mar,Friday,March Equinox,Season
falkland-islands,2009,10 Apr,Friday,Good Friday,Public Holiday
falkland-islands,2009,19 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
falkland-islands,2009,21 Apr,Tuesday,Queen Elizabeth II's Birthday,Public Holiday
falkland-islands,2009,14 Jun,Sunday,Liberation Day,Public Holiday
falkland-islands,2009,15 Jun,Monday,Liberation Day observed,Public Holiday
falkland-islands,2009,21 Jun,Sunday,June Solstice,Season
falkland-islands,2009,14 Aug,Friday,Falkland Day,Observance
falkland-islands,2009,6 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
falkland-islands,2009,22 Sep,Tuesday,September Equinox,Season
falkland-islands,2009,5 Oct,Monday,Peat Cutting Monday,Public Holiday
falkland-islands,2009,8 Dec,Tuesday,Battle Day,Public Holiday
falkland-islands,2009,21 Dec,Monday,December Solstice,Season
falkland-islands,2009,25 Dec,Friday,Christmas Day,Public Holiday
falkland-islands,2009,26 Dec,Saturday,Boxing Day,Public Holiday
falkland-islands,2009,27 Dec,Sunday,Christmas Holiday,Public Holiday
falkland-islands,2009,28 Dec,Monday,Day off for Boxing Day,Public Holiday
falkland-islands,2009,29 Dec,Tuesday,Day off for Christmas Holiday,Public Holiday
falkland-islands,2010,1 Jan,Friday,New Year's Day,Public Holiday
falkland-islands,2010,10 Jan,Sunday,Margaret Thatcher Day,Observance
falkland-islands,2010,20 Mar,Saturday,March Equinox,Season
falkland-islands,2010,2 Apr,Friday,Good Friday,Public Holiday
falkland-islands,2010,18 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
falkland-islands,2010,21 Apr,Wednesday,Queen Elizabeth II's Birthday,Public Holiday
falkland-islands,2010,14 Jun,Monday,Liberation Day,Public Holiday
falkland-islands,2010,21 Jun,Monday,June Solstice,Season
falkland-islands,2010,14 Aug,Saturday,Falkland Day,Observance
falkland-islands,2010,23 Sep,Thursday,September Equinox,Season
falkland-islands,2010,4 Oct,Monday,Peat Cutting Monday,Public Holiday
falkland-islands,2010,8 Dec,Wednesday,Battle Day,Public Holiday
falkland-islands,2010,21 Dec,Tuesday,December Solstice,Season
falkland-islands,2010,25 Dec,Saturday,Christmas Day,Public Holiday
falkland-islands,2010,26 Dec,Sunday,Boxing Day,Public Holiday
falkland-islands,2010,27 Dec,Monday,Day off for Christmas Day,Public Holiday
falkland-islands,2010,27 Dec,Monday,Christmas Holiday,Public Holiday
falkland-islands,2010,28 Dec,Tuesday,Day off for Boxing Day,Public Holiday
falkland-islands,2011,1 Jan,Saturday,New Year's Day,Public Holiday
falkland-islands,2011,3 Jan,Monday,New Year's Day observed,Public Holiday
falkland-islands,2011,10 Jan,Monday,Margaret Thatcher Day,Observance
falkland-islands,2011,20 Mar,Sunday,March Equinox,Season
falkland-islands,2011,21 Apr,Thursday,Queen Elizabeth II's Birthday,Public Holiday
falkland-islands,2011,22 Apr,Friday,Good Friday,Public Holiday
falkland-islands,2011,14 Jun,Tuesday,Liberation Day,Public Holiday
falkland-islands,2011,21 Jun,Tuesday,June Solstice,Season
falkland-islands,2011,14 Aug,Sunday,Falkland Day,Observance
falkland-islands,2011,23 Sep,Friday,September Equinox,Season
falkland-islands,2011,3 Oct,Monday,Peat Cutting Monday,Public Holiday
