Geo,Event Year,Date,Day,Name,Type
faroe-islands,2014,1 Jan,Wednesday,New Year,Public Holiday
faroe-islands,2014,20 Mar,Thursday,March Equinox,Season
faroe-islands,2014,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2014,17 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2014,18 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2014,20 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2014,21 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2014,25 Apr,Friday,National Flag Day,Public Holiday
faroe-islands,2014,16 May,Friday,Prayer Day,Public Holiday
faroe-islands,2014,29 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2014,5 Jun,Thursday,Constitution Day,Half-day
faroe-islands,2014,8 Jun,Sunday,Whit Sunday,Public Holiday
faroe-islands,2014,9 Jun,Monday,Whit Monday,Public Holiday
faroe-islands,2014,21 Jun,Saturday,June Solstice,Season
faroe-islands,2014,28 Jul,Monday,St. Olav's Eve,Half-day
faroe-islands,2014,29 Jul,Tuesday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2014,23 Sep,Tuesday,September Equinox,Season
faroe-islands,2014,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2014,21 Dec,Sunday,December Solstice,Season
faroe-islands,2014,24 Dec,Wednesday,Christmas Eve,Public Holiday
faroe-islands,2014,25 Dec,Thursday,Christmas Day,Public Holiday
faroe-islands,2014,26 Dec,Friday,Boxing Day,Public Holiday
faroe-islands,2014,31 Dec,Wednesday,New Year's Eve,Public Holiday
faroe-islands,2015,1 Jan,Thursday,New Year,Public Holiday
faroe-islands,2015,20 Mar,Friday,March Equinox,Season
faroe-islands,2015,29 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2015,2 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2015,3 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2015,5 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2015,6 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2015,25 Apr,Saturday,National Flag Day,Public Holiday
faroe-islands,2015,1 May,Friday,Prayer Day,Public Holiday
faroe-islands,2015,14 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2015,24 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2015,25 May,Monday,Whit Monday,Public Holiday
faroe-islands,2015,5 Jun,Friday,Constitution Day,Half-day
faroe-islands,2015,21 Jun,Sunday,June Solstice,Season
faroe-islands,2015,28 Jul,Tuesday,St. Olav's Eve,Half-day
faroe-islands,2015,29 Jul,Wednesday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2015,23 Sep,Wednesday,September Equinox,Season
faroe-islands,2015,25 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2015,22 Dec,Tuesday,December Solstice,Season
faroe-islands,2015,24 Dec,Thursday,Christmas Eve,Public Holiday
faroe-islands,2015,25 Dec,Friday,Christmas Day,Public Holiday
faroe-islands,2015,26 Dec,Saturday,Boxing Day,Public Holiday
faroe-islands,2015,31 Dec,Thursday,New Year's Eve,Public Holiday
faroe-islands,2016,1 Jan,Friday,New Year,Public Holiday
faroe-islands,2016,20 Mar,Sunday,March Equinox,Season
faroe-islands,2016,24 Mar,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2016,25 Mar,Friday,Good Friday,Public Holiday
faroe-islands,2016,27 Mar,Sunday,Easter Sunday,Public Holiday
faroe-islands,2016,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2016,28 Mar,Monday,Easter Monday,Public Holiday
faroe-islands,2016,22 Apr,Friday,Prayer Day,Public Holiday
faroe-islands,2016,25 Apr,Monday,National Flag Day,Public Holiday
faroe-islands,2016,5 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2016,15 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2016,16 May,Monday,Whit Monday,Public Holiday
faroe-islands,2016,5 Jun,Sunday,Constitution Day,Half-day
faroe-islands,2016,20 Jun,Monday,June Solstice,Season
faroe-islands,2016,28 Jul,Thursday,St. Olav's Eve,Half-day
faroe-islands,2016,29 Jul,Friday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2016,22 Sep,Thursday,September Equinox,Season
faroe-islands,2016,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2016,21 Dec,Wednesday,December Solstice,Season
faroe-islands,2016,24 Dec,Saturday,Christmas Eve,Public Holiday
faroe-islands,2016,25 Dec,Sunday,Christmas Day,Public Holiday
faroe-islands,2016,26 Dec,Monday,Boxing Day,Public Holiday
faroe-islands,2016,31 Dec,Saturday,New Year's Eve,Public Holiday
faroe-islands,2017,1 Jan,Sunday,New Year,Public Holiday
faroe-islands,2017,20 Mar,Monday,March Equinox,Season
faroe-islands,2017,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2017,13 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2017,14 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2017,16 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2017,17 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2017,25 Apr,Tuesday,National Flag Day,Public Holiday
faroe-islands,2017,12 May,Friday,Prayer Day,Public Holiday
faroe-islands,2017,25 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2017,4 Jun,Sunday,Whit Sunday,Public Holiday
faroe-islands,2017,5 Jun,Monday,Whit Monday,Public Holiday
faroe-islands,2017,5 Jun,Monday,Constitution Day,Half-day
faroe-islands,2017,21 Jun,Wednesday,June Solstice,Season
faroe-islands,2017,28 Jul,Friday,St. Olav's Eve,Half-day
faroe-islands,2017,29 Jul,Saturday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2017,22 Sep,Friday,September Equinox,Season
faroe-islands,2017,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2017,21 Dec,Thursday,December Solstice,Season
faroe-islands,2017,24 Dec,Sunday,Christmas Eve,Public Holiday
faroe-islands,2017,25 Dec,Monday,Christmas Day,Public Holiday
faroe-islands,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
faroe-islands,2017,31 Dec,Sunday,New Year's Eve,Public Holiday
faroe-islands,2018,1 Jan,Monday,New Year,Public Holiday
faroe-islands,2018,20 Mar,Tuesday,March Equinox,Season
faroe-islands,2018,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2018,29 Mar,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2018,30 Mar,Friday,Good Friday,Public Holiday
faroe-islands,2018,1 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2018,2 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2018,25 Apr,Wednesday,National Flag Day,Public Holiday
faroe-islands,2018,27 Apr,Friday,Prayer Day,Public Holiday
faroe-islands,2018,10 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2018,20 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2018,21 May,Monday,Whit Monday,Public Holiday
faroe-islands,2018,5 Jun,Tuesday,Constitution Day,Half-day
faroe-islands,2018,21 Jun,Thursday,June Solstice,Season
faroe-islands,2018,28 Jul,Saturday,St. Olav's Eve,Half-day
faroe-islands,2018,29 Jul,Sunday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2018,23 Sep,Sunday,September Equinox,Season
faroe-islands,2018,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2018,21 Dec,Friday,December Solstice,Season
faroe-islands,2018,24 Dec,Monday,Christmas Eve,Public Holiday
faroe-islands,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
faroe-islands,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
faroe-islands,2018,31 Dec,Monday,New Year's Eve,Public Holiday
faroe-islands,2019,1 Jan,Tuesday,New Year,Public Holiday
faroe-islands,2019,20 Mar,Wednesday,March Equinox,Season
faroe-islands,2019,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2019,18 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2019,19 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2019,21 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2019,22 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2019,25 Apr,Thursday,National Flag Day,Public Holiday
faroe-islands,2019,17 May,Friday,Prayer Day,Public Holiday
faroe-islands,2019,30 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2019,5 Jun,Wednesday,Constitution Day,Half-day
faroe-islands,2019,9 Jun,Sunday,Whit Sunday,Public Holiday
faroe-islands,2019,10 Jun,Monday,Whit Monday,Public Holiday
faroe-islands,2019,21 Jun,Friday,June Solstice,Season
faroe-islands,2019,28 Jul,Sunday,St. Olav's Eve,Half-day
faroe-islands,2019,29 Jul,Monday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2019,23 Sep,Monday,September Equinox,Season
faroe-islands,2019,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2019,22 Dec,Sunday,December Solstice,Season
faroe-islands,2019,24 Dec,Tuesday,Christmas Eve,Public Holiday
faroe-islands,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
faroe-islands,2019,26 Dec,Thursday,Boxing Day,Public Holiday
faroe-islands,2019,31 Dec,Tuesday,New Year's Eve,Public Holiday
faroe-islands,2020,1 Jan,Wednesday,New Year,Public Holiday
faroe-islands,2020,20 Mar,Friday,March Equinox,Season
faroe-islands,2020,29 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2020,9 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2020,10 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2020,12 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2020,13 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2020,25 Apr,Saturday,National Flag Day,Public Holiday
faroe-islands,2020,8 May,Friday,Prayer Day,Public Holiday
faroe-islands,2020,21 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2020,31 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2020,1 Jun,Monday,Whit Monday,Public Holiday
faroe-islands,2020,5 Jun,Friday,Constitution Day,Half-day
faroe-islands,2020,20 Jun,Saturday,June Solstice,Season
faroe-islands,2020,28 Jul,Tuesday,St. Olav's Eve,Half-day
faroe-islands,2020,29 Jul,Wednesday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2020,22 Sep,Tuesday,September Equinox,Season
faroe-islands,2020,25 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2020,21 Dec,Monday,December Solstice,Season
faroe-islands,2020,24 Dec,Thursday,Christmas Eve,Public Holiday
faroe-islands,2020,25 Dec,Friday,Christmas Day,Public Holiday
faroe-islands,2020,26 Dec,Saturday,Boxing Day,Public Holiday
faroe-islands,2020,31 Dec,Thursday,New Year's Eve,Public Holiday
faroe-islands,2021,1 Jan,Friday,New Year,Public Holiday
faroe-islands,2021,20 Mar,Saturday,March Equinox,Season
faroe-islands,2021,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2021,1 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2021,2 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2021,4 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2021,5 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2021,25 Apr,Sunday,National Flag Day,Public Holiday
faroe-islands,2021,30 Apr,Friday,Prayer Day,Public Holiday
faroe-islands,2021,13 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2021,23 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2021,24 May,Monday,Whit Monday,Public Holiday
faroe-islands,2021,5 Jun,Saturday,Constitution Day,Half-day
faroe-islands,2021,21 Jun,Monday,June Solstice,Season
faroe-islands,2021,28 Jul,Wednesday,St. Olav's Eve,Half-day
faroe-islands,2021,29 Jul,Thursday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2021,22 Sep,Wednesday,September Equinox,Season
faroe-islands,2021,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2021,21 Dec,Tuesday,December Solstice,Season
faroe-islands,2021,24 Dec,Friday,Christmas Eve,Public Holiday
faroe-islands,2021,25 Dec,Saturday,Christmas Day,Public Holiday
faroe-islands,2021,26 Dec,Sunday,Boxing Day,Public Holiday
faroe-islands,2021,31 Dec,Friday,New Year's Eve,Public Holiday
faroe-islands,2022,1 Jan,Saturday,New Year,Public Holiday
faroe-islands,2022,20 Mar,Sunday,March Equinox,Season
faroe-islands,2022,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2022,14 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2022,15 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2022,17 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2022,18 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2022,25 Apr,Monday,National Flag Day,Public Holiday
faroe-islands,2022,13 May,Friday,Prayer Day,Public Holiday
faroe-islands,2022,26 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2022,5 Jun,Sunday,Whit Sunday,Public Holiday
faroe-islands,2022,5 Jun,Sunday,Constitution Day,Half-day
faroe-islands,2022,6 Jun,Monday,Whit Monday,Public Holiday
faroe-islands,2022,21 Jun,Tuesday,June Solstice,Season
faroe-islands,2022,28 Jul,Thursday,St. Olav's Eve,Half-day
faroe-islands,2022,29 Jul,Friday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2022,23 Sep,Friday,September Equinox,Season
faroe-islands,2022,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2022,21 Dec,Wednesday,December Solstice,Season
faroe-islands,2022,24 Dec,Saturday,Christmas Eve,Public Holiday
faroe-islands,2022,25 Dec,Sunday,Christmas Day,Public Holiday
faroe-islands,2022,26 Dec,Monday,Boxing Day,Public Holiday
faroe-islands,2022,31 Dec,Saturday,New Year's Eve,Public Holiday
faroe-islands,2023,1 Jan,Sunday,New Year,Public Holiday
faroe-islands,2023,20 Mar,Monday,March Equinox,Season
faroe-islands,2023,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2023,6 Apr,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2023,7 Apr,Friday,Good Friday,Public Holiday
faroe-islands,2023,9 Apr,Sunday,Easter Sunday,Public Holiday
faroe-islands,2023,10 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2023,25 Apr,Tuesday,National Flag Day,Public Holiday
faroe-islands,2023,5 May,Friday,Prayer Day,Public Holiday
faroe-islands,2023,18 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2023,28 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2023,29 May,Monday,Whit Monday,Public Holiday
faroe-islands,2023,5 Jun,Monday,Constitution Day,Half-day
faroe-islands,2023,21 Jun,Wednesday,June Solstice,Season
faroe-islands,2023,28 Jul,Friday,St. Olav's Eve,Half-day
faroe-islands,2023,29 Jul,Saturday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2023,23 Sep,Saturday,September Equinox,Season
faroe-islands,2023,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2023,22 Dec,Friday,December Solstice,Season
faroe-islands,2023,24 Dec,Sunday,Christmas Eve,Public Holiday
faroe-islands,2023,25 Dec,Monday,Christmas Day,Public Holiday
faroe-islands,2023,26 Dec,Tuesday,Boxing Day,Public Holiday
faroe-islands,2023,31 Dec,Sunday,New Year's Eve,Public Holiday
faroe-islands,2024,1 Jan,Monday,New Year,Public Holiday
faroe-islands,2024,20 Mar,Wednesday,March Equinox,Season
faroe-islands,2024,28 Mar,Thursday,Maundy Thursday,Public Holiday
faroe-islands,2024,29 Mar,Friday,Good Friday,Public Holiday
faroe-islands,2024,31 Mar,Sunday,Easter Sunday,Public Holiday
faroe-islands,2024,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
faroe-islands,2024,1 Apr,Monday,Easter Monday,Public Holiday
faroe-islands,2024,25 Apr,Thursday,National Flag Day,Public Holiday
faroe-islands,2024,26 Apr,Friday,Prayer Day,Public Holiday
faroe-islands,2024,9 May,Thursday,Ascension Day,Public Holiday
faroe-islands,2024,19 May,Sunday,Whit Sunday,Public Holiday
faroe-islands,2024,20 May,Monday,Whit Monday,Public Holiday
faroe-islands,2024,5 Jun,Wednesday,Constitution Day,Half-day
faroe-islands,2024,20 Jun,Thursday,June Solstice,Season
faroe-islands,2024,28 Jul,Sunday,St. Olav's Eve,Half-day
faroe-islands,2024,29 Jul,Monday,St. Olav's Day (National Day),Public Holiday
faroe-islands,2024,22 Sep,Sunday,September Equinox,Season
faroe-islands,2024,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
faroe-islands,2024,21 Dec,Saturday,December Solstice,Season
faroe-islands,2024,24 Dec,Tuesday,Christmas Eve,Public Holiday
faroe-islands,2024,25 Dec,Wednesday,Christmas Day,Public Holiday
faroe-islands,2024,26 Dec,Thursday,Boxing Day,Public Holiday
faroe-islands,2024,31 Dec,Tuesday,New Year's Eve,Public Holiday
