Geo,Event Year,Date,Day,Name,Type
french-guiana,2000,1 Jan,Saturday,New Year's Day,Public Holiday
french-guiana,2000,6 Mar,Monday,Carnival / Shrove Monday,Private sector holiday
french-guiana,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
french-guiana,2000,8 Mar,Wednesday,Carnival / Ash Wednesday,Private sector holiday
french-guiana,2000,20 Mar,Monday,March Equinox,Season
french-guiana,2000,2 Apr,Sunday,Laetare Sunday,Observance
french-guiana,2000,16 Apr,Sunday,Palm Sunday,Observance
french-guiana,2000,21 Apr,Friday,Good Friday,Bank holiday
french-guiana,2000,23 Apr,Sunday,Easter Sunday,Observance
french-guiana,2000,24 Apr,Monday,Easter Monday,Public Holiday
french-guiana,2000,1 May,Monday,Labor Day / May Day,Public Holiday
french-guiana,2000,8 May,Monday,Victory Day,Public Holiday
french-guiana,2000,1 Jun,Thursday,Ascension Day,Public Holiday
french-guiana,2000,10 Jun,Saturday,Abolition Day,Public Holiday
french-guiana,2000,11 Jun,Sunday,Whit Sunday,Observance
french-guiana,2000,12 Jun,Monday,Whit Monday,Public Holiday
french-guiana,2000,20 Jun,Tuesday,June Solstice,Season
french-guiana,2000,14 Jul,Friday,French National Day,Public Holiday
french-guiana,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
french-guiana,2000,22 Sep,Friday,September Equinox,Season
french-guiana,2000,15 Oct,Sunday,Cayenne Festival,Common local holiday
french-guiana,2000,1 Nov,Wednesday,All Saints' Day,Public Holiday
french-guiana,2000,2 Nov,Thursday,All Souls' Day,Observance
french-guiana,2000,11 Nov,Saturday,Armistice Day,Public Holiday
french-guiana,2000,21 Dec,Thursday,December Solstice,Season
french-guiana,2000,25 Dec,Monday,Christmas Day,Public Holiday
french-guiana,2000,31 Dec,Sunday,New Year's Eve,Observance
french-guiana,2001,1 Jan,Monday,New Year's Day,Public Holiday
french-guiana,2001,26 Feb,Monday,Carnival / Shrove Monday,Private sector holiday
french-guiana,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
french-guiana,2001,28 Feb,Wednesday,Carnival / Ash Wednesday,Private sector holiday
french-guiana,2001,20 Mar,Tuesday,March Equinox,Season
french-guiana,2001,25 Mar,Sunday,Laetare Sunday,Observance
french-guiana,2001,8 Apr,Sunday,Palm Sunday,Observance
french-guiana,2001,13 Apr,Friday,Good Friday,Bank holiday
french-guiana,2001,15 Apr,Sunday,Easter Sunday,Observance
french-guiana,2001,16 Apr,Monday,Easter Monday,Public Holiday
french-guiana,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
french-guiana,2001,8 May,Tuesday,Victory Day,Public Holiday
french-guiana,2001,24 May,Thursday,Ascension Day,Public Holiday
french-guiana,2001,3 Jun,Sunday,Whit Sunday,Observance
french-guiana,2001,4 Jun,Monday,Whit Monday,Public Holiday
french-guiana,2001,10 Jun,Sunday,Abolition Day,Public Holiday
french-guiana,2001,21 Jun,Thursday,June Solstice,Season
french-guiana,2001,14 Jul,Saturday,French National Day,Public Holiday
french-guiana,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
french-guiana,2001,22 Sep,Saturday,September Equinox,Season
french-guiana,2001,15 Oct,Monday,Cayenne Festival,Common local holiday
french-guiana,2001,1 Nov,Thursday,All Saints' Day,Public Holiday
french-guiana,2001,2 Nov,Friday,All Souls' Day,Observance
french-guiana,2001,11 Nov,Sunday,Armistice Day,Public Holiday
french-guiana,2001,21 Dec,Friday,December Solstice,Season
french-guiana,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
french-guiana,2001,31 Dec,Monday,New Year's Eve,Observance
french-guiana,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
french-guiana,2002,11 Feb,Monday,Carnival / Shrove Monday,Private sector holiday
french-guiana,2002,12 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
french-guiana,2002,13 Feb,Wednesday,Carnival / Ash Wednesday,Private sector holiday
french-guiana,2002,10 Mar,Sunday,Laetare Sunday,Observance
french-guiana,2002,20 Mar,Wednesday,March Equinox,Season
french-guiana,2002,24 Mar,Sunday,Palm Sunday,Observance
french-guiana,2002,29 Mar,Friday,Good Friday,Bank holiday
french-guiana,2002,31 Mar,Sunday,Easter Sunday,Observance
french-guiana,2002,1 Apr,Monday,Easter Monday,Public Holiday
french-guiana,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
french-guiana,2002,8 May,Wednesday,Victory Day,Public Holiday
french-guiana,2002,9 May,Thursday,Ascension Day,Public Holiday
french-guiana,2002,19 May,Sunday,Whit Sunday,Observance
french-guiana,2002,20 May,Monday,Whit Monday,Public Holiday
french-guiana,2002,10 Jun,Monday,Abolition Day,Public Holiday
french-guiana,2002,21 Jun,Friday,June Solstice,Season
