Geo,Event Year,Date,Day,Name,Type
french-polynesia,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
french-polynesia,2003,5 Mar,Wednesday,Missionary Day,Public Holiday
french-polynesia,2003,20 Mar,Thursday,March Equinox,Season
french-polynesia,2003,18 Apr,Friday,Good Friday,Public Holiday
french-polynesia,2003,21 Apr,Monday,Easter Monday,Public Holiday
french-polynesia,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
french-polynesia,2003,8 May,Thursday,Victory Day,Public Holiday
french-polynesia,2003,29 May,Thursday,Ascension Day,Public Holiday
french-polynesia,2003,9 Jun,Monday,Whit Monday,Public Holiday
french-polynesia,2003,21 Jun,Saturday,June Solstice,Season
french-polynesia,2003,29 Jun,Sunday,Autonomy Day,Public Holiday
french-polynesia,2003,14 Jul,Monday,French National Day,Public Holiday
french-polynesia,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
french-polynesia,2003,23 Sep,Tuesday,September Equinox,Season
french-polynesia,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
french-polynesia,2003,11 Nov,Tuesday,Armistice Day,Public Holiday
french-polynesia,2003,21 Dec,Sunday,December Solstice,Season
french-polynesia,2003,25 Dec,Thursday,Christmas Day,Public Holiday
french-polynesia,2004,1 Jan,Thursday,New Year's Day,Public Holiday
french-polynesia,2004,5 Mar,Friday,Missionary Day,Public Holiday
french-polynesia,2004,19 Mar,Friday,March Equinox,Season
french-polynesia,2004,9 Apr,Friday,Good Friday,Public Holiday
french-polynesia,2004,12 Apr,Monday,Easter Monday,Public Holiday
french-polynesia,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
french-polynesia,2004,8 May,Saturday,Victory Day,Public Holiday
french-polynesia,2004,20 May,Thursday,Ascension Day,Public Holiday
french-polynesia,2004,31 May,Monday,Whit Monday,Public Holiday
french-polynesia,2004,20 Jun,Sunday,June Solstice,Season
french-polynesia,2004,29 Jun,Tuesday,Autonomy Day,Public Holiday
french-polynesia,2004,14 Jul,Wednesday,French National Day,Public Holiday
french-polynesia,2004,15 Aug,Sunday,Assumption of Mary,Public Holiday
french-polynesia,2004,22 Sep,Wednesday,September Equinox,Season
french-polynesia,2004,1 Nov,Monday,All Saints' Day,Public Holiday
french-polynesia,2004,11 Nov,Thursday,Armistice Day,Public Holiday
french-polynesia,2004,21 Dec,Tuesday,December Solstice,Season
french-polynesia,2004,25 Dec,Saturday,Christmas Day,Public Holiday
french-polynesia,2005,1 Jan,Saturday,New Year's Day,Public Holiday
french-polynesia,2005,5 Mar,Saturday,Missionary Day,Public Holiday
french-polynesia,2005,20 Mar,Sunday,March Equinox,Season
french-polynesia,2005,25 Mar,Friday,Good Friday,Public Holiday
french-polynesia,2005,28 Mar,Monday,Easter Monday,Public Holiday
french-polynesia,2005,1 May,Sunday,Labor Day / May Day,Public Holiday
french-polynesia,2005,5 May,Thursday,Ascension Day,Public Holiday
french-polynesia,2005,8 May,Sunday,Victory Day,Public Holiday
french-polynesia,2005,16 May,Monday,Whit Monday,Public Holiday
french-polynesia,2005,20 Jun,Monday,June Solstice,Season
french-polynesia,2005,29 Jun,Wednesday,Autonomy Day,Public Holiday
french-polynesia,2005,14 Jul,Thursday,French National Day,Public Holiday
french-polynesia,2005,15 Aug,Monday,Assumption of Mary,Public Holiday
french-polynesia,2005,22 Sep,Thursday,September Equinox,Season
french-polynesia,2005,1 Nov,Tuesday,All Saints' Day,Public Holiday
french-polynesia,2005,11 Nov,Friday,Armistice Day,Public Holiday
french-polynesia,2005,21 Dec,Wednesday,December Solstice,Season
french-polynesia,2005,25 Dec,Sunday,Christmas Day,Public Holiday
french-polynesia,2006,1 Jan,Sunday,New Year's Day,Public Holiday
french-polynesia,2006,5 Mar,Sunday,Missionary Day,Public Holiday
french-polynesia,2006,20 Mar,Monday,March Equinox,Season
french-polynesia,2006,14 Apr,Friday,Good Friday,Public Holiday
french-polynesia,2006,17 Apr,Monday,Easter Monday,Public Holiday
french-polynesia,2006,1 May,Monday,Labor Day / May Day,Public Holiday
french-polynesia,2006,8 May,Monday,Victory Day,Public Holiday
french-polynesia,2006,25 May,Thursday,Ascension Day,Public Holiday
french-polynesia,2006,5 Jun,Monday,Whit Monday,Public Holiday
french-polynesia,2006,21 Jun,Wednesday,June Solstice,Season
french-polynesia,2006,29 Jun,Thursday,Autonomy Day,Public Holiday
french-polynesia,2006,14 Jul,Friday,French National Day,Public Holiday
french-polynesia,2006,15 Aug,Tuesday,Assumption of Mary,Public Holiday
french-polynesia,2006,22 Sep,Friday,September Equinox,Season
french-polynesia,2006,1 Nov,Wednesday,All Saints' Day,Public Holiday
french-polynesia,2006,11 Nov,Saturday,Armistice Day,Public Holiday
french-polynesia,2006,21 Dec,Thursday,December Solstice,Season
french-polynesia,2006,25 Dec,Monday,Christmas Day,Public Holiday
french-polynesia,2007,1 Jan,Monday,New Year's Day,Public Holiday
