Geo,Event Year,Date,Day,Name,Type
gibraltar,2014,1 Jan,Wednesday,New Year's Day,Public Holiday
gibraltar,2014,14 Feb,Friday,Valentine's Day,Observance
gibraltar,2014,10 Mar,Monday,Commonwealth Day,Public Holiday
gibraltar,2014,20 Mar,Thursday,March Equinox,Season
gibraltar,2014,30 Mar,Sunday,Mothers' Day,Observance
gibraltar,2014,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
gibraltar,2014,18 Apr,Friday,Good Friday,Public Holiday
gibraltar,2014,20 Apr,Sunday,Easter Sunday,Major Observance
gibraltar,2014,21 Apr,Monday,Easter Monday,Public Holiday
gibraltar,2014,28 Apr,Monday,Workers' Memorial Day,Public Holiday
gibraltar,2014,1 May,Thursday,May Day,Public Holiday
gibraltar,2014,26 May,Monday,Spring Bank Holiday,Public Holiday
gibraltar,2014,15 Jun,Sunday,Father's Day,Observance
gibraltar,2014,16 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
gibraltar,2014,21 Jun,Saturday,June Solstice,Season
gibraltar,2014,25 Aug,Monday,Late Summer Bank Holiday,Public Holiday
gibraltar,2014,10 Sep,Wednesday,Gibraltar Day,Public Holiday
gibraltar,2014,23 Sep,Tuesday,September Equinox,Season
gibraltar,2014,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
gibraltar,2014,31 Oct,Friday,Halloween,Observance
gibraltar,2014,22 Dec,Monday,December Solstice,Season
gibraltar,2014,24 Dec,Wednesday,Christmas Eve,Major Observance
gibraltar,2014,25 Dec,Thursday,Christmas Day,Public Holiday
gibraltar,2014,26 Dec,Friday,Boxing Day,Public Holiday
gibraltar,2014,31 Dec,Wednesday,New Year's Eve,Major Observance
gibraltar,2015,1 Jan,Thursday,New Year's Day,Public Holiday
gibraltar,2015,2 Jan,Friday,Second Day of New Year,Government holiday
gibraltar,2015,14 Feb,Saturday,Valentine's Day,Observance
gibraltar,2015,9 Mar,Monday,Commonwealth Day,Public Holiday
gibraltar,2015,15 Mar,Sunday,Mothers' Day,Observance
