Geo,Event Year,Date,Day,Name,Type
greenland,2009,1 Jan,Thursday,New Year,Public Holiday
greenland,2009,6 Jan,Tuesday,Epiphany,Half Day
greenland,2009,20 Mar,Friday,March Equinox,Season
greenland,2009,28 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
greenland,2009,9 Apr,Thursday,Maundy Thursday,Public Holiday
greenland,2009,10 Apr,Friday,Good Friday,Public Holiday
greenland,2009,12 Apr,Sunday,Easter Sunday,Public Holiday
greenland,2009,13 Apr,Monday,Easter Monday,Public Holiday
greenland,2009,1 May,Friday,May Day,Half Day
greenland,2009,8 May,Friday,Great Prayer Day,Public Holiday
greenland,2009,21 May,Thursday,Ascension Day,Public Holiday
greenland,2009,1 Jun,Monday,Whit Monday,Public Holiday
greenland,2009,21 Jun,Sunday,National Day,Public Holiday
greenland,2009,21 Jun,Sunday,June Solstice,Season
greenland,2009,22 Sep,Tuesday,September Equinox,Season
greenland,2009,24 Oct,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
greenland,2009,21 Dec,Monday,December Solstice,Season
greenland,2009,24 Dec,Thursday,Christmas Eve,Observance
greenland,2009,25 Dec,Friday,Christmas Day,Public Holiday
greenland,2009,26 Dec,Saturday,Boxing Day,Public Holiday
greenland,2009,31 Dec,Thursday,New Year's Eve,Public Holiday
greenland,2010,1 Jan,Friday,New Year,Public Holiday
greenland,2010,6 Jan,Wednesday,Epiphany,Half Day
greenland,2010,20 Mar,Saturday,March Equinox,Season
greenland,2010,27 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
greenland,2010,1 Apr,Thursday,Maundy Thursday,Public Holiday
greenland,2010,2 Apr,Friday,Good Friday,Public Holiday
greenland,2010,4 Apr,Sunday,Easter Sunday,Public Holiday
greenland,2010,5 Apr,Monday,Easter Monday,Public Holiday
greenland,2010,30 Apr,Friday,Great Prayer Day,Public Holiday
greenland,2010,1 May,Saturday,May Day,Half Day
greenland,2010,13 May,Thursday,Ascension Day,Public Holiday
greenland,2010,24 May,Monday,Whit Monday,Public Holiday
greenland,2010,21 Jun,Monday,National Day,Public Holiday
greenland,2010,21 Jun,Monday,June Solstice,Season
greenland,2010,23 Sep,Thursday,September Equinox,Season
greenland,2010,30 Oct,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
greenland,2010,21 Dec,Tuesday,December Solstice,Season
greenland,2010,24 Dec,Friday,Christmas Eve,Observance
greenland,2010,25 Dec,Saturday,Christmas Day,Public Holiday
greenland,2010,26 Dec,Sunday,Boxing Day,Public Holiday
greenland,2010,31 Dec,Friday,New Year's Eve,Public Holiday
greenland,2011,1 Jan,Saturday,New Year,Public Holiday
greenland,2011,6 Jan,Thursday,Epiphany,Half Day
greenland,2011,20 Mar,Sunday,March Equinox,Season
greenland,2011,26 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
greenland,2011,21 Apr,Thursday,Maundy Thursday,Public Holiday
greenland,2011,22 Apr,Friday,Good Friday,Public Holiday
greenland,2011,24 Apr,Sunday,Easter Sunday,Public Holiday
greenland,2011,25 Apr,Monday,Easter Monday,Public Holiday
greenland,2011,1 May,Sunday,May Day,Half Day
greenland,2011,20 May,Friday,Great Prayer Day,Public Holiday
greenland,2011,2 Jun,Thursday,Ascension Day,Public Holiday
greenland,2011,13 Jun,Monday,Whit Monday,Public Holiday
greenland,2011,21 Jun,Tuesday,National Day,Public Holiday
greenland,2011,21 Jun,Tuesday,June Solstice,Season
greenland,2011,23 Sep,Friday,September Equinox,Season
greenland,2011,29 Oct,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
greenland,2011,22 Dec,Thursday,December Solstice,Season
greenland,2011,24 Dec,Saturday,Christmas Eve,Observance
greenland,2011,25 Dec,Sunday,Christmas Day,Public Holiday
greenland,2011,26 Dec,Monday,Boxing Day,Public Holiday
greenland,2011,31 Dec,Saturday,New Year's Eve,Public Holiday
greenland,2012,1 Jan,Sunday,New Year,Public Holiday
greenland,2012,6 Jan,Friday,Epiphany,Half Day
greenland,2012,20 Mar,Tuesday,March Equinox,Season
greenland,2012,24 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
greenland,2012,5 Apr,Thursday,Maundy Thursday,Public Holiday
greenland,2012,6 Apr,Friday,Good Friday,Public Holiday
greenland,2012,8 Apr,Sunday,Easter Sunday,Public Holiday
greenland,2012,9 Apr,Monday,Easter Monday,Public Holiday
greenland,2012,1 May,Tuesday,May Day,Half Day
greenland,2012,4 May,Friday,Great Prayer Day,Public Holiday
greenland,2012,17 May,Thursday,Ascension Day,Public Holiday
greenland,2012,28 May,Monday,Whit Monday,Public Holiday
greenland,2012,20 Jun,Wednesday,June Solstice,Season
greenland,2012,21 Jun,Thursday,National Day,Public Holiday
greenland,2012,22 Sep,Saturday,September Equinox,Season
greenland,2012,27 Oct,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
greenland,2012,21 Dec,Friday,December Solstice,Season
greenland,2012,24 Dec,Monday,Christmas Eve,Observance
greenland,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
greenland,2012,26 Dec,Wednesday,Boxing Day,Public Holiday
greenland,2012,31 Dec,Monday,New Year's Eve,Public Holiday
greenland,2013,1 Jan,Tuesday,New Year,Public Holiday
greenland,2013,6 Jan,Sunday,Epiphany,Half Day
greenland,2013,20 Mar,Wednesday,March Equinox,Season
greenland,2013,28 Mar,Thursday,Maundy Thursday,Public Holiday
greenland,2013,29 Mar,Friday,Good Friday,Public Holiday
greenland,2013,30 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
greenland,2013,31 Mar,Sunday,Easter Sunday,Public Holiday
greenland,2013,1 Apr,Monday,Easter Monday,Public Holiday
greenland,2013,26 Apr,Friday,Great Prayer Day,Public Holiday
greenland,2013,1 May,Wednesday,May Day,Half Day
greenland,2013,9 May,Thursday,Ascension Day,Public Holiday
greenland,2013,20 May,Monday,Whit Monday,Public Holiday
greenland,2013,21 Jun,Friday,National Day,Public Holiday
greenland,2013,21 Jun,Friday,June Solstice,Season
greenland,2013,22 Sep,Sunday,September Equinox,Season
greenland,2013,26 Oct,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
greenland,2013,21 Dec,Saturday,December Solstice,Season
greenland,2013,24 Dec,Tuesday,Christmas Eve,Observance
greenland,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
greenland,2013,26 Dec,Thursday,Boxing Day,Public Holiday
greenland,2013,31 Dec,Tuesday,New Year's Eve,Public Holiday
greenland,2014,1 Jan,Wednesday,New Year,Public Holiday
greenland,2014,6 Jan,Monday,Epiphany,Half Day
greenland,2014,20 Mar,Thursday,March Equinox,Season
greenland,2014,29 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
greenland,2014,17 Apr,Thursday,Maundy Thursday,Public Holiday
greenland,2014,18 Apr,Friday,Good Friday,Public Holiday
greenland,2014,20 Apr,Sunday,Easter Sunday,Public Holiday
