Geo,Event Year,Date,Day,Name,Type
guadeloupe,2019,1 Jan,Tuesday,New Year's Day,Public Holiday
guadeloupe,2019,4 Mar,Monday,Carnival / Shrove Monday,De facto holiday
guadeloupe,2019,5 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,De facto holiday
guadeloupe,2019,6 Mar,Wednesday,Carnival / Ash Wednesday,De facto holiday
guadeloupe,2019,28 Mar,Thursday,Mid Lent Thursday,De facto holiday
guadeloupe,2019,22 Apr,Monday,Easter Monday,Public Holiday
guadeloupe,2019,1 May,Wednesday,Labor Day / May Day,Public Holiday
guadeloupe,2019,8 May,Wednesday,WWII Victory Day,Public Holiday
guadeloupe,2019,27 May,Monday,Abolition Day,Public Holiday
guadeloupe,2019,30 May,Thursday,Ascension Day,Public Holiday
guadeloupe,2019,9 Jun,Sunday,Whit Sunday,Observance
guadeloupe,2019,10 Jun,Monday,Whit Monday,Public Holiday
guadeloupe,2019,14 Jul,Sunday,Bastille Day,Public Holiday
guadeloupe,2019,15 Aug,Thursday,Assumption of Mary,Public Holiday
guadeloupe,2019,1 Nov,Friday,All Saints' Day,Public Holiday
guadeloupe,2019,11 Nov,Monday,Armistice Day,Public Holiday
guadeloupe,2019,24 Dec,Tuesday,Christmas Eve,Observance
guadeloupe,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
guadeloupe,2019,31 Dec,Tuesday,New Year's Eve,Observance
guadeloupe,2020,1 Jan,Wednesday,New Year's Day,Public Holiday
guadeloupe,2020,24 Feb,Monday,Carnival / Shrove Monday,De facto holiday
guadeloupe,2020,25 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,De facto holiday
guadeloupe,2020,26 Feb,Wednesday,Carnival / Ash Wednesday,De facto holiday
guadeloupe,2020,19 Mar,Thursday,Mid Lent Thursday,De facto holiday
guadeloupe,2020,13 Apr,Monday,Easter Monday,Public Holiday
guadeloupe,2020,1 May,Friday,Labor Day / May Day,Public Holiday
guadeloupe,2020,8 May,Friday,WWII Victory Day,Public Holiday
