Geo,Event Year,Date,Day,Name,Type
guatemala,2000,1 Jan,Saturday,New Year's Day,National holiday
guatemala,2000,20 Mar,Monday,March Equinox,Season
guatemala,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
guatemala,2000,22 Apr,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2000,24 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2000,1 May,Monday,Labor Day,National holiday
guatemala,2000,10 May,Wednesday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2000,20 Jun,Tuesday,June Solstice,Season
guatemala,2000,30 Jun,Friday,Army Day Holiday,National holiday
guatemala,2000,15 Aug,Tuesday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2000,15 Sep,Friday,Independence Day,National holiday
guatemala,2000,22 Sep,Friday,September Equinox,Season
guatemala,2000,12 Oct,Thursday,Dia de la raza,National holiday
guatemala,2000,20 Oct,Friday,Revolution of 1944,National holiday
guatemala,2000,1 Nov,Wednesday,All Saints' Day,"National holiday, Christian"
guatemala,2000,21 Dec,Thursday,December Solstice,Season
guatemala,2000,24 Dec,Sunday,Christmas Eve,Half day holiday
guatemala,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
guatemala,2000,31 Dec,Sunday,New Year's Eve,Half day holiday
guatemala,2001,1 Jan,Monday,New Year's Day,National holiday
guatemala,2001,20 Mar,Tuesday,March Equinox,Season
guatemala,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
guatemala,2001,14 Apr,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2001,16 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2001,1 May,Tuesday,Labor Day,National holiday
guatemala,2001,10 May,Thursday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2001,21 Jun,Thursday,June Solstice,Season
guatemala,2001,30 Jun,Saturday,Army Day Holiday,National holiday
guatemala,2001,15 Aug,Wednesday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2001,15 Sep,Saturday,Independence Day,National holiday
guatemala,2001,22 Sep,Saturday,September Equinox,Season
guatemala,2001,12 Oct,Friday,Dia de la raza,National holiday
guatemala,2001,20 Oct,Saturday,Revolution of 1944,National holiday
guatemala,2001,1 Nov,Thursday,All Saints' Day,"National holiday, Christian"
guatemala,2001,21 Dec,Friday,December Solstice,Season
guatemala,2001,24 Dec,Monday,Christmas Eve,Half day holiday
guatemala,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
guatemala,2001,31 Dec,Monday,New Year's Eve,Half day holiday
guatemala,2002,1 Jan,Tuesday,New Year's Day,National holiday
guatemala,2002,20 Mar,Wednesday,March Equinox,Season
guatemala,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
guatemala,2002,30 Mar,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2002,1 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2002,1 May,Wednesday,Labor Day,National holiday
guatemala,2002,10 May,Friday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2002,21 Jun,Friday,June Solstice,Season
guatemala,2002,30 Jun,Sunday,Army Day Holiday,National holiday
guatemala,2002,15 Aug,Thursday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2002,15 Sep,Sunday,Independence Day,National holiday
guatemala,2002,22 Sep,Sunday,September Equinox,Season
guatemala,2002,12 Oct,Saturday,Dia de la raza,National holiday
guatemala,2002,20 Oct,Sunday,Revolution of 1944,National holiday
guatemala,2002,1 Nov,Friday,All Saints' Day,"National holiday, Christian"
guatemala,2002,21 Dec,Saturday,December Solstice,Season
guatemala,2002,24 Dec,Tuesday,Christmas Eve,Half day holiday
guatemala,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
guatemala,2002,31 Dec,Tuesday,New Year's Eve,Half day holiday
guatemala,2003,1 Jan,Wednesday,New Year's Day,National holiday
guatemala,2003,20 Mar,Thursday,March Equinox,Season
guatemala,2003,17 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2003,18 Apr,Friday,Good Friday,"National holiday, Christian"
guatemala,2003,19 Apr,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2003,21 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2003,1 May,Thursday,Labor Day,National holiday
guatemala,2003,10 May,Saturday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2003,21 Jun,Saturday,June Solstice,Season
guatemala,2003,30 Jun,Monday,Army Day Holiday,National holiday
guatemala,2003,15 Aug,Friday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2003,15 Sep,Monday,Independence Day,National holiday
guatemala,2003,23 Sep,Tuesday,September Equinox,Season
guatemala,2003,12 Oct,Sunday,Dia de la raza,National holiday
guatemala,2003,20 Oct,Monday,Revolution of 1944,National holiday
guatemala,2003,1 Nov,Saturday,All Saints' Day,"National holiday, Christian"
guatemala,2003,22 Dec,Monday,December Solstice,Season
guatemala,2003,24 Dec,Wednesday,Christmas Eve,Half day holiday
guatemala,2003,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
guatemala,2003,31 Dec,Wednesday,New Year's Eve,Half day holiday
guatemala,2004,1 Jan,Thursday,New Year's Day,National holiday
guatemala,2004,20 Mar,Saturday,March Equinox,Season
guatemala,2004,8 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2004,9 Apr,Friday,Good Friday,"National holiday, Christian"
guatemala,2004,10 Apr,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2004,11 Apr,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2004,12 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2004,1 May,Saturday,Labor Day,National holiday
guatemala,2004,10 May,Monday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2004,20 Jun,Sunday,June Solstice,Season
guatemala,2004,30 Jun,Wednesday,Army Day Holiday,National holiday
guatemala,2004,15 Aug,Sunday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2004,15 Sep,Wednesday,Independence Day,National holiday
guatemala,2004,22 Sep,Wednesday,September Equinox,Season
guatemala,2004,12 Oct,Tuesday,Dia de la raza,National holiday
guatemala,2004,20 Oct,Wednesday,Revolution of 1944,National holiday
guatemala,2004,1 Nov,Monday,All Saints' Day,"National holiday, Christian"
guatemala,2004,21 Dec,Tuesday,December Solstice,Season
guatemala,2004,24 Dec,Friday,Christmas Eve,Half day holiday
guatemala,2004,25 Dec,Saturday,Christmas Day,"National holiday, Christian"
guatemala,2004,31 Dec,Friday,New Year's Eve,Half day holiday
guatemala,2005,1 Jan,Saturday,New Year's Day,National holiday
guatemala,2005,20 Mar,Sunday,March Equinox,Season
guatemala,2005,24 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2005,25 Mar,Friday,Good Friday,"National holiday, Christian"
guatemala,2005,26 Mar,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2005,27 Mar,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2005,28 Mar,Monday,Easter Monday,"Observance, Christian"
guatemala,2005,1 May,Sunday,Labor Day,National holiday
guatemala,2005,10 May,Tuesday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2005,21 Jun,Tuesday,June Solstice,Season
guatemala,2005,30 Jun,Thursday,Army Day Holiday,National holiday
guatemala,2005,15 Aug,Monday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2005,15 Sep,Thursday,Independence Day,National holiday
guatemala,2005,22 Sep,Thursday,September Equinox,Season
guatemala,2005,12 Oct,Wednesday,Dia de la raza,National holiday
guatemala,2005,20 Oct,Thursday,Revolution of 1944,National holiday
guatemala,2005,1 Nov,Tuesday,All Saints' Day,"National holiday, Christian"
guatemala,2005,21 Dec,Wednesday,December Solstice,Season
guatemala,2005,24 Dec,Saturday,Christmas Eve,Half day holiday
guatemala,2005,25 Dec,Sunday,Christmas Day,"National holiday, Christian"
guatemala,2005,31 Dec,Saturday,New Year's Eve,Half day holiday
guatemala,2006,1 Jan,Sunday,New Year's Day,National holiday
guatemala,2006,20 Mar,Monday,March Equinox,Season
guatemala,2006,13 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2006,14 Apr,Friday,Good Friday,"National holiday, Christian"
guatemala,2006,15 Apr,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2006,16 Apr,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2006,17 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2006,30 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
guatemala,2006,1 May,Monday,Labor Day,National holiday
guatemala,2006,10 May,Wednesday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2006,21 Jun,Wednesday,June Solstice,Season
guatemala,2006,30 Jun,Friday,Army Day Holiday,National holiday
guatemala,2006,15 Aug,Tuesday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2006,15 Sep,Friday,Independence Day,National holiday
guatemala,2006,22 Sep,Friday,September Equinox,Season
guatemala,2006,1 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
guatemala,2006,12 Oct,Thursday,Dia de la raza,National holiday
guatemala,2006,20 Oct,Friday,Revolution of 1944,National holiday
guatemala,2006,1 Nov,Wednesday,All Saints' Day,"National holiday, Christian"
guatemala,2006,21 Dec,Thursday,December Solstice,Season
guatemala,2006,24 Dec,Sunday,Christmas Eve,Half day holiday
guatemala,2006,25 Dec,Monday,Christmas Day,"National holiday, Christian"
guatemala,2006,31 Dec,Sunday,New Year's Eve,Half day holiday
guatemala,2007,1 Jan,Monday,New Year's Day,National holiday
guatemala,2007,20 Mar,Tuesday,March Equinox,Season
guatemala,2007,5 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
guatemala,2007,6 Apr,Friday,Good Friday,"National holiday, Christian"
guatemala,2007,7 Apr,Saturday,Easter Saturday,"National holiday, Christian"
guatemala,2007,8 Apr,Sunday,Easter Sunday,"Observance, Christian"
guatemala,2007,9 Apr,Monday,Easter Monday,"Observance, Christian"
guatemala,2007,1 May,Tuesday,Labor Day,National holiday
guatemala,2007,10 May,Thursday,Mothers’ Day (Working Mothers Only),National holiday
guatemala,2007,21 Jun,Thursday,June Solstice,Season
guatemala,2007,30 Jun,Saturday,Army Day Holiday,National holiday
guatemala,2007,15 Aug,Wednesday,Assumption of Mary (Guatemala City only),Municipal holiday
guatemala,2007,15 Sep,Saturday,Independence Day,National holiday
guatemala,2007,23 Sep,Sunday,September Equinox,Season
guatemala,2007,12 Oct,Friday,Dia de la raza,National holiday
guatemala,2007,20 Oct,Saturday,Revolution of 1944,National holiday
guatemala,2007,1 Nov,Thursday,All Saints' Day,"National holiday, Christian"
guatemala,2007,22 Dec,Saturday,December Solstice,Season
guatemala,2007,24 Dec,Monday,Christmas Eve,Half day holiday
