Geo,Event Year,Date,Day,Name,Type
guinea-bissau,2014,1 Jan,Wednesday,New Year,Public Holiday
guinea-bissau,2014,20 Jan,Monday,Heroes Day,Public Holiday
guinea-bissau,2014,8 Mar,Saturday,International Women's Day,Public Holiday
guinea-bissau,2014,20 Mar,Thursday,March Equinox,Season
guinea-bissau,2014,20 Apr,Sunday,Easter Sunday,Observance
guinea-bissau,2014,1 May,Thursday,Labour Day,Public Holiday
guinea-bissau,2014,21 Jun,Saturday,June Solstice,Season
guinea-bissau,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
guinea-bissau,2014,3 Aug,Sunday,Martyrs' Day,Public Holiday
guinea-bissau,2014,23 Sep,Tuesday,September Equinox,Season
guinea-bissau,2014,24 Sep,Wednesday,Independence Day (National Day),Public Holiday
guinea-bissau,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
guinea-bissau,2014,14 Nov,Friday,Readjustment Movement Day,Public Holiday
guinea-bissau,2014,21 Dec,Sunday,December Solstice,Season
guinea-bissau,2014,25 Dec,Thursday,Christmas Day,Public Holiday
guinea-bissau,2015,1 Jan,Thursday,New Year,Public Holiday
guinea-bissau,2015,20 Jan,Tuesday,Heroes Day,Public Holiday
guinea-bissau,2015,8 Mar,Sunday,International Women's Day,Public Holiday
guinea-bissau,2015,20 Mar,Friday,March Equinox,Season
guinea-bissau,2015,5 Apr,Sunday,Easter Sunday,Observance
guinea-bissau,2015,1 May,Friday,Labour Day,Public Holiday
guinea-bissau,2015,21 Jun,Sunday,June Solstice,Season
guinea-bissau,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
guinea-bissau,2015,3 Aug,Monday,Martyrs' Day,Public Holiday
guinea-bissau,2015,23 Sep,Wednesday,September Equinox,Season
guinea-bissau,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
guinea-bissau,2015,24 Sep,Thursday,Independence Day (National Day),Public Holiday
guinea-bissau,2015,14 Nov,Saturday,Readjustment Movement Day,Public Holiday
guinea-bissau,2015,22 Dec,Tuesday,December Solstice,Season
guinea-bissau,2015,25 Dec,Friday,Christmas Day,Public Holiday
guinea-bissau,2016,1 Jan,Friday,New Year,Public Holiday
guinea-bissau,2016,20 Jan,Wednesday,Heroes Day,Public Holiday
guinea-bissau,2016,8 Mar,Tuesday,International Women's Day,Public Holiday
guinea-bissau,2016,20 Mar,Sunday,March Equinox,Season
guinea-bissau,2016,27 Mar,Sunday,Easter Sunday,Observance
guinea-bissau,2016,1 May,Sunday,Labour Day,Public Holiday
guinea-bissau,2016,20 Jun,Monday,June Solstice,Season
guinea-bissau,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
guinea-bissau,2016,3 Aug,Wednesday,Martyrs' Day,Public Holiday
guinea-bissau,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
guinea-bissau,2016,22 Sep,Thursday,September Equinox,Season
guinea-bissau,2016,24 Sep,Saturday,Independence Day (National Day),Public Holiday
guinea-bissau,2016,14 Nov,Monday,Readjustment Movement Day,Public Holiday
guinea-bissau,2016,21 Dec,Wednesday,December Solstice,Season
guinea-bissau,2016,25 Dec,Sunday,Christmas Day,Public Holiday
guinea-bissau,2017,1 Jan,Sunday,New Year,Public Holiday
guinea-bissau,2017,20 Jan,Friday,Heroes Day,Public Holiday
guinea-bissau,2017,8 Mar,Wednesday,International Women's Day,Public Holiday
guinea-bissau,2017,20 Mar,Monday,March Equinox,Season
guinea-bissau,2017,16 Apr,Sunday,Easter Sunday,Observance
guinea-bissau,2017,1 May,Monday,Labour Day,Public Holiday
guinea-bissau,2017,21 Jun,Wednesday,June Solstice,Season
guinea-bissau,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
guinea-bissau,2017,3 Aug,Thursday,Martyrs' Day,Public Holiday
guinea-bissau,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
guinea-bissau,2017,22 Sep,Friday,September Equinox,Season
guinea-bissau,2017,24 Sep,Sunday,Independence Day (National Day),Public Holiday
guinea-bissau,2017,14 Nov,Tuesday,Readjustment Movement Day,Public Holiday
guinea-bissau,2017,21 Dec,Thursday,December Solstice,Season
guinea-bissau,2017,25 Dec,Monday,Christmas Day,Public Holiday
guinea-bissau,2018,1 Jan,Monday,New Year,Public Holiday
guinea-bissau,2018,20 Jan,Saturday,Heroes Day,Public Holiday
guinea-bissau,2018,8 Mar,Thursday,International Women's Day,Public Holiday
guinea-bissau,2018,20 Mar,Tuesday,March Equinox,Season
guinea-bissau,2018,1 Apr,Sunday,Easter Sunday,Observance
guinea-bissau,2018,1 May,Tuesday,Labour Day,Public Holiday
guinea-bissau,2018,15 Jun,Friday,Eid al-Fitr,Public Holiday
guinea-bissau,2018,21 Jun,Thursday,June Solstice,Season
guinea-bissau,2018,3 Aug,Friday,Martyrs' Day,Public Holiday
