Geo,Event Year,Date,Day,Name,Type
guyana,2000,1 Jan,Saturday,New Year's Day Holiday,Public Holiday
guyana,2000,23 Feb,Wednesday,Mashramani (Republic Day),Public Holiday
guyana,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
guyana,2000,20 Mar,Monday,March Equinox,Season
guyana,2000,21 Apr,Friday,Good Friday,Public Holiday
guyana,2000,24 Apr,Monday,Easter Monday,Public Holiday
guyana,2000,1 May,Monday,Labor Day / May Day,Public Holiday
guyana,2000,5 May,Friday,Arrival Day,Public Holiday
guyana,2000,26 May,Friday,Independence Day,Public Holiday
guyana,2000,15 Jun,Thursday,Youman-Nabi (Mawlid),Public Holiday
guyana,2000,20 Jun,Tuesday,June Solstice,Season
guyana,2000,3 Jul,Monday,CARICOM Day,Public Holiday
guyana,2000,1 Aug,Tuesday,Emancipation Day,Public Holiday
guyana,2000,22 Sep,Friday,September Equinox,Season
guyana,2000,30 Oct,Monday,Deepavali,Public Holiday
guyana,2000,21 Dec,Thursday,December Solstice,Season
guyana,2000,25 Dec,Monday,Christmas Day,Public Holiday
guyana,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
guyana,2001,1 Jan,Monday,New Year's Day Holiday,Public Holiday
guyana,2001,23 Feb,Friday,Mashramani (Republic Day),Public Holiday
guyana,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
guyana,2001,20 Mar,Tuesday,March Equinox,Season
guyana,2001,13 Apr,Friday,Good Friday,Public Holiday
guyana,2001,16 Apr,Monday,Easter Monday,Public Holiday
guyana,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
guyana,2001,5 May,Saturday,Arrival Day,Public Holiday
guyana,2001,26 May,Saturday,Independence Day,Public Holiday
guyana,2001,4 Jun,Monday,Youman-Nabi (Mawlid),Public Holiday
guyana,2001,21 Jun,Thursday,June Solstice,Season
guyana,2001,2 Jul,Monday,CARICOM Day,Public Holiday
guyana,2001,1 Aug,Wednesday,Emancipation Day,Public Holiday
guyana,2001,22 Sep,Saturday,September Equinox,Season
guyana,2001,30 Oct,Tuesday,Deepavali,Public Holiday
guyana,2001,21 Dec,Friday,December Solstice,Season
guyana,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
guyana,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
guyana,2002,1 Jan,Tuesday,New Year's Day Holiday,Public Holiday
guyana,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
guyana,2002,23 Feb,Saturday,Mashramani (Republic Day),Public Holiday
guyana,2002,20 Mar,Wednesday,March Equinox,Season
guyana,2002,29 Mar,Friday,Good Friday,Public Holiday
guyana,2002,1 Apr,Monday,Easter Monday,Public Holiday
guyana,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
guyana,2002,5 May,Sunday,Arrival Day,Public Holiday
guyana,2002,6 May,Monday,Day off for Arrival Day,Public Holiday
guyana,2002,24 May,Friday,Youman-Nabi (Mawlid),Public Holiday
guyana,2002,26 May,Sunday,Independence Day,Public Holiday
guyana,2002,27 May,Monday,Day off for Independence Day,Public Holiday
guyana,2002,21 Jun,Friday,June Solstice,Season
guyana,2002,1 Jul,Monday,CARICOM Day,Public Holiday
guyana,2002,1 Aug,Thursday,Emancipation Day,Public Holiday
guyana,2002,23 Sep,Monday,September Equinox,Season
guyana,2002,30 Oct,Wednesday,Deepavali,Public Holiday
guyana,2002,21 Dec,Saturday,December Solstice,Season
guyana,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
guyana,2002,26 Dec,Thursday,Boxing Day,Public Holiday
guyana,2003,1 Jan,Wednesday,New Year's Day Holiday,Public Holiday
guyana,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
guyana,2003,23 Feb,Sunday,Mashramani (Republic Day),Public Holiday
guyana,2003,24 Feb,Monday,Day off for Mashramani (Republic Day),Public Holiday
