Geo,Event Year,Date,Day,Name,Type
iceland,2007,1 Jan,Monday,New Year's Day,National holiday
iceland,2007,6 Jan,Saturday,Twelfth Night,Observance
iceland,2007,14 Feb,Wednesday,Valentine's Day,Observance
iceland,2007,21 Feb,Wednesday,Ash Wednesday,Observance
iceland,2007,21 Mar,Wednesday,March Equinox,Season
iceland,2007,5 Apr,Thursday,Maundy Thursday,National holiday
iceland,2007,6 Apr,Friday,Good Friday,National holiday
iceland,2007,7 Apr,Saturday,Holy Saturday,Observance
iceland,2007,8 Apr,Sunday,Easter Sunday,National holiday
iceland,2007,9 Apr,Monday,Easter Monday,National holiday
iceland,2007,19 Apr,Thursday,First Day of Summer,National holiday
iceland,2007,1 May,Tuesday,Labour Day,National holiday
iceland,2007,13 May,Sunday,Mothers' Day,Observance
iceland,2007,17 May,Thursday,Ascension Day,National holiday
iceland,2007,27 May,Sunday,Whit Sunday,National holiday
iceland,2007,28 May,Monday,Whit Monday,National holiday
iceland,2007,17 Jun,Sunday,Icelandic Republic Day,National holiday
iceland,2007,21 Jun,Thursday,June Solstice,Season
iceland,2007,6 Aug,Monday,Commerce Day,National holiday
iceland,2007,23 Sep,Sunday,September Equinox,Season
iceland,2007,31 Oct,Wednesday,Halloween,Observance
iceland,2007,11 Nov,Sunday,Fathers' Day,Observance
iceland,2007,1 Dec,Saturday,Independence Day,Observance
iceland,2007,22 Dec,Saturday,December Solstice,Season
iceland,2007,24 Dec,Monday,Christmas Eve (from noon),National holiday
iceland,2007,25 Dec,Tuesday,Christmas Day,National holiday
iceland,2007,26 Dec,Wednesday,Second Day of Christmas,National holiday
iceland,2007,31 Dec,Monday,New Year's Eve (from noon),National holiday
iceland,2008,1 Jan,Tuesday,New Year's Day,National holiday
iceland,2008,6 Jan,Sunday,Twelfth Night,Observance
iceland,2008,6 Feb,Wednesday,Ash Wednesday,Observance
iceland,2008,14 Feb,Thursday,Valentine's Day,Observance
iceland,2008,20 Mar,Thursday,Maundy Thursday,National holiday
iceland,2008,20 Mar,Thursday,March Equinox,Season
iceland,2008,21 Mar,Friday,Good Friday,National holiday
iceland,2008,22 Mar,Saturday,Holy Saturday,Observance
iceland,2008,23 Mar,Sunday,Easter Sunday,National holiday
iceland,2008,24 Mar,Monday,Easter Monday,National holiday
iceland,2008,24 Apr,Thursday,First Day of Summer,National holiday
iceland,2008,1 May,Thursday,Labour Day,National holiday
iceland,2008,1 May,Thursday,Ascension Day,National holiday
iceland,2008,11 May,Sunday,Whit Sunday,National holiday
iceland,2008,11 May,Sunday,Mothers' Day,Observance
iceland,2008,12 May,Monday,Whit Monday,National holiday
iceland,2008,17 Jun,Tuesday,Icelandic Republic Day,National holiday
iceland,2008,20 Jun,Friday,June Solstice,Season
iceland,2008,4 Aug,Monday,Commerce Day,National holiday
iceland,2008,22 Sep,Monday,September Equinox,Season
iceland,2008,31 Oct,Friday,Halloween,Observance
iceland,2008,9 Nov,Sunday,Fathers' Day,Observance
