Geo,Event Year,Date,Day,Name,Type
iran,2000,8 Jan,Saturday,Eid-e-Fetr (End of Ramadan),National holiday
iran,2000,1 Feb,Tuesday,Martyrdom of Imam Sadeq,National holiday
iran,2000,11 Feb,Friday,Revolution Day,National holiday
iran,2000,16 Mar,Thursday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
iran,2000,20 Mar,Monday,March Equinox,Season
iran,2000,24 Mar,Friday,Eid-e-Ghadir,National holiday
iran,2000,14 Apr,Friday,Tassoua,National holiday
iran,2000,15 Apr,Saturday,Ashura,National holiday
iran,2000,25 May,Thursday,Arbaeen,National holiday
iran,2000,2 Jun,Friday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
iran,2000,3 Jun,Saturday,Martyrdom of Imam Reza,National holiday
iran,2000,4 Jun,Sunday,Demise of Imam Khomeini,National holiday
iran,2000,5 Jun,Monday,Khordad National Uprising,National holiday
iran,2000,20 Jun,Tuesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
iran,2000,21 Jun,Wednesday,June Solstice,Season
iran,2000,3 Sep,Sunday,Martyrdom of Hazrat Fatima,National holiday
iran,2000,22 Sep,Friday,September Equinox,Season
iran,2000,12 Oct,Thursday,Birthday of Imam Ali and Father's Day,National holiday
iran,2000,26 Oct,Thursday,Prophet's Ascension,National holiday
iran,2000,13 Nov,Monday,Imam Mahdi's birthday,National holiday
iran,2000,18 Dec,Monday,Martyrdom of Imam Ali,National holiday
iran,2000,21 Dec,Thursday,December Solstice,Season
iran,2000,28 Dec,Thursday,Eid-e-Fetr (End of Ramadan),National holiday
iran,2001,21 Jan,Sunday,Martyrdom of Imam Sadeq,National holiday
iran,2001,11 Feb,Sunday,Revolution Day,National holiday
iran,2001,6 Mar,Tuesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
iran,2001,14 Mar,Wednesday,Eid-e-Ghadir,National holiday
iran,2001,20 Mar,Tuesday,March Equinox,Season
iran,2001,3 Apr,Tuesday,Tassoua,National holiday
iran,2001,4 Apr,Wednesday,Ashura,National holiday
iran,2001,14 May,Monday,Arbaeen,National holiday
iran,2001,22 May,Tuesday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
iran,2001,23 May,Wednesday,Martyrdom of Imam Reza,National holiday
iran,2001,4 Jun,Monday,Demise of Imam Khomeini,National holiday
iran,2001,5 Jun,Tuesday,Khordad National Uprising,National holiday
iran,2001,9 Jun,Saturday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
iran,2001,21 Jun,Thursday,June Solstice,Season
iran,2001,23 Aug,Thursday,Martyrdom of Hazrat Fatima,National holiday
iran,2001,23 Sep,Sunday,September Equinox,Season
iran,2001,1 Oct,Monday,Birthday of Imam Ali and Father's Day,National holiday
iran,2001,15 Oct,Monday,Prophet's Ascension,National holiday
iran,2001,2 Nov,Friday,Imam Mahdi's birthday,National holiday
iran,2001,7 Dec,Friday,Martyrdom of Imam Ali,National holiday
iran,2001,17 Dec,Monday,Eid-e-Fetr (End of Ramadan),National holiday
iran,2001,21 Dec,Friday,December Solstice,Season
iran,2002,10 Jan,Thursday,Martyrdom of Imam Sadeq,National holiday
iran,2002,11 Feb,Monday,Revolution Day,National holiday
iran,2002,23 Feb,Saturday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
iran,2002,3 Mar,Sunday,Eid-e-Ghadir,National holiday
iran,2002,20 Mar,Wednesday,March Equinox,Season
iran,2002,23 Mar,Saturday,Tassoua,National holiday
iran,2002,24 Mar,Sunday,Ashura,National holiday
iran,2002,3 May,Friday,Arbaeen,National holiday
iran,2002,11 May,Saturday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
iran,2002,12 May,Sunday,Martyrdom of Imam Reza,National holiday
iran,2002,29 May,Wednesday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
iran,2002,4 Jun,Tuesday,Demise of Imam Khomeini,National holiday
iran,2002,5 Jun,Wednesday,Khordad National Uprising,National holiday
iran,2002,21 Jun,Friday,June Solstice,Season
iran,2002,12 Aug,Monday,Martyrdom of Hazrat Fatima,National holiday
iran,2002,20 Sep,Friday,Birthday of Imam Ali and Father's Day,National holiday
iran,2002,23 Sep,Monday,September Equinox,Season
iran,2002,4 Oct,Friday,Prophet's Ascension,National holiday
iran,2002,22 Oct,Tuesday,Imam Mahdi's birthday,National holiday
iran,2002,26 Nov,Tuesday,Martyrdom of Imam Ali,National holiday
iran,2002,6 Dec,Friday,Eid-e-Fetr (End of Ramadan),National holiday
iran,2002,22 Dec,Sunday,December Solstice,Season
iran,2002,30 Dec,Monday,Martyrdom of Imam Sadeq,National holiday
iran,2003,11 Feb,Tuesday,Revolution Day,National holiday
iran,2003,12 Feb,Wednesday,Eid-e-Ghorban (Feast of Sacrifice),National holiday
iran,2003,20 Feb,Thursday,Eid-e-Ghadir,National holiday
iran,2003,13 Mar,Thursday,Tassoua,National holiday
iran,2003,14 Mar,Friday,Ashura,National holiday
iran,2003,21 Mar,Friday,March Equinox,Season
iran,2003,23 Apr,Wednesday,Arbaeen,National holiday
iran,2003,1 May,Thursday,Demise of Prophet Muhammad and Martyrdom of Imam Hassan,National holiday
iran,2003,2 May,Friday,Martyrdom of Imam Reza,National holiday
iran,2003,19 May,Monday,Birthday of Prophet Muhammad and Imam Sadeq,National holiday
iran,2003,4 Jun,Wednesday,Demise of Imam Khomeini,National holiday
iran,2003,5 Jun,Thursday,Khordad National Uprising,National holiday
iran,2003,21 Jun,Saturday,June Solstice,Season
iran,2003,2 Aug,Saturday,Martyrdom of Hazrat Fatima,National holiday
iran,2003,10 Sep,Wednesday,Birthday of Imam Ali and Father's Day,National holiday
iran,2003,23 Sep,Tuesday,September Equinox,Season
iran,2003,24 Sep,Wednesday,Prophet's Ascension,National holiday
