Geo,Event Year,Date,Day,Name,Type
isle-of-man,2017,1 Jan,Sunday,New Year's Day,Public Holiday
isle-of-man,2017,2 Jan,Monday,Day off for New Year's Day,Public Holiday
isle-of-man,2017,20 Mar,Monday,March Equinox,Season
isle-of-man,2017,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
isle-of-man,2017,14 Apr,Friday,Good Friday,Public Holiday
isle-of-man,2017,17 Apr,Monday,Easter Monday,Public Holiday
isle-of-man,2017,1 May,Monday,Early May Bank Holiday,Public Holiday
isle-of-man,2017,29 May,Monday,Late May Bank Holiday,Public Holiday
isle-of-man,2017,9 Jun,Friday,T. T. Bank Holiday,Public Holiday
isle-of-man,2017,21 Jun,Wednesday,June Solstice,Season
isle-of-man,2017,5 Jul,Wednesday,Tynwald Day,Public Holiday
isle-of-man,2017,28 Aug,Monday,Summer Bank Holiday,Public Holiday
isle-of-man,2017,22 Sep,Friday,September Equinox,Season
isle-of-man,2017,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
isle-of-man,2017,21 Dec,Thursday,December Solstice,Season
isle-of-man,2017,25 Dec,Monday,Christmas Day,Public Holiday
isle-of-man,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
isle-of-man,2018,1 Jan,Monday,New Year's Day,Public Holiday
isle-of-man,2018,20 Mar,Tuesday,March Equinox,Season
isle-of-man,2018,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
isle-of-man,2018,30 Mar,Friday,Good Friday,Public Holiday
isle-of-man,2018,2 Apr,Monday,Easter Monday,Public Holiday
isle-of-man,2018,7 May,Monday,Early May Bank Holiday,Public Holiday
isle-of-man,2018,28 May,Monday,Late May Bank Holiday,Public Holiday
isle-of-man,2018,8 Jun,Friday,T. T. Bank Holiday,Public Holiday
isle-of-man,2018,21 Jun,Thursday,June Solstice,Season
isle-of-man,2018,5 Jul,Thursday,Tynwald Day,Public Holiday
isle-of-man,2018,27 Aug,Monday,Summer Bank Holiday,Public Holiday
isle-of-man,2018,23 Sep,Sunday,September Equinox,Season
isle-of-man,2018,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
isle-of-man,2018,21 Dec,Friday,December Solstice,Season
isle-of-man,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
isle-of-man,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
isle-of-man,2019,1 Jan,Tuesday,New Year's Day,Public Holiday
isle-of-man,2019,20 Mar,Wednesday,March Equinox,Season
isle-of-man,2019,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
isle-of-man,2019,19 Apr,Friday,Good Friday,Public Holiday
isle-of-man,2019,22 Apr,Monday,Easter Monday,Public Holiday
isle-of-man,2019,6 May,Monday,Early May Bank Holiday,Public Holiday
isle-of-man,2019,27 May,Monday,Late May Bank Holiday,Public Holiday
isle-of-man,2019,7 Jun,Friday,T. T. Bank Holiday,Public Holiday
isle-of-man,2019,21 Jun,Friday,June Solstice,Season
isle-of-man,2019,5 Jul,Friday,Tynwald Day,Public Holiday
isle-of-man,2019,26 Aug,Monday,Summer Bank Holiday,Public Holiday
isle-of-man,2019,23 Sep,Monday,September Equinox,Season
isle-of-man,2019,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
isle-of-man,2019,22 Dec,Sunday,December Solstice,Season
isle-of-man,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
isle-of-man,2019,26 Dec,Thursday,Boxing Day,Public Holiday
isle-of-man,2020,1 Jan,Wednesday,New Year's Day,Public Holiday
isle-of-man,2020,20 Mar,Friday,March Equinox,Season
isle-of-man,2020,29 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
isle-of-man,2020,10 Apr,Friday,Good Friday,Public Holiday
