Geo,Event Year,Date,Day,Name,Type
israel,2000,22 Jan,Saturday,Tu Bishvat,"Observance, Hebrew"
israel,2000,20 Mar,Monday,Fast of Esther,"Observance, Hebrew"
israel,2000,20 Mar,Monday,March Equinox,Season
israel,2000,21 Mar,Tuesday,Purim,Local Holiday
israel,2000,22 Mar,Wednesday,Shushan Purim,Local Holiday
israel,2000,19 Apr,Wednesday,Passover Eve,"Observance, Hebrew"
israel,2000,20 Apr,Thursday,Passover (Day 1),"National holiday, Hebrew"
israel,2000,21 Apr,Friday,Passover (Day 2),"Observance, Hebrew"
israel,2000,22 Apr,Saturday,Passover (Day 3),"Observance, Hebrew"
israel,2000,23 Apr,Sunday,Passover (Day 4),"Observance, Hebrew"
israel,2000,24 Apr,Monday,Passover (Day 5),"Observance, Hebrew"
israel,2000,25 Apr,Tuesday,Passover (Day 6),"Observance, Hebrew"
israel,2000,26 Apr,Wednesday,Passover (Day 7),"National holiday, Hebrew"
israel,2000,2 May,Tuesday,Yom HaShoah,"National holiday, Hebrew"
israel,2000,9 May,Tuesday,Yom HaZikaron,"National holiday, Hebrew"
israel,2000,10 May,Wednesday,Yom HaAtzmaut,"National holiday, Hebrew"
israel,2000,23 May,Tuesday,Lag BaOmer,"Observance, Hebrew"
israel,2000,2 Jun,Friday,Jerusalem Day,"Observance, Hebrew"
israel,2000,8 Jun,Thursday,Shavuot Eve,"Observance, Hebrew"
israel,2000,9 Jun,Friday,Shavuot,"National holiday, Hebrew"
israel,2000,21 Jun,Wednesday,June Solstice,Season
israel,2000,20 Jul,Thursday,17th of Tammuz,"Observance, Hebrew"
israel,2000,9 Aug,Wednesday,Tisha B'Av Eve,"Observance, Hebrew"
israel,2000,10 Aug,Thursday,Tisha B'Av,"Observance, Hebrew"
israel,2000,22 Sep,Friday,September Equinox,Season
israel,2000,29 Sep,Friday,Rosh Hashana Eve,"Observance, Hebrew"
israel,2000,30 Sep,Saturday,Rosh Hashana,"National holiday, Hebrew"
israel,2000,1 Oct,Sunday,Rosh Hashana (Day 2),"National holiday, Hebrew"
israel,2000,2 Oct,Monday,Gedaliah Fast,"Observance, Hebrew"
israel,2000,8 Oct,Sunday,Yom Kippur Eve,"Observance, Hebrew"
israel,2000,9 Oct,Monday,Yom Kippur,"National holiday, Hebrew"
israel,2000,13 Oct,Friday,Sukkot Eve,"Observance, Hebrew"
israel,2000,14 Oct,Saturday,Sukkot (Day 1),"National holiday, Hebrew"
israel,2000,15 Oct,Sunday,Sukkot (Day 2),"Observance, Hebrew"
israel,2000,16 Oct,Monday,Sukkot (Day 3),"Observance, Hebrew"
israel,2000,17 Oct,Tuesday,Sukkot (Day 4),"Observance, Hebrew"
israel,2000,18 Oct,Wednesday,Sukkot (Day 5),"Observance, Hebrew"
israel,2000,19 Oct,Thursday,Sukkot (Day 6),"Observance, Hebrew"
israel,2000,20 Oct,Friday,Sukkot (Day 7) / Hoshanah Rabah,"Observance, Hebrew"
israel,2000,21 Oct,Saturday,Shemini Atzeret / Simchat Torah,"National holiday, Hebrew"
israel,2000,21 Dec,Thursday,December Solstice,Season
