Geo,Event Year,Date,Day,Name,Type
italy,2000,1 Jan,Saturday,New Year's Day,National holiday
italy,2000,6 Jan,Thursday,Epiphany,National holiday
italy,2000,8 Mar,Wednesday,Ash Wednesday,Observance
italy,2000,19 Mar,Sunday,Father's Day,Observance
italy,2000,20 Mar,Monday,March Equinox,Season
italy,2000,21 Apr,Friday,Good Friday,Observance
italy,2000,23 Apr,Sunday,Easter Sunday,National holiday
italy,2000,24 Apr,Monday,Easter Monday,National holiday
italy,2000,25 Apr,Tuesday,Liberation Day,National holiday
italy,2000,25 Apr,Tuesday,The Feast of St Mark (Venice),Local holiday
italy,2000,1 May,Monday,Labor Day / May Day,National holiday
italy,2000,14 May,Sunday,Mother's Day,Observance
italy,2000,2 Jun,Friday,Republic Day,National holiday
italy,2000,21 Jun,Wednesday,June Solstice,Season
italy,2000,24 Jun,Saturday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2000,29 Jun,Thursday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
italy,2000,15 Aug,Tuesday,Ferragosto,Observance
italy,2000,19 Sep,Tuesday,The Feast of Saint Januarius (Naples),Local holiday
italy,2000,22 Sep,Friday,September Equinox,Season
italy,2000,1 Nov,Wednesday,All Saints' Day,National holiday
italy,2000,7 Dec,Thursday,The Feast of St. Ambrose (Milan),Local holiday
italy,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
italy,2000,21 Dec,Thursday,December Solstice,Season
italy,2000,25 Dec,Monday,Christmas Day,National holiday
italy,2000,26 Dec,Tuesday,St. Stephen's Day,National holiday
italy,2000,31 Dec,Sunday,New Year's Eve,Observance
italy,2001,1 Jan,Monday,New Year's Day,National holiday
italy,2001,6 Jan,Saturday,Epiphany,National holiday
italy,2001,28 Feb,Wednesday,Ash Wednesday,Observance
italy,2001,19 Mar,Monday,Father's Day,Observance
italy,2001,20 Mar,Tuesday,March Equinox,Season
italy,2001,13 Apr,Friday,Good Friday,Observance
italy,2001,15 Apr,Sunday,Easter Sunday,National holiday
italy,2001,16 Apr,Monday,Easter Monday,National holiday
italy,2001,25 Apr,Wednesday,Liberation Day,National holiday
italy,2001,25 Apr,Wednesday,The Feast of St Mark (Venice),Local holiday
italy,2001,1 May,Tuesday,Labor Day / May Day,National holiday
italy,2001,13 May,Sunday,Mother's Day,Observance
italy,2001,2 Jun,Saturday,Republic Day,National holiday
italy,2001,21 Jun,Thursday,June Solstice,Season
italy,2001,24 Jun,Sunday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2001,29 Jun,Friday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
italy,2001,15 Aug,Wednesday,Ferragosto,Observance
italy,2001,19 Sep,Wednesday,The Feast of Saint Januarius (Naples),Local holiday
italy,2001,23 Sep,Sunday,September Equinox,Season
italy,2001,1 Nov,Thursday,All Saints' Day,National holiday
italy,2001,7 Dec,Friday,The Feast of St. Ambrose (Milan),Local holiday
italy,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
italy,2001,21 Dec,Friday,December Solstice,Season
italy,2001,25 Dec,Tuesday,Christmas Day,National holiday
italy,2001,26 Dec,Wednesday,St. Stephen's Day,National holiday
italy,2001,31 Dec,Monday,New Year's Eve,Observance
italy,2002,1 Jan,Tuesday,New Year's Day,National holiday
italy,2002,6 Jan,Sunday,Epiphany,National holiday
italy,2002,13 Feb,Wednesday,Ash Wednesday,Observance
italy,2002,19 Mar,Tuesday,Father's Day,Observance
italy,2002,20 Mar,Wednesday,March Equinox,Season
italy,2002,29 Mar,Friday,Good Friday,Observance
italy,2002,31 Mar,Sunday,Easter Sunday,National holiday
italy,2002,1 Apr,Monday,Easter Monday,National holiday
italy,2002,25 Apr,Thursday,Liberation Day,National holiday
italy,2002,25 Apr,Thursday,The Feast of St Mark (Venice),Local holiday
italy,2002,1 May,Wednesday,Labor Day / May Day,National holiday
italy,2002,12 May,Sunday,Mother's Day,Observance
italy,2002,2 Jun,Sunday,Republic Day,National holiday
italy,2002,21 Jun,Friday,June Solstice,Season
italy,2002,24 Jun,Monday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2002,29 Jun,Saturday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2002,15 Aug,Thursday,Assumption of Mary,National holiday
italy,2002,15 Aug,Thursday,Ferragosto,Observance
italy,2002,19 Sep,Thursday,The Feast of Saint Januarius (Naples),Local holiday
italy,2002,23 Sep,Monday,September Equinox,Season
italy,2002,1 Nov,Friday,All Saints' Day,National holiday
italy,2002,7 Dec,Saturday,The Feast of St. Ambrose (Milan),Local holiday
italy,2002,8 Dec,Sunday,Feast of the Immaculate Conception,National holiday
italy,2002,22 Dec,Sunday,December Solstice,Season
italy,2002,25 Dec,Wednesday,Christmas Day,National holiday
italy,2002,26 Dec,Thursday,St. Stephen's Day,National holiday
italy,2002,31 Dec,Tuesday,New Year's Eve,Observance
italy,2003,1 Jan,Wednesday,New Year's Day,National holiday
italy,2003,6 Jan,Monday,Epiphany,National holiday
italy,2003,5 Mar,Wednesday,Ash Wednesday,Observance
italy,2003,19 Mar,Wednesday,Father's Day,Observance
italy,2003,21 Mar,Friday,March Equinox,Season
italy,2003,18 Apr,Friday,Good Friday,Observance
italy,2003,20 Apr,Sunday,Easter Sunday,National holiday
italy,2003,21 Apr,Monday,Easter Monday,National holiday
italy,2003,25 Apr,Friday,Liberation Day,National holiday
italy,2003,25 Apr,Friday,The Feast of St Mark (Venice),Local holiday
italy,2003,1 May,Thursday,Labor Day / May Day,National holiday
italy,2003,11 May,Sunday,Mother's Day,Observance
italy,2003,2 Jun,Monday,Republic Day,National holiday
italy,2003,21 Jun,Saturday,June Solstice,Season
italy,2003,24 Jun,Tuesday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2003,29 Jun,Sunday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2003,15 Aug,Friday,Assumption of Mary,National holiday
italy,2003,15 Aug,Friday,Ferragosto,Observance
italy,2003,19 Sep,Friday,The Feast of Saint Januarius (Naples),Local holiday
italy,2003,23 Sep,Tuesday,September Equinox,Season
italy,2003,1 Nov,Saturday,All Saints' Day,National holiday
italy,2003,7 Dec,Sunday,The Feast of St. Ambrose (Milan),Local holiday
italy,2003,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
italy,2003,22 Dec,Monday,December Solstice,Season
italy,2003,25 Dec,Thursday,Christmas Day,National holiday
italy,2003,26 Dec,Friday,St. Stephen's Day,National holiday
italy,2003,31 Dec,Wednesday,New Year's Eve,Observance
italy,2004,1 Jan,Thursday,New Year's Day,National holiday
italy,2004,6 Jan,Tuesday,Epiphany,National holiday
italy,2004,25 Feb,Wednesday,Ash Wednesday,Observance
italy,2004,19 Mar,Friday,Father's Day,Observance
italy,2004,20 Mar,Saturday,March Equinox,Season
italy,2004,9 Apr,Friday,Good Friday,Observance
italy,2004,11 Apr,Sunday,Easter Sunday,National holiday
italy,2004,12 Apr,Monday,Easter Monday,National holiday
italy,2004,25 Apr,Sunday,Liberation Day,National holiday
italy,2004,25 Apr,Sunday,The Feast of St Mark (Venice),Local holiday
italy,2004,1 May,Saturday,Labor Day / May Day,National holiday
italy,2004,9 May,Sunday,Mother's Day,Observance
italy,2004,2 Jun,Wednesday,Republic Day,National holiday
italy,2004,21 Jun,Monday,June Solstice,Season
italy,2004,24 Jun,Thursday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2004,29 Jun,Tuesday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2004,15 Aug,Sunday,Assumption of Mary,National holiday
italy,2004,15 Aug,Sunday,Ferragosto,Observance
italy,2004,19 Sep,Sunday,The Feast of Saint Januarius (Naples),Local holiday
italy,2004,22 Sep,Wednesday,September Equinox,Season
italy,2004,1 Nov,Monday,All Saints' Day,National holiday
italy,2004,7 Dec,Tuesday,The Feast of St. Ambrose (Milan),Local holiday
italy,2004,8 Dec,Wednesday,Feast of the Immaculate Conception,National holiday
italy,2004,21 Dec,Tuesday,December Solstice,Season
italy,2004,25 Dec,Saturday,Christmas Day,National holiday
italy,2004,26 Dec,Sunday,St. Stephen's Day,National holiday
italy,2004,31 Dec,Friday,New Year's Eve,Observance
italy,2005,1 Jan,Saturday,New Year's Day,National holiday
italy,2005,6 Jan,Thursday,Epiphany,National holiday
italy,2005,9 Feb,Wednesday,Ash Wednesday,Observance
italy,2005,19 Mar,Saturday,Father's Day,Observance
italy,2005,20 Mar,Sunday,March Equinox,Season
italy,2005,25 Mar,Friday,Good Friday,Observance
italy,2005,27 Mar,Sunday,Easter Sunday,National holiday
italy,2005,28 Mar,Monday,Easter Monday,National holiday
italy,2005,25 Apr,Monday,Liberation Day,National holiday
italy,2005,25 Apr,Monday,The Feast of St Mark (Venice),Local holiday
italy,2005,1 May,Sunday,Labor Day / May Day,National holiday
italy,2005,8 May,Sunday,Mother's Day,Observance
italy,2005,2 Jun,Thursday,Republic Day,National holiday
italy,2005,21 Jun,Tuesday,June Solstice,Season
italy,2005,24 Jun,Friday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2005,29 Jun,Wednesday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2005,15 Aug,Monday,Assumption of Mary,National holiday
italy,2005,15 Aug,Monday,Ferragosto,Observance
italy,2005,19 Sep,Monday,The Feast of Saint Januarius (Naples),Local holiday
italy,2005,23 Sep,Friday,September Equinox,Season
italy,2005,1 Nov,Tuesday,All Saints' Day,National holiday
italy,2005,7 Dec,Wednesday,The Feast of St. Ambrose (Milan),Local holiday
italy,2005,8 Dec,Thursday,Feast of the Immaculate Conception,National holiday
italy,2005,21 Dec,Wednesday,December Solstice,Season
italy,2005,25 Dec,Sunday,Christmas Day,National holiday
italy,2005,26 Dec,Monday,St. Stephen's Day,National holiday
italy,2005,31 Dec,Saturday,New Year's Eve,Observance
italy,2006,1 Jan,Sunday,New Year's Day,National holiday
italy,2006,6 Jan,Friday,Epiphany,National holiday
italy,2006,1 Mar,Wednesday,Ash Wednesday,Observance
italy,2006,19 Mar,Sunday,Father's Day,Observance
italy,2006,20 Mar,Monday,March Equinox,Season
italy,2006,14 Apr,Friday,Good Friday,Observance
italy,2006,16 Apr,Sunday,Easter Sunday,National holiday
italy,2006,17 Apr,Monday,Easter Monday,National holiday
italy,2006,25 Apr,Tuesday,Liberation Day,National holiday
italy,2006,25 Apr,Tuesday,The Feast of St Mark (Venice),Local holiday
italy,2006,1 May,Monday,Labor Day / May Day,National holiday
italy,2006,14 May,Sunday,Mother's Day,Observance
italy,2006,2 Jun,Friday,Republic Day,National holiday
italy,2006,21 Jun,Wednesday,June Solstice,Season
italy,2006,24 Jun,Saturday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2006,29 Jun,Thursday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2006,15 Aug,Tuesday,Assumption of Mary,National holiday
italy,2006,15 Aug,Tuesday,Ferragosto,Observance
italy,2006,19 Sep,Tuesday,The Feast of Saint Januarius (Naples),Local holiday
italy,2006,23 Sep,Saturday,September Equinox,Season
italy,2006,1 Nov,Wednesday,All Saints' Day,National holiday
italy,2006,7 Dec,Thursday,The Feast of St. Ambrose (Milan),Local holiday
italy,2006,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
italy,2006,22 Dec,Friday,December Solstice,Season
italy,2006,25 Dec,Monday,Christmas Day,National holiday
italy,2006,26 Dec,Tuesday,St. Stephen's Day,National holiday
italy,2006,31 Dec,Sunday,New Year's Eve,Observance
italy,2007,1 Jan,Monday,New Year's Day,National holiday
italy,2007,6 Jan,Saturday,Epiphany,National holiday
italy,2007,21 Feb,Wednesday,Ash Wednesday,Observance
italy,2007,19 Mar,Monday,Father's Day,Observance
italy,2007,21 Mar,Wednesday,March Equinox,Season
italy,2007,6 Apr,Friday,Good Friday,Observance
italy,2007,8 Apr,Sunday,Easter Sunday,National holiday
italy,2007,9 Apr,Monday,Easter Monday,National holiday
italy,2007,25 Apr,Wednesday,Liberation Day,National holiday
italy,2007,25 Apr,Wednesday,The Feast of St Mark (Venice),Local holiday
italy,2007,1 May,Tuesday,Labor Day / May Day,National holiday
italy,2007,13 May,Sunday,Mother's Day,Observance
italy,2007,2 Jun,Saturday,Republic Day,National holiday
italy,2007,21 Jun,Thursday,June Solstice,Season
italy,2007,24 Jun,Sunday,"The Feast of St. John (Florence, Genoa, Turin)",Local holiday
italy,2007,29 Jun,Friday,The Feast of St. Peter and St. Paul (Rome),Local holiday
italy,2007,15 Aug,Wednesday,Assumption of Mary,National holiday
italy,2007,15 Aug,Wednesday,Ferragosto,Observance
italy,2007,19 Sep,Wednesday,The Feast of Saint Januarius (Naples),Local holiday
italy,2007,23 Sep,Sunday,September Equinox,Season
italy,2007,1 Nov,Thursday,All Saints' Day,National holiday
italy,2007,7 Dec,Friday,The Feast of St. Ambrose (Milan),Local holiday
italy,2007,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
italy,2007,22 Dec,Saturday,December Solstice,Season
italy,2007,25 Dec,Tuesday,Christmas Day,National holiday
italy,2007,26 Dec,Wednesday,St. Stephen's Day,National holiday
italy,2007,31 Dec,Monday,New Year's Eve,Observance
italy,2008,1 Jan,Tuesday,New Year's Day,National holiday
italy,2008,6 Jan,Sunday,Epiphany,National holiday
italy,2008,6 Feb,Wednesday,Ash Wednesday,Observance
italy,2008,19 Mar,Wednesday,Father's Day,Observance
italy,2008,20 Mar,Thursday,March Equinox,Season
italy,2008,21 Mar,Friday,Good Friday,Observance
italy,2008,23 Mar,Sunday,Easter Sunday,National holiday
italy,2008,24 Mar,Monday,Easter Monday,National holiday
italy,2008,25 Apr,Friday,Liberation Day,National holiday
italy,2008,25 Apr,Friday,The Feast of St Mark (Venice),Local holiday
italy,2008,1 May,Thursday,Labor Day / May Day,National holiday
