Geo,Event Year,Date,Day,Name,Type
jamaica,2009,1 Jan,Thursday,New Year's Day,Public Holiday
jamaica,2009,14 Feb,Saturday,Valentine's Day,Observance
jamaica,2009,25 Feb,Wednesday,Ash Wednesday,Public Holiday
jamaica,2009,20 Mar,Friday,March Equinox,Season
jamaica,2009,10 Apr,Friday,Good Friday,Public Holiday
jamaica,2009,12 Apr,Sunday,Easter Sunday,Observance
jamaica,2009,13 Apr,Monday,Easter Monday,Public Holiday
jamaica,2009,10 May,Sunday,Mother's Day,Observance
jamaica,2009,23 May,Saturday,Labor Day / May Day,Public Holiday
jamaica,2009,25 May,Monday,Labor Day / May Day observed,Public Holiday
jamaica,2009,21 Jun,Sunday,Father's Day,Observance
jamaica,2009,21 Jun,Sunday,June Solstice,Season
jamaica,2009,1 Aug,Saturday,Emancipation Day,Public Holiday
jamaica,2009,6 Aug,Thursday,Independence Day,Public Holiday
jamaica,2009,22 Sep,Tuesday,September Equinox,Season
jamaica,2009,19 Oct,Monday,National Heroes' Day,Public Holiday
jamaica,2009,21 Dec,Monday,December Solstice,Season
jamaica,2009,24 Dec,Thursday,Christmas Eve,Observance
jamaica,2009,25 Dec,Friday,Christmas Day,Public Holiday
jamaica,2009,26 Dec,Saturday,Boxing Day,Public Holiday
jamaica,2009,31 Dec,Thursday,New Year's Eve,Observance
jamaica,2010,1 Jan,Friday,New Year's Day,Public Holiday
jamaica,2010,14 Feb,Sunday,Valentine's Day,Observance
jamaica,2010,17 Feb,Wednesday,Ash Wednesday,Public Holiday
jamaica,2010,20 Mar,Saturday,March Equinox,Season
jamaica,2010,2 Apr,Friday,Good Friday,Public Holiday
jamaica,2010,4 Apr,Sunday,Easter Sunday,Observance
jamaica,2010,5 Apr,Monday,Easter Monday,Public Holiday
jamaica,2010,9 May,Sunday,Mother's Day,Observance
jamaica,2010,23 May,Sunday,Labor Day / May Day,Public Holiday
jamaica,2010,24 May,Monday,Labor Day / May Day observed,Public Holiday
jamaica,2010,20 Jun,Sunday,Father's Day,Observance
jamaica,2010,21 Jun,Monday,June Solstice,Season
jamaica,2010,1 Aug,Sunday,Emancipation Day,Public Holiday
jamaica,2010,2 Aug,Monday,Emancipation Day observed,Public Holiday
jamaica,2010,6 Aug,Friday,Independence Day,Public Holiday
jamaica,2010,22 Sep,Wednesday,September Equinox,Season
jamaica,2010,18 Oct,Monday,National Heroes' Day,Public Holiday
jamaica,2010,21 Dec,Tuesday,December Solstice,Season
jamaica,2010,24 Dec,Friday,Christmas Eve,Observance
jamaica,2010,25 Dec,Saturday,Christmas Day,Public Holiday
jamaica,2010,26 Dec,Sunday,Boxing Day,Public Holiday
jamaica,2010,31 Dec,Friday,New Year's Eve,Observance
jamaica,2011,1 Jan,Saturday,New Year's Day,Public Holiday
jamaica,2011,14 Feb,Monday,Valentine's Day,Observance
jamaica,2011,9 Mar,Wednesday,Ash Wednesday,Public Holiday
jamaica,2011,20 Mar,Sunday,March Equinox,Season
jamaica,2011,22 Apr,Friday,Good Friday,Public Holiday
jamaica,2011,24 Apr,Sunday,Easter Sunday,Observance
jamaica,2011,25 Apr,Monday,Easter Monday,Public Holiday
jamaica,2011,8 May,Sunday,Mother's Day,Observance
jamaica,2011,23 May,Monday,Labor Day / May Day,Public Holiday
jamaica,2011,19 Jun,Sunday,Father's Day,Observance
jamaica,2011,21 Jun,Tuesday,June Solstice,Season
jamaica,2011,1 Aug,Monday,Emancipation Day,Public Holiday
jamaica,2011,6 Aug,Saturday,Independence Day,Public Holiday
jamaica,2011,8 Aug,Monday,Day off for Independence Day,Public Holiday
jamaica,2011,23 Sep,Friday,September Equinox,Season
jamaica,2011,17 Oct,Monday,National Heroes' Day,Public Holiday
jamaica,2011,22 Dec,Thursday,December Solstice,Season
jamaica,2011,24 Dec,Saturday,Christmas Eve,Observance
jamaica,2011,25 Dec,Sunday,Christmas Day,Public Holiday
jamaica,2011,26 Dec,Monday,Boxing Day,Public Holiday
jamaica,2011,27 Dec,Tuesday,Christmas/Boxing Day Holiday,Public Holiday
jamaica,2011,31 Dec,Saturday,New Year's Eve,Observance
jamaica,2012,1 Jan,Sunday,New Year's Day,Public Holiday
jamaica,2012,2 Jan,Monday,Day off for New Year's Day,Public Holiday
jamaica,2012,14 Feb,Tuesday,Valentine's Day,Observance
jamaica,2012,22 Feb,Wednesday,Ash Wednesday,Public Holiday
jamaica,2012,20 Mar,Tuesday,March Equinox,Season
jamaica,2012,6 Apr,Friday,Good Friday,Public Holiday
jamaica,2012,8 Apr,Sunday,Easter Sunday,Observance
jamaica,2012,9 Apr,Monday,Easter Monday,Public Holiday
jamaica,2012,13 May,Sunday,Mother's Day,Observance
jamaica,2012,23 May,Wednesday,Labor Day / May Day,Public Holiday
jamaica,2012,17 Jun,Sunday,Father's Day,Observance
jamaica,2012,20 Jun,Wednesday,June Solstice,Season
jamaica,2012,1 Aug,Wednesday,Emancipation Day,Public Holiday
jamaica,2012,6 Aug,Monday,Independence Day,Public Holiday
jamaica,2012,12 Aug,Sunday,Independence Day,Public Holiday
jamaica,2012,22 Sep,Saturday,September Equinox,Season
jamaica,2012,15 Oct,Monday,National Heroes' Day,Public Holiday
jamaica,2012,21 Dec,Friday,December Solstice,Season
jamaica,2012,24 Dec,Monday,Christmas Eve,Observance
jamaica,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
jamaica,2012,26 Dec,Wednesday,Boxing Day,Public Holiday
jamaica,2012,31 Dec,Monday,New Year's Eve,Observance
jamaica,2013,1 Jan,Tuesday,New Year's Day,Public Holiday
jamaica,2013,13 Feb,Wednesday,Ash Wednesday,Public Holiday
jamaica,2013,14 Feb,Thursday,Valentine's Day,Observance
jamaica,2013,20 Mar,Wednesday,March Equinox,Season
jamaica,2013,29 Mar,Friday,Good Friday,Public Holiday
jamaica,2013,31 Mar,Sunday,Easter Sunday,Observance
jamaica,2013,1 Apr,Monday,Easter Monday,Public Holiday
jamaica,2013,12 May,Sunday,Mother's Day,Observance
jamaica,2013,23 May,Thursday,Labor Day / May Day,Public Holiday
jamaica,2013,16 Jun,Sunday,Father's Day,Observance
jamaica,2013,21 Jun,Friday,June Solstice,Season
jamaica,2013,1 Aug,Thursday,Emancipation Day,Public Holiday
jamaica,2013,6 Aug,Tuesday,Independence Day,Public Holiday
jamaica,2013,22 Sep,Sunday,September Equinox,Season
jamaica,2013,21 Oct,Monday,National Heroes' Day,Public Holiday
jamaica,2013,21 Dec,Saturday,December Solstice,Season
jamaica,2013,24 Dec,Tuesday,Christmas Eve,Observance
jamaica,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
