Geo,Event Year,Date,Day,Name,Type
kiribati,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
kiribati,2002,8 Mar,Friday,International Women's Day,Public Holiday
kiribati,2002,21 Mar,Thursday,March Equinox,Season
kiribati,2002,29 Mar,Friday,Good Friday,Public Holiday
kiribati,2002,1 Apr,Monday,Easter Monday,Public Holiday
kiribati,2002,19 Apr,Friday,National Health Day,Public Holiday
kiribati,2002,22 Jun,Saturday,June Solstice,Season
kiribati,2002,11 Jul,Thursday,Gospel Day,Public Holiday
kiribati,2002,11 Jul,Thursday,Independence Day Holiday,Public Holiday
kiribati,2002,12 Jul,Friday,Independence Day,Public Holiday
kiribati,2002,15 Jul,Monday,Unimwane Day,Observance
kiribati,2002,16 Jul,Tuesday,Unaine Day,Observance
kiribati,2002,5 Aug,Monday,Youth Day,Public Holiday
kiribati,2002,23 Sep,Monday,September Equinox,Season
kiribati,2002,11 Dec,Wednesday,Human Rights and Peace Day,Public Holiday
kiribati,2002,22 Dec,Sunday,December Solstice,Season
kiribati,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
kiribati,2002,26 Dec,Thursday,Boxing Day,Public Holiday
kiribati,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
kiribati,2003,8 Mar,Saturday,International Women's Day,Public Holiday
kiribati,2003,21 Mar,Friday,March Equinox,Season
kiribati,2003,18 Apr,Friday,Good Friday,Public Holiday
kiribati,2003,21 Apr,Monday,Easter Monday,Public Holiday
kiribati,2003,22 Jun,Sunday,June Solstice,Season
kiribati,2003,11 Jul,Friday,Independence Day Holiday,Public Holiday
kiribati,2003,12 Jul,Saturday,Independence Day,Public Holiday
kiribati,2003,15 Jul,Tuesday,Unimwane Day,Observance
kiribati,2003,16 Jul,Wednesday,Unaine Day,Observance
kiribati,2003,4 Aug,Monday,Youth Day,Public Holiday
kiribati,2003,23 Sep,Tuesday,September Equinox,Season
kiribati,2003,11 Dec,Thursday,Human Rights and Peace Day,Public Holiday
kiribati,2003,22 Dec,Monday,December Solstice,Season
kiribati,2003,25 Dec,Thursday,Christmas Day,Public Holiday
kiribati,2003,26 Dec,Friday,Boxing Day,Public Holiday
kiribati,2004,1 Jan,Thursday,New Year's Day,Public Holiday
kiribati,2004,8 Mar,Monday,International Women's Day,Public Holiday
kiribati,2004,20 Mar,Saturday,March Equinox,Season
kiribati,2004,9 Apr,Friday,Good Friday,Public Holiday
kiribati,2004,12 Apr,Monday,Easter Monday,Public Holiday
kiribati,2004,21 Jun,Monday,June Solstice,Season
kiribati,2004,11 Jul,Sunday,Independence Day Holiday,Public Holiday
kiribati,2004,12 Jul,Monday,Independence Day,Public Holiday
kiribati,2004,15 Jul,Thursday,Unimwane Day,Observance
kiribati,2004,16 Jul,Friday,Unaine Day,Observance
kiribati,2004,2 Aug,Monday,Youth Day,Public Holiday
kiribati,2004,23 Sep,Thursday,September Equinox,Season
kiribati,2004,11 Dec,Saturday,Human Rights and Peace Day,Public Holiday
kiribati,2004,22 Dec,Wednesday,December Solstice,Season
kiribati,2004,25 Dec,Saturday,Christmas Day,Public Holiday
kiribati,2004,26 Dec,Sunday,Boxing Day,Public Holiday
kiribati,2005,1 Jan,Saturday,New Year's Day,Public Holiday
kiribati,2005,8 Mar,Tuesday,International Women's Day,Public Holiday
kiribati,2005,21 Mar,Monday,March Equinox,Season
kiribati,2005,25 Mar,Friday,Good Friday,Public Holiday
kiribati,2005,28 Mar,Monday,Easter Monday,Public Holiday
kiribati,2005,21 Jun,Tuesday,June Solstice,Season
kiribati,2005,11 Jul,Monday,Independence Day Holiday,Public Holiday
kiribati,2005,12 Jul,Tuesday,Independence Day,Public Holiday
kiribati,2005,15 Jul,Friday,Unimwane Day,Observance
kiribati,2005,16 Jul,Saturday,Unaine Day,Observance
kiribati,2005,1 Aug,Monday,Youth Day,Public Holiday
kiribati,2005,23 Sep,Friday,September Equinox,Season
kiribati,2005,11 Dec,Sunday,Human Rights and Peace Day,Public Holiday
kiribati,2005,22 Dec,Thursday,December Solstice,Season
kiribati,2005,25 Dec,Sunday,Christmas Day,Public Holiday
kiribati,2005,26 Dec,Monday,Boxing Day,Public Holiday
kiribati,2006,1 Jan,Sunday,New Year's Day,Public Holiday
kiribati,2006,8 Mar,Wednesday,International Women's Day,Public Holiday
kiribati,2006,21 Mar,Tuesday,March Equinox,Season
kiribati,2006,14 Apr,Friday,Good Friday,Public Holiday
kiribati,2006,17 Apr,Monday,Easter Monday,Public Holiday
kiribati,2006,22 Jun,Thursday,June Solstice,Season
kiribati,2006,11 Jul,Tuesday,Independence Day Holiday,Public Holiday
kiribati,2006,12 Jul,Wednesday,Independence Day,Public Holiday
kiribati,2006,15 Jul,Saturday,Unimwane Day,Observance
kiribati,2006,16 Jul,Sunday,Unaine Day,Observance
kiribati,2006,7 Aug,Monday,Youth Day,Public Holiday
kiribati,2006,23 Sep,Saturday,September Equinox,Season
kiribati,2006,11 Dec,Monday,Human Rights and Peace Day,Public Holiday
kiribati,2006,22 Dec,Friday,December Solstice,Season
kiribati,2006,25 Dec,Monday,Christmas Day,Public Holiday
kiribati,2006,26 Dec,Tuesday,Boxing Day,Public Holiday
kiribati,2007,1 Jan,Monday,New Year's Day,Public Holiday
kiribati,2007,8 Mar,Thursday,International Women's Day,Public Holiday
kiribati,2007,21 Mar,Wednesday,March Equinox,Season
kiribati,2007,6 Apr,Friday,Good Friday,Public Holiday
kiribati,2007,9 Apr,Monday,Easter Monday,Public Holiday
kiribati,2007,22 Jun,Friday,June Solstice,Season
kiribati,2007,11 Jul,Wednesday,Independence Day Holiday,Public Holiday
kiribati,2007,12 Jul,Thursday,Independence Day,Public Holiday
kiribati,2007,15 Jul,Sunday,Unimwane Day,Observance
kiribati,2007,16 Jul,Monday,Unaine Day,Observance
kiribati,2007,6 Aug,Monday,Youth Day,Public Holiday
kiribati,2007,23 Sep,Sunday,September Equinox,Season
kiribati,2007,11 Dec,Tuesday,Human Rights and Peace Day,Public Holiday
kiribati,2007,22 Dec,Saturday,December Solstice,Season
kiribati,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
kiribati,2007,26 Dec,Wednesday,Boxing Day,Public Holiday
kiribati,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
kiribati,2008,8 Mar,Saturday,International Women's Day,Public Holiday
kiribati,2008,20 Mar,Thursday,March Equinox,Season
kiribati,2008,21 Mar,Friday,Good Friday,Public Holiday
kiribati,2008,24 Mar,Monday,Easter Monday,Public Holiday
kiribati,2008,21 Jun,Saturday,June Solstice,Season
kiribati,2008,11 Jul,Friday,Independence Day Holiday,Public Holiday
kiribati,2008,12 Jul,Saturday,Independence Day,Public Holiday
kiribati,2008,15 Jul,Tuesday,Unimwane Day,Observance
kiribati,2008,16 Jul,Wednesday,Unaine Day,Observance
kiribati,2008,4 Aug,Monday,Youth Day,Public Holiday
kiribati,2008,23 Sep,Tuesday,September Equinox,Season
kiribati,2008,11 Dec,Thursday,Human Rights and Peace Day,Public Holiday
kiribati,2008,22 Dec,Monday,December Solstice,Season
kiribati,2008,25 Dec,Thursday,Christmas Day,Public Holiday
kiribati,2008,26 Dec,Friday,Boxing Day,Public Holiday
kiribati,2009,1 Jan,Thursday,New Year's Day,Public Holiday
kiribati,2009,8 Mar,Sunday,International Women's Day,Public Holiday
kiribati,2009,20 Mar,Friday,March Equinox,Season
kiribati,2009,10 Apr,Friday,Good Friday,Public Holiday
kiribati,2009,13 Apr,Monday,Easter Monday,Public Holiday
kiribati,2009,21 Jun,Sunday,June Solstice,Season
kiribati,2009,11 Jul,Saturday,Independence Day Holiday,Public Holiday
kiribati,2009,12 Jul,Sunday,Independence Day,Public Holiday
kiribati,2009,15 Jul,Wednesday,Unimwane Day,Observance
kiribati,2009,16 Jul,Thursday,Unaine Day,Observance
kiribati,2009,3 Aug,Monday,Youth Day,Public Holiday
kiribati,2009,23 Sep,Wednesday,September Equinox,Season
kiribati,2009,11 Dec,Friday,Human Rights and Peace Day,Public Holiday
kiribati,2009,22 Dec,Tuesday,December Solstice,Season
kiribati,2009,25 Dec,Friday,Christmas Day,Public Holiday
kiribati,2009,26 Dec,Saturday,Boxing Day,Public Holiday
kiribati,2010,1 Jan,Friday,New Year's Day,Public Holiday
kiribati,2010,8 Mar,Monday,International Women's Day,Public Holiday
kiribati,2010,21 Mar,Sunday,March Equinox,Season
