Geo,Event Year,Date,Day,Name,Type
kosovo,2013,1 Jan,Tuesday,New Year's Day,Official Holiday
kosovo,2013,2 Jan,Wednesday,Second Day of New Year,Official Holiday
kosovo,2013,7 Jan,Monday,Christmas Day,Official Holiday
kosovo,2013,15 Feb,Friday,Day of Ashakalia,Observance
kosovo,2013,17 Feb,Sunday,Independence Day of the Republic of Kosovo,Official Holiday
kosovo,2013,18 Feb,Monday,Day off for Independence Day of the Republic of Kosovo,Official Holiday
kosovo,2013,6 Mar,Wednesday,Day of Memorial and Respect for Veterans,Observance
kosovo,2013,20 Mar,Wednesday,March Equinox,Season
kosovo,2013,31 Mar,Sunday,Easter,Official Holiday
kosovo,2013,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
kosovo,2013,1 Apr,Monday,Easter Monday,Official Holiday
kosovo,2013,8 Apr,Monday,Day of Romas,Observance
kosovo,2013,9 Apr,Tuesday,Constitution Day of the Republic of Kosovo,Official Holiday
kosovo,2013,23 Apr,Tuesday,Day of Turks,Observance
kosovo,2013,1 May,Wednesday,International Labour Day,Official Holiday
kosovo,2013,5 May,Sunday,Orthodox Easter Day,Official Holiday
kosovo,2013,6 May,Monday,Orthodox Easter Monday,Official Holiday
kosovo,2013,6 May,Monday,Day of Gorans,Observance
kosovo,2013,9 May,Thursday,Europe Day,Official Holiday
kosovo,2013,12 Jun,Wednesday,Peace Day,Observance
kosovo,2013,21 Jun,Friday,June Solstice,Season
kosovo,2013,8 Aug,Thursday,Eid al-Fitr,Official Holiday
kosovo,2013,22 Sep,Sunday,September Equinox,Season
kosovo,2013,28 Sep,Saturday,Day of Bosnians,Observance
kosovo,2013,15 Oct,Tuesday,Kurban Bayrami,Official Holiday
kosovo,2013,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
kosovo,2013,28 Nov,Thursday,Day of Albanians,Observance
kosovo,2013,21 Dec,Saturday,December Solstice,Season
kosovo,2013,25 Dec,Wednesday,Christmas Day,Official Holiday
kosovo,2013,31 Dec,Tuesday,New Year's Eve,Observance
kosovo,2014,1 Jan,Wednesday,New Year's Day,Official Holiday
kosovo,2014,2 Jan,Thursday,Second Day of New Year,Official Holiday
kosovo,2014,7 Jan,Tuesday,Christmas Day,Official Holiday
kosovo,2014,15 Feb,Saturday,Day of Ashakalia,Observance
kosovo,2014,17 Feb,Monday,Independence Day of the Republic of Kosovo,Official Holiday
kosovo,2014,6 Mar,Thursday,Day of Memorial and Respect for Veterans,Observance
kosovo,2014,20 Mar,Thursday,March Equinox,Season
kosovo,2014,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
kosovo,2014,8 Apr,Tuesday,Day of Romas,Observance
kosovo,2014,9 Apr,Wednesday,Constitution Day of the Republic of Kosovo,Official Holiday
kosovo,2014,20 Apr,Sunday,Orthodox Easter Day,Official Holiday
kosovo,2014,20 Apr,Sunday,Easter,Official Holiday
kosovo,2014,21 Apr,Monday,Orthodox Easter Monday,Official Holiday
kosovo,2014,21 Apr,Monday,Easter Monday,Official Holiday
kosovo,2014,23 Apr,Wednesday,Day of Turks,Observance
kosovo,2014,1 May,Thursday,International Labour Day,Official Holiday
kosovo,2014,6 May,Tuesday,Day of Gorans,Observance
kosovo,2014,9 May,Friday,Europe Day,Official Holiday
kosovo,2014,12 Jun,Thursday,Peace Day,Observance
kosovo,2014,21 Jun,Saturday,June Solstice,Season
kosovo,2014,29 Jul,Tuesday,Eid al-Fitr,Official Holiday
kosovo,2014,23 Sep,Tuesday,September Equinox,Season
kosovo,2014,28 Sep,Sunday,Day of Bosnians,Observance
kosovo,2014,5 Oct,Sunday,Kurban Bayrami,Official Holiday
kosovo,2014,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
kosovo,2014,28 Nov,Friday,Day of Albanians,Observance
kosovo,2014,22 Dec,Monday,December Solstice,Season
kosovo,2014,25 Dec,Thursday,Christmas Day,Official Holiday
kosovo,2014,31 Dec,Wednesday,New Year's Eve,Observance
kosovo,2015,1 Jan,Thursday,New Year's Day,Official Holiday
kosovo,2015,2 Jan,Friday,Second Day of New Year,Official Holiday
kosovo,2015,7 Jan,Wednesday,Christmas Day,Official Holiday
kosovo,2015,15 Feb,Sunday,Day of Ashakalia,Observance
kosovo,2015,17 Feb,Tuesday,Independence Day of the Republic of Kosovo,Official Holiday
kosovo,2015,6 Mar,Friday,Day of Memorial and Respect for Veterans,Observance
kosovo,2015,20 Mar,Friday,March Equinox,Season
kosovo,2015,29 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
kosovo,2015,5 Apr,Sunday,Easter,Official Holiday
kosovo,2015,6 Apr,Monday,Easter Monday,Official Holiday
kosovo,2015,8 Apr,Wednesday,Day of Romas,Observance
kosovo,2015,9 Apr,Thursday,Constitution Day of the Republic of Kosovo,Official Holiday
kosovo,2015,12 Apr,Sunday,Orthodox Easter Day,Official Holiday
kosovo,2015,13 Apr,Monday,Orthodox Easter Monday,Official Holiday
kosovo,2015,23 Apr,Thursday,Day of Turks,Observance
kosovo,2015,1 May,Friday,International Labour Day,Official Holiday
kosovo,2015,6 May,Wednesday,Day of Gorans,Observance
kosovo,2015,9 May,Saturday,Europe Day,Official Holiday
