Geo,Event Year,Date,Day,Name,Type
latvia,2003,1 Jan,Wednesday,New Year's Day,National holiday
latvia,2003,14 Feb,Friday,Valentine's Day,Observance
latvia,2003,21 Mar,Friday,March Equinox,Season
latvia,2003,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2003,18 Apr,Friday,Good Friday,National holiday
latvia,2003,19 Apr,Saturday,Holy Saturday,Observance
latvia,2003,20 Apr,Sunday,Easter Sunday,National holiday
latvia,2003,21 Apr,Monday,Easter Monday,National holiday
latvia,2003,1 May,Thursday,Labour Day/May Day,National holiday
latvia,2003,1 May,Thursday,Constituent Assembly Convocation Day,National holiday
latvia,2003,4 May,Sunday,Independence Restoration Day,National holiday
latvia,2003,5 May,Monday,Independence Restoration Day observed,National holiday
latvia,2003,11 May,Sunday,Mothers' Day,National holiday
latvia,2003,8 Jun,Sunday,Whitsunday,National holiday
latvia,2003,21 Jun,Saturday,June Solstice,Season
latvia,2003,23 Jun,Monday,Midsummer Eve,National holiday
latvia,2003,24 Jun,Tuesday,Midsummer Day,National holiday
latvia,2003,14 Sep,Sunday,Fathers' Day,Observance
latvia,2003,23 Sep,Tuesday,September Equinox,Season
latvia,2003,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2003,31 Oct,Friday,Halloween,Observance
latvia,2003,18 Nov,Tuesday,Republic of Latvia Proclamation Day,National holiday
latvia,2003,22 Dec,Monday,December Solstice,Season
latvia,2003,24 Dec,Wednesday,Christmas Eve,National holiday
latvia,2003,25 Dec,Thursday,Christmas Day,National holiday
latvia,2003,26 Dec,Friday,Second Day of Christmas,National holiday
latvia,2003,31 Dec,Wednesday,New Year's Eve,National holiday
latvia,2004,1 Jan,Thursday,New Year's Day,National holiday
latvia,2004,14 Feb,Saturday,Valentine's Day,Observance
latvia,2004,20 Mar,Saturday,March Equinox,Season
latvia,2004,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2004,9 Apr,Friday,Good Friday,National holiday
latvia,2004,10 Apr,Saturday,Holy Saturday,Observance
latvia,2004,11 Apr,Sunday,Easter Sunday,National holiday
latvia,2004,12 Apr,Monday,Easter Monday,National holiday
latvia,2004,1 May,Saturday,Labour Day/May Day,National holiday
latvia,2004,1 May,Saturday,Constituent Assembly Convocation Day,National holiday
latvia,2004,4 May,Tuesday,Independence Restoration Day,National holiday
latvia,2004,9 May,Sunday,Mothers' Day,National holiday
latvia,2004,30 May,Sunday,Whitsunday,National holiday
latvia,2004,21 Jun,Monday,June Solstice,Season
latvia,2004,23 Jun,Wednesday,Midsummer Eve,National holiday
latvia,2004,24 Jun,Thursday,Midsummer Day,National holiday
latvia,2004,12 Sep,Sunday,Fathers' Day,Observance
latvia,2004,22 Sep,Wednesday,September Equinox,Season
latvia,2004,31 Oct,Sunday,Halloween,Observance
latvia,2004,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2004,18 Nov,Thursday,Republic of Latvia Proclamation Day,National holiday
latvia,2004,21 Dec,Tuesday,December Solstice,Season
latvia,2004,24 Dec,Friday,Christmas Eve,National holiday
latvia,2004,25 Dec,Saturday,Christmas Day,National holiday
latvia,2004,26 Dec,Sunday,Second Day of Christmas,National holiday
latvia,2004,31 Dec,Friday,New Year's Eve,National holiday
latvia,2005,1 Jan,Saturday,New Year's Day,National holiday
latvia,2005,14 Feb,Monday,Valentine's Day,Observance
latvia,2005,20 Mar,Sunday,March Equinox,Season
latvia,2005,25 Mar,Friday,Good Friday,National holiday
latvia,2005,26 Mar,Saturday,Holy Saturday,Observance
latvia,2005,27 Mar,Sunday,Easter Sunday,National holiday
latvia,2005,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2005,28 Mar,Monday,Easter Monday,National holiday
latvia,2005,1 May,Sunday,Labour Day/May Day,National holiday
latvia,2005,1 May,Sunday,Constituent Assembly Convocation Day,National holiday
latvia,2005,4 May,Wednesday,Independence Restoration Day,National holiday
latvia,2005,8 May,Sunday,Mothers' Day,National holiday
latvia,2005,15 May,Sunday,Whitsunday,National holiday
latvia,2005,21 Jun,Tuesday,June Solstice,Season
latvia,2005,23 Jun,Thursday,Midsummer Eve,National holiday
latvia,2005,24 Jun,Friday,Midsummer Day,National holiday
latvia,2005,11 Sep,Sunday,Fathers' Day,Observance
latvia,2005,23 Sep,Friday,September Equinox,Season
latvia,2005,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2005,31 Oct,Monday,Halloween,Observance
latvia,2005,18 Nov,Friday,Republic of Latvia Proclamation Day,National holiday
latvia,2005,21 Dec,Wednesday,December Solstice,Season
latvia,2005,24 Dec,Saturday,Christmas Eve,National holiday
latvia,2005,25 Dec,Sunday,Christmas Day,National holiday
latvia,2005,26 Dec,Monday,Second Day of Christmas,National holiday
latvia,2005,31 Dec,Saturday,New Year's Eve,National holiday
latvia,2006,1 Jan,Sunday,New Year's Day,National holiday
latvia,2006,14 Feb,Tuesday,Valentine's Day,Observance
latvia,2006,20 Mar,Monday,March Equinox,Season
latvia,2006,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2006,14 Apr,Friday,Good Friday,National holiday
latvia,2006,15 Apr,Saturday,Holy Saturday,Observance
latvia,2006,16 Apr,Sunday,Easter Sunday,National holiday
latvia,2006,17 Apr,Monday,Easter Monday,National holiday
latvia,2006,1 May,Monday,Labour Day/May Day,National holiday
latvia,2006,1 May,Monday,Constituent Assembly Convocation Day,National holiday
latvia,2006,4 May,Thursday,Independence Restoration Day,National holiday
latvia,2006,14 May,Sunday,Mothers' Day,National holiday
latvia,2006,4 Jun,Sunday,Whitsunday,National holiday
latvia,2006,21 Jun,Wednesday,June Solstice,Season
latvia,2006,23 Jun,Friday,Midsummer Eve,National holiday
latvia,2006,24 Jun,Saturday,Midsummer Day,National holiday
latvia,2006,10 Sep,Sunday,Fathers' Day,Observance
latvia,2006,23 Sep,Saturday,September Equinox,Season
latvia,2006,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2006,31 Oct,Tuesday,Halloween,Observance
latvia,2006,18 Nov,Saturday,Republic of Latvia Proclamation Day,National holiday
latvia,2006,20 Nov,Monday,Republic of Latvia Proclamation Day observed,National holiday
latvia,2006,22 Dec,Friday,December Solstice,Season
latvia,2006,24 Dec,Sunday,Christmas Eve,National holiday
latvia,2006,25 Dec,Monday,Christmas Day,National holiday
latvia,2006,26 Dec,Tuesday,Second Day of Christmas,National holiday
latvia,2006,31 Dec,Sunday,New Year's Eve,National holiday
latvia,2007,1 Jan,Monday,New Year's Day,National holiday
latvia,2007,14 Feb,Wednesday,Valentine's Day,Observance
latvia,2007,21 Mar,Wednesday,March Equinox,Season
latvia,2007,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2007,6 Apr,Friday,Good Friday,National holiday
latvia,2007,7 Apr,Saturday,Holy Saturday,Observance
latvia,2007,8 Apr,Sunday,Easter Sunday,National holiday
latvia,2007,9 Apr,Monday,Easter Monday,National holiday
latvia,2007,1 May,Tuesday,Labour Day/May Day,National holiday
latvia,2007,1 May,Tuesday,Constituent Assembly Convocation Day,National holiday
latvia,2007,4 May,Friday,Independence Restoration Day,National holiday
latvia,2007,13 May,Sunday,Mothers' Day,National holiday
latvia,2007,27 May,Sunday,Whitsunday,National holiday
latvia,2007,21 Jun,Thursday,June Solstice,Season
latvia,2007,23 Jun,Saturday,Midsummer Eve,National holiday
latvia,2007,24 Jun,Sunday,Midsummer Day,National holiday
latvia,2007,9 Sep,Sunday,Fathers' Day,Observance
latvia,2007,23 Sep,Sunday,September Equinox,Season
latvia,2007,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2007,31 Oct,Wednesday,Halloween,Observance
latvia,2007,18 Nov,Sunday,Republic of Latvia Proclamation Day,National holiday
latvia,2007,19 Nov,Monday,Republic of Latvia Proclamation Day observed,National holiday
latvia,2007,22 Dec,Saturday,December Solstice,Season
latvia,2007,24 Dec,Monday,Christmas Eve,National holiday
latvia,2007,25 Dec,Tuesday,Christmas Day,National holiday
latvia,2007,26 Dec,Wednesday,Second Day of Christmas,National holiday
latvia,2007,31 Dec,Monday,New Year's Eve,National holiday
latvia,2008,1 Jan,Tuesday,New Year's Day,National holiday
latvia,2008,14 Feb,Thursday,Valentine's Day,Observance
latvia,2008,20 Mar,Thursday,March Equinox,Season
latvia,2008,21 Mar,Friday,Good Friday,National holiday
latvia,2008,22 Mar,Saturday,Holy Saturday,Observance
latvia,2008,23 Mar,Sunday,Easter Sunday,National holiday
latvia,2008,24 Mar,Monday,Easter Monday,National holiday
latvia,2008,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2008,1 May,Thursday,Labour Day/May Day,National holiday
latvia,2008,1 May,Thursday,Constituent Assembly Convocation Day,National holiday
latvia,2008,4 May,Sunday,Independence Restoration Day,National holiday
latvia,2008,5 May,Monday,Independence Restoration Day observed,National holiday
latvia,2008,11 May,Sunday,Whitsunday,National holiday
latvia,2008,11 May,Sunday,Mothers' Day,National holiday
latvia,2008,21 Jun,Saturday,June Solstice,Season
latvia,2008,23 Jun,Monday,Midsummer Eve,National holiday
latvia,2008,24 Jun,Tuesday,Midsummer Day,National holiday
latvia,2008,14 Sep,Sunday,Fathers' Day,Observance
latvia,2008,22 Sep,Monday,September Equinox,Season
latvia,2008,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2008,31 Oct,Friday,Halloween,Observance
latvia,2008,18 Nov,Tuesday,Republic of Latvia Proclamation Day,National holiday
latvia,2008,21 Dec,Sunday,December Solstice,Season
latvia,2008,24 Dec,Wednesday,Christmas Eve,National holiday
latvia,2008,25 Dec,Thursday,Christmas Day,National holiday
latvia,2008,26 Dec,Friday,Second Day of Christmas,National holiday
latvia,2008,31 Dec,Wednesday,New Year's Eve,National holiday
latvia,2009,1 Jan,Thursday,New Year's Day,National holiday
latvia,2009,14 Feb,Saturday,Valentine's Day,Observance
latvia,2009,20 Mar,Friday,March Equinox,Season
latvia,2009,29 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2009,10 Apr,Friday,Good Friday,National holiday
latvia,2009,11 Apr,Saturday,Holy Saturday,Observance
latvia,2009,12 Apr,Sunday,Easter Sunday,National holiday
latvia,2009,13 Apr,Monday,Easter Monday,National holiday
latvia,2009,1 May,Friday,Labour Day/May Day,National holiday
latvia,2009,1 May,Friday,Constituent Assembly Convocation Day,National holiday
latvia,2009,4 May,Monday,Independence Restoration Day,National holiday
latvia,2009,10 May,Sunday,Mothers' Day,National holiday
latvia,2009,31 May,Sunday,Whitsunday,National holiday
latvia,2009,21 Jun,Sunday,June Solstice,Season
latvia,2009,23 Jun,Tuesday,Midsummer Eve,National holiday
latvia,2009,24 Jun,Wednesday,Midsummer Day,National holiday
latvia,2009,13 Sep,Sunday,Fathers' Day,Observance
latvia,2009,23 Sep,Wednesday,September Equinox,Season
latvia,2009,25 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
latvia,2009,31 Oct,Saturday,Halloween,Observance
latvia,2009,18 Nov,Wednesday,Republic of Latvia Proclamation Day,National holiday
latvia,2009,21 Dec,Monday,December Solstice,Season
latvia,2009,24 Dec,Thursday,Christmas Eve,National holiday
latvia,2009,25 Dec,Friday,Christmas Day,National holiday
latvia,2009,26 Dec,Saturday,Second Day of Christmas,National holiday
latvia,2009,31 Dec,Thursday,New Year's Eve,National holiday
latvia,2010,1 Jan,Friday,New Year's Day,National holiday
latvia,2010,14 Feb,Sunday,Valentine's Day,Observance
latvia,2010,20 Mar,Saturday,March Equinox,Season
latvia,2010,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
latvia,2010,2 Apr,Friday,Good Friday,National holiday
