Geo,Event Year,Date,Day,Name,Type
lebanon,2000,1 Jan,Saturday,New Year,Public Holiday
lebanon,2000,6 Jan,Thursday,Orthodox Christmas,Public Holiday
lebanon,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
lebanon,2000,9 Jan,Sunday,Eid ul Fitr Holiday,Public Holiday
lebanon,2000,9 Feb,Wednesday,St Maron's Day,Public Holiday
lebanon,2000,9 Mar,Thursday,Teachers' Day,Observance
lebanon,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
lebanon,2000,17 Mar,Friday,Eid al-Adha Holiday,Public Holiday
lebanon,2000,20 Mar,Monday,March Equinox,Season
lebanon,2000,21 Mar,Tuesday,Mother's Day,Observance
lebanon,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
lebanon,2000,6 Apr,Thursday,Muharram,Public Holiday
lebanon,2000,15 Apr,Saturday,Ashoura,Public Holiday
lebanon,2000,21 Apr,Friday,Good Friday,Public Holiday
lebanon,2000,23 Apr,Sunday,Easter Sunday,Public Holiday
lebanon,2000,24 Apr,Monday,Easter Monday,Government Holiday
lebanon,2000,28 Apr,Friday,Orthodox Good Friday,Public Holiday
lebanon,2000,30 Apr,Sunday,Orthodox Easter Day,Public Holiday
lebanon,2000,1 May,Monday,Orthodox Easter Monday,Government Holiday
lebanon,2000,1 May,Monday,Labor Day,Public Holiday
lebanon,2000,6 May,Saturday,Martyr's Day,Public Holiday
lebanon,2000,25 May,Thursday,Liberation and Resistance Day,Bank holiday
lebanon,2000,1 Jun,Thursday,Ascension Day,Observance
lebanon,2000,15 Jun,Thursday,The Prophet's Birthday,Public Holiday
lebanon,2000,21 Jun,Wednesday,June Solstice,Season
lebanon,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
lebanon,2000,8 Sep,Friday,Nativity of Mary,Observance
lebanon,2000,22 Sep,Friday,September Equinox,Season
lebanon,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
lebanon,2000,1 Nov,Wednesday,All Saints' Day,Observance
lebanon,2000,22 Nov,Wednesday,Independence Day,Public Holiday
lebanon,2000,21 Dec,Thursday,December Solstice,Season
lebanon,2000,25 Dec,Monday,Christmas Day,Public Holiday
lebanon,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
lebanon,2000,29 Dec,Friday,Eid ul Fitr Holiday,Public Holiday
lebanon,2001,1 Jan,Monday,New Year,Public Holiday
lebanon,2001,6 Jan,Saturday,Orthodox Christmas,Public Holiday
lebanon,2001,9 Feb,Friday,St Maron's Day,Public Holiday
lebanon,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
lebanon,2001,7 Mar,Wednesday,Eid al-Adha Holiday,Public Holiday
lebanon,2001,9 Mar,Friday,Teachers' Day,Observance
lebanon,2001,20 Mar,Tuesday,March Equinox,Season
lebanon,2001,21 Mar,Wednesday,Mother's Day,Observance
lebanon,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
lebanon,2001,26 Mar,Monday,Muharram,Public Holiday
lebanon,2001,4 Apr,Wednesday,Ashoura,Public Holiday
lebanon,2001,13 Apr,Friday,Good Friday,Public Holiday
lebanon,2001,13 Apr,Friday,Orthodox Good Friday,Public Holiday
lebanon,2001,15 Apr,Sunday,Orthodox Easter Day,Public Holiday
lebanon,2001,15 Apr,Sunday,Easter Sunday,Public Holiday
lebanon,2001,16 Apr,Monday,Easter Monday,Government Holiday
lebanon,2001,16 Apr,Monday,Orthodox Easter Monday,Government Holiday
lebanon,2001,1 May,Tuesday,Labor Day,Public Holiday
lebanon,2001,6 May,Sunday,Martyr's Day,Public Holiday
lebanon,2001,24 May,Thursday,Ascension Day,Observance
lebanon,2001,25 May,Friday,Liberation and Resistance Day,Bank holiday
lebanon,2001,4 Jun,Monday,The Prophet's Birthday,Public Holiday
lebanon,2001,21 Jun,Thursday,June Solstice,Season
lebanon,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
lebanon,2001,8 Sep,Saturday,Nativity of Mary,Observance
lebanon,2001,23 Sep,Sunday,September Equinox,Season
lebanon,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
lebanon,2001,1 Nov,Thursday,All Saints' Day,Observance
lebanon,2001,22 Nov,Thursday,Independence Day,Public Holiday
lebanon,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
lebanon,2001,18 Dec,Tuesday,Eid ul Fitr Holiday,Public Holiday
lebanon,2001,21 Dec,Friday,December Solstice,Season
lebanon,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
lebanon,2002,1 Jan,Tuesday,New Year,Public Holiday
lebanon,2002,6 Jan,Sunday,Orthodox Christmas,Public Holiday
lebanon,2002,7 Jan,Monday,Day off for Orthodox Christmas,Public Holiday
lebanon,2002,9 Feb,Saturday,St Maron's Day,Public Holiday
lebanon,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
lebanon,2002,24 Feb,Sunday,Eid al-Adha Holiday,Public Holiday
lebanon,2002,9 Mar,Saturday,Teachers' Day,Observance
lebanon,2002,15 Mar,Friday,Muharram,Public Holiday
lebanon,2002,20 Mar,Wednesday,March Equinox,Season
lebanon,2002,21 Mar,Thursday,Mother's Day,Observance
lebanon,2002,24 Mar,Sunday,Ashoura,Public Holiday
lebanon,2002,29 Mar,Friday,Good Friday,Public Holiday
lebanon,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
lebanon,2002,31 Mar,Sunday,Easter Sunday,Public Holiday
lebanon,2002,1 Apr,Monday,Easter Monday,Government Holiday
lebanon,2002,1 May,Wednesday,Labor Day,Public Holiday
lebanon,2002,3 May,Friday,Orthodox Good Friday,Public Holiday
lebanon,2002,5 May,Sunday,Orthodox Easter Day,Public Holiday
lebanon,2002,6 May,Monday,Orthodox Easter Monday,Government Holiday
lebanon,2002,6 May,Monday,Martyr's Day,Public Holiday
lebanon,2002,9 May,Thursday,Ascension Day,Observance
lebanon,2002,24 May,Friday,The Prophet's Birthday,Public Holiday
lebanon,2002,25 May,Saturday,Liberation and Resistance Day,Bank holiday
lebanon,2002,21 Jun,Friday,June Solstice,Season
lebanon,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
lebanon,2002,8 Sep,Sunday,Nativity of Mary,Observance
lebanon,2002,23 Sep,Monday,September Equinox,Season
lebanon,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
lebanon,2002,1 Nov,Friday,All Saints' Day,Observance
lebanon,2002,22 Nov,Friday,Independence Day,Public Holiday
lebanon,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
lebanon,2002,7 Dec,Saturday,Eid ul Fitr Holiday,Public Holiday
lebanon,2002,22 Dec,Sunday,December Solstice,Season
lebanon,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
lebanon,2003,1 Jan,Wednesday,New Year,Public Holiday
lebanon,2003,6 Jan,Monday,Orthodox Christmas,Public Holiday
lebanon,2003,9 Feb,Sunday,St Maron's Day,Public Holiday
lebanon,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
lebanon,2003,13 Feb,Thursday,Eid al-Adha Holiday,Public Holiday
lebanon,2003,5 Mar,Wednesday,Muharram,Public Holiday
lebanon,2003,9 Mar,Sunday,Teachers' Day,Observance
lebanon,2003,14 Mar,Friday,Ashoura,Public Holiday
lebanon,2003,21 Mar,Friday,Mother's Day,Observance
lebanon,2003,21 Mar,Friday,March Equinox,Season
