Geo,Event Year,Date,Day,Name,Type
liberia,2000,1 Jan,Saturday,New Year,Public Holiday
liberia,2000,7 Jan,Friday,Pioneers Day,Observance
liberia,2000,11 Feb,Friday,Armed Forces Day,Public Holiday
liberia,2000,8 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2000,15 Mar,Wednesday,J. J. Roberts Birthday,Public Holiday
liberia,2000,20 Mar,Monday,March Equinox,Season
liberia,2000,14 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2000,14 May,Sunday,National Unification Day,Public Holiday
liberia,2000,15 May,Monday,Day off for National Unification Day,Public Holiday
liberia,2000,21 Jun,Wednesday,June Solstice,Season
liberia,2000,24 Aug,Thursday,Flag Day,Public Holiday
liberia,2000,22 Sep,Friday,September Equinox,Season
liberia,2000,2 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2000,29 Nov,Wednesday,William Tubmans Birthday,Public Holiday
liberia,2000,21 Dec,Thursday,December Solstice,Season
liberia,2000,25 Dec,Monday,Christmas Day,Public Holiday
liberia,2001,1 Jan,Monday,New Year,Public Holiday
liberia,2001,7 Jan,Sunday,Pioneers Day,Observance
liberia,2001,8 Jan,Monday,Day off for Pioneers Day,Observance
liberia,2001,11 Feb,Sunday,Armed Forces Day,Public Holiday
liberia,2001,12 Feb,Monday,Day off for Armed Forces Day,Public Holiday
liberia,2001,14 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2001,15 Mar,Thursday,J. J. Roberts Birthday,Public Holiday
liberia,2001,20 Mar,Tuesday,March Equinox,Season
liberia,2001,13 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2001,14 May,Monday,National Unification Day,Public Holiday
liberia,2001,21 Jun,Thursday,June Solstice,Season
liberia,2001,24 Aug,Friday,Flag Day,Public Holiday
liberia,2001,22 Sep,Saturday,September Equinox,Season
liberia,2001,1 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2001,29 Nov,Thursday,William Tubmans Birthday,Public Holiday
liberia,2001,21 Dec,Friday,December Solstice,Season
liberia,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
liberia,2002,1 Jan,Tuesday,New Year,Public Holiday
liberia,2002,7 Jan,Monday,Pioneers Day,Observance
liberia,2002,11 Feb,Monday,Armed Forces Day,Public Holiday
liberia,2002,13 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2002,15 Mar,Friday,J. J. Roberts Birthday,Public Holiday
liberia,2002,20 Mar,Wednesday,March Equinox,Season
liberia,2002,12 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2002,14 May,Tuesday,National Unification Day,Public Holiday
liberia,2002,21 Jun,Friday,June Solstice,Season
liberia,2002,24 Aug,Saturday,Flag Day,Public Holiday
liberia,2002,23 Sep,Monday,September Equinox,Season
liberia,2002,7 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2002,29 Nov,Friday,William Tubmans Birthday,Public Holiday
liberia,2002,22 Dec,Sunday,December Solstice,Season
liberia,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
liberia,2003,1 Jan,Wednesday,New Year,Public Holiday
liberia,2003,7 Jan,Tuesday,Pioneers Day,Observance
liberia,2003,11 Feb,Tuesday,Armed Forces Day,Public Holiday
liberia,2003,12 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2003,15 Mar,Saturday,J. J. Roberts Birthday,Public Holiday
liberia,2003,21 Mar,Friday,March Equinox,Season
liberia,2003,11 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2003,14 May,Wednesday,National Unification Day,Public Holiday
liberia,2003,21 Jun,Saturday,June Solstice,Season
liberia,2003,24 Aug,Sunday,Flag Day,Public Holiday
liberia,2003,25 Aug,Monday,Day off for Flag Day,Public Holiday
liberia,2003,23 Sep,Tuesday,September Equinox,Season
liberia,2003,6 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2003,29 Nov,Saturday,William Tubmans Birthday,Public Holiday
liberia,2003,22 Dec,Monday,December Solstice,Season
liberia,2003,25 Dec,Thursday,Christmas Day,Public Holiday
liberia,2004,1 Jan,Thursday,New Year,Public Holiday
liberia,2004,7 Jan,Wednesday,Pioneers Day,Observance
liberia,2004,11 Feb,Wednesday,Armed Forces Day,Public Holiday
liberia,2004,10 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2004,15 Mar,Monday,J. J. Roberts Birthday,Public Holiday
liberia,2004,20 Mar,Saturday,March Equinox,Season
liberia,2004,9 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2004,14 May,Friday,National Unification Day,Public Holiday
liberia,2004,21 Jun,Monday,June Solstice,Season
liberia,2004,24 Aug,Tuesday,Flag Day,Public Holiday
liberia,2004,22 Sep,Wednesday,September Equinox,Season
liberia,2004,4 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2004,29 Nov,Monday,William Tubmans Birthday,Public Holiday
liberia,2004,21 Dec,Tuesday,December Solstice,Season
liberia,2004,25 Dec,Saturday,Christmas Day,Public Holiday
liberia,2005,1 Jan,Saturday,New Year,Public Holiday
liberia,2005,7 Jan,Friday,Pioneers Day,Observance
liberia,2005,11 Feb,Friday,Armed Forces Day,Public Holiday
liberia,2005,9 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2005,15 Mar,Tuesday,J. J. Roberts Birthday,Public Holiday
liberia,2005,20 Mar,Sunday,March Equinox,Season
liberia,2005,8 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2005,14 May,Saturday,National Unification Day,Public Holiday
liberia,2005,21 Jun,Tuesday,June Solstice,Season
liberia,2005,24 Aug,Wednesday,Flag Day,Public Holiday
liberia,2005,22 Sep,Thursday,September Equinox,Season
liberia,2005,3 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2005,29 Nov,Tuesday,William Tubmans Birthday,Public Holiday
liberia,2005,21 Dec,Wednesday,December Solstice,Season
liberia,2005,25 Dec,Sunday,Christmas Day,Public Holiday
liberia,2005,26 Dec,Monday,Day off for Christmas Day,Public Holiday
liberia,2006,1 Jan,Sunday,New Year,Public Holiday
liberia,2006,2 Jan,Monday,Day off for New Year,Public Holiday
liberia,2006,7 Jan,Saturday,Pioneers Day,Observance
liberia,2006,11 Feb,Saturday,Armed Forces Day,Public Holiday
liberia,2006,8 Mar,Wednesday,Decoration Day,Public Holiday
liberia,2006,15 Mar,Wednesday,J. J. Roberts Birthday,Public Holiday
liberia,2006,20 Mar,Monday,March Equinox,Season
liberia,2006,14 Apr,Friday,Fast and Prayer Day,Public Holiday
liberia,2006,14 May,Sunday,National Unification Day,Public Holiday
liberia,2006,15 May,Monday,Day off for National Unification Day,Public Holiday
liberia,2006,21 Jun,Wednesday,June Solstice,Season
liberia,2006,24 Aug,Thursday,Flag Day,Public Holiday
liberia,2006,23 Sep,Saturday,September Equinox,Season
liberia,2006,2 Nov,Thursday,Thanksgiving,Public Holiday
liberia,2006,29 Nov,Wednesday,William Tubmans Birthday,Public Holiday
liberia,2006,22 Dec,Friday,December Solstice,Season
liberia,2006,25 Dec,Monday,Christmas Day,Public Holiday
liberia,2007,1 Jan,Monday,New Year,Public Holiday
liberia,2007,7 Jan,Sunday,Pioneers Day,Observance
