Geo,Event Year,Date,Day,Name,Type
lithuania,2000,1 Jan,Saturday,New Year's Day,National holiday
lithuania,2000,14 Feb,Monday,Valentine's Day,Observance
lithuania,2000,16 Feb,Wednesday,Independence Day / National Day,National holiday
lithuania,2000,7 Mar,Tuesday,Carnival,Observance
lithuania,2000,11 Mar,Saturday,Independence Restoration Day,National holiday
lithuania,2000,20 Mar,Monday,March Equinox,Season
lithuania,2000,21 Apr,Friday,Good Friday,Observance
lithuania,2000,22 Apr,Saturday,Holy Saturday,Observance
lithuania,2000,23 Apr,Sunday,Easter Sunday,National holiday
lithuania,2000,24 Apr,Monday,Easter Monday,National holiday
lithuania,2000,1 May,Monday,Labour Day,National holiday
lithuania,2000,7 May,Sunday,Mothers' Day,National holiday
lithuania,2000,4 Jun,Sunday,Fathers' Day,National holiday
lithuania,2000,21 Jun,Wednesday,June Solstice,Season
lithuania,2000,24 Jun,Saturday,St John's Day/Day of Dew,National holiday
lithuania,2000,6 Jul,Thursday,King Mindaugas’ Coronation Day,National holiday
lithuania,2000,15 Aug,Tuesday,Feast of the Assumption of Mary,National holiday
lithuania,2000,22 Sep,Friday,September Equinox,Season
lithuania,2000,31 Oct,Tuesday,Halloween,Observance
lithuania,2000,1 Nov,Wednesday,All Saints' Day,National holiday
lithuania,2000,2 Nov,Thursday,All Souls' Day,National holiday
lithuania,2000,21 Dec,Thursday,December Solstice,Season
lithuania,2000,24 Dec,Sunday,Christmas Eve,National holiday
lithuania,2000,25 Dec,Monday,Christmas Day,National holiday
lithuania,2000,26 Dec,Tuesday,Second Day of Christmas,National holiday
lithuania,2000,31 Dec,Sunday,New Year's Eve,Observance
lithuania,2001,1 Jan,Monday,New Year's Day,National holiday
lithuania,2001,14 Feb,Wednesday,Valentine's Day,Observance
lithuania,2001,16 Feb,Friday,Independence Day / National Day,National holiday
lithuania,2001,27 Feb,Tuesday,Carnival,Observance
lithuania,2001,11 Mar,Sunday,Independence Restoration Day,National holiday
lithuania,2001,20 Mar,Tuesday,March Equinox,Season
lithuania,2001,13 Apr,Friday,Good Friday,Observance
lithuania,2001,14 Apr,Saturday,Holy Saturday,Observance
lithuania,2001,15 Apr,Sunday,Easter Sunday,National holiday
lithuania,2001,16 Apr,Monday,Easter Monday,National holiday
lithuania,2001,1 May,Tuesday,Labour Day,National holiday
lithuania,2001,6 May,Sunday,Mothers' Day,National holiday
lithuania,2001,3 Jun,Sunday,Fathers' Day,National holiday
lithuania,2001,21 Jun,Thursday,June Solstice,Season
lithuania,2001,24 Jun,Sunday,St John's Day/Day of Dew,National holiday
lithuania,2001,6 Jul,Friday,King Mindaugas’ Coronation Day,National holiday
lithuania,2001,15 Aug,Wednesday,Feast of the Assumption of Mary,National holiday
lithuania,2001,23 Sep,Sunday,September Equinox,Season
lithuania,2001,31 Oct,Wednesday,Halloween,Observance
lithuania,2001,1 Nov,Thursday,All Saints' Day,National holiday
lithuania,2001,2 Nov,Friday,All Souls' Day,National holiday
lithuania,2001,21 Dec,Friday,December Solstice,Season
lithuania,2001,24 Dec,Monday,Christmas Eve,National holiday
lithuania,2001,25 Dec,Tuesday,Christmas Day,National holiday
lithuania,2001,26 Dec,Wednesday,Second Day of Christmas,National holiday
lithuania,2001,31 Dec,Monday,New Year's Eve,Observance
lithuania,2002,1 Jan,Tuesday,New Year's Day,National holiday
lithuania,2002,12 Feb,Tuesday,Carnival,Observance
lithuania,2002,14 Feb,Thursday,Valentine's Day,Observance
lithuania,2002,16 Feb,Saturday,Independence Day / National Day,National holiday
lithuania,2002,11 Mar,Monday,Independence Restoration Day,National holiday
lithuania,2002,20 Mar,Wednesday,March Equinox,Season
lithuania,2002,29 Mar,Friday,Good Friday,Observance
lithuania,2002,30 Mar,Saturday,Holy Saturday,Observance
lithuania,2002,31 Mar,Sunday,Easter Sunday,National holiday
lithuania,2002,1 Apr,Monday,Easter Monday,National holiday
lithuania,2002,1 May,Wednesday,Labour Day,National holiday
lithuania,2002,5 May,Sunday,Mothers' Day,National holiday
lithuania,2002,2 Jun,Sunday,Fathers' Day,National holiday
lithuania,2002,21 Jun,Friday,June Solstice,Season
lithuania,2002,24 Jun,Monday,St John's Day/Day of Dew,National holiday
lithuania,2002,6 Jul,Saturday,King Mindaugas’ Coronation Day,National holiday
lithuania,2002,15 Aug,Thursday,Feast of the Assumption of Mary,National holiday
lithuania,2002,23 Sep,Monday,September Equinox,Season
lithuania,2002,31 Oct,Thursday,Halloween,Observance
lithuania,2002,1 Nov,Friday,All Saints' Day,National holiday
lithuania,2002,2 Nov,Saturday,All Souls' Day,National holiday
lithuania,2002,22 Dec,Sunday,December Solstice,Season
