Geo,Event Year,Date,Day,Name,Type
luxembourg,2000,1 Jan,Saturday,New Year's Day,National holiday
luxembourg,2000,20 Mar,Monday,March Equinox,Season
luxembourg,2000,21 Apr,Friday,Good Friday,Bank holiday
luxembourg,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2000,24 Apr,Monday,Easter Monday,National holiday
luxembourg,2000,1 May,Monday,Labor Day / May Day,National holiday
luxembourg,2000,1 Jun,Thursday,Ascension Day,National holiday
luxembourg,2000,11 Jun,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2000,11 Jun,Sunday,Mothers' Day,Observance
luxembourg,2000,12 Jun,Monday,Whit Monday,National holiday
luxembourg,2000,21 Jun,Wednesday,June Solstice,Season
luxembourg,2000,23 Jun,Friday,National Day,National holiday
luxembourg,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
luxembourg,2000,22 Sep,Friday,September Equinox,Season
luxembourg,2000,1 Oct,Sunday,Fathers' Day,Observance
luxembourg,2000,1 Nov,Wednesday,All Saints' Day,National holiday
luxembourg,2000,21 Dec,Thursday,December Solstice,Season
luxembourg,2000,24 Dec,Sunday,Christmas Eve,Half Day Bank holiday
luxembourg,2000,25 Dec,Monday,Christmas Day,National holiday
luxembourg,2000,26 Dec,Tuesday,St Stephen's Day,National holiday
luxembourg,2000,31 Dec,Sunday,New Year's Eve,Observance
luxembourg,2001,1 Jan,Monday,New Year's Day,National holiday
luxembourg,2001,20 Mar,Tuesday,March Equinox,Season
luxembourg,2001,13 Apr,Friday,Good Friday,Bank holiday
luxembourg,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2001,16 Apr,Monday,Easter Monday,National holiday
luxembourg,2001,1 May,Tuesday,Labor Day / May Day,National holiday
luxembourg,2001,24 May,Thursday,Ascension Day,National holiday
luxembourg,2001,3 Jun,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2001,4 Jun,Monday,Whit Monday,National holiday
luxembourg,2001,10 Jun,Sunday,Mothers' Day,Observance
luxembourg,2001,21 Jun,Thursday,June Solstice,Season
luxembourg,2001,23 Jun,Saturday,National Day,National holiday
luxembourg,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
luxembourg,2001,23 Sep,Sunday,September Equinox,Season
luxembourg,2001,7 Oct,Sunday,Fathers' Day,Observance
luxembourg,2001,1 Nov,Thursday,All Saints' Day,National holiday
luxembourg,2001,21 Dec,Friday,December Solstice,Season
luxembourg,2001,24 Dec,Monday,Christmas Eve,Half Day Bank holiday
luxembourg,2001,25 Dec,Tuesday,Christmas Day,National holiday
luxembourg,2001,26 Dec,Wednesday,St Stephen's Day,National holiday
luxembourg,2001,31 Dec,Monday,New Year's Eve,Observance
luxembourg,2002,1 Jan,Tuesday,New Year's Day,National holiday
luxembourg,2002,20 Mar,Wednesday,March Equinox,Season
luxembourg,2002,29 Mar,Friday,Good Friday,Bank holiday
luxembourg,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2002,1 Apr,Monday,Easter Monday,National holiday
luxembourg,2002,1 May,Wednesday,Labor Day / May Day,National holiday
luxembourg,2002,9 May,Thursday,Ascension Day,National holiday
luxembourg,2002,19 May,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2002,20 May,Monday,Whit Monday,National holiday
luxembourg,2002,9 Jun,Sunday,Mothers' Day,Observance
luxembourg,2002,21 Jun,Friday,June Solstice,Season
luxembourg,2002,23 Jun,Sunday,National Day,National holiday
luxembourg,2002,15 Aug,Thursday,Assumption of Mary,National holiday
luxembourg,2002,23 Sep,Monday,September Equinox,Season
luxembourg,2002,6 Oct,Sunday,Fathers' Day,Observance
luxembourg,2002,1 Nov,Friday,All Saints' Day,National holiday
luxembourg,2002,22 Dec,Sunday,December Solstice,Season
luxembourg,2002,24 Dec,Tuesday,Christmas Eve,Half Day Bank holiday
luxembourg,2002,25 Dec,Wednesday,Christmas Day,National holiday
luxembourg,2002,26 Dec,Thursday,St Stephen's Day,National holiday
luxembourg,2002,31 Dec,Tuesday,New Year's Eve,Observance
luxembourg,2003,1 Jan,Wednesday,New Year's Day,National holiday
luxembourg,2003,21 Mar,Friday,March Equinox,Season
luxembourg,2003,18 Apr,Friday,Good Friday,Bank holiday
luxembourg,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2003,21 Apr,Monday,Easter Monday,National holiday
luxembourg,2003,1 May,Thursday,Labor Day / May Day,National holiday
luxembourg,2003,29 May,Thursday,Ascension Day,National holiday
luxembourg,2003,8 Jun,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2003,8 Jun,Sunday,Mothers' Day,Observance
luxembourg,2003,9 Jun,Monday,Whit Monday,National holiday
luxembourg,2003,21 Jun,Saturday,June Solstice,Season
luxembourg,2003,23 Jun,Monday,National Day,National holiday
luxembourg,2003,15 Aug,Friday,Assumption of Mary,National holiday
luxembourg,2003,23 Sep,Tuesday,September Equinox,Season
luxembourg,2003,5 Oct,Sunday,Fathers' Day,Observance
luxembourg,2003,1 Nov,Saturday,All Saints' Day,National holiday
luxembourg,2003,22 Dec,Monday,December Solstice,Season
luxembourg,2003,24 Dec,Wednesday,Christmas Eve,Half Day Bank holiday
luxembourg,2003,25 Dec,Thursday,Christmas Day,National holiday
luxembourg,2003,26 Dec,Friday,St Stephen's Day,National holiday
luxembourg,2003,31 Dec,Wednesday,New Year's Eve,Observance
luxembourg,2004,1 Jan,Thursday,New Year's Day,National holiday
luxembourg,2004,20 Mar,Saturday,March Equinox,Season
luxembourg,2004,9 Apr,Friday,Good Friday,Bank holiday
luxembourg,2004,11 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2004,12 Apr,Monday,Easter Monday,National holiday
luxembourg,2004,1 May,Saturday,Labor Day / May Day,National holiday
luxembourg,2004,20 May,Thursday,Ascension Day,National holiday
luxembourg,2004,30 May,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2004,31 May,Monday,Whit Monday,National holiday
luxembourg,2004,13 Jun,Sunday,Mothers' Day,Observance
luxembourg,2004,21 Jun,Monday,June Solstice,Season
luxembourg,2004,23 Jun,Wednesday,National Day,National holiday
luxembourg,2004,15 Aug,Sunday,Assumption of Mary,National holiday
luxembourg,2004,22 Sep,Wednesday,September Equinox,Season
luxembourg,2004,3 Oct,Sunday,Fathers' Day,Observance
luxembourg,2004,1 Nov,Monday,All Saints' Day,National holiday
luxembourg,2004,21 Dec,Tuesday,December Solstice,Season
luxembourg,2004,24 Dec,Friday,Christmas Eve,Half Day Bank holiday
luxembourg,2004,25 Dec,Saturday,Christmas Day,National holiday
luxembourg,2004,26 Dec,Sunday,St Stephen's Day,National holiday
luxembourg,2004,31 Dec,Friday,New Year's Eve,Observance
luxembourg,2005,1 Jan,Saturday,New Year's Day,National holiday
luxembourg,2005,20 Mar,Sunday,March Equinox,Season
luxembourg,2005,25 Mar,Friday,Good Friday,Bank holiday
luxembourg,2005,27 Mar,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2005,28 Mar,Monday,Easter Monday,National holiday
luxembourg,2005,1 May,Sunday,Labor Day / May Day,National holiday
luxembourg,2005,5 May,Thursday,Ascension Day,National holiday
luxembourg,2005,15 May,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2005,16 May,Monday,Whit Monday,National holiday
luxembourg,2005,12 Jun,Sunday,Mothers' Day,Observance
luxembourg,2005,21 Jun,Tuesday,June Solstice,Season
luxembourg,2005,23 Jun,Thursday,National Day,National holiday
luxembourg,2005,15 Aug,Monday,Assumption of Mary,National holiday
luxembourg,2005,23 Sep,Friday,September Equinox,Season
luxembourg,2005,2 Oct,Sunday,Fathers' Day,Observance
luxembourg,2005,1 Nov,Tuesday,All Saints' Day,National holiday
luxembourg,2005,21 Dec,Wednesday,December Solstice,Season
luxembourg,2005,24 Dec,Saturday,Christmas Eve,Half Day Bank holiday
luxembourg,2005,25 Dec,Sunday,Christmas Day,National holiday
luxembourg,2005,26 Dec,Monday,St Stephen's Day,National holiday
luxembourg,2005,31 Dec,Saturday,New Year's Eve,Observance
luxembourg,2006,1 Jan,Sunday,New Year's Day,National holiday
luxembourg,2006,20 Mar,Monday,March Equinox,Season
luxembourg,2006,14 Apr,Friday,Good Friday,Bank holiday
luxembourg,2006,16 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2006,17 Apr,Monday,Easter Monday,National holiday
luxembourg,2006,1 May,Monday,Labor Day / May Day,National holiday
luxembourg,2006,25 May,Thursday,Ascension Day,National holiday
luxembourg,2006,4 Jun,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2006,5 Jun,Monday,Whit Monday,National holiday
luxembourg,2006,11 Jun,Sunday,Mothers' Day,Observance
luxembourg,2006,21 Jun,Wednesday,June Solstice,Season
luxembourg,2006,23 Jun,Friday,National Day,National holiday
luxembourg,2006,15 Aug,Tuesday,Assumption of Mary,National holiday
luxembourg,2006,23 Sep,Saturday,September Equinox,Season
luxembourg,2006,1 Oct,Sunday,Fathers' Day,Observance
luxembourg,2006,1 Nov,Wednesday,All Saints' Day,National holiday
luxembourg,2006,22 Dec,Friday,December Solstice,Season
luxembourg,2006,24 Dec,Sunday,Christmas Eve,Half Day Bank holiday
luxembourg,2006,25 Dec,Monday,Christmas Day,National holiday
luxembourg,2006,26 Dec,Tuesday,St Stephen's Day,National holiday
luxembourg,2006,31 Dec,Sunday,New Year's Eve,Observance
luxembourg,2007,1 Jan,Monday,New Year's Day,National holiday
luxembourg,2007,21 Mar,Wednesday,March Equinox,Season
luxembourg,2007,6 Apr,Friday,Good Friday,Bank holiday
luxembourg,2007,8 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2007,9 Apr,Monday,Easter Monday,National holiday
luxembourg,2007,1 May,Tuesday,Labor Day / May Day,National holiday
luxembourg,2007,17 May,Thursday,Ascension Day,National holiday
luxembourg,2007,27 May,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2007,28 May,Monday,Whit Monday,National holiday
luxembourg,2007,10 Jun,Sunday,Mothers' Day,Observance
luxembourg,2007,21 Jun,Thursday,June Solstice,Season
luxembourg,2007,23 Jun,Saturday,National Day,National holiday
luxembourg,2007,15 Aug,Wednesday,Assumption of Mary,National holiday
luxembourg,2007,23 Sep,Sunday,September Equinox,Season
luxembourg,2007,7 Oct,Sunday,Fathers' Day,Observance
luxembourg,2007,1 Nov,Thursday,All Saints' Day,National holiday
luxembourg,2007,22 Dec,Saturday,December Solstice,Season
luxembourg,2007,24 Dec,Monday,Christmas Eve,Half Day Bank holiday
luxembourg,2007,25 Dec,Tuesday,Christmas Day,National holiday
luxembourg,2007,26 Dec,Wednesday,St Stephen's Day,National holiday
luxembourg,2007,31 Dec,Monday,New Year's Eve,Observance
luxembourg,2008,1 Jan,Tuesday,New Year's Day,National holiday
luxembourg,2008,20 Mar,Thursday,March Equinox,Season
luxembourg,2008,21 Mar,Friday,Good Friday,Bank holiday
luxembourg,2008,23 Mar,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2008,24 Mar,Monday,Easter Monday,National holiday
luxembourg,2008,1 May,Thursday,Ascension Day,National holiday
luxembourg,2008,1 May,Thursday,Labor Day / May Day,National holiday
luxembourg,2008,11 May,Sunday,Whit Sunday,"Observance, Christian"
luxembourg,2008,12 May,Monday,Whit Monday,National holiday
luxembourg,2008,8 Jun,Sunday,Mothers' Day,Observance
luxembourg,2008,21 Jun,Saturday,June Solstice,Season
luxembourg,2008,23 Jun,Monday,National Day,National holiday
luxembourg,2008,15 Aug,Friday,Assumption of Mary,National holiday
luxembourg,2008,22 Sep,Monday,September Equinox,Season
luxembourg,2008,5 Oct,Sunday,Fathers' Day,Observance
luxembourg,2008,1 Nov,Saturday,All Saints' Day,National holiday
luxembourg,2008,21 Dec,Sunday,December Solstice,Season
luxembourg,2008,24 Dec,Wednesday,Christmas Eve,Half Day Bank holiday
luxembourg,2008,25 Dec,Thursday,Christmas Day,National holiday
luxembourg,2008,26 Dec,Friday,St Stephen's Day,National holiday
luxembourg,2008,31 Dec,Wednesday,New Year's Eve,Observance
luxembourg,2009,1 Jan,Thursday,New Year's Day,National holiday
luxembourg,2009,20 Mar,Friday,March Equinox,Season
luxembourg,2009,10 Apr,Friday,Good Friday,Bank holiday
luxembourg,2009,12 Apr,Sunday,Easter Sunday,"Observance, Christian"
luxembourg,2009,13 Apr,Monday,Easter Monday,National holiday
luxembourg,2009,1 May,Friday,Labor Day / May Day,National holiday
