Geo,Event Year,Date,Day,Name,Type
macedonia,2008,1 Jan,Tuesday,New Year's Day,National holiday
macedonia,2008,6 Jan,Sunday,Orthodox Christmas Eve,Optional Holiday
macedonia,2008,7 Jan,Monday,Orthodox Christmas Day,"National holiday, Orthodox"
macedonia,2008,19 Jan,Saturday,Epiphany (Orthodox),Optional Holiday
macedonia,2008,27 Jan,Sunday,St Sava's Day,Optional Holiday
macedonia,2008,14 Feb,Thursday,Valentine's Day,Observance
macedonia,2008,8 Mar,Saturday,Mothers' Day/International Women's Day,Observance
macedonia,2008,20 Mar,Thursday,March Equinox,Season
macedonia,2008,21 Mar,Friday,Good Friday,Observance
macedonia,2008,22 Mar,Saturday,Easter Saturday,Observance
macedonia,2008,23 Mar,Sunday,Easter Sunday,Observance
macedonia,2008,24 Mar,Monday,Easter Monday,Optional Holiday
macedonia,2008,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
macedonia,2008,8 Apr,Tuesday,International Romani Day (for Romani community),Optional Holiday
macedonia,2008,25 Apr,Friday,Good Friday (Orthodox),Optional Holiday
macedonia,2008,26 Apr,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
macedonia,2008,27 Apr,Sunday,Easter Sunday (Orthodox),"Observance, Orthodox"
macedonia,2008,28 Apr,Monday,Easter Monday (Orthodox),"National holiday, Orthodox"
macedonia,2008,1 May,Thursday,Labor Day,National holiday
macedonia,2008,23 May,Friday,Vlach’s National Day (for Vlach community),Optional Holiday
macedonia,2008,24 May,Saturday,Saints Cyril and Methodius' Day,National holiday
macedonia,2008,13 Jun,Friday,Friday before Pentecost,Optional Holiday
macedonia,2008,21 Jun,Saturday,June Solstice,Season
macedonia,2008,2 Aug,Saturday,Republic Day,National holiday
macedonia,2008,28 Aug,Thursday,Feast of the Assumption of Mary (Orthodox),Optional Holiday
macedonia,2008,8 Sep,Monday,Independence Day,National holiday
macedonia,2008,14 Sep,Sunday,Fathers' Day,Observance
macedonia,2008,22 Sep,Monday,September Equinox,Season
macedonia,2008,28 Sep,Sunday,International Bosniaks' Day (for Bosniak community),Optional Holiday
macedonia,2008,2 Oct,Thursday,Eid al-Fitr,National holiday
macedonia,2008,9 Oct,Thursday,First day of Yom Kippur (Jewish community),Optional Holiday
macedonia,2008,11 Oct,Saturday,Day of People’s Uprising,National holiday
macedonia,2008,23 Oct,Thursday,Day of the Macedonian Revolutionary Struggle,National holiday
macedonia,2008,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
macedonia,2008,31 Oct,Friday,Halloween,Observance
macedonia,2008,1 Nov,Saturday,All Saints' Day,Optional Holiday
macedonia,2008,22 Nov,Saturday,Albanian Alphabet Day (Albanian community),Optional Holiday
macedonia,2008,8 Dec,Monday,Saint Kliment Ohridski's Day,National holiday
macedonia,2008,9 Dec,Tuesday,Eid al-Adha (Feast of Sacrifice),Optional Holiday
macedonia,2008,21 Dec,Sunday,Turkish Language Day (Turkish community),Optional Holiday
