Geo,Event Year,Date,Day,Name,Type
malaysia,2000,1 Jan,Saturday,New Year's Day,State Holiday
malaysia,2000,8 Jan,Saturday,Hari Raya Puasa,Federal Public Holiday
malaysia,2000,9 Jan,Sunday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2000,1 Feb,Tuesday,Federal Territory Day,Federal Territory Holiday
malaysia,2000,5 Feb,Saturday,Lunar New Year's Day,Federal Public Holiday
malaysia,2000,6 Feb,Sunday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2000,6 Feb,Sunday,Lunar New Year Holiday,State Holiday
malaysia,2000,16 Mar,Thursday,Hari Raya Haji,Federal Public Holiday
malaysia,2000,17 Mar,Friday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2000,20 Mar,Monday,March Equinox,Season
malaysia,2000,6 Apr,Thursday,Muharram/New Year,Federal Public Holiday
malaysia,2000,15 Apr,Saturday,Declaration of Malacca as Historical City,State Holiday
malaysia,2000,21 Apr,Friday,Good Friday,State Holiday
malaysia,2000,23 Apr,Sunday,Easter Sunday,Observance
malaysia,2000,26 Apr,Wednesday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2000,1 May,Monday,Labour Day,Federal Public Holiday
malaysia,2000,7 May,Sunday,Pahang State Holiday,State Holiday
malaysia,2000,8 May,Monday,Pahang State Holiday observed,State Holiday
malaysia,2000,17 May,Wednesday,Birthday of the Raja of Perlis,Local holiday
malaysia,2000,1 Jun,Thursday,Gawai Dayak,State Holiday
malaysia,2000,3 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2000,15 Jun,Thursday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2000,21 Jun,Wednesday,June Solstice,Season
malaysia,2000,8 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2000,22 Jul,Saturday,Sarawak Independence Day,State Holiday
malaysia,2000,31 Aug,Thursday,Malaysia's National Day,Federal Public Holiday
malaysia,2000,23 Sep,Saturday,September Equinox,Season
malaysia,2000,7 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2000,13 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2000,14 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2000,24 Oct,Tuesday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2000,26 Oct,Thursday,Isra and Mi'raj,State Holiday
malaysia,2000,28 Nov,Tuesday,First Day of Ramadan,State Holiday
malaysia,2000,14 Dec,Thursday,Nuzul Al-Quran,State Holiday
malaysia,2000,21 Dec,Thursday,December Solstice,Season
malaysia,2000,24 Dec,Sunday,Christmas Eve,Observance
malaysia,2000,25 Dec,Monday,Christmas Day,Federal Public Holiday
malaysia,2000,28 Dec,Thursday,Hari Raya Puasa,Federal Public Holiday
malaysia,2000,29 Dec,Friday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2000,31 Dec,Sunday,New Year's Eve,Observance
malaysia,2001,1 Jan,Monday,New Year's Day,State Holiday
malaysia,2001,24 Jan,Wednesday,Lunar New Year's Day,Federal Public Holiday
malaysia,2001,25 Jan,Thursday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2001,25 Jan,Thursday,Lunar New Year Holiday,State Holiday
malaysia,2001,1 Feb,Thursday,Federal Territory Day,Federal Territory Holiday
malaysia,2001,6 Mar,Tuesday,Hari Raya Haji,Federal Public Holiday
malaysia,2001,7 Mar,Wednesday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2001,20 Mar,Tuesday,March Equinox,Season
malaysia,2001,26 Mar,Monday,Muharram/New Year,Federal Public Holiday
malaysia,2001,13 Apr,Friday,Good Friday,State Holiday
malaysia,2001,15 Apr,Sunday,Easter Sunday,Observance
malaysia,2001,15 Apr,Sunday,Declaration of Malacca as Historical City,State Holiday
malaysia,2001,16 Apr,Monday,Declaration of Malacca as Historical City observed,State Holiday
malaysia,2001,26 Apr,Thursday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2001,1 May,Tuesday,Labour Day,Federal Public Holiday
malaysia,2001,7 May,Monday,Pahang State Holiday,State Holiday
malaysia,2001,17 May,Thursday,Birthday of the Raja of Perlis,Local holiday
malaysia,2001,1 Jun,Friday,Gawai Dayak,State Holiday
malaysia,2001,2 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2001,4 Jun,Monday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2001,21 Jun,Thursday,June Solstice,Season
malaysia,2001,14 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2001,22 Jul,Sunday,Sarawak Independence Day,State Holiday
malaysia,2001,23 Jul,Monday,Sarawak Independence Day observed,State Holiday
malaysia,2001,31 Aug,Friday,Malaysia's National Day,Federal Public Holiday
malaysia,2001,23 Sep,Sunday,September Equinox,Season
malaysia,2001,6 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2001,12 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2001,13 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2001,15 Oct,Monday,Isra and Mi'raj,State Holiday
malaysia,2001,24 Oct,Wednesday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2001,17 Nov,Saturday,First Day of Ramadan,State Holiday
malaysia,2001,3 Dec,Monday,Nuzul Al-Quran,State Holiday
malaysia,2001,11 Dec,Tuesday,Birthday of the Sultan of Selangor,State Holiday
malaysia,2001,17 Dec,Monday,Hari Raya Puasa,Federal Public Holiday
malaysia,2001,18 Dec,Tuesday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2001,22 Dec,Saturday,December Solstice,Season
malaysia,2001,24 Dec,Monday,Christmas Eve,Observance
malaysia,2001,25 Dec,Tuesday,Christmas Day,Federal Public Holiday
malaysia,2001,31 Dec,Monday,New Year's Eve,Observance
malaysia,2002,1 Jan,Tuesday,New Year's Day,State Holiday
malaysia,2002,1 Feb,Friday,Federal Territory Day,Federal Territory Holiday
malaysia,2002,12 Feb,Tuesday,Lunar New Year's Day,Federal Public Holiday
malaysia,2002,13 Feb,Wednesday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2002,13 Feb,Wednesday,Lunar New Year Holiday,State Holiday
malaysia,2002,23 Feb,Saturday,Hari Raya Haji,Federal Public Holiday
malaysia,2002,24 Feb,Sunday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2002,15 Mar,Friday,Muharram/New Year,Federal Public Holiday
malaysia,2002,21 Mar,Thursday,March Equinox,Season
malaysia,2002,29 Mar,Friday,Good Friday,State Holiday
malaysia,2002,31 Mar,Sunday,Easter Sunday,Observance
malaysia,2002,15 Apr,Monday,Declaration of Malacca as Historical City,State Holiday
malaysia,2002,26 Apr,Friday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2002,1 May,Wednesday,Labour Day,Federal Public Holiday
malaysia,2002,7 May,Tuesday,Pahang State Holiday,State Holiday
malaysia,2002,17 May,Friday,Birthday of the Raja of Perlis,Local holiday
malaysia,2002,24 May,Friday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2002,1 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2002,1 Jun,Saturday,Gawai Dayak,State Holiday
malaysia,2002,21 Jun,Friday,June Solstice,Season
malaysia,2002,13 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2002,22 Jul,Monday,Sarawak Independence Day,State Holiday
malaysia,2002,31 Aug,Saturday,Malaysia's National Day,Federal Public Holiday
malaysia,2002,23 Sep,Monday,September Equinox,Season
malaysia,2002,4 Oct,Friday,Isra and Mi'raj,State Holiday
malaysia,2002,5 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2002,11 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2002,12 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2002,24 Oct,Thursday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2002,6 Nov,Wednesday,First Day of Ramadan,State Holiday
malaysia,2002,22 Nov,Friday,Nuzul Al-Quran,State Holiday
malaysia,2002,6 Dec,Friday,Hari Raya Puasa,Federal Public Holiday
malaysia,2002,7 Dec,Saturday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2002,11 Dec,Wednesday,Birthday of the Sultan of Selangor,State Holiday
malaysia,2002,22 Dec,Sunday,December Solstice,Season
malaysia,2002,24 Dec,Tuesday,Christmas Eve,Observance
malaysia,2002,25 Dec,Wednesday,Christmas Day,Federal Public Holiday
malaysia,2002,31 Dec,Tuesday,New Year's Eve,Observance
malaysia,2003,1 Jan,Wednesday,New Year's Day,State Holiday
malaysia,2003,1 Feb,Saturday,Lunar New Year's Day,Federal Public Holiday
malaysia,2003,1 Feb,Saturday,Federal Territory Day,Federal Territory Holiday
malaysia,2003,2 Feb,Sunday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2003,2 Feb,Sunday,Lunar New Year Holiday,State Holiday
malaysia,2003,12 Feb,Wednesday,Hari Raya Haji,Federal Public Holiday
malaysia,2003,13 Feb,Thursday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2003,5 Mar,Wednesday,Muharram/New Year,Federal Public Holiday
malaysia,2003,21 Mar,Friday,March Equinox,Season
malaysia,2003,15 Apr,Tuesday,Declaration of Malacca as Historical City,State Holiday
malaysia,2003,18 Apr,Friday,Good Friday,State Holiday
malaysia,2003,20 Apr,Sunday,Easter Sunday,Observance
malaysia,2003,26 Apr,Saturday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2003,1 May,Thursday,Labour Day,Federal Public Holiday
malaysia,2003,7 May,Wednesday,Pahang State Holiday,State Holiday
malaysia,2003,14 May,Wednesday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2003,17 May,Saturday,Birthday of the Raja of Perlis,Local holiday
malaysia,2003,1 Jun,Sunday,Gawai Dayak,State Holiday
malaysia,2003,2 Jun,Monday,Gawai Dayak observed,State Holiday
malaysia,2003,7 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2003,22 Jun,Sunday,June Solstice,Season
malaysia,2003,12 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2003,22 Jul,Tuesday,Sarawak Independence Day,State Holiday
malaysia,2003,31 Aug,Sunday,Malaysia's National Day,Federal Public Holiday
malaysia,2003,1 Sep,Monday,Malaysia's National Day observed,Federal Public Holiday
malaysia,2003,23 Sep,Tuesday,September Equinox,Season
malaysia,2003,24 Sep,Wednesday,Isra and Mi'raj,State Holiday
malaysia,2003,4 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2003,10 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2003,11 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2003,24 Oct,Friday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2003,27 Oct,Monday,First Day of Ramadan,State Holiday
malaysia,2003,12 Nov,Wednesday,Nuzul Al-Quran,State Holiday
malaysia,2003,26 Nov,Wednesday,Hari Raya Puasa,Federal Public Holiday
malaysia,2003,27 Nov,Thursday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2003,11 Dec,Thursday,Birthday of the Sultan of Selangor,State Holiday
malaysia,2003,22 Dec,Monday,December Solstice,Season
malaysia,2003,24 Dec,Wednesday,Christmas Eve,Observance
malaysia,2003,25 Dec,Thursday,Christmas Day,Federal Public Holiday
malaysia,2003,31 Dec,Wednesday,New Year's Eve,Observance
malaysia,2004,1 Jan,Thursday,New Year's Day,State Holiday
malaysia,2004,22 Jan,Thursday,Lunar New Year's Day,Federal Public Holiday
malaysia,2004,23 Jan,Friday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2004,23 Jan,Friday,Lunar New Year Holiday,State Holiday
malaysia,2004,1 Feb,Sunday,Federal Territory Day,Federal Territory Holiday
malaysia,2004,2 Feb,Monday,Federal Territory Day observed,Federal Territory Holiday
malaysia,2004,2 Feb,Monday,Hari Raya Haji,Federal Public Holiday
malaysia,2004,3 Feb,Tuesday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2004,22 Feb,Sunday,Muharram/New Year,Federal Public Holiday
malaysia,2004,20 Mar,Saturday,March Equinox,Season
malaysia,2004,9 Apr,Friday,Good Friday,State Holiday
malaysia,2004,11 Apr,Sunday,Easter Sunday,Observance
malaysia,2004,15 Apr,Thursday,Declaration of Malacca as Historical City,State Holiday
malaysia,2004,26 Apr,Monday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2004,1 May,Saturday,Labour Day,Federal Public Holiday
malaysia,2004,2 May,Sunday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2004,7 May,Friday,Pahang State Holiday,State Holiday
malaysia,2004,17 May,Monday,Birthday of the Raja of Perlis,Local holiday
malaysia,2004,1 Jun,Tuesday,Gawai Dayak,State Holiday
malaysia,2004,5 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2004,21 Jun,Monday,June Solstice,Season
malaysia,2004,10 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2004,22 Jul,Thursday,Sarawak Independence Day,State Holiday
malaysia,2004,31 Aug,Tuesday,Malaysia's National Day,Federal Public Holiday
malaysia,2004,12 Sep,Sunday,Isra and Mi'raj,State Holiday
malaysia,2004,23 Sep,Thursday,September Equinox,Season
malaysia,2004,2 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2004,8 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2004,9 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2004,16 Oct,Saturday,First Day of Ramadan,State Holiday
malaysia,2004,24 Oct,Sunday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2004,25 Oct,Monday,Birthday of the Sultan of Pahang observed,State Holiday
malaysia,2004,1 Nov,Monday,Nuzul Al-Quran,State Holiday
malaysia,2004,14 Nov,Sunday,Hari Raya Puasa,Federal Public Holiday
malaysia,2004,15 Nov,Monday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2004,11 Dec,Saturday,Birthday of the Sultan of Selangor,State Holiday
malaysia,2004,21 Dec,Tuesday,December Solstice,Season
malaysia,2004,24 Dec,Friday,Christmas Eve,Observance
malaysia,2004,25 Dec,Saturday,Christmas Day,Federal Public Holiday
malaysia,2004,31 Dec,Friday,New Year's Eve,Observance
malaysia,2005,1 Jan,Saturday,New Year's Day,State Holiday
malaysia,2005,21 Jan,Friday,Hari Raya Haji,Federal Public Holiday
malaysia,2005,22 Jan,Saturday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2005,1 Feb,Tuesday,Federal Territory Day,Federal Territory Holiday
malaysia,2005,9 Feb,Wednesday,Lunar New Year's Day,Federal Public Holiday
malaysia,2005,10 Feb,Thursday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2005,10 Feb,Thursday,Lunar New Year Holiday,State Holiday
malaysia,2005,10 Feb,Thursday,Muharram/New Year,Federal Public Holiday
malaysia,2005,20 Mar,Sunday,March Equinox,Season
malaysia,2005,25 Mar,Friday,Good Friday,State Holiday
malaysia,2005,27 Mar,Sunday,Easter Sunday,Observance
malaysia,2005,15 Apr,Friday,Declaration of Malacca as Historical City,State Holiday
malaysia,2005,21 Apr,Thursday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2005,26 Apr,Tuesday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2005,1 May,Sunday,Labour Day,Federal Public Holiday
malaysia,2005,2 May,Monday,Labour Day observed,Federal Public Holiday
malaysia,2005,7 May,Saturday,Pahang State Holiday,State Holiday
malaysia,2005,17 May,Tuesday,Birthday of the Raja of Perlis,Local holiday
malaysia,2005,22 May,Sunday,Wesak Day,Federal Public Holiday
malaysia,2005,23 May,Monday,Wesak Day observed,Federal Public Holiday
malaysia,2005,1 Jun,Wednesday,Gawai Dayak,State Holiday
malaysia,2005,4 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2005,21 Jun,Tuesday,June Solstice,Season
malaysia,2005,9 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2005,22 Jul,Friday,Sarawak Independence Day,State Holiday
malaysia,2005,31 Aug,Wednesday,Malaysia's National Day,Federal Public Holiday
malaysia,2005,1 Sep,Thursday,Isra and Mi'raj,State Holiday
malaysia,2005,23 Sep,Friday,September Equinox,Season
malaysia,2005,1 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2005,5 Oct,Wednesday,First Day of Ramadan,State Holiday
malaysia,2005,8 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2005,14 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2005,21 Oct,Friday,Nuzul Al-Quran,State Holiday
malaysia,2005,24 Oct,Monday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2005,1 Nov,Tuesday,Diwali/Deepavali,Common local holiday
malaysia,2005,3 Nov,Thursday,Hari Raya Puasa,Federal Public Holiday
malaysia,2005,4 Nov,Friday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2005,11 Dec,Sunday,Birthday of the Sultan of Selangor,State Holiday
malaysia,2005,12 Dec,Monday,Day off for Birthday of the Sultan of Selangor,State Holiday
malaysia,2005,22 Dec,Thursday,December Solstice,Season
malaysia,2005,24 Dec,Saturday,Christmas Eve,Observance
malaysia,2005,25 Dec,Sunday,Christmas Day,Federal Public Holiday
malaysia,2005,26 Dec,Monday,Christmas Day observed,Federal Public Holiday
malaysia,2005,31 Dec,Saturday,New Year's Eve,Observance
malaysia,2006,1 Jan,Sunday,New Year's Day,State Holiday
malaysia,2006,2 Jan,Monday,New Year's Day observed,State Holiday
malaysia,2006,10 Jan,Tuesday,Hari Raya Haji,Federal Public Holiday
malaysia,2006,11 Jan,Wednesday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2006,29 Jan,Sunday,Lunar New Year's Day,Federal Public Holiday
malaysia,2006,30 Jan,Monday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2006,30 Jan,Monday,Lunar New Year Holiday,State Holiday
malaysia,2006,31 Jan,Tuesday,Muharram/New Year,Federal Public Holiday
malaysia,2006,1 Feb,Wednesday,Federal Territory Day,Federal Territory Holiday
malaysia,2006,21 Mar,Tuesday,March Equinox,Season
malaysia,2006,11 Apr,Tuesday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2006,14 Apr,Friday,Good Friday,State Holiday
malaysia,2006,15 Apr,Saturday,Declaration of Malacca as Historical City,State Holiday
malaysia,2006,16 Apr,Sunday,Easter Sunday,Observance
malaysia,2006,26 Apr,Wednesday,Birthday of the Sultan of Terengganu,State Holiday
malaysia,2006,1 May,Monday,Labour Day,Federal Public Holiday
malaysia,2006,7 May,Sunday,Pahang State Holiday,State Holiday
malaysia,2006,8 May,Monday,Pahang State Holiday observed,State Holiday
malaysia,2006,12 May,Friday,Wesak Day,Federal Public Holiday
malaysia,2006,17 May,Wednesday,Birthday of the Raja of Perlis,Local holiday
malaysia,2006,1 Jun,Thursday,Gawai Dayak,State Holiday
malaysia,2006,3 Jun,Saturday,The Yang di-Pertuan Agong's Birthday,Federal Public Holiday
malaysia,2006,21 Jun,Wednesday,June Solstice,Season
malaysia,2006,8 Jul,Saturday,Penang Governor's Birthday,State Holiday
malaysia,2006,22 Jul,Saturday,Sarawak Independence Day,State Holiday
malaysia,2006,22 Aug,Tuesday,Isra and Mi'raj,State Holiday
malaysia,2006,31 Aug,Thursday,Malaysia's National Day,Federal Public Holiday
malaysia,2006,23 Sep,Saturday,September Equinox,Season
malaysia,2006,24 Sep,Sunday,First Day of Ramadan,State Holiday
malaysia,2006,7 Oct,Saturday,Birthday of the Governor of Sabah,State Holiday
malaysia,2006,10 Oct,Tuesday,Nuzul Al-Quran,State Holiday
malaysia,2006,13 Oct,Friday,Birthday of the Governor of Malacca,State Holiday
malaysia,2006,14 Oct,Saturday,Birthday of the Governor of Sarawak,State Holiday
malaysia,2006,21 Oct,Saturday,Diwali/Deepavali,Common local holiday
malaysia,2006,24 Oct,Tuesday,Hari Raya Puasa,Federal Public Holiday
malaysia,2006,24 Oct,Tuesday,Birthday of the Sultan of Pahang,State Holiday
malaysia,2006,25 Oct,Wednesday,Hari Raya Puasa Day 2,Federal Public Holiday
malaysia,2006,11 Dec,Monday,Birthday of the Sultan of Selangor,State Holiday
malaysia,2006,22 Dec,Friday,December Solstice,Season
malaysia,2006,24 Dec,Sunday,Christmas Eve,Observance
malaysia,2006,25 Dec,Monday,Christmas Day,Federal Public Holiday
malaysia,2006,31 Dec,Sunday,New Year's Eve,Observance
malaysia,2006,31 Dec,Sunday,Hari Raya Haji,Federal Public Holiday
malaysia,2007,1 Jan,Monday,New Year's Day,State Holiday
malaysia,2007,1 Jan,Monday,Hari Raya Haji (Day 2),Common local holiday
malaysia,2007,20 Jan,Saturday,Muharram/New Year,Federal Public Holiday
malaysia,2007,1 Feb,Thursday,Federal Territory Day,Federal Territory Holiday
malaysia,2007,1 Feb,Thursday,Thaipusam,State Holiday
malaysia,2007,18 Feb,Sunday,Lunar New Year's Day,Federal Public Holiday
malaysia,2007,19 Feb,Monday,Second Day of Lunar New Year,Federal Public Holiday
malaysia,2007,19 Feb,Monday,Lunar New Year Holiday,State Holiday
malaysia,2007,21 Mar,Wednesday,March Equinox,Season
malaysia,2007,31 Mar,Saturday,The Prophet Muhammad's Birthday,Federal Public Holiday
malaysia,2007,6 Apr,Friday,Good Friday,State Holiday
malaysia,2007,8 Apr,Sunday,Easter Sunday,Observance
malaysia,2007,15 Apr,Sunday,Declaration of Malacca as Historical City,State Holiday
malaysia,2007,16 Apr,Monday,Declaration of Malacca as Historical City observed,State Holiday
malaysia,2007,26 Apr,Thursday,Birthday of the Sultan of Terengganu,State Holiday
