Geo,Event Year,Date,Day,Name,Type
malta,2005,1 Jan,Saturday,New Year's Day,Public holiday
malta,2005,10 Feb,Thursday,Feast of Saint Paul's Shipwreck,Public holiday
malta,2005,19 Mar,Saturday,Feast of Saint Joseph,Public holiday
malta,2005,25 Mar,Friday,Good Friday,Public holiday
malta,2005,27 Mar,Sunday,Easter Sunday,Observance
malta,2005,28 Mar,Monday,Easter Monday,Observance
malta,2005,28 Mar,Monday,Bank Holiday,Bank holiday
malta,2005,31 Mar,Thursday,Freedom Day,National holiday
malta,2005,1 May,Sunday,Labour Day/May Day,Public holiday
malta,2005,8 May,Sunday,Mothers' Day,Observance
malta,2005,7 Jun,Tuesday,Sette Giugno,National holiday
malta,2005,19 Jun,Sunday,Fathers' Day,Observance
malta,2005,29 Jun,Wednesday,Feast of Saints Peter and Paul,Public holiday
malta,2005,15 Aug,Monday,The Feast of Mary's Assumption,Public holiday
malta,2005,8 Sep,Thursday,The Feast of Our Lady of Victories,National holiday
malta,2005,21 Sep,Wednesday,Independence Day,National holiday
malta,2005,8 Dec,Thursday,Feast of the Immaculate Conception,Public holiday
malta,2005,13 Dec,Tuesday,Republic Day,National holiday
malta,2005,24 Dec,Saturday,Christmas Eve,Observance
malta,2005,25 Dec,Sunday,Christmas Day,Public holiday
malta,2005,26 Dec,Monday,Boxing Day,Observance
malta,2005,26 Dec,Monday,Bank Holiday,Bank holiday
malta,2005,31 Dec,Saturday,New Year's Eve,Observance
malta,2006,1 Jan,Sunday,New Year's Day,Public holiday
malta,2006,10 Feb,Friday,Feast of Saint Paul's Shipwreck,Public holiday
malta,2006,19 Mar,Sunday,Feast of Saint Joseph,Public holiday
malta,2006,31 Mar,Friday,Freedom Day,National holiday
malta,2006,14 Apr,Friday,Good Friday,Public holiday
malta,2006,16 Apr,Sunday,Easter Sunday,Observance
malta,2006,17 Apr,Monday,Easter Monday,Observance
malta,2006,17 Apr,Monday,Bank Holiday,Bank holiday
malta,2006,1 May,Monday,Labour Day/May Day,Public holiday
malta,2006,14 May,Sunday,Mothers' Day,Observance
malta,2006,7 Jun,Wednesday,Sette Giugno,National holiday
malta,2006,18 Jun,Sunday,Fathers' Day,Observance
malta,2006,29 Jun,Thursday,Feast of Saints Peter and Paul,Public holiday
malta,2006,15 Aug,Tuesday,The Feast of Mary's Assumption,Public holiday
malta,2006,8 Sep,Friday,The Feast of Our Lady of Victories,National holiday
malta,2006,21 Sep,Thursday,Independence Day,National holiday
malta,2006,8 Dec,Friday,Feast of the Immaculate Conception,Public holiday
malta,2006,13 Dec,Wednesday,Republic Day,National holiday
malta,2006,24 Dec,Sunday,Christmas Eve,Observance
malta,2006,25 Dec,Monday,Christmas Day,Public holiday
malta,2006,26 Dec,Tuesday,Boxing Day,Observance
malta,2006,26 Dec,Tuesday,Bank Holiday,Bank holiday
malta,2006,31 Dec,Sunday,New Year's Eve,Observance
malta,2007,1 Jan,Monday,New Year's Day,Public holiday
malta,2007,10 Feb,Saturday,Feast of Saint Paul's Shipwreck,Public holiday
malta,2007,19 Mar,Monday,Feast of Saint Joseph,Public holiday
malta,2007,31 Mar,Saturday,Freedom Day,National holiday
malta,2007,6 Apr,Friday,Good Friday,Public holiday
malta,2007,8 Apr,Sunday,Easter Sunday,Observance
malta,2007,9 Apr,Monday,Easter Monday,Observance
malta,2007,9 Apr,Monday,Bank Holiday,Bank holiday
malta,2007,1 May,Tuesday,Labour Day/May Day,Public holiday
malta,2007,13 May,Sunday,Mothers' Day,Observance
malta,2007,7 Jun,Thursday,Sette Giugno,National holiday
malta,2007,17 Jun,Sunday,Fathers' Day,Observance
malta,2007,29 Jun,Friday,Feast of Saints Peter and Paul,Public holiday
malta,2007,15 Aug,Wednesday,The Feast of Mary's Assumption,Public holiday
malta,2007,8 Sep,Saturday,The Feast of Our Lady of Victories,National holiday
malta,2007,21 Sep,Friday,Independence Day,National holiday
malta,2007,8 Dec,Saturday,Feast of the Immaculate Conception,Public holiday
malta,2007,13 Dec,Thursday,Republic Day,National holiday
malta,2007,24 Dec,Monday,Christmas Eve,Observance
malta,2007,25 Dec,Tuesday,Christmas Day,Public holiday
malta,2007,26 Dec,Wednesday,Boxing Day,Observance
malta,2007,26 Dec,Wednesday,Bank Holiday,Bank holiday
malta,2007,31 Dec,Monday,New Year's Eve,Observance
malta,2008,1 Jan,Tuesday,New Year's Day,Public holiday
malta,2008,10 Feb,Sunday,Feast of Saint Paul's Shipwreck,Public holiday
malta,2008,19 Mar,Wednesday,Feast of Saint Joseph,Public holiday
malta,2008,21 Mar,Friday,Good Friday,Public holiday
malta,2008,23 Mar,Sunday,Easter Sunday,Observance
malta,2008,24 Mar,Monday,Easter Monday,Observance
malta,2008,24 Mar,Monday,Bank Holiday,Bank holiday
malta,2008,31 Mar,Monday,Freedom Day,National holiday
malta,2008,1 May,Thursday,Labour Day/May Day,Public holiday
malta,2008,11 May,Sunday,Mothers' Day,Observance
malta,2008,7 Jun,Saturday,Sette Giugno,National holiday
malta,2008,15 Jun,Sunday,Fathers' Day,Observance
malta,2008,29 Jun,Sunday,Feast of Saints Peter and Paul,Public holiday
malta,2008,15 Aug,Friday,The Feast of Mary's Assumption,Public holiday
malta,2008,8 Sep,Monday,The Feast of Our Lady of Victories,National holiday
malta,2008,21 Sep,Sunday,Independence Day,National holiday
malta,2008,8 Dec,Monday,Feast of the Immaculate Conception,Public holiday
malta,2008,13 Dec,Saturday,Republic Day,National holiday
malta,2008,24 Dec,Wednesday,Christmas Eve,Observance
malta,2008,25 Dec,Thursday,Christmas Day,Public holiday
malta,2008,26 Dec,Friday,Boxing Day,Observance
malta,2008,26 Dec,Friday,Bank Holiday,Bank holiday
malta,2008,31 Dec,Wednesday,New Year's Eve,Observance
malta,2009,1 Jan,Thursday,New Year's Day,Public holiday
malta,2009,10 Feb,Tuesday,Feast of Saint Paul's Shipwreck,Public holiday
malta,2009,19 Mar,Thursday,Feast of Saint Joseph,Public holiday
malta,2009,31 Mar,Tuesday,Freedom Day,National holiday
malta,2009,10 Apr,Friday,Good Friday,Public holiday
malta,2009,12 Apr,Sunday,Easter Sunday,Observance
malta,2009,13 Apr,Monday,Easter Monday,Observance
malta,2009,13 Apr,Monday,Bank Holiday,Bank holiday
malta,2009,1 May,Friday,Labour Day/May Day,Public holiday
malta,2009,10 May,Sunday,Mothers' Day,Observance
