Geo,Event Year,Date,Day,Name,Type
mauritania,2000,1 Jan,Saturday,New Year's Day,Public Holiday
mauritania,2000,8 Jan,Saturday,Eid ul-Fitr,Public Holiday
mauritania,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
mauritania,2000,20 Mar,Monday,March Equinox,Season
mauritania,2000,6 Apr,Thursday,Muharram/Islamic New Year,Public Holiday
mauritania,2000,1 May,Monday,Labor Day / May Day,Public Holiday
mauritania,2000,25 May,Thursday,Africa Day,Public Holiday
mauritania,2000,15 Jun,Thursday,Milad un Nabi (Mawlid),Public Holiday
mauritania,2000,21 Jun,Wednesday,June Solstice,Season
mauritania,2000,22 Sep,Friday,September Equinox,Season
mauritania,2000,28 Nov,Tuesday,Independence Day,Public Holiday
mauritania,2000,21 Dec,Thursday,December Solstice,Season
mauritania,2000,28 Dec,Thursday,Eid ul-Fitr,Public Holiday
mauritania,2001,1 Jan,Monday,New Year's Day,Public Holiday
mauritania,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
mauritania,2001,20 Mar,Tuesday,March Equinox,Season
mauritania,2001,26 Mar,Monday,Muharram/Islamic New Year,Public Holiday
mauritania,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
mauritania,2001,25 May,Friday,Africa Day,Public Holiday
mauritania,2001,4 Jun,Monday,Milad un Nabi (Mawlid),Public Holiday
mauritania,2001,21 Jun,Thursday,June Solstice,Season
mauritania,2001,22 Sep,Saturday,September Equinox,Season
mauritania,2001,28 Nov,Wednesday,Independence Day,Public Holiday
mauritania,2001,17 Dec,Monday,Eid ul-Fitr,Public Holiday
mauritania,2001,21 Dec,Friday,December Solstice,Season
mauritania,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
mauritania,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
mauritania,2002,15 Mar,Friday,Muharram/Islamic New Year,Public Holiday
mauritania,2002,20 Mar,Wednesday,March Equinox,Season
mauritania,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
mauritania,2002,24 May,Friday,Milad un Nabi (Mawlid),Public Holiday
mauritania,2002,25 May,Saturday,Africa Day,Public Holiday
mauritania,2002,21 Jun,Friday,June Solstice,Season
mauritania,2002,23 Sep,Monday,September Equinox,Season
mauritania,2002,28 Nov,Thursday,Independence Day,Public Holiday
mauritania,2002,6 Dec,Friday,Eid ul-Fitr,Public Holiday
mauritania,2002,22 Dec,Sunday,December Solstice,Season
mauritania,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
mauritania,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
mauritania,2003,5 Mar,Wednesday,Muharram/Islamic New Year,Public Holiday
mauritania,2003,21 Mar,Friday,March Equinox,Season
mauritania,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
mauritania,2003,14 May,Wednesday,Milad un Nabi (Mawlid),Public Holiday
mauritania,2003,25 May,Sunday,Africa Day,Public Holiday
mauritania,2003,21 Jun,Saturday,June Solstice,Season
mauritania,2003,23 Sep,Tuesday,September Equinox,Season
mauritania,2003,26 Nov,Wednesday,Eid ul-Fitr,Public Holiday
mauritania,2003,28 Nov,Friday,Independence Day,Public Holiday
mauritania,2003,22 Dec,Monday,December Solstice,Season
mauritania,2004,1 Jan,Thursday,New Year's Day,Public Holiday
mauritania,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
mauritania,2004,22 Feb,Sunday,Muharram/Islamic New Year,Public Holiday
mauritania,2004,20 Mar,Saturday,March Equinox,Season
mauritania,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
mauritania,2004,2 May,Sunday,Milad un Nabi (Mawlid),Public Holiday
mauritania,2004,25 May,Tuesday,Africa Day,Public Holiday
mauritania,2004,21 Jun,Monday,June Solstice,Season
mauritania,2004,22 Sep,Wednesday,September Equinox,Season
mauritania,2004,14 Nov,Sunday,Eid ul-Fitr,Public Holiday
mauritania,2004,28 Nov,Sunday,Independence Day,Public Holiday
mauritania,2004,21 Dec,Tuesday,December Solstice,Season
mauritania,2005,1 Jan,Saturday,New Year's Day,Public Holiday
mauritania,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
mauritania,2005,10 Feb,Thursday,Muharram/Islamic New Year,Public Holiday
mauritania,2005,20 Mar,Sunday,March Equinox,Season
mauritania,2005,21 Apr,Thursday,Milad un Nabi (Mawlid),Public Holiday
mauritania,2005,1 May,Sunday,Labor Day / May Day,Public Holiday
mauritania,2005,25 May,Wednesday,Africa Day,Public Holiday
mauritania,2005,21 Jun,Tuesday,June Solstice,Season
mauritania,2005,22 Sep,Thursday,September Equinox,Season
mauritania,2005,4 Nov,Friday,Eid ul-Fitr,Public Holiday
mauritania,2005,28 Nov,Monday,Independence Day,Public Holiday
