Geo,Event Year,Date,Day,Name,Type
micronesia,2000,1 Jan,Saturday,New Year's Day,Public Holiday
micronesia,2000,11 Jan,Tuesday,Kosrae Constitution Day,Local holiday
micronesia,2000,1 Mar,Wednesday,Yap Day,Local holiday
micronesia,2000,20 Mar,Monday,March Equinox,Season
micronesia,2000,31 Mar,Friday,Micronesia Culture Day,Public Holiday
micronesia,2000,21 Apr,Friday,Good Friday,Local holiday
micronesia,2000,10 May,Wednesday,Constitution Day,Public Holiday
micronesia,2000,21 Jun,Wednesday,June Solstice,Season
micronesia,2000,21 Aug,Monday,Gospel Day (Kosrae),Local holiday
micronesia,2000,8 Sep,Friday,Kosrae Liberation Day,Local holiday
micronesia,2000,11 Sep,Monday,Pohnpei Liberation Day,Local holiday
micronesia,2000,23 Sep,Saturday,September Equinox,Season
micronesia,2000,1 Oct,Sunday,Chuuk Constitution Day,Local holiday
micronesia,2000,2 Oct,Monday,Chuuk Constitution Day observed,Local holiday
micronesia,2000,24 Oct,Tuesday,United Nations Day,Public Holiday
micronesia,2000,3 Nov,Friday,Kosrae Self Government Day,Local holiday
micronesia,2000,3 Nov,Friday,Independence Day,Public Holiday
micronesia,2000,8 Nov,Wednesday,Pohnpei Constitution Day,Local holiday
micronesia,2000,10 Nov,Friday,Day off for Veterans of Foreign Wars Day,Public Holiday
micronesia,2000,11 Nov,Saturday,Veterans of Foreign Wars Day,Public Holiday
micronesia,2000,23 Nov,Thursday,Thanksgiving,Local holiday
micronesia,2000,22 Dec,Friday,December Solstice,Season
micronesia,2000,24 Dec,Sunday,Yap Constitution Day,Local holiday
micronesia,2000,25 Dec,Monday,Christmas Day,Public Holiday
micronesia,2000,25 Dec,Monday,Yap Constitution Day observed,Local holiday
micronesia,2001,1 Jan,Monday,New Year's Day,Public Holiday
micronesia,2001,11 Jan,Thursday,Kosrae Constitution Day,Local holiday
micronesia,2001,1 Mar,Thursday,Yap Day,Local holiday
micronesia,2001,21 Mar,Wednesday,March Equinox,Season
micronesia,2001,30 Mar,Friday,Micronesia Culture Day observed,Public Holiday
micronesia,2001,31 Mar,Saturday,Micronesia Culture Day,Public Holiday
micronesia,2001,13 Apr,Friday,Good Friday,Local holiday
micronesia,2001,10 May,Thursday,Constitution Day,Public Holiday
micronesia,2001,21 Jun,Thursday,June Solstice,Season
micronesia,2001,21 Aug,Tuesday,Gospel Day (Kosrae),Local holiday
micronesia,2001,7 Sep,Friday,Kosrae Liberation Day observed,Local holiday
micronesia,2001,8 Sep,Saturday,Kosrae Liberation Day,Local holiday
micronesia,2001,11 Sep,Tuesday,Pohnpei Liberation Day,Local holiday
micronesia,2001,23 Sep,Sunday,September Equinox,Season
micronesia,2001,1 Oct,Monday,Chuuk Constitution Day,Local holiday
micronesia,2001,24 Oct,Wednesday,United Nations Day,Public Holiday
micronesia,2001,2 Nov,Friday,Kosrae Self Government Day observed,Local holiday
micronesia,2001,2 Nov,Friday,Independence Day observed,Public Holiday
micronesia,2001,3 Nov,Saturday,Kosrae Self Government Day,Local holiday
micronesia,2001,3 Nov,Saturday,Independence Day,Public Holiday
micronesia,2001,8 Nov,Thursday,Pohnpei Constitution Day,Local holiday
micronesia,2001,11 Nov,Sunday,Veterans of Foreign Wars Day,Public Holiday
micronesia,2001,12 Nov,Monday,Day off for Veterans of Foreign Wars Day,Public Holiday
micronesia,2001,22 Nov,Thursday,Thanksgiving,Local holiday
micronesia,2001,22 Dec,Saturday,December Solstice,Season
micronesia,2001,24 Dec,Monday,Yap Constitution Day,Local holiday
micronesia,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
micronesia,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
micronesia,2002,11 Jan,Friday,Kosrae Constitution Day,Local holiday
micronesia,2002,1 Mar,Friday,Yap Day,Local holiday
micronesia,2002,21 Mar,Thursday,March Equinox,Season
micronesia,2002,29 Mar,Friday,Good Friday,Local holiday
micronesia,2002,31 Mar,Sunday,Micronesia Culture Day,Public Holiday
micronesia,2002,1 Apr,Monday,Micronesia Culture Day observed,Public Holiday
micronesia,2002,10 May,Friday,Constitution Day,Public Holiday
micronesia,2002,22 Jun,Saturday,June Solstice,Season
micronesia,2002,21 Aug,Wednesday,Gospel Day (Kosrae),Local holiday
micronesia,2002,8 Sep,Sunday,Kosrae Liberation Day,Local holiday
micronesia,2002,9 Sep,Monday,Kosrae Liberation Day observed,Local holiday
micronesia,2002,11 Sep,Wednesday,Pohnpei Liberation Day,Local holiday
micronesia,2002,23 Sep,Monday,September Equinox,Season
micronesia,2002,1 Oct,Tuesday,Chuuk Constitution Day,Local holiday
micronesia,2002,24 Oct,Thursday,United Nations Day,Public Holiday
micronesia,2002,3 Nov,Sunday,Kosrae Self Government Day,Local holiday
micronesia,2002,3 Nov,Sunday,Independence Day,Public Holiday
micronesia,2002,4 Nov,Monday,Kosrae Self Government Day observed,Local holiday
micronesia,2002,4 Nov,Monday,Independence Day observed,Public Holiday
micronesia,2002,8 Nov,Friday,Pohnpei Constitution Day,Local holiday
micronesia,2002,11 Nov,Monday,Veterans of Foreign Wars Day,Public Holiday
micronesia,2002,28 Nov,Thursday,Thanksgiving,Local holiday
micronesia,2002,22 Dec,Sunday,December Solstice,Season
micronesia,2002,24 Dec,Tuesday,Yap Constitution Day,Local holiday
micronesia,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
micronesia,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
micronesia,2003,10 Jan,Friday,Kosrae Constitution Day observed,Local holiday
micronesia,2003,11 Jan,Saturday,Kosrae Constitution Day,Local holiday
micronesia,2003,28 Feb,Friday,Yap Day observed,Local holiday
micronesia,2003,1 Mar,Saturday,Yap Day,Local holiday
micronesia,2003,21 Mar,Friday,March Equinox,Season
micronesia,2003,31 Mar,Monday,Micronesia Culture Day,Public Holiday
micronesia,2003,18 Apr,Friday,Good Friday,Local holiday
micronesia,2003,9 May,Friday,Constitution Day observed,Public Holiday
micronesia,2003,10 May,Saturday,Constitution Day,Public Holiday
micronesia,2003,22 Jun,Sunday,June Solstice,Season
micronesia,2003,21 Aug,Thursday,Gospel Day (Kosrae),Local holiday
micronesia,2003,8 Sep,Monday,Kosrae Liberation Day,Local holiday
micronesia,2003,11 Sep,Thursday,Pohnpei Liberation Day,Local holiday
micronesia,2003,23 Sep,Tuesday,September Equinox,Season
micronesia,2003,1 Oct,Wednesday,Chuuk Constitution Day,Local holiday
micronesia,2003,24 Oct,Friday,United Nations Day,Public Holiday
micronesia,2003,3 Nov,Monday,Kosrae Self Government Day,Local holiday
micronesia,2003,3 Nov,Monday,Independence Day,Public Holiday
micronesia,2003,7 Nov,Friday,Pohnpei Constitution Day observed,Local holiday
micronesia,2003,8 Nov,Saturday,Pohnpei Constitution Day,Local holiday
micronesia,2003,11 Nov,Tuesday,Veterans of Foreign Wars Day,Public Holiday
micronesia,2003,27 Nov,Thursday,Thanksgiving,Local holiday
micronesia,2003,22 Dec,Monday,December Solstice,Season
micronesia,2003,24 Dec,Wednesday,Yap Constitution Day,Local holiday
micronesia,2003,25 Dec,Thursday,Christmas Day,Public Holiday
micronesia,2004,1 Jan,Thursday,New Year's Day,Public Holiday
micronesia,2004,11 Jan,Sunday,Kosrae Constitution Day,Local holiday
micronesia,2004,12 Jan,Monday,Kosrae Constitution Day observed,Local holiday
micronesia,2004,1 Mar,Monday,Yap Day,Local holiday
micronesia,2004,20 Mar,Saturday,March Equinox,Season
micronesia,2004,31 Mar,Wednesday,Micronesia Culture Day,Public Holiday
micronesia,2004,9 Apr,Friday,Good Friday,Local holiday
micronesia,2004,10 May,Monday,Constitution Day,Public Holiday
micronesia,2004,21 Jun,Monday,June Solstice,Season
micronesia,2004,20 Aug,Friday,Gospel Day (Kosrae) observed,Local holiday
micronesia,2004,21 Aug,Saturday,Gospel Day (Kosrae),Local holiday
micronesia,2004,8 Sep,Wednesday,Kosrae Liberation Day,Local holiday
micronesia,2004,10 Sep,Friday,Pohnpei Liberation Day observed,Local holiday
micronesia,2004,11 Sep,Saturday,Pohnpei Liberation Day,Local holiday
micronesia,2004,23 Sep,Thursday,September Equinox,Season
micronesia,2004,1 Oct,Friday,Chuuk Constitution Day,Local holiday
micronesia,2004,24 Oct,Sunday,United Nations Day,Public Holiday
micronesia,2004,25 Oct,Monday,United Nations Day observed,Public Holiday
micronesia,2004,3 Nov,Wednesday,Kosrae Self Government Day,Local holiday
micronesia,2004,3 Nov,Wednesday,Independence Day,Public Holiday
micronesia,2004,8 Nov,Monday,Pohnpei Constitution Day,Local holiday
micronesia,2004,11 Nov,Thursday,Veterans of Foreign Wars Day,Public Holiday
micronesia,2004,25 Nov,Thursday,Thanksgiving,Local holiday
micronesia,2004,21 Dec,Tuesday,December Solstice,Season
micronesia,2004,24 Dec,Friday,Christmas Day observed,Public Holiday
micronesia,2004,24 Dec,Friday,Yap Constitution Day,Local holiday
micronesia,2004,25 Dec,Saturday,Christmas Day,Public Holiday
micronesia,2004,31 Dec,Friday,Day off for New Year's Day,Public Holiday
micronesia,2005,1 Jan,Saturday,New Year's Day,Public Holiday
micronesia,2005,11 Jan,Tuesday,Kosrae Constitution Day,Local holiday
micronesia,2005,1 Mar,Tuesday,Yap Day,Local holiday
micronesia,2005,20 Mar,Sunday,March Equinox,Season
micronesia,2005,25 Mar,Friday,Good Friday,Local holiday
micronesia,2005,31 Mar,Thursday,Micronesia Culture Day,Public Holiday
