Geo,Event Year,Date,Day,Name,Type
monaco,2000,1 Jan,Saturday,New Year's Day,National holiday
monaco,2000,27 Jan,Thursday,Saint Dévote's Day,National holiday
monaco,2000,20 Mar,Monday,March Equinox,Season
monaco,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
monaco,2000,21 Apr,Friday,Good Friday,Observance
monaco,2000,22 Apr,Saturday,Holy Saturday,Observance
monaco,2000,23 Apr,Sunday,Easter Sunday,Observance
monaco,2000,24 Apr,Monday,Easter Monday,National holiday
monaco,2000,1 May,Monday,Labour Day/May Day,National holiday
monaco,2000,28 May,Sunday,Mothers' Day,Observance
monaco,2000,1 Jun,Thursday,Ascension Day,National holiday
monaco,2000,11 Jun,Sunday,Whit Sunday,Observance
monaco,2000,12 Jun,Monday,Whit Monday,National holiday
monaco,2000,18 Jun,Sunday,Fathers' Day,Observance
monaco,2000,21 Jun,Wednesday,June Solstice,Season
monaco,2000,22 Jun,Thursday,Corpus Christi,National holiday
monaco,2000,23 Jun,Friday,Saint John's Eve,Observance
monaco,2000,24 Jun,Saturday,Saint John's Day,Observance
monaco,2000,8 Aug,Tuesday,Feast of Saint Roman Eve,Observance
monaco,2000,9 Aug,Wednesday,Feast of Saint Roman,Observance
monaco,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
monaco,2000,22 Sep,Friday,September Equinox,Season
monaco,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
monaco,2000,1 Nov,Wednesday,All Saints' Day,National holiday
monaco,2000,19 Nov,Sunday,National Day,National holiday
monaco,2000,20 Nov,Monday,Day off for National Day,National holiday
monaco,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
monaco,2000,21 Dec,Thursday,December Solstice,Season
monaco,2000,24 Dec,Sunday,Christmas Eve,Observance
monaco,2000,25 Dec,Monday,Christmas Day,National holiday
monaco,2000,31 Dec,Sunday,New Year's Eve,Observance
monaco,2001,1 Jan,Monday,New Year's Day,National holiday
monaco,2001,27 Jan,Saturday,Saint Dévote's Day,National holiday
monaco,2001,20 Mar,Tuesday,March Equinox,Season
monaco,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
monaco,2001,13 Apr,Friday,Good Friday,Observance
monaco,2001,14 Apr,Saturday,Holy Saturday,Observance
monaco,2001,15 Apr,Sunday,Easter Sunday,Observance
monaco,2001,16 Apr,Monday,Easter Monday,National holiday
monaco,2001,1 May,Tuesday,Labour Day/May Day,National holiday
monaco,2001,24 May,Thursday,Ascension Day,National holiday
monaco,2001,27 May,Sunday,Mothers' Day,Observance
monaco,2001,3 Jun,Sunday,Whit Sunday,Observance
monaco,2001,4 Jun,Monday,Whit Monday,National holiday
monaco,2001,14 Jun,Thursday,Corpus Christi,National holiday
monaco,2001,17 Jun,Sunday,Fathers' Day,Observance
monaco,2001,21 Jun,Thursday,June Solstice,Season
monaco,2001,23 Jun,Saturday,Saint John's Eve,Observance
monaco,2001,24 Jun,Sunday,Saint John's Day,Observance
monaco,2001,8 Aug,Wednesday,Feast of Saint Roman Eve,Observance
monaco,2001,9 Aug,Thursday,Feast of Saint Roman,Observance
monaco,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
monaco,2001,23 Sep,Sunday,September Equinox,Season
monaco,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
monaco,2001,1 Nov,Thursday,All Saints' Day,National holiday
monaco,2001,19 Nov,Monday,National Day,National holiday
monaco,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
monaco,2001,21 Dec,Friday,December Solstice,Season
monaco,2001,24 Dec,Monday,Christmas Eve,Observance
monaco,2001,25 Dec,Tuesday,Christmas Day,National holiday
monaco,2001,31 Dec,Monday,New Year's Eve,Observance
monaco,2002,1 Jan,Tuesday,New Year's Day,National holiday
monaco,2002,27 Jan,Sunday,Saint Dévote's Day,National holiday
monaco,2002,20 Mar,Wednesday,March Equinox,Season
monaco,2002,29 Mar,Friday,Good Friday,Observance
monaco,2002,30 Mar,Saturday,Holy Saturday,Observance
monaco,2002,31 Mar,Sunday,Easter Sunday,Observance
monaco,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
monaco,2002,1 Apr,Monday,Easter Monday,National holiday
monaco,2002,1 May,Wednesday,Labour Day/May Day,National holiday
monaco,2002,9 May,Thursday,Ascension Day,National holiday
monaco,2002,19 May,Sunday,Whit Sunday,Observance
monaco,2002,20 May,Monday,Whit Monday,National holiday
monaco,2002,26 May,Sunday,Mothers' Day,Observance
monaco,2002,30 May,Thursday,Corpus Christi,National holiday
monaco,2002,16 Jun,Sunday,Fathers' Day,Observance
monaco,2002,21 Jun,Friday,June Solstice,Season
monaco,2002,23 Jun,Sunday,Saint John's Eve,Observance
monaco,2002,24 Jun,Monday,Saint John's Day,Observance
monaco,2002,8 Aug,Thursday,Feast of Saint Roman Eve,Observance
monaco,2002,9 Aug,Friday,Feast of Saint Roman,Observance
monaco,2002,15 Aug,Thursday,Assumption of Mary,National holiday
monaco,2002,23 Sep,Monday,September Equinox,Season
