Geo,Event Year,Date,Day,Name,Type
mongolia,2015,1 Jan,Thursday,New Year,Public Holiday
mongolia,2015,13 Jan,Tuesday,Constitution Day,Observance
mongolia,2015,14 Feb,Saturday,Valentine's Day,Observance
mongolia,2015,19 Feb,Thursday,Tsagaan Sar,Public Holiday
mongolia,2015,1 Mar,Sunday,Patriots' Day,Observance
mongolia,2015,8 Mar,Sunday,International Women's Day,Public Holiday
mongolia,2015,18 Mar,Wednesday,Soldiers' Day,Observance
mongolia,2015,21 Mar,Saturday,March Equinox,Season
mongolia,2015,28 Mar,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
mongolia,2015,7 Apr,Tuesday,Health Day,Observance
mongolia,2015,26 Apr,Sunday,Intellectual Property Day,Observance
mongolia,2015,15 May,Friday,Family Day,Observance
mongolia,2015,1 Jun,Monday,Children's Day,Public Holiday
mongolia,2015,22 Jun,Monday,June Solstice,Season
mongolia,2015,10 Jul,Friday,Political Flag Day,Observance
mongolia,2015,11 Jul,Saturday,Naadam (National Day),Public Holiday
mongolia,2015,12 Jul,Sunday,Naadam Holiday (National Day Holiday),Public Holiday
mongolia,2015,13 Jul,Monday,Naadam Holiday (National Day Holiday),Public Holiday
mongolia,2015,14 Jul,Tuesday,Naadam Holiday (National Day Holiday),Public Holiday
mongolia,2015,15 Jul,Wednesday,Naadam Holiday (National Day Holiday),Public Holiday
mongolia,2015,25 Aug,Tuesday,Youth's Day,Observance
mongolia,2015,10 Sep,Thursday,Repression Victims' Day,Observance
mongolia,2015,23 Sep,Wednesday,September Equinox,Season
mongolia,2015,26 Sep,Saturday,Daylight Saving Time ends,Clock change/Daylight Saving Time
mongolia,2015,1 Oct,Thursday,Elders' Day,Observance
mongolia,2015,29 Oct,Thursday,Capital City Day,Observance
mongolia,2015,12 Nov,Thursday,Genghis Khan Day,Public Holiday
mongolia,2015,26 Nov,Thursday,Republic's Day,Public Holiday
mongolia,2015,10 Dec,Thursday,Human Rights Day,Observance
mongolia,2015,22 Dec,Tuesday,December Solstice,Season
mongolia,2015,29 Dec,Tuesday,Independence Day,Public Holiday
