Geo,Event Year,Date,Day,Name,Type
montenegro,2012,1 Jan,Sunday,New Year's Day,National holiday
montenegro,2012,2 Jan,Monday,New Year's Day Holiday,National holiday
montenegro,2012,3 Jan,Tuesday,New Year's Day observed,National holiday
montenegro,2012,6 Jan,Friday,Orthodox Christmas Eve,Optional holiday
montenegro,2012,7 Jan,Saturday,Orthodox Christmas Day,Optional holiday
montenegro,2012,8 Jan,Sunday,Orthodox Christmas Day Holiday,Optional holiday
montenegro,2012,20 Mar,Tuesday,March Equinox,Season
montenegro,2012,6 Apr,Friday,Good Friday,Optional holiday
montenegro,2012,8 Apr,Sunday,Easter Sunday,Observance
montenegro,2012,9 Apr,Monday,Easter Monday,Optional holiday
montenegro,2012,13 Apr,Friday,Orthodox Good Friday,Optional holiday
montenegro,2012,15 Apr,Sunday,Orthodox Easter Sunday,Optional holiday
montenegro,2012,16 Apr,Monday,Orthodox Easter Monday,Optional holiday
montenegro,2012,1 May,Tuesday,Labour Day/May Day,National holiday
montenegro,2012,2 May,Wednesday,Labour Day/May Day Holiday,National holiday
montenegro,2012,21 May,Monday,Independence Day,National holiday
montenegro,2012,22 May,Tuesday,Independence Day Holiday,National holiday
montenegro,2012,21 Jun,Thursday,June Solstice,Season
montenegro,2012,13 Jul,Friday,Statehood Day,National holiday
montenegro,2012,14 Jul,Saturday,Statehood Day Holiday,National holiday
montenegro,2012,19 Aug,Sunday,Ramdan Bayram,Optional holiday
montenegro,2012,20 Aug,Monday,Ramdan Bayram Holiday,Optional holiday
montenegro,2012,21 Aug,Tuesday,Ramdan Bayram Holiday,Optional holiday
montenegro,2012,22 Sep,Saturday,September Equinox,Season
montenegro,2012,26 Sep,Wednesday,Yom Kippur,Optional holiday
montenegro,2012,27 Sep,Thursday,Yom Kippur Holiday,Optional holiday
montenegro,2012,26 Oct,Friday,Kurban Bayram,Optional holiday
montenegro,2012,27 Oct,Saturday,Kurban Bayram Holiday,Optional holiday
montenegro,2012,28 Oct,Sunday,Kurban Bayram Holiday,Optional holiday
montenegro,2012,1 Nov,Thursday,All Saints' Day,Optional holiday
montenegro,2012,21 Dec,Friday,December Solstice,Season
montenegro,2012,23 Dec,Sunday,Mothers' Day,Observance
montenegro,2012,24 Dec,Monday,Christmas Eve,Optional holiday
montenegro,2012,25 Dec,Tuesday,Christmas Day,Optional holiday
montenegro,2012,26 Dec,Wednesday,Day After Christmas,Optional holiday
montenegro,2012,31 Dec,Monday,New Year's Eve,Observance
montenegro,2013,1 Jan,Tuesday,New Year's Day,National holiday
montenegro,2013,2 Jan,Wednesday,New Year's Day Holiday,National holiday
montenegro,2013,6 Jan,Sunday,Orthodox Christmas Eve,Optional holiday
montenegro,2013,7 Jan,Monday,Orthodox Christmas Day,Optional holiday
montenegro,2013,8 Jan,Tuesday,Orthodox Christmas Day Holiday,Optional holiday
montenegro,2013,20 Mar,Wednesday,March Equinox,Season
montenegro,2013,29 Mar,Friday,Good Friday,Optional holiday
montenegro,2013,31 Mar,Sunday,Easter Sunday,Observance
montenegro,2013,1 Apr,Monday,Easter Monday,Optional holiday
montenegro,2013,1 May,Wednesday,Labour Day/May Day,National holiday
montenegro,2013,2 May,Thursday,Labour Day/May Day Holiday,National holiday
montenegro,2013,3 May,Friday,Orthodox Good Friday,Optional holiday
montenegro,2013,5 May,Sunday,Orthodox Easter Sunday,Optional holiday
montenegro,2013,6 May,Monday,Orthodox Easter Monday,Optional holiday
montenegro,2013,21 May,Tuesday,Independence Day,National holiday
montenegro,2013,22 May,Wednesday,Independence Day Holiday,National holiday
montenegro,2013,21 Jun,Friday,June Solstice,Season
montenegro,2013,13 Jul,Saturday,Statehood Day,National holiday
montenegro,2013,14 Jul,Sunday,Statehood Day Holiday,National holiday
montenegro,2013,15 Jul,Monday,Statehood Day Holiday observed,National holiday
montenegro,2013,8 Aug,Thursday,Ramdan Bayram,Optional holiday
montenegro,2013,9 Aug,Friday,Ramdan Bayram Holiday,Optional holiday
montenegro,2013,10 Aug,Saturday,Ramdan Bayram Holiday,Optional holiday
montenegro,2013,14 Sep,Saturday,Yom Kippur,Optional holiday
montenegro,2013,15 Sep,Sunday,Yom Kippur Holiday,Optional holiday
montenegro,2013,22 Sep,Sunday,September Equinox,Season
montenegro,2013,15 Oct,Tuesday,Kurban Bayram,Optional holiday
montenegro,2013,16 Oct,Wednesday,Kurban Bayram Holiday,Optional holiday
montenegro,2013,17 Oct,Thursday,Kurban Bayram Holiday,Optional holiday
montenegro,2013,1 Nov,Friday,All Saints' Day,Optional holiday
montenegro,2013,21 Dec,Saturday,December Solstice,Season
montenegro,2013,24 Dec,Tuesday,Christmas Eve,Optional holiday
montenegro,2013,25 Dec,Wednesday,Christmas Day,Optional holiday
montenegro,2013,26 Dec,Thursday,Day After Christmas,Optional holiday
montenegro,2013,29 Dec,Sunday,Mothers' Day,Observance
montenegro,2013,31 Dec,Tuesday,New Year's Eve,Observance
montenegro,2014,1 Jan,Wednesday,New Year's Day,National holiday
montenegro,2014,2 Jan,Thursday,New Year's Day Holiday,National holiday
montenegro,2014,6 Jan,Monday,Orthodox Christmas Eve,Optional holiday
montenegro,2014,7 Jan,Tuesday,Orthodox Christmas Day,Optional holiday
montenegro,2014,8 Jan,Wednesday,Orthodox Christmas Day Holiday,Optional holiday
montenegro,2014,20 Mar,Thursday,March Equinox,Season
montenegro,2014,18 Apr,Friday,Good Friday,Optional holiday
montenegro,2014,18 Apr,Friday,Orthodox Good Friday,Optional holiday
montenegro,2014,20 Apr,Sunday,Easter Sunday,Observance
montenegro,2014,20 Apr,Sunday,Orthodox Easter Sunday,Optional holiday
montenegro,2014,21 Apr,Monday,Easter Monday,Optional holiday
montenegro,2014,21 Apr,Monday,Orthodox Easter Monday,Optional holiday
montenegro,2014,1 May,Thursday,Labour Day/May Day,National holiday
montenegro,2014,2 May,Friday,Labour Day/May Day Holiday,National holiday
montenegro,2014,21 May,Wednesday,Independence Day,National holiday
montenegro,2014,22 May,Thursday,Independence Day Holiday,National holiday
montenegro,2014,21 Jun,Saturday,June Solstice,Season
montenegro,2014,13 Jul,Sunday,Statehood Day,National holiday
montenegro,2014,14 Jul,Monday,Statehood Day Holiday,National holiday
montenegro,2014,15 Jul,Tuesday,Statehood Day observed,National holiday
montenegro,2014,29 Jul,Tuesday,Ramdan Bayram,Optional holiday
montenegro,2014,30 Jul,Wednesday,Ramdan Bayram Holiday,Optional holiday
montenegro,2014,31 Jul,Thursday,Ramdan Bayram Holiday,Optional holiday
montenegro,2014,23 Sep,Tuesday,September Equinox,Season
montenegro,2014,4 Oct,Saturday,Yom Kippur,Optional holiday
montenegro,2014,5 Oct,Sunday,Kurban Bayram,Optional holiday
montenegro,2014,5 Oct,Sunday,Yom Kippur Holiday,Optional holiday
montenegro,2014,6 Oct,Monday,Kurban Bayram Holiday,Optional holiday
montenegro,2014,7 Oct,Tuesday,Kurban Bayram Holiday,Optional holiday
montenegro,2014,1 Nov,Saturday,All Saints' Day,Optional holiday
montenegro,2014,22 Dec,Monday,December Solstice,Season
montenegro,2014,24 Dec,Wednesday,Christmas Eve,Optional holiday
montenegro,2014,25 Dec,Thursday,Christmas Day,Optional holiday
montenegro,2014,26 Dec,Friday,Day After Christmas,Optional holiday
montenegro,2014,28 Dec,Sunday,Mothers' Day,Observance
montenegro,2014,31 Dec,Wednesday,New Year's Eve,Observance
montenegro,2015,1 Jan,Thursday,New Year's Day,National holiday
montenegro,2015,2 Jan,Friday,New Year's Day Holiday,National holiday
montenegro,2015,6 Jan,Tuesday,Orthodox Christmas Eve,Optional holiday
montenegro,2015,7 Jan,Wednesday,Orthodox Christmas Day,Optional holiday
montenegro,2015,8 Jan,Thursday,Orthodox Christmas Day Holiday,Optional holiday
montenegro,2015,20 Mar,Friday,March Equinox,Season
montenegro,2015,3 Apr,Friday,Good Friday,Optional holiday
montenegro,2015,5 Apr,Sunday,Easter Sunday,Observance
montenegro,2015,6 Apr,Monday,Easter Monday,Optional holiday
montenegro,2015,10 Apr,Friday,Orthodox Good Friday,Optional holiday
montenegro,2015,12 Apr,Sunday,Orthodox Easter Sunday,Optional holiday
montenegro,2015,13 Apr,Monday,Orthodox Easter Monday,Optional holiday
montenegro,2015,1 May,Friday,Labour Day/May Day,National holiday
montenegro,2015,2 May,Saturday,Labour Day/May Day Holiday,National holiday
montenegro,2015,21 May,Thursday,Independence Day,National holiday
montenegro,2015,22 May,Friday,Independence Day Holiday,National holiday
montenegro,2015,21 Jun,Sunday,June Solstice,Season
montenegro,2015,13 Jul,Monday,Statehood Day,National holiday
montenegro,2015,14 Jul,Tuesday,Statehood Day Holiday,National holiday
montenegro,2015,18 Jul,Saturday,Ramdan Bayram,Optional holiday
montenegro,2015,19 Jul,Sunday,Ramdan Bayram Holiday,Optional holiday
montenegro,2015,20 Jul,Monday,Ramdan Bayram Holiday,Optional holiday
montenegro,2015,23 Sep,Wednesday,Yom Kippur,Optional holiday
montenegro,2015,23 Sep,Wednesday,September Equinox,Season
montenegro,2015,24 Sep,Thursday,Kurban Bayram,Optional holiday
montenegro,2015,24 Sep,Thursday,Yom Kippur Holiday,Optional holiday
montenegro,2015,25 Sep,Friday,Kurban Bayram Holiday,Optional holiday
montenegro,2015,26 Sep,Saturday,Kurban Bayram Holiday,Optional holiday
montenegro,2015,1 Nov,Sunday,All Saints' Day,Optional holiday
montenegro,2015,22 Dec,Tuesday,December Solstice,Season
montenegro,2015,24 Dec,Thursday,Christmas Eve,Optional holiday
montenegro,2015,25 Dec,Friday,Christmas Day,Optional holiday
montenegro,2015,26 Dec,Saturday,Day After Christmas,Optional holiday
montenegro,2015,27 Dec,Sunday,Mothers' Day,Observance
montenegro,2015,31 Dec,Thursday,New Year's Eve,Observance
montenegro,2016,1 Jan,Friday,New Year's Day,National holiday
montenegro,2016,2 Jan,Saturday,New Year's Day Holiday,National holiday
montenegro,2016,6 Jan,Wednesday,Orthodox Christmas Eve,Optional holiday
montenegro,2016,7 Jan,Thursday,Orthodox Christmas Day,Optional holiday
montenegro,2016,8 Jan,Friday,Orthodox Christmas Day Holiday,Optional holiday
montenegro,2016,20 Mar,Sunday,March Equinox,Season
montenegro,2016,25 Mar,Friday,Good Friday,Optional holiday
montenegro,2016,27 Mar,Sunday,Easter Sunday,Observance
montenegro,2016,28 Mar,Monday,Easter Monday,Optional holiday
